sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,28025,21258,24377,683,529,25,25589,0.022476214052429746,2.0511137547688395e-05,1,2771386.0,7.52674981194809e-05,49283
1000,26533,23576,24790,683,529,27,26002,0.022963719220707304,0,1,2825776.0,7.411718744252235e-05,50109
1001,24695,22602,23384,683,529,25,24596,0.023379234798013217,0,1,2687852.0,7.818479170663628e-05,47297
1002,25495,23110,24038,683,529,25,25250,0.022814500419623795,2.080039936766786e-05,1,2760179.0,7.623868252404075e-05,48605
1003,24492,22273,23118,683,529,25,24330,0.023159255531074383,0,1,2630945.0,7.900499889707231e-05,46765
1004,29861,21300,25316,683,529,24,26528,0.022246287672538518,0,1,2845537.0,7.27020033711243e-05,51161
1005,28215,22102,24894,683,529,25,26106,0.02242425467226131,0,1,2831944.0,7.383303286985229e-05,50317
1006,26951,21802,24112,683,529,24,25324,0.023317433897784096,0,1,2823561.0,7.602455472889384e-05,48753
1007,25578,21933,23491,683,529,25,24703,0.02268955695440108,0,1,2641654.0,7.785963360830627e-05,47511
1008,26420,22273,24082,683,529,25,25294,0.023383283920338345,0,1,2828072.0,7.611121839594315e-05,48693
1009,24183,23616,23635,683,529,24,24847,0.023226934296277903,0,1,2682615.0,7.742627575764888e-05,47799
100,25968,22227,23833,683,529,27,25045,0.0229182431859531,0,1,2718000.0,7.683821253990062e-05,48195
1010,25393,22252,23558,683,529,25,24770,0.02309112029085292,0,1,2697306.0,7.765740097361143e-05,47645
1011,30724,21107,25651,683,529,24,26863,0.02260918534148657,0,1,2970611.0,7.182848908372017e-05,51831
1012,28034,22117,24811,683,529,25,26023,0.022845017797692498,0,1,2835428.0,7.405963425111134e-05,50151
1013,28232,22201,24952,683,529,24,26164,0.02231254670080222,0,1,2866097.0,7.36755049750052e-05,50433
1014,27286,22075,24416,683,529,24,25628,0.02297387277752756,0,1,2804022.0,7.515735112100857e-05,49361
1015,25725,22734,23965,683,529,27,25177,0.02312887661702865,0,1,2778223.0,7.645109990192223e-05,48459
1016,28540,22559,25285,683,529,25,26497,0.022218560165322802,0,1,2820027.0,7.278390963592816e-05,51099
1017,26282,22225,23989,683,529,24,25201,0.0228363096855999,0,1,2716272.0,7.638113377964971e-05,48507
1018,25933,22454,23929,683,529,24,25141,0.02288937680097902,0,1,2735741.0,7.655628935382011e-05,48387
1019,30917,20812,25600,683,529,25,26812,0.021750715246008172,0,1,2854978.0,7.196011679281784e-05,51729
101,27689,24854,26007,683,529,27,27219,0.022720102631615696,0,1,2860589.0,7.092290081232482e-05,52543
1020,28657,24100,26114,683,529,27,27326,0.022096960898543447,0,1,2806638.0,7.065515557841518e-05,52757
1021,24452,23131,23527,683,529,25,24739,0.023374637983889987,0,1,2724452.0,7.775084077624879e-05,47583
1022,26599,22192,24131,683,529,25,25343,0.02358407341009214,0,1,2837623.0,7.596976957790134e-05,48791
1023,28556,21773,24900,683,529,25,26112,0.022248745279935787,0,1,2846807.0,7.38167056968703e-05,50329
1024,27060,22679,24605,683,529,27,25817,0.022708678454238972,0,1,2840288.0,7.462808927641034e-05,49739
1025,25004,23557,24016,683,529,24,25228,0.02313717241963143,0,1,2749111.0,7.630257455737766e-05,48561
1026,26698,21987,24078,683,529,24,25290,0.02335900837514543,0,1,2814593.0,7.612278845787458e-05,48685
1027,26891,22174,24268,683,529,25,25480,0.02247362677055008,0,1,2749610.0,7.557706124593141e-05,49065
1028,24454,23379,23652,683,529,24,24864,0.023406056811302877,0,1,2741082.0,7.737543307466487e-05,47833
1029,25812,22361,23822,683,529,24,25034,0.023135413086571358,0,1,2730991.0,7.687064866339363e-05,48173
102,28060,22079,24805,683,529,24,26017,0.023019895528498653,0,1,2908492.0,7.407606891151358e-05,50139
1030,24018,23127,23308,683,529,25,24520,0.02325107124343701,0,1,2655508.0,7.841739671608002e-05,47145
1031,28070,22473,25007,683,529,24,26219,0.02263490133395897,0,1,2842018.0,7.352674382086368e-05,50543
1032,28279,22958,25354,683,529,27,26566,0.021589233088135696,0,1,2686283.0,7.260185290947069e-05,51237
1033,30413,21020,25452,683,529,25,26664,0.022222359516804898,0,1,2911990.0,7.234483715408258e-05,51433
1034,26200,22163,23917,683,529,24,25129,0.02292410496027518,0,1,2724210.0,7.65914167518337e-05,48363
1035,26527,23882,24940,683,529,25,26152,0.02242986957319157,0,1,2731933.0,7.370804186276378e-05,50409
1036,29320,22551,25671,683,529,24,26883,0.021924087812422527,0,1,2847664.0,7.177700153837829e-05,51871
1037,27471,22896,24919,683,529,25,26131,0.02286108420792099,0,1,2873669.0,7.376505051537337e-05,50367
1038,27477,21366,24157,683,529,25,25369,0.022930853751736806,0,1,2790812.0,7.589492804278853e-05,48843
1039,26595,22522,24294,683,529,27,25506,0.022741400939905666,0,1,2749225.0,7.550298984430446e-05,49117
103,23996,24451,23959,683,529,25,25171,0.023623492949260267,0,1,2705099.0,7.646861143201243e-05,48447
1040,27861,21400,24366,683,529,24,25578,0.022943834419152476,0,1,2828188.0,7.529862352477575e-05,49261
1041,30562,21093,25563,683,529,25,26775,0.02056804267550384,0,1,2649184.0,7.205591332422015e-05,51655
1042,25380,22773,23812,683,529,25,25024,0.022889560896399225,6.299344868133715e-05,1,2699944.0,7.690015978138987e-05,48153
1043,29268,21563,25151,683,529,24,26363,0.022542132085108135,0,1,2872875.0,7.314008628311417e-05,50831
1044,26410,22013,23947,683,529,24,25159,0.023104132390551566,0,1,2745732.0,7.650365852998446e-05,48423
1045,27102,22003,24288,683,529,25,25500,0.023133183651967357,0,1,2836546.0,7.552007037569332e-05,49105
