sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,5174,4058,4584,303,64,29,4951,0.035896932120701205,0.00010907504363001745,1,664787.0,0.0003767017784388013,9232
1000,5268,3998,4601,303,64,29,4968,0.035752967128458435,0,1,665161.0,0.00037550571290647093,9266
1001,5251,4005,4596,303,64,29,4963,0.03578008583757301,0,1,664888.0,0.00037585671250607984,9256
1002,5200,4062,4599,303,64,29,4966,0.03576988866608924,0,1,665109.0,0.0003756460345252044,9262
1003,5248,4002,4593,303,64,29,4960,0.035805140941366956,0,1,664783.0,0.0003760676254968158,9250
1004,5288,3966,4595,303,64,29,4962,0.035803779979024335,0,1,664973.0,0.00037592699070484564,9254
1005,5104,4156,4598,303,64,29,4965,0.03577646806138017,0,1,665056.0,0.00037571623443070066,9260
1006,5190,4062,4594,303,64,29,4961,0.035811881980524624,0,1,664940.0,0.0003759972950302684,9252
1007,5197,4061,4597,303,64,29,4964,0.03578378171059766,0,1,665017.0,0.00037578646041951374,9258
1008,5083,4167,4593,303,64,29,4960,0.0358100405655111,0,1,664820.0,0.0003760676254968158,9250
1009,5266,3998,4600,303,64,29,4967,0.035761806153166965,0,1,665147.0,0.00037557586068859956,9264
100,5210,4062,4604,303,64,30,4971,0.03572951414229205,0,1,665288.0,0.000375295425742951,9272
1010,5196,4062,4597,303,64,29,4964,0.035788348601838486,0,1,665049.0,0.00037578646041951374,9258
1011,5288,3966,4595,303,64,29,4962,0.03580301840560503,0,1,664959.0,0.00037592699070484564,9254
1012,5099,4161,4598,303,64,30,4965,0.035763148595037784,0,1,664951.0,0.00037571623443070066,9260
1013,5094,4158,4594,303,64,29,4961,0.03581340556367813,0,1,664935.0,0.0003759972950302684,9252
1014,5272,3964,4586,303,64,29,4953,0.0358783777533139,0,1,664652.0,0.00037656067193166657,9236
1015,5280,3994,4605,303,64,30,4972,0.03572145063631533,0,1,665325.0,0.0003752253820347881,9274
1016,5256,3998,4595,303,64,29,4962,0.035803779979024335,0,1,664965.0,0.00037592699070484564,9254
1017,5288,3966,4595,303,64,29,4962,0.03580452660423086,0,1,664975.0,0.00037592699070484564,9254
1018,5276,3964,4588,303,64,29,4955,0.0358621154289983,0,1,664722.0,0.0003764196704535409,9240
1019,5192,4058,4593,303,64,29,4960,0.03581919589229429,0.00010886131069018071,1,665088.0,0.0003760676254968158,9250
101,5106,4156,4599,303,64,29,4966,0.035766041345332344,0,1,665063.0,0.0003756460345252044,9262
1020,5267,3993,4598,303,64,29,4965,0.03577761749554657,0,1,665052.0,0.00037571623443070066,9260
1021,5120,4158,4607,303,64,29,4974,0.03570685318854231,0,1,665406.0,0.0003750853725517877,9278
1022,5248,3996,4590,303,64,29,4957,0.03585196973138488,0,1,664838.0,0.0003762787738880441,9244
1023,5243,3995,4587,303,64,29,4954,0.03587253445969288,0,1,664701.0,0.00037649015807125535,9238
1024,5220,4058,4607,303,64,30,4974,0.0357076122929892,0,1,665414.0,0.0003750853725517877,9278
1025,5128,4158,4611,303,64,29,4978,0.03567239090575288,0,1,665531.0,0.0003748056649176005,9286
1026,5266,3964,4583,303,64,29,4950,0.03590509237373548,0,1,664559.0,0.0003767723711146625,9230
1027,5191,4057,4592,303,64,29,4959,0.03582885965832634,0,1,664857.0,0.00037613798211896647,9248
1028,5270,3964,4585,303,64,29,4952,0.03588804203329454,0,1,664620.0,0.00037663121204932736,9234
1029,5252,3996,4592,303,64,29,4959,0.03582811242294257,0,1,664857.0,0.00037613798211896647,9248
102,5094,4156,4593,303,64,30,4960,0.035821526766709716,0,1,664911.0,0.0003760676254968158,9250
1030,5094,4158,4594,303,64,29,4961,0.035810373385201426,0,1,664919.0,0.0003759972950302684,9252
1031,5194,4062,4596,303,64,29,4963,0.03579414412209353,0,1,664993.0,0.00037585671250607984,9256
1032,5111,4155,4601,303,64,29,4968,0.03575560647065362,0.00010867202782003912,1,665384.0,0.00037550571290647093,9266
1033,5176,4062,4587,303,64,29,4954,0.035874764356046425,0.00010900370612600828,1,664919.0,0.00037649015807125535,9238
