sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,13674,23553,17326,2708,2575,30,22609,0.09850802971677333,0,1,7688097.0,7.283070952617464e-05,37227
1000,11606,25527,17279,2708,2575,29,22562,0.09882028572835345,0,1,7703173.0,7.294979859015011e-05,37133
1001,14299,22688,17206,2708,2575,31,22489,0.09919110491352824,0,1,7727750.0,7.313548238666948e-05,36987
1002,13656,23421,17251,2708,2575,32,22534,0.09895776929224408,0,1,7710408.0,7.302091661970833e-05,37077
1003,11566,25503,17247,2708,2575,31,22530,0.09898293143456831,0,1,7735150.0,7.303108680537352e-05,37069
1004,16719,20328,17236,2708,2575,30,22519,0.0990278009629885,0,1,7710505.0,7.30590683247768e-05,37047
1005,11833,25290,17274,2708,2575,30,22557,0.09883953306592269,0,1,7722722.0,7.296248884119876e-05,37123
1006,14396,22747,17284,2708,2575,30,22567,0.09877688933686057,0,1,7715937.0,7.29371124210742e-05,37143
1007,14422,22567,17207,2708,2575,31,22490,0.09925684637224567,0,1,7717529.0,7.313293287142544e-05,36989
1008,13882,23259,17283,2708,2575,30,22566,0.09880009997900512,0,1,7735449.0,7.293964932841261e-05,37141
1009,13622,23427,17237,2708,2575,31,22520,0.09907555725955844,0,1,7706250.0,7.305652373125296e-05,37049
100,13620,23383,17214,2708,2575,31,22497,0.09916834427748092,0,1,7734507.0,7.311509086307129e-05,37003
1010,14358,22643,17213,2708,2575,31,22496,0.09916204905061225,0,1,7690043.0,7.311763922882184e-05,37001
1011,16608,20525,17279,2708,2575,30,22562,0.09883455570122457,0,1,7728374.0,7.294979859015011e-05,37133
1012,11846,25327,17299,2708,2575,30,22582,0.09867406965119445,0,1,7723732.0,7.289907838880082e-05,37173
1013,14516,22479,17210,2708,2575,30,22493,0.09920247701623033,0,1,7723918.0,7.312528531116353e-05,36995
1014,16611,20398,17217,2708,2575,30,22500,0.09911965349743751,0,1,7709896.0,7.310744675071978e-05,37009
1015,12264,24743,17216,2708,2575,31,22499,0.09914639103974915,0,1,7699357.0,7.310999462403384e-05,37007
1016,12272,24747,17222,2708,2575,30,22505,0.09914136804201581,0,1,7700817.0,7.309470984565345e-05,37019
1017,15920,21139,17242,2708,2575,31,22525,0.09902242169600087,0,1,7715751.0,7.30438032210703e-05,37059
1018,15875,21122,17211,2708,2575,31,22494,0.09918662612877065,0,1,7721229.0,7.312273645285438e-05,36997
1019,13631,23418,17237,2708,2575,30,22520,0.09907426693777054,0,1,7728436.0,7.305652373125296e-05,37049
101,12560,24561,17273,2708,2575,30,22556,0.0988840176788082,0,1,7682413.0,7.296502738139384e-05,37121
1020,14452,22781,17329,2708,2575,30,22612,0.09855543670323035,0,1,7727602.0,7.282312030975626e-05,37233
1021,12474,24569,17234,2708,2575,31,22517,0.09907803813196386,0,1,7708249.0,7.306415800342022e-05,37043
1022,11566,25457,17224,2708,2575,31,22507,0.09915172430556207,0,1,7686282.0,7.308961623207553e-05,37023
1023,12424,24825,17337,2708,2575,30,22620,0.09847597889908967,0,1,7725896.0,7.280288955292119e-05,37249
1024,13587,23392,17202,2708,2575,32,22485,0.09920315837289469,0,1,7695889.0,7.314568209045805e-05,36979
1025,13754,23255,17217,2708,2575,32,22500,0.09918185041044378,0,1,7725150.0,7.310744675071978e-05,37009
1026,16729,20320,17237,2708,2575,30,22520,0.09905428386207524,0,1,7695617.0,7.305652373125296e-05,37049
1027,14321,22700,17223,2708,2575,30,22506,0.09914824077547824,0,1,7723791.0,7.309216295684601e-05,37021
1028,16600,20423,17224,2708,2575,31,22507,0.09913827769424002,0,1,7712855.0,7.308961623207553e-05,37023
1029,12939,24096,17230,2708,2575,31,22513,0.09910200498324662,2.901915264074289e-05,1,7714622.0,7.307433932746936e-05,37035
102,11802,25303,17265,2708,2575,30,22548,0.09888555434862954,0,1,7724431.0,7.298534158504956e-05,37105
1030,12548,24609,17291,2708,2575,31,22574,0.09874535535944969,0,1,7723857.0,7.291935863886731e-05,37157
1031,14480,22607,17256,2708,2575,31,22539,0.09892620170575529,0,1,7702741.0,7.300820756982057e-05,37087
1032,13184,23967,17288,2708,2575,31,22571,0.09878855943438802,0,1,7680275.0,7.292696642369914e-05,37151
1033,13658,23511,17297,2708,2575,29,22580,0.09870106048225244,0,1,7704568.0,7.290414747299424e-05,37169
1034,15984,21021,17215,2708,2575,30,22498,0.09919895244753607,0,1,7725022.0,7.311254266147983e-05,37005
1035,13667,23400,17246,2708,2575,30,22529,0.0990029025570948,0,1,7712144.0,7.303362976103528e-05,37067
1036,11599,25464,17244,2708,2575,31,22527,0.09899894599962644,0,1,7732403.0,7.303871616354809e-05,37063
1037,11779,25240,17222,2708,2575,30,22505,0.09915718173607173,0,1,7701717.0,7.309470984565345e-05,37019
1038,15868,21215,17254,2708,2575,30,22537,0.09895890124083885,0,1,7725026.0,7.301329069891126e-05,37083
1039,14317,22716,17229,2708,2575,33,22512,0.09907233666251238,0,1,7707809.0,7.307688506830286e-05,37033
103,13640,23471,17268,2708,2575,31,22551,0.09884723932276576,0,1,7679747.0,7.297772253303942e-05,37111
1040,15947,21256,17314,2708,2575,30,22597,0.09860265645190337,2.887836432944438e-05,1,7688680.0,7.286108103353147e-05,37203
1041,13609,23472,17253,2708,2575,30,22536,0.09898481186444485,0,1,7688440.0,7.301583250887528e-05,37081
1042,16026,20997,17224,2708,2575,32,22507,0.0991648947491518,0,1,7728332.0,7.308961623207553e-05,37023
1043,12287,24766,17239,2708,2575,30,22522,0.09909015845650997,0,1,7729187.0,7.305143503573322e-05,37053
1044,13611,23398,17217,2708,2575,31,22500,0.09918646937182118,0,1,7725510.0,7.310744675071978e-05,37009
1045,13800,23343,17284,2708,2575,30,22567,0.0988448110041629,0,1,7723890.0,7.29371124210742e-05,37143
1046,16723,20304,17226,2708,2575,30,22509,0.0991080451437443,0,1,7710960.0,7.30845232745912e-05,37027
1047,11759,25256,17220,2708,2575,31,22503,0.09919606494074555,0,1,7718599.0,7.309980411543346e-05,37015
1048,13621,23344,17195,2708,2575,31,22478,0.09932911330477125,0,1,7716839.0,7.316353789900754e-05,36965
1049,13840,23261,17263,2708,2575,30,22546,0.09890256537831565,0,1,7704584.0,7.29904217703745e-05,37101
104,14478,22639,17271,2708,2575,31,22554,0.09891734025994815,0,1,7695936.0,7.29701049518775e-05,37117
1050,15923,21188,17268,2708,2575,31,22551,0.09888814765646815,0,1,7734003.0,7.297772253303942e-05,37111
1051,11574,25469,17234,2708,2575,30,22517,0.0990783243296952,0,1,7700904.0,7.306415800342022e-05,37043
1052,12544,24567,17268,2708,2575,31,22551,0.0988817024334734,0,1,7712990.0,7.297772253303942e-05,37111
1053,16003,21020,17224,2708,2575,30,22507,0.099124249119239,0,1,7722087.0,7.308961623207553e-05,37023
1054,14412,22787,17312,2708,2575,31,22595,0.09859995480137419,0,1,7716523.0,7.286614523008819e-05,37199
1055,13640,23395,17230,2708,2575,32,22513,0.09907033112641841,0,1,7732786.0,7.307433932746936e-05,37035
1056,13591,23382,17199,2708,2575,31,22482,0.0992387096741919,0,1,7717113.0,7.315333359363282e-05,36973
1057,13549,23490,17232,2708,2575,30,22515,0.09914152480949912,0,1,7720690.0,7.306924833761492e-05,37039
1058,11562,25465,17226,2708,2575,30,22509,0.09908760770376489,0,1,7692840.0,7.30845232745912e-05,37027
1059,16707,20272,17202,2708,2575,31,22485,0.09924416516666243,0,1,7711179.0,7.314568209045805e-05,36979
105,13717,23668,17405,2708,2575,30,22688,0.09809200753001218,0,1,7711406.0,7.263134731726283e-05,37385
1060,12453,24640,17259,2708,2575,29,22542,0.0989042555633609,0,1,7696589.0,7.300058410307492e-05,37093
1061,12458,24543,17213,2708,2575,30,22496,0.09917059824998115,0,1,7721748.0,7.311763922882184e-05,37001
1062,14450,22687,17281,2708,2575,30,22564,0.09881656038972658,0,1,7682549.0,7.294472363277759e-05,37137
1063,13861,23292,17289,2708,2575,33,22572,0.09877424051959637,0,1,7706374.0,7.292443033228251e-05,37153
1064,13585,23464,17237,2708,2575,31,22520,0.09903649771906431,0,1,7731808.0,7.305652373125296e-05,37049
1065,15845,21166,17218,2708,2575,32,22501,0.09913628319163402,0,1,7710820.0,7.310489904152409e-05,37011
1066,16702,20283,17205,2708,2575,31,22488,0.09926183384212177,0,1,7702931.0,7.313803206618119e-05,36985
1067,11802,25231,17229,2708,2575,30,22512,0.09908062071975644,0,1,7692002.0,7.307688506830286e-05,37033
1068,11561,25424,17205,2708,2575,30,22488,0.09918833905310333,0,1,7697017.0,7.313803206618119e-05,36985
1069,12500,24593,17259,2708,2575,30,22542,0.09891850423782927,0,1,7700136.0,7.300058410307492e-05,37093
106,13117,23904,17223,2708,2575,31,22506,0.09913083443230954,0,1,7694660.0,7.309216295684601e-05,37021
1070,11772,25259,17228,2708,2575,30,22511,0.09909971672730701,0,1,7702202.0,7.307943097309197e-05,37031
1071,14371,22712,17254,2708,2575,31,22537,0.0989627617682172,0,1,7713175.0,7.301329069891126e-05,37083
1072,16537,20446,17204,2708,2575,30,22487,0.09921344638576947,0,1,7697316.0,7.314058190997413e-05,36983
1073,14437,22722,17292,2708,2575,31,22575,0.09873154164180474,0,1,7726064.0,7.291682303684174e-05,37159
1074,15905,21086,17208,2708,2575,30,22491,0.0992052633171985,0,1,7711336.0,7.313038352043549e-05,36991
1075,11529,25452,17203,2708,2575,32,22486,0.09926476356747314,0,1,7725567.0,7.31431319180619e-05,36981
1076,11902,25391,17359,2708,2575,29,22642,0.09837399158164428,0,1,7712886.0,7.274730857488812e-05,37293
1077,14447,22544,17208,2708,2575,31,22491,0.09925137266655383,0,1,7707603.0,7.313038352043549e-05,36991
1078,12472,24521,17209,2708,2575,30,22492,0.09917434659855634,0,1,7696388.0,7.312783433368605e-05,36993
1079,16564,20441,17215,2708,2575,30,22498,0.09920504709044072,0,1,7696499.0,7.311254266147983e-05,37005
107,13720,23555,17350,2708,2575,30,22633,0.09845049360627064,0,1,7743955.0,7.277003675083057e-05,37275
1080,13835,23214,17237,2708,2575,31,22520,0.0990338935100762,0,1,7709480.0,7.305652373125296e-05,37049
1081,14398,22773,17298,2708,2575,30,22581,0.09876182902985757,0,1,7685768.0,7.290161284938634e-05,37171
1082,16560,20463,17224,2708,2575,31,22507,0.09910371886951706,0,1,7702468.0,7.308961623207553e-05,37023
1083,15080,22057,17281,2708,2575,30,22564,0.0988160707239217,0,1,7681870.0,7.294472363277759e-05,37137
1084,13520,23551,17248,2708,2575,30,22531,0.09902306630409921,0,1,7730184.0,7.30285440134235e-05,37071
1085,14424,22767,17308,2708,2575,33,22591,0.0986342903485299,0,1,7715476.0,7.287627557731243e-05,37191
1086,16731,20390,17273,2708,2575,31,22556,0.09886334801369825,2.8946911364557403e-05,1,7735497.0,7.296502738139384e-05,37121
1087,13620,23625,17335,2708,2575,30,22618,0.09853164546814697,0,1,7734149.0,7.280794626687944e-05,37245
1088,16691,20324,17220,2708,2575,31,22503,0.09914913481727891,0,1,7700793.0,7.309980411543346e-05,37015
1089,15860,21145,17215,2708,2575,30,22498,0.0991192151819651,0,1,7687696.0,7.311254266147983e-05,37005
108,16618,20441,17242,2708,2575,30,22525,0.09903521819939608,0,1,7724683.0,7.30438032210703e-05,37059
1090,11535,25462,17211,2708,2575,31,22494,0.09915090159501043,0,1,7690544.0,7.312273645285438e-05,36997
1091,11759,25358,17271,2708,2575,30,22554,0.09886491294114373,0,1,7715116.0,7.29701049518775e-05,37117
1092,14355,22756,17268,2708,2575,33,22551,0.09888535545996341,0,1,7681858.0,7.297772253303942e-05,37111
1093,15151,21906,17241,2708,2575,31,22524,0.0990308905507727,0,1,7735422.0,7.304634699549377e-05,37057
