sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,56161,84243,64991,10731,10422,31,86144,0.093382860046544,1.5386745857118676e-05,5,284333174.0,1.892058039778668e-05,140404
1000,54638,86046,65131,10731,10422,34,86284,0.09317859006540441,0,5,284334468.0,1.889684065429129e-05,140684
1001,56809,83375,64881,10731,10422,30,86034,0.0935395106284024,0,5,284315953.0,1.893927131811825e-05,140184
1002,63996,76346,64960,10731,10422,32,86113,0.0934257254028768,7.697044334975369e-06,5,284326491.0,1.8925844427371996e-05,140342
1003,46207,93985,64885,10731,10422,30,86038,0.09353434911663634,0,5,284317969.0,1.893859105733115e-05,140192
1004,65460,75126,65082,10731,10422,33,86235,0.09324908252798794,0,5,284327470.0,1.8905143368515477e-05,140586
1005,46453,94167,65099,10731,10422,31,86252,0.09322503326931397,0,5,284330242.0,1.8902262079648124e-05,140620
1006,56811,83445,64917,10731,10422,29,86070,0.09348848942519873,0,5,284321345.0,1.8933150577458054e-05,140256
1007,65391,75023,64996,10731,10422,31,86149,0.09337362858552546,0,5,284324168.0,1.8919731611311843e-05,140414
1008,55822,84474,64937,10731,10422,32,86090,0.09345861573280013,7.699770546837705e-06,5,284320604.0,1.8929751727230893e-05,140296
1009,64100,76464,65071,10731,10422,30,86224,0.09326505426893236,0,5,284331648.0,1.890700815974197e-05,140564
100,55607,84697,64941,10731,10422,34,86094,0.09345802892450053,0,5,284332726.0,1.8929072090952553e-05,140304
1010,56838,83358,64887,10731,10422,34,86040,0.09353146508545004,7.705703761924577e-06,5,284316824.0,1.893825094367458e-05,140196
1011,64982,75514,65037,10731,10422,31,86190,0.09331295659735334,7.687931485154605e-06,5,284325128.0,1.8912774186108295e-05,140496
1012,46302,94058,64969,10731,10422,31,86122,0.09341345087324984,0,5,284325122.0,1.892431588505719e-05,140360
1013,56837,83555,64985,10731,10422,30,86138,0.09338806887592331,0,5,284317219.0,1.8921599033411102e-05,140392
1014,56773,83431,64891,10731,10422,33,86044,0.09352690858926034,0,5,284319643.0,1.893757074983314e-05,140204
1015,47340,92966,64942,10731,10422,31,86095,0.0934514382778751,7.699177727818668e-06,5,284318887.0,1.8928902188848824e-05,140306
1016,55540,84892,65005,10731,10422,31,86158,0.09335996530527423,4.615029613106684e-05,5,284325787.0,1.8918203970992173e-05,140432
1017,63853,76509,64970,10731,10422,30,86123,0.0934086600611857,7.695859627520395e-06,5,284319508.0,1.8924146060946467e-05,140362
1018,63818,76516,64956,10731,10422,33,86109,0.09343192961163056,0,5,284326301.0,1.8926523851924903e-05,140334
1019,56344,84318,65120,10731,10422,31,86273,0.09319517295530404,3.071253071253071e-05,5,284336677.0,1.889870394858967e-05,140662
101,55785,85181,65272,10731,10422,32,86425,0.09297755753590287,0,5,284346701.0,1.8872986325619972e-05,140966
1020,65294,75540,65206,10731,10422,33,86359,0.09307239234982201,1.5336012023433427e-05,5,284341449.0,1.8884145322203514e-05,140834
1021,47359,92983,64960,10731,10422,30,86113,0.09342493630226276,7.697044334975369e-06,5,284319143.0,1.8925844427371996e-05,140342
1022,46350,94038,64983,10731,10422,30,86136,0.09339314000502688,7.694320052936921e-06,5,284325964.0,1.892193860088899e-05,140388
1023,47277,93005,64930,10731,10422,32,86083,0.09346993958675509,7.700600646850455e-06,5,284322251.0,1.8930941198000888e-05,140282
1024,64122,76338,65019,10731,10422,32,86172,0.09334016045617315,0,5,284327827.0,1.891582808959941e-05,140460
1025,64185,76397,65080,10731,10422,33,86233,0.09325256047003111,0,5,284330987.0,1.8905482396458787e-05,140582
1026,57121,83111,64905,10731,10422,32,86058,0.09350527928662936,0,5,284317375.0,1.893519042279327e-05,140232
1027,64944,75290,64906,10731,10422,30,86059,0.0935037929051509,0,5,284321272.0,1.8935020420347563e-05,140234
1028,64855,75335,64884,10731,10422,33,86037,0.09353635380559672,0,5,284322701.0,1.8938761118343593e-05,140190
1029,47187,93069,64917,10731,10422,33,86070,0.09349294758003295,1.540428547221837e-05,5,284331730.0,1.8933150577458054e-05,140256
102,46278,94088,64972,10731,10422,32,86125,0.09340922973184902,0,5,284324901.0,1.8923806421078892e-05,140366
