sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,947,977,898,177,128,15,1203,0.12133288098067269,0,1,66518.0,0.0013305615606020998,1924
1000,934,1040,923,177,128,14,1228,0.12249595097452898,0.0005417118093174431,1,69985.0,0.0013100993126956189,1974
1001,895,1029,898,177,128,15,1203,0.11967631927115173,0,1,65344.0,0.0013305615606020998,1924
1002,913,1013,899,177,128,15,1204,0.11990145220705659,0.0005561735261401557,1,65400.0,0.0013297321480352274,1926
1003,899,1027,899,177,128,15,1204,0.12190166184429259,0,1,66699.0,0.0013297321480352274,1926
1004,957,1015,922,177,128,14,1227,0.1218585294949489,0,1,69835.0,0.0013109069854324465,1972
1005,912,1032,908,177,128,14,1213,0.12144992844215444,0,1,67429.0,0.0013223086529592777,1944
1006,905,1037,907,177,128,15,1212,0.1223391451387277,0,1,68561.0,0.0013231298356920745,1942
1007,951,997,910,177,128,15,1215,0.12178451990023542,0,1,68182.0,0.0013206690124134752,1948
1008,908,1024,902,177,128,15,1207,0.12173216707707982,0,1,67734.0,0.0013272494198436153,1932
1009,923,1031,913,177,128,15,1218,0.12324188030418878,0,1,69106.0,0.0013182163466922484,1954
100,983,973,914,177,128,14,1219,0.12163596416779597,0,1,68008.0,0.0013174005988919287,1956
1010,959,985,908,177,128,15,1213,0.12070486382034286,0,1,66947.0,0.0013223086529592777,1944
1011,955,1017,922,177,128,14,1227,0.1223319630609417,0,1,70070.0,0.0013109069854324465,1972
1012,913,1019,902,177,128,14,1207,0.12024097562098449,0,1,66091.0,0.0013272494198436153,1932
1013,893,1059,912,177,128,15,1217,0.1220228602116634,0,1,68378.0,0.001319032997448428,1952
1014,962,984,909,177,128,14,1214,0.12112606377809539,0,1,67393.0,0.0013214883789154017,1946
1015,904,1056,916,177,128,15,1221,0.1196326238767566,0,1,66667.0,0.0013157718075750863,1960
1016,939,1027,919,177,128,14,1224,0.12263557971858366,0.000544069640914037,1,69778.0,0.0013133353641265719,1966
1017,957,977,903,177,128,15,1208,0.1220075972595375,0,1,67802.0,0.0013264236764568714,1934
1018,949,997,909,177,128,15,1214,0.12230833883061193,0,1,67928.0,0.0013214883789154017,1946
1019,992,996,930,177,128,14,1235,0.12305990132056496,0,1,70862.0,0.001304470501774946,1988
101,937,1043,926,177,128,14,1231,0.12283090721174239,0,1,70442.0,0.0013076816389609874,1980
1020,915,1053,920,177,128,14,1225,0.12167232081826951,0,1,68791.0,0.0013125250100040017,1968
1021,888,1058,909,177,128,15,1214,0.12005964060282617,0,1,66290.0,0.0013214883789154017,1946
1022,902,1052,913,177,128,14,1218,0.11989659868776778,0,1,66754.0,0.0013182163466922484,1954
1023,913,1027,906,177,128,14,1211,0.1214833374897923,0,1,67544.0,0.0013239519282609142,1940
1024,944,1004,910,177,128,15,1215,0.12157931654730837,0,1,67438.0,0.0013206690124134752,1948
1025,893,1045,905,177,128,15,1210,0.12266129434295303,0.0005524861878453039,1,68074.0,0.001324774931813055,1938
1026,959,997,914,177,128,14,1219,0.12041004738830861,0,1,67721.0,0.0013174005988919287,1956
1027,900,994,883,177,128,15,1188,0.12207041711865707,0,1,65161.0,0.0013431138115215621,1894
1028,907,999,889,177,128,15,1194,0.11997215032645567,0.0005624296962879641,1,64462.0,0.0013380678188371306,1906
1029,917,1035,912,177,128,14,1217,0.1214572417268967,0,1,68140.0,0.001319032997448428,1952
102,872,1038,891,177,128,15,1196,0.12112805323889513,0,1,65511.0,0.0013363932774520368,1910
1030,930,1020,911,177,128,14,1216,0.1223865347332524,0,1,68797.0,0.0013198505523066926,1950
1031,999,953,912,177,128,14,1217,0.12160676330741511,0,1,68866.0,0.001319032997448428,1952
1032,985,1067,962,177,128,15,1267,0.12264132666987163,0,1,74013.0,0.0012792841993438994,2052
1033,953,977,901,177,128,15,1206,0.12153686307410638,0,1,67084.0,0.001328076078803768,1930
1034,935,1005,906,177,128,14,1211,0.12132049162874399,0,1,67215.0,0.0013239519282609142,1940
1035,916,1056,922,177,128,14,1227,0.1213040465311879,0.0005422993492407809,1,68993.0,0.0013109069854324465,1972
1036,915,1047,917,177,128,15,1222,0.12191168799409985,0.0005452562704471102,1,68947.0,0.0013149587617672725,1962
1037,914,1016,901,177,128,14,1206,0.12269090721957708,0,1,68026.0,0.001328076078803768,1930
1038,921,989,891,177,128,15,1196,0.12166815625383849,0,1,66394.0,0.0013363932774520368,1910
1039,950,992,907,177,128,15,1212,0.12157573735590647,0,1,67075.0,0.0013231298356920745,1942
103,929,1047,924,177,128,14,1229,0.121403138339133,0.0005411255411255411,1,69154.0,0.0013092925314667522,1976
1040,936,972,890,177,128,15,1195,0.1203053586317636,0,1,64801.0,0.001337230083471752,1908
1041,977,1029,939,177,128,14,1244,0.122302868738888,0,1,71166.0,0.0012972970176396178,2006
1042,940,1000,906,177,128,14,1211,0.12170680399923113,0,1,67335.0,0.0013239519282609142,1940
1043,927,1041,920,177,128,14,1225,0.12152313700240365,0,1,68607.0,0.0013125250100040017,1968
1044,914,1020,903,177,128,15,1208,0.12158647737843517,0,1,66837.0,0.0013264236764568714,1934
1045,961,993,913,177,128,14,1218,0.12038928873912903,0,1,67439.0,0.0013182163466922484,1954
