sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,3710,7407,5338,494,441,73,6273,0.07288761894595992,0,2,193787.0,0.0002825571285424739,11117
1000,3797,7452,5404,494,441,73,6339,0.07245641026068535,0,2,196635.0,0.0002799889746718623,11249
1001,3639,7312,5255,494,441,73,6190,0.0726714741583211,0,2,190785.0,0.00028585292943783996,10951
1002,3672,7387,5309,494,441,73,6244,0.07137067755204143,0,2,193904.0,0.0002837001913635905,11059
1003,3642,7345,5273,494,441,73,6208,0.07236972449884847,0,2,191955.0,0.00028513180994520654,10987
1004,3666,7411,5318,494,441,73,6253,0.07284253397259723,0,2,193105.0,0.0002833444808935729,11077
1005,3750,7377,5343,494,441,71,6278,0.07265202847341067,0,2,194306.0,0.00028236095886097006,11127
1006,3645,7452,5328,494,441,73,6263,0.07186707708738868,0,2,194384.0,0.0002829502689340697,11097
1007,3642,7287,5244,494,441,73,6179,0.07070318486069223,0,2,191146.0,0.0002862953714245627,10929
1008,3665,7306,5265,494,441,73,6200,0.07218068452537504,0,2,190908.0,0.0002854518678871202,10971
1009,3671,7534,5382,494,441,73,6317,0.07183760894430317,0,2,196547.0,0.00028083993422054523,11205
100,3709,7212,5240,494,441,73,6175,0.07389028701740323,0,2,189655.0,0.0002864565915049266,10921
1010,3699,7322,5290,494,441,73,6225,0.07307191911238502,0,2,191581.0,0.0002844540114184243,11021
1011,3715,7544,5409,494,441,73,6344,0.07178068935220826,0,2,197622.0,0.00027979627828951856,11259
1012,3741,7374,5337,494,441,71,6272,0.07200867600981856,0,2,194309.0,0.0002825963944818878,11115
1013,3613,7386,5279,494,441,73,6214,0.0731233070410744,0,2,192101.0,0.00028489222660978874,10999
1014,3656,7437,5326,494,441,73,6261,0.07227179141013325,0,2,194376.0,0.0002830290254647029,11093
1015,3488,7677,5362,494,441,73,6297,0.07220659195740944,9.324878776575905e-05,2,195299.0,0.00028161793831353913,11165
1016,3622,7159,5170,494,441,73,6105,0.0721699094047384,0,2,187334.0,0.0002893069406830875,10781
1017,3635,7508,5351,494,441,73,6286,0.07101986655850355,0,2,195838.0,0.0002820476410687487,11143
1018,3595,7280,5217,494,441,73,6152,0.07153043658941656,0,2,190001.0,0.00028738706150944614,10875
1019,3726,7397,5341,494,441,73,6276,0.07207728496161281,0,2,194293.0,0.0002824393947473332,11123
101,3679,7468,5353,494,441,73,6288,0.07297739557084978,0,2,195231.0,0.00028196941789086977,11147
1020,3708,7255,5261,494,441,73,6196,0.07339862431229495,0,2,191334.0,0.0002856121604138367,10963
1021,3652,7179,5195,494,441,73,6130,0.07222146542211585,0,2,188784.0,0.0002882826197067561,10831
1022,3586,7351,5248,494,441,73,6183,0.07253630733408659,0,2,191143.0,0.00028613432862139134,10937
1023,3624,7281,5232,494,441,73,6167,0.0732831178917236,0,2,189654.0,0.00028677956463259266,10905
