sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,76876,136095,104091,4962,4789,40,113842,0.03624980161727003,4.8034892545945375e-06,1,283199532.0,1.6433090658519086e-05,212971
1000,74959,139404,104787,4962,4789,40,114538,0.036022839965128756,0,1,281539521.0,1.6340089358209853e-05,214363
1001,74367,137564,103571,4962,4789,40,113322,0.036352644218633996,0,1,280040801.0,1.6503264429430966e-05,211931
1002,73947,138092,103625,4962,4789,40,113376,0.03646068798337658,4.825090470446321e-06,1,282274212.0,1.6495949433343882e-05,212039
1003,73848,137227,103143,4962,4789,40,112894,0.03658512628146111,4.847638715181835e-06,1,280540335.0,1.6561471549731394e-05,211075
1004,74467,137634,103656,4962,4789,40,113407,0.03641818091313498,4.823647449255229e-06,1,281810676.0,1.649175299660943e-05,212101
1005,73344,137991,103273,4962,4789,40,113024,0.03649898196071104,0,1,281271703.0,1.654374868968281e-05,211335
1006,73796,137957,103482,4962,4789,40,113233,0.03648639865421625,4.831758180166599e-06,1,281261940.0,1.6515334715673235e-05,211753
1007,74347,137856,103707,4962,4789,40,113458,0.036432009410175395,4.821275323748638e-06,1,282615965.0,1.6484853799249532e-05,212203
1008,74260,136387,102929,4962,4789,40,112680,0.03669244931781918,4.857717455721905e-06,1,281714350.0,1.659072848592615e-05,210647
1009,74077,138762,104025,4962,4789,40,113776,0.036324214636653154,0,1,282631993.0,1.6441964428766053e-05,212839
100,73999,136846,103028,4962,4789,40,112779,0.0365594856364302,3.8824397251232675e-05,1,280398634.0,1.6577180968946023e-05,210845
1010,74338,136887,103218,4962,4789,40,112969,0.03656260555465353,4.844116336297933e-06,1,280805823.0,1.655124221744175e-05,211225
1011,74164,138981,104178,4962,4789,40,113929,0.03623713971627264,0,1,281717778.0,1.6421407959858736e-05,213145
1012,75359,135520,103045,4962,4789,40,112796,0.036579308114461244,0,1,281580630.0,1.6574856840636746e-05,210879
1013,73691,138644,103773,4962,4789,40,113524,0.03635352063911432,4.818208975359679e-06,1,280534497.0,1.6475933942880024e-05,212335
1014,73827,137356,103197,4962,4789,40,112948,0.03648216569587444,4.845102086300958e-06,1,279675099.0,1.6554105163650474e-05,211183
1015,75044,136271,103263,4962,4789,40,113014,0.03647270347656216,0,1,280273134.0,1.6545110647365085e-05,211315
1016,74069,138382,103831,4962,4789,40,113582,0.03636212125229368,4.815517523668268e-06,1,281569128.0,1.6468103202124444e-05,212451
1017,74188,136637,103018,4962,4789,40,112769,0.03668299478230265,0,1,282416828.0,1.6578548406021495e-05,210825
