sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,9136,9888,9031,1187,962,35,11180,0.11142300892241024,0.00011072970878086591,3,1005318.0,0.0001522148687618828,19024
1000,8494,10786,9159,1187,962,35,11308,0.11251294258648578,0,3,1016887.0,0.00015079045010918073,19280
1001,8814,10346,9099,1187,962,36,11248,0.11288828920455475,0,3,973734.0,0.00015145496045665917,19160
1002,9201,10061,9150,1187,962,35,11299,0.11241444835770757,0,3,989735.0,0.00015088977101932816,19262
1003,8626,10858,9261,1187,962,36,11410,0.11230582721438157,0,3,1011054.0,0.00014967349377219532,19484
1004,9528,10194,9380,1187,962,35,11529,0.11103588199925224,0.00010660980810234541,3,1028231.0,0.00014839024349723887,19722
1005,9204,11262,9752,1187,962,35,11901,0.10818256084306173,0,3,1107629.0,0.00014451154800210984,20466
1006,9391,10505,9467,1187,962,35,11616,0.11066021340609523,0,3,1043563.0,0.00014746533941931744,19896
1007,9268,9732,9019,1187,962,35,11168,0.11163158592231906,0.00011087703736556159,3,955718.0,0.00015234972671987127,19000
1008,8952,10712,9351,1187,962,35,11500,0.11183130391231086,0,3,985851.0,0.00014870102126082798,19664
1009,8925,10369,9166,1187,962,35,11315,0.11176292743461094,0,3,991568.0,0.00015071328691430754,19294
100,9583,10217,9419,1187,962,35,11568,0.1117816966326114,0,3,1062928.0,0.00014797425929466678,19800
1010,9421,10069,9264,1187,962,35,11413,0.11217795046903221,0,3,1033027.0,0.00014964088184592447,19490
1011,9295,10151,9242,1187,962,35,11391,0.1115166164325345,0.00016230253191949794,3,1006948.0,0.00014988035237837365,19446
1012,9101,11343,9741,1187,962,35,11890,0.10762056620328753,0,3,1058598.0,0.0001446234410659124,20444
1013,8524,10470,9016,1187,962,35,11165,0.11339190561978262,0,3,964144.0,0.00015238347686240543,18994
1014,9322,10572,9466,1187,962,35,11615,0.10980759683366371,0,3,1041415.0,0.00014747590765994787,19894
1015,8572,10764,9187,1187,962,36,11336,0.11279428499564977,0,3,985619.0,0.00015048224984972008,19336
1016,8499,10739,9138,1187,962,36,11287,0.11170962753866806,0,3,980134.0,0.00015102239365830922,19238
1017,8898,9708,8822,1187,962,35,10971,0.11276146584738414,5.667649059170256e-05,3,925024.0,0.0001545966838737113,18606
1018,8997,9743,8889,1187,962,36,11038,0.11319743270087425,5.624929688378895e-05,3,935685.0,0.00015382543584188145,18740
1019,9697,10319,9527,1187,962,35,11676,0.11005316863683391,0.0001574472551695182,3,1126457.0,0.00014683389415723463,20016
101,8149,10829,9008,1187,962,35,11157,0.11175940939171898,0,3,1012794.0,0.00015247354706882018,18978
1020,9476,11006,9760,1187,962,35,11909,0.10800533430921716,0,3,1141761.0,0.0001444302758013243,20482
1021,8440,10962,9220,1187,962,36,11369,0.11295518122855566,0,3,1007626.0,0.00015012055759364902,19402
1022,8443,10275,8878,1187,962,36,11027,0.11291525186400864,0,3,928804.0,0.0001539515551187938,18718
1023,9352,11802,10096,1187,962,35,12245,0.10627950498162582,0,3,1174779.0,0.0001410945990129381,21154
1024,9306,10160,9252,1187,962,35,11401,0.11085923037016492,0,3,1003393.0,0.0001497714112489363,19466
1025,8761,10675,9237,1187,962,35,11386,0.11060001728514385,0,3,1011583.0,0.00014993487984728181,19436
1026,9167,10081,9143,1187,962,34,11292,0.112064090941896,0,3,966018.0,0.00015096710714739838,19248
1027,9172,10180,9195,1187,962,36,11344,0.1125906506609735,0,3,983915.0,0.0001503944138578225,19352
1028,9136,10136,9155,1187,962,36,11304,0.1121990585718442,0,3,990267.0,0.00015083457729595868,19272
1029,8625,11141,9402,1187,962,35,11551,0.11085761730937302,0,3,1058069.0,0.00014815531047891883,19766
102,8883,11273,9597,1187,962,35,11746,0.10932757534559567,0,3,1062747.0,0.00014610373959900627,20156
1030,8562,10690,9145,1187,962,35,11294,0.11139259571176781,0,3,957034.0,0.00015094500337775902,19252
1031,9225,10165,9214,1187,962,35,11363,0.11107663359942234,0.00021706099413935315,3,1005678.0,0.00015018619602810414,19390
1032,8823,10893,9377,1187,962,35,11526,0.10763512821166461,0,3,1111952.0,0.00014842233516753408,19716
1033,10407,11097,10271,1187,962,35,12420,0.10247901132373387,0.00014604225489241553,3,1363564.0,0.0001394154896677329,21504
1034,9092,9996,9063,1187,962,35,11212,0.11166577953827957,5.516936996579499e-05,3,975893.0,0.00015185635966765096,19088
1035,9210,10758,9503,1187,962,35,11652,0.10954393039966752,0,3,1080890.0,0.00014708584837022428,19968
1036,8712,11002,9376,1187,962,35,11525,0.11016053473839581,0,3,1019841.0,0.00014843303534790357,19714
1037,8369,10679,9043,1187,962,35,11192,0.11177227910550952,0,3,952122.0,0.00015208023858138327,19048
1038,9312,10418,9384,1187,962,36,11533,0.11017534152231039,0,3,1024041.0,0.00014834747529138587,19730
1039,9482,10220,9370,1187,962,35,11519,0.11144622884263258,0.00026680896478121667,3,1037094.0,0.00014849726749802727,19702
103,9307,10793,9569,1187,962,35,11718,0.10815924700814263,0,3,1129003.0,0.00014639496285959793,20100
1040,9492,10748,9639,1187,962,35,11788,0.10838841012547054,0,3,1091105.0,0.00014566898611420464,20240
1041,10266,11226,10265,1187,962,35,12414,0.10499575196050803,0,3,1352539.0,0.0001394724196794416,21492
1042,9123,9747,8954,1187,962,36,11103,0.11230216176274142,5.584096493187402e-05,3,944192.0,0.00015308418885653217,18870
1043,8626,10812,9238,1187,962,35,11387,0.11151481620057524,0,3,1010681.0,0.00014992397131585288,19438
1044,9064,9882,8992,1187,962,35,11141,0.112412535941871,0,3,962712.0,0.00015265399271650464,18946
1045,9518,10544,9550,1187,962,34,11699,0.11038531053473843,0,3,1034398.0,0.00014659321446885404,20062
1046,9236,9998,9136,1187,962,35,11285,0.11179442954317069,0.00010945709281961471,3,1013813.0,0.00015104451910374702,19234
1047,8225,10623,8943,1187,962,36,11092,0.11254214470174942,5.590965000559097e-05,3,944728.0,0.00015320915133347723,18848
1048,9116,9850,9002,1187,962,35,11151,0.11196420588554667,0,3,947366.0,0.00015254116645011225,18966
