sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,66007,99462,77336,11302,10797,40,99435,0.0829426880433747,2.586117720078618e-05,2,297416026.0,1.6735644955253898e-05,165469
1000,65520,98809,76766,11302,10797,41,98865,0.0833689752825127,0,2,296591090.0,1.681254515822067e-05,164329
1001,63920,100523,76823,11302,10797,41,98922,0.08331585991753808,0,2,296769288.0,1.6804825410674824e-05,164443
1002,73792,90437,76716,11302,10797,43,98815,0.08342223458277918,6.517545231763909e-06,2,296648765.0,1.6819322328018005e-05,164229
1003,56232,108119,76777,11302,10797,43,98876,0.08339691419855261,0,2,296743975.0,1.6811054866049643e-05,164351
1004,74590,89725,76759,11302,10797,41,98858,0.08337152207251759,0,2,296553990.0,1.681349365459261e-05,164315
1005,56306,108597,77053,11302,10797,37,99152,0.08308089302795543,0,2,296779022.0,1.6773742786113714e-05,164903
1006,64490,99909,76801,11302,10797,43,98900,0.083333677304011,6.510331896720095e-06,2,296636468.0,1.680780417676679e-05,164399
1007,74667,89506,76688,11302,10797,43,98787,0.08346436274041216,0,2,296692358.0,1.6823119774592982e-05,164173
1008,64518,100007,76864,11302,10797,43,98963,0.08330306710403883,6.504995836802665e-06,2,296835112.0,1.6799276707455343e-05,164525
1009,73065,91186,76727,11302,10797,43,98826,0.08343861807226945,0,2,296767256.0,1.681783091244819e-05,164251
100,64568,99921,76846,11302,10797,42,98945,0.0832897480239126,0,2,296759443.0,1.680171230152102e-05,164489
1010,64633,99764,76800,11302,10797,42,98899,0.08334302539297414,0,2,296753172.0,1.6807939598685956e-05,164397
1011,74345,90030,76789,11302,10797,43,98888,0.08332546123150238,6.5113492817981746e-06,2,296589176.0,1.6809429374469764e-05,164375
1012,56895,107832,76965,11302,10797,37,99064,0.08315775249319465,0,2,296706095.0,1.6785622557693293e-05,164727
1013,63788,100695,76843,11302,10797,43,98942,0.08328582316662278,0,2,296786199.0,1.6802118298071394e-05,164483
1014,64474,99525,76601,11302,10797,41,98700,0.083551184153275,0,2,296585246.0,1.6834929217365134e-05,163999
1015,56826,107367,76698,11302,10797,43,98797,0.08344805229480874,0,2,296752804.0,1.6821763359676276e-05,164193
1016,66466,97655,76662,11302,10797,42,98761,0.08348872059212031,0,2,296662102.0,1.6826647410504856e-05,164121
1017,74448,89525,76588,11302,10797,44,98687,0.08355840608989232,0,2,296604607.0,1.683669517760268e-05,163973
1018,74167,89790,76580,11302,10797,43,98679,0.0835744802567318,0,2,296593408.0,1.6837782094475582e-05,163957
1019,66042,99457,77351,11302,10797,42,99450,0.0829349363279323,1.2928081084924564e-05,2,297424484.0,1.673363015534853e-05,165499
101,67019,97712,76967,11302,10797,42,99066,0.08316978058099526,6.49629061805709e-06,2,296764364.0,1.678535238809479e-05,164731
1020,74227,90524,76977,11302,10797,43,99076,0.08315461820092085,1.9486340075607e-05,2,296833510.0,1.678400166211036e-05,164751
1021,56857,107758,76909,11302,10797,43,99008,0.08324511678207829,0,2,296856089.0,1.6793190610297423e-05,164615
1022,56071,108444,76859,11302,10797,43,98958,0.08327639165600842,0,2,296700551.0,1.6799953195125142e-05,164515
1023,56863,107586,76826,11302,10797,43,98925,0.08334341602019786,0,2,296786625.0,1.6804419291786855e-05,164449
1024,75496,89013,76856,11302,10797,42,98955,0.08328549594024448,6.505672946809618e-06,2,296700185.0,1.6800359112182257e-05,164509
1025,74815,89692,76855,11302,10797,42,98954,0.08327309413409874,0,2,296726077.0,1.680049442194408e-05,164507
1026,65120,98891,76607,11302,10797,43,98706,0.08352816876235637,6.526818698030206e-06,2,296588586.0,1.6834114275562823e-05,164011
1027,74326,89801,76665,11302,10797,42,98764,0.08350492103293318,0,2,296795594.0,1.6826240305018913e-05,164127
1028,73518,90571,76646,11302,10797,43,98745,0.0835036613127463,1.3046995276987709e-05,2,296642603.0,1.6828818950780524e-05,164089
1029,56158,108267,76814,11302,10797,42,98913,0.08332663211982577,6.50923008826516e-06,2,296737641.0,1.6806043877472224e-05,164425
102,55957,108654,76907,11302,10797,40,99006,0.08322056536853803,0,2,296595905.0,1.679346101593203e-05,164611
1030,57048,107463,76857,11302,10797,39,98956,0.08330494148509916,0,2,296764367.0,1.680022380445852e-05,164511
1031,75992,88557,76876,11302,10797,40,98975,0.08325850079059731,0,2,296700478.0,1.6797653344889673e-05,164549
1032,67112,98249,77282,11302,10797,43,99381,0.08290172989298668,1.2939623715742346e-05,2,297197656.0,1.674290199664561e-05,165361
1033,65394,100483,77540,11302,10797,41,99639,0.08272395746773811,6.4482847562548366e-06,2,297416050.0,1.6708282535554224e-05,165877
1034,73399,90620,76611,11302,10797,42,98710,0.0835189290681761,0,2,296588673.0,1.6833571021993212e-05,164019
1035,63985,100610,76899,11302,10797,40,98998,0.0832442453968876,0,2,296818399.0,1.67945427199142e-05,164595
1036,65501,99400,77052,11302,10797,41,99151,0.08311903383233611,0,2,296919812.0,1.6773877695156842e-05,164901
1037,65729,98192,76562,11302,10797,42,98661,0.08357631601610564,0,2,296601712.0,1.6840228137016973e-05,163921
1038,65564,98993,76880,11302,10797,43,98979,0.08326704551744493,1.3007284079084288e-05,2,296731542.0,1.6797112289230626e-05,164557
1039,75538,88975,76858,11302,10797,42,98957,0.08328819746980967,0,2,296737620.0,1.680008849877283e-05,164513
103,64181,100762,77073,11302,10797,42,99172,0.08309042425518258,1.2974712285755063e-05,2,296857655.0,1.6771045031516004e-05,164943
1040,64490,100049,76871,11302,10797,40,98970,0.08324277942303505,0,2,296562651.0,1.6798329710302406e-05,164539
1041,65381,100644,77614,11302,10797,41,99713,0.08267214358977445,2.576854691163965e-05,2,297550995.0,1.66983776493736e-05,166025
1042,74623,89644,76735,11302,10797,42,98834,0.08339931574599448,0,2,296566618.0,1.6816746401876022e-05,164267
1043,56865,107492,76780,11302,10797,42,98879,0.08338391683697283,0,2,296822858.0,1.6810648465599865e-05,164357
1044,74409,89864,76738,11302,10797,42,98837,0.08339952908930132,0,2,296592537.0,1.6816339744122276e-05,164273
1045,64749,99612,76782,11302,10797,43,98881,0.08335920028234609,0,2,296673697.0,1.681037754217264e-05,164361
1046,75130,88981,76657,11302,10797,42,98756,0.08348170700963675,0,2,296554510.0,1.6827325960568426e-05,164111
1047,65885,98228,76658,11302,10797,42,98757,0.08348724088141411,0,2,296572337.0,1.6827190246463487e-05,164113
1048,73646,90491,76670,11302,10797,43,98769,0.08347131222054995,0,2,296600423.0,1.6825561836792482e-05,164137
1049,73923,90536,76831,11302,10797,41,98930,0.08330677846756965,0,2,296752436.0,1.6803742467759147e-05,164459
104,75415,88896,76757,11302,10797,40,98856,0.08337429676812742,0,2,296699326.0,1.6813764671933717e-05,164311
1050,73546,90903,76826,11302,10797,42,98925,0.0833307596879167,1.3016426730533934e-05,2,296786338.0,1.6804419291786855e-05,164449
1051,55894,108151,76624,11302,10797,42,98723,0.08352676756399521,0,2,296657979.0,1.6831805674190454e-05,164045
1052,66757,98326,77143,11302,10797,43,99242,0.08299640339632733,6.481469478760225e-06,2,296908608.0,1.6761609280528164e-05,165083
1053,73389,90578,76585,11302,10797,42,98684,0.08355334360763125,0,2,296656062.0,1.68371027560613e-05,163967
1054,74393,89590,76593,11302,10797,42,98692,0.08355912347125734,0,2,296724909.0,1.6836015921151356e-05,163983
1055,73565,90610,76689,11302,10797,43,98788,0.0834556724169542,6.5198398727327255e-06,2,296692926.0,1.6822984123899806e-05,164175
1056,73488,90725,76708,11302,10797,43,98807,0.08343094761062268,6.518224956979716e-06,2,296589486.0,1.6820407149211638e-05,164213
1057,64971,100226,77200,11302,10797,41,99299,0.08308973493969242,6.476683937823834e-06,2,297389450.0,1.6753933218653227e-05,165197
1058,66866,97577,76823,11302,10797,43,98922,0.08332268112838727,0,2,296711733.0,1.6804825410674824e-05,164443
1059,74566,89731,76750,11302,10797,43,98849,0.08340279953915716,0,2,296684852.0,1.6814713296956354e-05,164297
105,66378,100803,78192,11302,10797,43,100291,0.08213451773706552,1.918354818907305e-05,2,297865856.0,1.6621389459335613e-05,167181
1060,57106,107897,77103,11302,10797,40,99202,0.08304429489805026,0,2,296903054.0,1.6766999921477604e-05,165003
1061,56601,107736,76770,11302,10797,43,98869,0.08336939620158083,0,2,296708749.0,1.6812003205213216e-05,164337
1062,74548,90549,77150,11302,10797,42,99249,0.08298836812685093,6.480881399870382e-06,2,296853739.0,1.6760666251785637e-05,165097
1063,74090,90903,77098,11302,10797,43,99197,0.08306820296705447,0,2,296926174.0,1.6767673979700446e-05,164993
1064,65792,99469,77232,11302,10797,43,99331,0.08302090677253336,0,2,297266548.0,1.674962673344171e-05,165261
1065,73541,90524,76634,11302,10797,41,98733,0.08349689105705574,0,2,296620892.0,1.6830447949814144e-05,164065
1066,75353,88776,76666,11302,10797,42,98765,0.08348346605298987,0,2,296646824.0,1.6826104607282056e-05,164129
1067,56098,108199,76750,11302,10797,42,98849,0.08339725884311457,6.514657980456026e-06,2,296740943.0,1.6814713296956354e-05,164297
1068,66060,98119,76691,11302,10797,43,98790,0.08343490182248592,0,2,296715430.0,1.6822712828648074e-05,164179
1069,66917,97342,76731,11302,10797,40,98830,0.08341485869516951,0,2,296611380.0,1.6817288640816708e-05,164259
106,66866,97461,76765,11302,10797,43,98864,0.0833912006495174,0,2,296735295.0,1.6812680651576806e-05,164327
1070,65718,98201,76561,11302,10797,42,98660,0.08358154731432,0,2,296604613.0,1.684036404774279e-05,163919
1071,75473,88746,76711,11302,10797,43,98810,0.0834384347376276,0,2,296704534.0,1.6820000325934302e-05,164219
1072,65137,99046,76693,11302,10797,43,98792,0.08344910051471692,0,2,296574774.0,1.6822441541575572e-05,164183
1073,65249,99198,76825,11302,10797,43,98924,0.08331320811050578,6.508298080052066e-06,2,296740672.0,1.680455466271015e-05,164447
1074,64585,99910,76849,11302,10797,42,98948,0.08328051243966184,1.3012531067417923e-05,2,296647206.0,1.6801306323317075e-05,164495
1075,67018,97535,76878,11302,10797,41,98977,0.08324900153517091,6.503811233382762e-06,2,296718079.0,1.6797382812985767e-05,164553
1076,56940,107669,76906,11302,10797,43,99005,0.0832490504243738,0,2,296767842.0,1.679359622180333e-05,164609
1077,74879,89272,76677,11302,10797,42,98776,0.08345643142609158,0,2,296535178.0,1.682461206719218e-05,164151
1078,65495,98872,76785,11302,10797,43,98884,0.08337540253108416,6.5116884808230776e-06,2,296841430.0,1.6809971172339926e-05,164367
1079,75087,89214,76752,11302,10797,43,98851,0.08337815420452345,0,2,296699113.0,1.681444225102421e-05,164301
107,66147,99488,77419,11302,10797,38,99518,0.08285979386383394,1.9375088802490345e-05,2,297438401.0,1.672450208871275e-05,165635
1080,73839,90576,76809,11302,10797,41,98908,0.08333107001431256,0,2,296743243.0,1.6806720874861677e-05,164415
1081,65261,100628,77546,11302,10797,43,99645,0.08260394655911965,3.2238929151729296e-05,2,297119559.0,1.6707479026760327e-05,165889
1082,75219,89176,76799,11302,10797,42,98898,0.08335498129246893,6.510501438820818e-06,2,296667538.0,1.6808075022645484e-05,164395
1083,74508,90429,77070,11302,10797,42,99169,0.08306752710113191,6.48760866744518e-06,2,296802701.0,1.6771449642951123e-05,164937
1084,65136,100493,77416,11302,10797,42,99515,0.08285862874451376,6.458613206572284e-06,2,297392657.0,1.6724904600948864e-05,165629
1085,64676,99795,76837,11302,10797,42,98936,0.08330046859154562,0,2,296737917.0,1.6802930346215823e-05,164471
1086,74531,89876,76805,11302,10797,43,98904,0.08334232999758506,6.509992839007877e-06,2,296722486.0,1.680726250949295e-05,164407
1087,65352,100675,77615,11302,10797,39,99714,0.0826484814831174,1.2884107453456163e-05,2,297419781.0,1.6698243874877675e-05,166027
1088,74894,89873,76985,11302,10797,41,99084,0.08319543654773583,0,2,296889047.0,1.6782921227713033e-05,164767
1089,64549,99796,76774,11302,10797,43,98873,0.0833702429176608,0,2,296654245.0,1.681146128487113e-05,164345
108,75072,89185,76730,11302,10797,42,98829,0.08340448704315254,1.3032712107389548e-05,2,296665270.0,1.6817424205659713e-05,164257
1090,66976,97505,76842,11302,10797,43,98941,0.08328803038112514,6.506858228572916e-06,2,296643616.0,1.680225363433203e-05,164481
1091,55942,108863,77004,11302,10797,42,99103,0.08314899038515412,0,2,296887900.0,1.678035571740619e-05,164805
1092,74425,90774,77201,11302,10797,43,99300,0.08297459329847934,6.47660004404088e-06,2,297052596.0,1.6753798609623046e-05,165199
1093,73787,90604,76797,11302,10797,40,98896,0.08336002044616646,0,2,296747348.0,1.68083458766858e-05,164391
1094,74020,90129,76676,11302,10797,43,98775,0.08346249849271126,6.520945276227242e-06,2,296687438.0,1.6824747742427194e-05,164149
1095,65975,98144,76661,11302,10797,43,98760,0.08350200812351234,0,2,296714519.0,1.6826783116425427e-05,164119
1096,65360,100419,77491,11302,10797,37,99590,0.08278967469681613,6.45236220980501e-06,2,297479730.0,1.6714847233899576e-05,165779
1097,64709,99494,76703,11302,10797,42,98802,0.08343798033333406,0,2,296631535.0,1.682108522889e-05,164203
1098,74178,89667,76524,11302,10797,43,98623,0.08362934126504608,0,2,296594629.0,1.684539418617506e-05,163845
1099,64385,100022,76805,11302,10797,42,98904,0.08334019629834838,6.509992839007877e-06,2,296737463.0,1.680726250949295e-05,164407
109,65585,99330,77059,11302,10797,39,99158,0.08306840713706032,0,2,296751521.0,1.67729333744854e-05,164915
10,55982,108541,76863,11302,10797,43,98962,0.08328271789190288,0,2,296815349.0,1.679941200091362e-05,164523
1100,66034,98257,76747,11302,10797,43,98846,0.08339839336874577,6.514912635021564e-06,2,296717680.0,1.6815119881172674e-05,164291
1101,65247,99272,76861,11302,10797,43,98960,0.08327855475014037,1.3010499473074771e-05,2,296719984.0,1.6799682593943614e-05,164519
1102,66499,98164,76933,11302,10797,43,99032,0.08322982247196632,0,2,296876856.0,1.67899463777997e-05,164663
1103,65377,99152,76866,11302,10797,43,98965,0.08327697119072826,0,2,296743043.0,1.6799006126652028e-05,164529
1104,64758,100083,77022,11302,10797,42,99121,0.08315528575706405,0,2,296984648.0,1.6777925910643173e-05,164841
1105,74526,89731,76730,11302,10797,42,98829,0.08340088370383847,0,2,296530203.0,1.6817424205659713e-05,164257
1106,74679,89662,76772,11302,10797,42,98871,0.08336334054206307,0,2,296523128.0,1.6811732240959164e-05,164341
1107,64192,100489,76942,11302,10797,43,99041,0.08318768706178487,0,2,296707800.0,1.678873009283422e-05,164681
1108,65236,98717,76578,11302,10797,43,98677,0.08356423091098406,0,2,296552224.0,1.6838053844186387e-05,163953
1109,65253,99208,76832,11302,10797,43,98931,0.08330959119124068,0,2,296722498.0,1.6803607109071073e-05,164461
110,73641,90614,76729,11302,10797,43,98828,0.08340603015302982,0,2,296721977.0,1.6817559772545935e-05,164255
