sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,34241,52704,41382,4561,4181,55,50124,0.06997215315574433,1.2082547967715432e-05,1,14624604.0,3.460683112488773e-05,86945
1000,33971,52678,41234,4561,4181,62,49976,0.06929587106164918,0,1,14039026.0,3.4693591393103306e-05,86649
1001,33536,52655,41005,4561,4181,63,49747,0.06963344159496136,0,1,13980247.0,3.4828667423746396e-05,86191
1002,33400,52789,41004,4561,4181,62,49746,0.06986642089566059,1.2193932299287875e-05,1,14241257.0,3.482925950530878e-05,86189
1003,34474,51779,41036,4561,4181,63,49778,0.0696454236197804,0,1,14067098.0,3.48103225426989e-05,86253
1004,34726,51727,41136,4561,4181,65,49878,0.06986347485085352,1.2154803578374174e-05,1,14168828.0,3.475127264492119e-05,86453
1005,32543,54586,41474,4561,4181,49,50216,0.06949232423446362,1.2055745768433235e-05,1,14528869.0,3.455311033037467e-05,87129
1006,33529,52874,41111,4561,4181,59,49853,0.06977207440013576,0,1,14304409.0,3.4766016952232246e-05,86403
1007,34216,52195,41115,4561,4181,63,49857,0.06987981452583582,0,1,14258245.0,3.476365705017763e-05,86411
1008,33035,53332,41093,4561,4181,62,49835,0.06966800487575563,1.2167522449078918e-05,1,14196766.0,3.4776640346220344e-05,86367
1009,32945,53732,41248,4561,4181,55,49990,0.06942324445703392,1.2121799844840962e-05,1,14073966.0,3.4685366327701515e-05,86677
100,33470,52841,41065,4561,4181,65,49807,0.06955424700260326,1.2175818823815902e-05,1,14074103.0,3.47931781080867e-05,86311
1010,33982,52249,41025,4561,4181,60,49767,0.06997093481595379,1.2187690432663011e-05,1,14434819.0,3.481682987777902e-05,86231
1011,35014,51857,41345,4561,4181,62,50087,0.06935684780704543,0,1,14136984.0,3.4628481816793516e-05,86871
1012,33886,52865,41285,4561,4181,49,50027,0.06936133350230472,0,1,14136050.0,3.466364680083909e-05,86751
1013,33364,52931,41057,4561,4181,54,49799,0.06985069600759887,0,1,14294462.0,3.47979059763379e-05,86295
1014,33687,52768,41137,4561,4181,64,49879,0.06971074877342481,0,1,14400042.0,3.475068312414966e-05,86455
1015,34140,52045,41002,4561,4181,63,49744,0.07010107043596255,0,1,14481290.0,3.483044372681566e-05,86185
1016,34747,51866,41216,4561,4181,62,49958,0.06966028461241401,0,1,14166406.0,3.4704172022143775e-05,86613
1017,33544,52663,41013,4561,4181,56,49755,0.06976708901307738,2.4382512861775534e-05,1,14097109.0,3.48239314717123e-05,86207
1018,33519,52542,40940,4561,4181,62,49682,0.06988384907049403,0,1,14081395.0,3.4867193242786326e-05,86061
