sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,486,454,425,132,90,10,647,0.14510025132169962,0,2,20681.0,0.002249008283049655,940
1000,464,494,434,132,90,10,656,0.14408448612438254,0,2,22137.0,0.002229566188791659,958
1001,475,463,424,132,90,10,646,0.14578808096833562,0,2,20718.0,0.0022511819905440757,938
1002,479,463,426,132,90,10,648,0.14409460053195086,0,2,21119.0,0.00224683725456523,942
1003,469,467,423,132,90,10,645,0.14618144317878706,0,2,20571.0,0.0022533583706485626,936
1004,478,470,429,132,90,10,651,0.14350385807029836,0,2,21661.0,0.002240340304856434,948
1005,465,479,427,132,90,10,649,0.14382819112950881,0,2,21226.0,0.002244668911335578,944
1006,478,458,423,132,90,10,645,0.14521085971515915,0,2,20595.0,0.0022533583706485626,936
1007,484,468,431,132,90,10,653,0.14197225352427614,0,2,21633.0,0.0022360225105459465,952
1008,475,457,421,132,90,10,643,0.14678329240586352,0,2,20117.0,0.002257719122299579,932
1009,473,483,433,132,90,10,655,0.1415653782223889,0,2,22372.0,0.00223171557298597,956
100,478,466,427,132,90,10,649,0.14559441440094942,0,2,20958.0,0.002244668911335578,944
1010,473,465,424,132,90,10,646,0.14737325732547904,0,2,20819.0,0.0022511819905440757,938
1011,485,467,431,132,90,10,653,0.14366172954217904,0,2,21785.0,0.0022360225105459465,952
1012,469,469,424,132,90,10,646,0.14420329109365274,0,2,20828.0,0.0022511819905440757,938
1013,469,479,429,132,90,10,651,0.1437807225852219,0,2,21682.0,0.002240340304856434,948
1014,471,465,423,132,90,10,645,0.1473906746249303,0,2,20547.0,0.0022533583706485626,936
1015,465,479,427,132,90,10,649,0.14507897220875532,0,2,21258.0,0.002244668911335578,944
1016,473,487,435,132,90,10,657,0.14154896386566973,0,2,22005.0,0.0022274195344693173,960
1017,474,474,429,132,90,10,651,0.1428394131991771,0,2,21922.0,0.002240340304856434,948
1018,476,466,426,132,90,10,648,0.14377754453956096,0,2,21179.0,0.00224683725456523,942
1019,474,476,430,132,90,10,652,0.14322984823675947,0,2,22216.0,0.002238180053339365,950
101,467,485,431,132,90,10,653,0.1432736288064144,0,2,22537.0,0.0022360225105459465,952
1020,482,484,438,132,90,10,660,0.14111621590285728,0,2,23030.0,0.0022209959994482,966
1021,464,478,426,132,90,10,648,0.14703394620102053,0,2,20975.0,0.00224683725456523,942
1022,470,472,426,132,90,10,648,0.14349355814229456,0,2,21090.0,0.00224683725456523,942
1023,456,490,428,132,90,10,650,0.14581343109506054,0,2,21003.0,0.002242503259452412,946
1024,473,467,425,132,90,10,647,0.14520383554709632,0,2,21432.0,0.002249008283049655,940
1025,467,473,425,132,90,10,647,0.1466381975003741,0,2,21472.0,0.002249008283049655,940
1026,471,457,419,132,90,10,641,0.14647768076096113,0,2,20089.0,0.0022620904836193447,928
1027,468,474,426,132,90,10,648,0.14711790775575592,0,2,21057.0,0.00224683725456523,942
1028,472,464,423,132,90,10,645,0.14451659995930474,0,2,21021.0,0.0022533583706485626,936
1029,470,474,427,132,90,10,649,0.14540609069772056,0,2,20988.0,0.002244668911335578,944
102,458,472,420,132,90,10,642,0.14795859990116655,0,2,20086.0,0.0022599034802513597,930
1030,463,479,426,132,90,10,648,0.14662529103533278,0,2,21355.0,0.00224683725456523,942
1031,467,477,427,132,90,9,649,0.1433497466492837,0,2,21837.0,0.002244668911335578,944
1032,469,491,435,132,90,9,657,0.14176288374764254,0,2,22858.0,0.0022274195344693173,960
1033,486,466,431,132,90,10,653,0.1433121211781237,0,2,21363.0,0.0022360225105459465,952
1034,471,473,427,132,90,10,649,0.14796791087133687,0,2,20957.0,0.002244668911335578,944
1035,485,477,436,132,90,10,658,0.14253174222862927,0,2,22210.0,0.002225275614957923,962
1036,466,470,423,132,90,10,645,0.14528397279163116,0,2,20779.0,0.0022533583706485626,936
1037,466,480,428,132,90,10,650,0.14611196937662888,0,2,21717.0,0.002242503259452412,946
1038,479,461,425,132,90,10,647,0.14419513826085625,0,2,20846.0,0.002249008283049655,940
1039,468,474,426,132,90,10,648,0.145314050612739,0,2,22023.0,0.00224683725456523,942
103,470,468,424,132,90,9,646,0.14744931311026138,0,2,21113.0,0.0022511819905440757,938
1040,474,468,426,132,90,10,648,0.14675021421447404,0,2,20783.0,0.00224683725456523,942
1041,483,463,428,132,90,9,650,0.14372460793198202,0,2,21555.0,0.002242503259452412,946
1042,477,465,426,132,90,10,648,0.1434322832618607,0,2,21250.0,0.00224683725456523,942
1043,468,484,431,132,90,10,653,0.1452698044904966,0,2,21343.0,0.0022360225105459465,952
1044,479,463,426,132,90,10,648,0.14381916531480196,0,2,21092.0,0.00224683725456523,942
1045,478,460,424,132,90,10,646,0.1446235453847801,0,2,20704.0,0.0022511819905440757,938
1046,469,487,433,132,90,10,655,0.1447781081428408,0,2,21902.0,0.00223171557298597,956
1047,470,474,427,132,90,10,649,0.14368672561951115,0,2,21295.0,0.002244668911335578,944
1048,468,472,425,132,90,10,647,0.14778536276758492,0,2,21203.0,0.002249008283049655,940
1049,462,488,430,132,90,9,652,0.14523704073542418,0,2,21968.0,0.002238180053339365,950
104,467,485,431,132,90,9,653,0.14562119148385286,0,2,21791.0,0.0022360225105459465,952
1050,467,473,425,132,90,9,647,0.14686523643639202,0,2,21208.0,0.002249008283049655,940
1051,472,468,425,132,90,10,647,0.1470497229973287,0,2,20561.0,0.002249008283049655,940
1052,473,491,437,132,90,10,659,0.14130840294604863,0,2,22910.0,0.0022231344350609515,964
1053,472,486,434,132,90,10,656,0.14469264393067505,0,2,21915.0,0.002229566188791659,958
1054,482,460,426,132,90,9,648,0.14338745612127032,0,2,21377.0,0.00224683725456523,942
