sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,84878,139553,103684,17322,17063,22,138069,0.09704203825804943,0,1,672600952.0,1.1773175861028684e-05,224431
1000,86996,137453,103693,17322,17063,22,138078,0.09702820024551687,0,1,672539914.0,1.177258526019415e-05,224449
1001,73254,151075,103633,17322,17063,22,138018,0.09708921474073863,0,1,672589462.0,1.1776523618321113e-05,224329
1002,90873,133382,103596,17322,17063,23,137981,0.09712348279207984,0,1,672580438.0,1.1778953468366123e-05,224255
1003,71362,152885,103592,17322,17063,23,137977,0.09712740636634533,0,1,672583904.0,1.1779216209525711e-05,224247
1004,88937,135578,103726,17322,17063,22,138111,0.09699852379463646,0,1,672547356.0,1.1770420185274052e-05,224515
1005,71458,152885,103640,17322,17063,22,138025,0.09708253228428927,0,1,672589587.0,1.1776064019610428e-05,224343
1006,73348,151031,103658,17322,17063,22,138043,0.09706589499945584,0,1,672592528.0,1.1774882344290272e-05,224379
1007,89027,135418,103691,17322,17063,22,138076,0.09703493579097634,0,1,672594626.0,1.1772716500162024e-05,224445
1008,87765,136572,103637,17322,17063,22,138022,0.0970838530381242,0,1,672574153.0,1.1776260986487798e-05,224337
1009,90980,133469,103693,17322,17063,22,138078,0.09702503389897059,0,1,672471662.0,1.177258526019415e-05,224449
100,75498,148909,103672,17322,17063,22,138057,0.09705262523707231,0,1,672595995.0,1.1773963412731078e-05,224407
1010,73283,151038,103629,17322,17063,22,138014,0.09709215090970169,0,1,672585515.0,1.1776786260817952e-05,224321
1011,88861,135574,103686,17322,17063,22,138071,0.09703934472722586,0,1,672593036.0,1.1773044611736669e-05,224435
1012,83757,140604,103649,17322,17063,22,138034,0.09707416421731024,0,1,672590104.0,1.177547315496368e-05,224361
1013,76260,147901,103549,17322,17063,22,137934,0.0971675851944936,0,1,672567949.0,1.1782041350911981e-05,224161
1014,73372,151037,103673,17322,17063,22,138058,0.09705185006151958,0,1,672594238.0,1.1773897779758935e-05,224409
1015,87790,136611,103669,17322,17063,22,138054,0.0970554259157774,0,1,672591199.0,1.1774160315644423e-05,224401
1016,91064,133453,103727,17322,17063,22,138112,0.09699668240238189,0,1,672531395.0,1.1770354588261532e-05,224517
1017,100317,124154,103704,17322,17063,22,138089,0.09701547301730082,4.8214147959577254e-06,1,672488943.0,1.1771863487986117e-05,224471
1018,103238,121109,103642,17322,17063,22,138027,0.09708021051248834,0,1,672585083.0,1.1775932711690922e-05,224347
1019,85010,139411,103679,17322,17063,22,138064,0.09704135016713362,0,1,672534607.0,1.1773503995914697e-05,224421
101,90974,133495,103703,17322,17063,22,138088,0.09702014807352256,0,1,672619768.0,1.1771929100311819e-05,224469
1020,101168,123379,103742,17322,17063,22,138127,0.09698833178516247,0,1,672664331.0,1.1769370712951998e-05,224547
1021,87701,136646,103642,17322,17063,22,138027,0.09708053859979403,0,1,672586342.0,1.1775932711690922e-05,224347
1022,71488,152909,103667,17322,17063,22,138052,0.0970571195671432,0,1,672590690.0,1.1774291587584162e-05,224397
1023,87780,136581,103649,17322,17063,22,138034,0.09707389389835895,0,1,672586768.0,1.177547315496368e-05,224361
1024,103171,121136,103622,17322,17063,22,138007,0.09709819139459577,0,1,672581530.0,1.1777245910848121e-05,224307
1025,103151,121220,103654,17322,17063,22,138039,0.09706856066335962,0,1,672567570.0,1.17751449201488e-05,224371
1026,85838,138483,103629,17322,17063,22,138014,0.09709236220585546,0,1,672584865.0,1.1776786260817952e-05,224321
1027,88790,135557,103642,17322,17063,22,138027,0.0970801460622653,0,1,672585634.0,1.1775932711690922e-05,224347
1028,88848,135491,103638,17322,17063,22,138023,0.09708395809476168,0,1,672582543.0,1.1776195330195581e-05,224339
1029,72363,151952,103626,17322,17063,22,138011,0.09709520742732727,0,1,672585135.0,1.1776983249688839e-05,224315
102,71451,152840,103614,17322,17063,22,137999,0.09710614246002992,0,1,672582985.0,1.1777771265162163e-05,224291
1030,87632,136673,103621,17322,17063,22,138006,0.09709993572538628,0,1,672582689.0,1.1777311577804325e-05,224305
1031,101260,123239,103718,17322,17063,22,138103,0.09700139309812887,0,1,672481472.0,1.1770944985340092e-05,224499
1032,91149,133588,103837,17322,17063,22,138222,0.09689346531234166,0,1,672595183.0,1.1763142979090289e-05,224737
1033,72729,151846,103756,17322,17063,22,138141,0.09697563549629037,0,1,672613077.0,1.1768452564440375e-05,224575
1034,88146,136279,103681,17322,17063,22,138066,0.09704354353126059,0,1,672577530.0,1.1773372739962084e-05,224425
1035,75510,148963,103705,17322,17063,22,138090,0.09702198486082807,0,1,672582158.0,1.1771797876326297e-05,224473
1036,86963,137436,103668,17322,17063,22,138053,0.09705583286795845,0,1,672576783.0,1.1774225951281202e-05,224399
1037,99209,125148,103647,17322,17063,22,138032,0.09707583522102609,0,1,672582671.0,1.1775604453553938e-05,224357
1038,87846,136557,103670,17322,17063,22,138055,0.09705466578820846,0,1,672594247.0,1.1774094680673813e-05,224403
1039,100988,123281,103603,17322,17063,22,137988,0.09711578090974202,0,1,672577741.0,1.1778493697007439e-05,224269
103,75466,148905,103654,17322,17063,22,138039,0.09706826373643979,0,1,672567101.0,1.17751449201488e-05,224371
1040,72520,151911,103684,17322,17063,22,138069,0.09704137519156007,0,1,672596566.0,1.1773175861028684e-05,224431
1041,72724,151913,103787,17322,17063,22,138172,0.0969401155751866,0,1,672540134.0,1.1766419985426654e-05,224637
1042,103405,121006,103674,17322,17063,22,138059,0.0970505705479135,0,1,672586271.0,1.177383214745293e-05,224411
1043,87700,136625,103631,17322,17063,22,138016,0.0970910269558829,0,1,672587708.0,1.177665493823656e-05,224325
1044,103217,121034,103594,17322,17063,22,137979,0.09712499410918235,0,1,672577990.0,1.177908483761233e-05,224251
1045,72650,151757,103672,17322,17063,22,138057,0.09705197295071559,0,1,672590055.0,1.1773963412731078e-05,224407
1046,101198,123285,103710,17322,17063,22,138095,0.09701294936370906,0,1,672543197.0,1.177146982801513e-05,224483
1047,102258,122079,103637,17322,17063,22,138022,0.09708530774981318,0,1,672586823.0,1.1776260986487798e-05,224337
1048,90878,133447,103631,17322,17063,22,138016,0.09709059869941203,0,1,672585315.0,1.177665493823656e-05,224325
1049,90851,133518,103653,17322,17063,22,138038,0.09706937160454018,0,1,672579846.0,1.177521056577915e-05,224369
104,101292,123129,103679,17322,17063,22,138064,0.09703766907669634,0,1,672482336.0,1.1773503995914697e-05,224421
1050,87869,136478,103642,17322,17063,22,138027,0.09707963721375304,0,1,672587435.0,1.1775932711690922e-05,224347
1051,71421,152872,103615,17322,17063,22,138000,0.09710571725193075,0,1,672583860.0,1.1777705593539797e-05,224293
1052,91008,133503,103724,17322,17063,22,138109,0.09700483349352569,4.820485133623848e-06,1,672661902.0,1.17705513812962e-05,224511
1053,91086,133237,103630,17322,17063,22,138015,0.09709097007737508,0,1,672574469.0,1.1776720599194009e-05,224323
1054,88823,135580,103670,17322,17063,22,138055,0.09705456881826514,0,1,672594890.0,1.1774094680673813e-05,224403
1055,87877,136464,103639,17322,17063,22,138024,0.0970830632499815,0,1,672584667.0,1.1776129674569794e-05,224341
1056,87824,136487,103624,17322,17063,22,138009,0.09709701924053671,0,1,672582529.0,1.177711457893539e-05,224311
1057,72691,151826,103727,17322,17063,22,138112,0.09700219526224657,0,1,672601298.0,1.1770354588261532e-05,224517
1058,99320,125091,103674,17322,17063,22,138059,0.09704317824667881,0,1,672489759.0,1.177383214745293e-05,224411
1059,89056,135351,103672,17322,17063,22,138057,0.09705213722818844,0,1,672577206.0,1.1773963412731078e-05,224407
105,85498,140029,104232,17322,17063,22,138617,0.09655862662637442,0,1,672836972.0,1.1737312971259853e-05,225527
1060,83830,140727,103747,17322,17063,22,138132,0.09698317449091477,0,1,672580963.0,1.1769042787795205e-05,224557
1061,84607,139700,103622,17322,17063,22,138007,0.09709895983712784,0,1,672583188.0,1.1777245910848121e-05,224307
1062,101091,123346,103687,17322,17063,22,138072,0.09703949750378696,0,1,672667917.0,1.177297898808971e-05,224437
1063,103258,121215,103705,17322,17063,23,138090,0.09702193028046346,0,1,672592974.0,1.1771797876326297e-05,224473
1064,84936,139429,103651,17322,17063,22,138036,0.0970717161539743,0,1,672585932.0,1.1775341859038773e-05,224365
1065,90911,133376,103612,17322,17063,22,137997,0.09710754509745251,0,1,672581680.0,1.1777902610406785e-05,224287
1066,101234,123133,103652,17322,17063,22,138037,0.09707153269226398,0,1,672590955.0,1.1775276212075805e-05,224367
1067,71407,152838,103591,17322,17063,22,137976,0.09712718070984679,0,1,672567173.0,1.1779281896482613e-05,224245
1068,99243,125088,103634,17322,17063,22,138019,0.09708785083766054,0,1,672584797.0,1.17764579593631e-05,224331
1069,103185,121240,103681,17322,17063,22,138066,0.09704361448582116,0,1,672580034.0,1.1773372739962084e-05,224425
106,103315,121152,103702,17322,17063,22,138087,0.0970168464121049,0,1,672476571.0,1.1771994713303411e-05,224467
1070,99166,125137,103620,17322,17063,22,138005,0.09710096296754442,0,1,672584078.0,1.1777377245427097e-05,224303
1071,101241,123278,103728,17322,17063,22,138113,0.09699299271268284,0,1,672492674.0,1.1770288991914701e-05,224519
1072,85590,138679,103603,17322,17063,22,137988,0.09711695491074851,0,1,672585393.0,1.1778493697007439e-05,224269
1073,85636,138695,103634,17322,17063,23,138019,0.09708786993531811,0,1,672585920.0,1.17764579593631e-05,224331
1074,75592,148809,103669,17322,17063,22,138054,0.09705548382878221,0,1,672592694.0,1.1774160315644423e-05,224401
1075,99192,125111,103620,17322,17063,22,138005,0.09709996966793008,0,1,672582105.0,1.1777377245427097e-05,224303
1076,83737,140718,103696,17322,17063,22,138081,0.09703044354569314,0,1,672574334.0,1.1772388405237113e-05,224455
1077,88850,135405,103596,17322,17063,22,137981,0.09712297182609357,0,1,672579445.0,1.1778953468366123e-05,224255
1078,90984,133473,103697,17322,17063,22,138082,0.09702169501987895,0,1,672485712.0,1.1772322788250007e-05,224457
1079,101085,123276,103649,17322,17063,22,138034,0.09707338121165145,0,1,672585841.0,1.177547315496368e-05,224361
107,84974,139601,103756,17322,17063,22,138141,0.09697512742078626,0,1,672612287.0,1.1768452564440375e-05,224575
1080,90960,133465,103681,17322,17063,22,138066,0.09703582914518791,0,1,672473701.0,1.1773372739962084e-05,224425
1081,85463,139208,103804,17322,17063,22,138189,0.09692589125423115,0,1,672645422.0,1.1765305616737263e-05,224671
1082,101055,123232,103612,17322,17063,22,137997,0.09710815167446261,0,1,672580241.0,1.1777902610406785e-05,224287
1083,101158,123351,103723,17322,17063,22,138108,0.09700218320583645,0,1,672644183.0,1.1770616980305844e-05,224509
1084,72745,151748,103715,17322,17063,22,138100,0.09701266838265843,0,1,672598589.0,1.1771141796349762e-05,224493
1085,73339,151052,103664,17322,17063,22,138049,0.097059550103343,0,1,672589869.0,1.1774488500490206e-05,224391
1086,89050,135447,103717,17322,17063,22,138102,0.0970028514513525,0,1,672485757.0,1.1771010588344205e-05,224497
1087,72766,151807,103755,17322,17063,22,138140,0.0969767168432294,0,1,672613216.0,1.176851814215122e-05,224573
1088,88897,135444,103639,17322,17063,22,138024,0.0970825384658644,0,1,672576990.0,1.1776129674569794e-05,224341
1089,75477,148820,103617,17322,17063,22,138002,0.09710352832253762,0,1,672575372.0,1.1777574252294917e-05,224297
108,101048,123329,103657,17322,17063,22,138042,0.09706649961226269,0,1,672591360.0,1.1774947987255489e-05,224377
1090,99282,125087,103653,17322,17063,22,138038,0.09706990029868927,0,1,672580057.0,1.177521056577915e-05,224369
1091,71504,152919,103680,17322,17063,22,138065,0.09704501176972474,0,1,672593074.0,1.177343836760535e-05,224423
1092,101234,123383,103777,17322,17063,22,138162,0.09695569983393637,0,1,672679864.0,1.176707558621899e-05,224617
1093,88671,135628,103618,17322,17063,22,138003,0.0971025450767015,0,1,672580843.0,1.1777508582672386e-05,224299
1094,103306,121083,103663,17322,17063,22,138048,0.09706078298137243,0,1,672589436.0,1.177455413945797e-05,224389
1095,99307,125108,103676,17322,17063,22,138061,0.0970488856891234,0,1,672580893.0,1.1773700884839304e-05,224415
1096,72732,151843,103756,17322,17063,22,138141,0.09697524161805372,0,1,672608512.0,1.1768452564440375e-05,224575
1097,75550,148905,103696,17322,17063,22,138081,0.09703068403184116,0,1,672593388.0,1.1772388405237113e-05,224455
1098,103455,120906,103649,17322,17063,22,138034,0.09707364786433792,0,1,672588130.0,1.177547315496368e-05,224361
1099,73304,150931,103586,17322,17063,22,137971,0.09713246929102158,0,1,672578965.0,1.1779610341269567e-05,224235
109,84726,139611,103637,17322,17063,22,138022,0.09708547978295458,0,1,672585757.0,1.1776260986487798e-05,224337
10,71446,152897,103640,17322,17063,23,138025,0.0970821621303017,0,1,672586394.0,1.1776064019610428e-05,224343
1100,99235,125106,103639,17322,17063,22,138024,0.09708287021140932,0,1,672583763.0,1.1776129674569794e-05,224341
1101,90926,133427,103645,17322,17063,23,138030,0.09707789088969904,0,1,672589610.0,1.1775735754809612e-05,224353
1102,86931,137362,103615,17322,17063,22,138000,0.09710539596200672,0,1,672571165.0,1.1777705593539797e-05,224293
1103,87848,136525,103655,17322,17063,22,138040,0.09706871490048946,0,1,672592193.0,1.1775079275184744e-05,224373
1104,87750,136637,103662,17322,17063,22,138047,0.09706215599371702,0,1,672595372.0,1.1774619779091954e-05,224387
1105,88649,135682,103634,17322,17063,22,138019,0.097087499435065,0,1,672587613.0,1.17764579593631e-05,224331
1106,103354,120997,103644,17322,17063,22,138029,0.09707790440780056,0,1,672583760.0,1.1775801406437e-05,224351
1107,73319,151114,103685,17322,17063,22,138070,0.09704083879577415,0,1,672596807.0,1.1773110236049656e-05,224433
1108,84710,139533,103590,17322,17063,22,137975,0.09712862855796796,0,1,672580956.0,1.1779347584106334e-05,224243
1109,85035,139430,103701,17322,17063,22,138086,0.0970183366004532,0,1,672485154.0,1.17720603269609e-05,224465
110,87829,136446,103606,17322,17063,23,137991,0.09711397131562861,0,1,672580514.0,1.1778296662140382e-05,224275
1110,99184,125181,103651,17322,17063,22,138036,0.09707106661731327,0,1,672574741.0,1.1775341859038773e-05,224365
