sid,area,delay
0,7847.00,944.29
1,7484.97,1067.56
2,8774.28,734.93
3,8784.38,1040.55
4,7672.24,813.97
5,7601.48,953.62
6,7716.66,842.17
7,7804.71,956.35
8,7729.69,843.89
9,7566.90,1003.59
10,8778.27,996.42
11,7678.62,993.20
12,7729.96,843.89
13,7670.11,713.51
14,7632.07,1076.99
15,7567.17,1067.31
16,7666.12,893.08
17,7885.04,2130.97
18,7904.72,1280.68
19,7484.44,1072.31
20,7817.47,813.92
21,7896.48,1045.70
22,7640.32,950.83
23,7803.91,782.20
24,7628.61,845.58
25,7836.09,936.98
26,8573.71,892.21
27,7861.90,1014.69
28,8710.17,733.64
29,8823.75,1070.02
30,7783.16,1044.10
31,8873.76,949.39
32,7637.92,1037.52
33,7580.73,1499.45
34,7854.45,942.31
35,7599.62,1053.67
36,8841.04,990.53
37,7872.00,1049.04
38,7576.21,1220.41
39,7843.01,857.19
40,7596.43,1026.69
41,7591.91,1004.34
42,7595.90,901.69
43,8726.93,1020.54
44,7849.13,1070.98
45,8794.49,815.20
46,7747.52,962.50
47,7799.92,863.92
48,8431.93,672.76
49,8182.16,748.79
50,8625.32,785.01
51,8719.48,917.05
52,7720.38,949.29
53,8619.46,808.65
54,7621.96,1039.15
55,7725.44,889.82
56,7586.85,1021.18
57,7902.33,876.37
58,7627.55,871.86
59,8756.72,926.37
60,7564.51,1036.89
61,7719.32,975.27
62,7578.34,942.42
63,7492.16,735.98
64,7844.07,931.53
65,7804.97,1068.54
66,8623.72,795.73
67,7766.67,957.59
68,7659.74,893.90
69,8638.35,729.46
70,7640.32,1033.60
71,7608.66,1029.46
72,7564.24,1059.32
73,8786.51,951.12
74,7664.52,1055.70
75,8802.21,1001.20
76,7778.37,1040.73
77,7623.83,808.06
78,7574.62,956.31
79,7613.98,1028.89
80,7697.77,749.81
81,8771.08,873.06
82,8623.99,1001.42
83,7719.32,944.06
84,7728.90,956.35
85,8722.14,1042.10
86,7542.96,1000.57
87,7629.94,1049.71
88,7536.05,1219.52
89,7470.08,1033.85
90,7438.42,1474.32
91,8716.29,918.89
92,7662.40,1059.89
93,7897.01,1042.77
94,7850.19,1049.44
95,7833.97,1126.61
96,7598.56,1062.29
97,8679.85,891.92
98,8758.05,858.49
99,8909.67,1040.55
100,7628.35,1034.40
101,8629.31,795.73
102,8652.45,1426.92
103,8023.62,950.29
104,7554.13,1035.58
105,7907.38,956.35
106,8858.07,858.51
107,7764.01,1613.56
108,7658.67,777.63
109,7702.56,1609.24
110,7515.56,975.27
111,8011.12,975.27
112,7907.12,1042.77
113,8648.19,930.94
114,8558.55,1027.07
115,7752.84,938.76
116,7628.35,928.68
117,7578.61,728.97
118,7579.14,1076.15
119,7713.73,1018.90
120,7551.47,1380.01
121,9024.85,865.44
122,8838.38,791.15
123,7777.04,844.09
124,7789.54,1524.73
125,8597.65,703.09
126,8625.85,921.26
127,7792.47,1476.34
128,7767.73,1072.69
129,7876.79,1024.20
130,8745.02,2070.01
131,7726.77,784.06
132,7907.91,876.28
133,8865.78,816.79
134,7956.59,1408.28
135,7542.16,996.70
136,7665.59,1003.46
137,7559.45,941.48
138,7461.30,1049.63
139,8000.75,950.29
140,7678.89,1042.50
141,8793.96,741.98
142,8566.26,1042.10
143,8803.80,907.11
144,8617.87,798.60
145,7835.30,805.66
146,7558.92,823.78
147,8581.16,1006.45
148,8816.84,1033.68
149,8609.62,1023.69
150,7531.52,962.99
151,7854.71,998.15
152,8834.39,1112.77
153,7788.21,956.31
154,7415.81,829.80
155,7616.38,684.55
156,7824.66,949.29
157,7573.82,1025.95
158,8542.32,909.69
159,8968.72,874.89
160,8684.37,1068.65
161,8696.07,1423.14
162,7753.90,867.01
163,7621.96,924.25
164,7894.35,834.44
165,7728.36,750.18
166,7814.02,801.04
167,7581.00,837.09
168,8623.45,829.93
169,7631.01,1071.29
170,7636.59,1499.45
171,7702.83,1061.27
172,7730.49,1842.83
173,7987.45,1084.41
174,7667.18,801.39
175,7508.12,1059.74
176,7619.84,1004.60
177,7769.06,1120.71
178,7974.95,1004.49
179,8512.53,948.46
180,7572.49,950.96
181,7856.31,1051.72
182,7620.90,811.35
183,7871.74,679.03
184,7486.57,1194.16
185,8841.57,1027.07
186,8719.48,929.20
187,7898.60,1093.83
188,8743.69,1039.63
189,8822.16,918.32
190,7683.41,826.49
191,7550.14,949.25
192,7660.53,1019.09
193,7521.15,803.62
194,8009.26,974.64
195,7782.10,890.35
196,8597.39,949.20
197,8694.48,882.81
198,7513.44,944.74
199,8803.27,1027.07
200,8706.45,1001.12
201,8555.62,751.00
202,7654.42,964.26
203,7806.83,1061.09
204,8888.39,885.35
205,8165.40,674.70
206,7631.81,796.61
207,8770.55,1027.07
208,8634.63,793.51
209,7708.95,1021.32
210,7819.07,949.29
211,7699.90,1031.85
212,7642.18,858.60
213,8880.14,930.95
214,7563.18,1007.61
215,7856.31,859.22
216,7605.74,931.07
217,7945.42,950.29
218,7502.53,1050.49
219,7865.35,710.12
220,7658.67,1025.53
221,7497.74,1068.70
222,7538.17,936.94
223,7793.80,1048.77
224,8762.04,762.92
225,7527.00,936.94
226,7752.04,950.26
227,7575.68,1021.18
228,7443.48,724.15
229,8674.79,942.10
230,7635.00,963.27
231,8755.92,1008.12
232,7832.64,942.19
233,8884.13,1027.07
234,7746.19,809.93
235,8819.23,870.11
236,7575.95,1368.68
237,8920.31,942.53
238,8603.50,1058.80
239,7579.94,1036.67
240,7843.01,963.02
241,8838.38,1376.25
242,7698.31,956.35
243,7661.60,1063.12
244,7557.86,1456.51
245,7620.63,1103.54
246,8666.01,998.12
247,7394.80,1051.99
248,7666.12,1052.75
249,7850.99,957.55
250,7599.35,975.27
251,8606.96,1040.60
252,7517.96,988.22
253,7683.68,718.75
254,7516.89,992.06
255,7566.64,956.35
256,8638.35,931.79
257,7545.09,1029.46
258,7820.93,975.27
259,7577.81,1029.34
260,8495.24,745.02
261,7889.83,1180.71
262,7897.54,1185.44
263,7986.92,923.90
264,8879.61,872.06
265,8683.57,888.24
266,7495.61,1010.96
267,7854.45,800.02
268,8708.31,958.24
269,7573.82,1843.52
270,8259.57,1184.11
271,7462.10,738.01
272,7587.38,1081.36
273,7818.80,1531.60
274,7797.79,1522.33
275,7676.23,957.59
276,7891.42,1076.12
277,8611.48,1001.00
278,9025.65,926.90
279,8777.47,1028.90
280,7574.62,975.27
281,7624.36,960.12
282,7754.70,1008.75
283,7540.83,1039.07
284,7542.70,993.33
285,8770.29,944.19
286,7598.02,1008.12
287,7821.73,950.57
288,8520.78,1345.58
289,8630.37,901.42
290,7660.27,1074.61
291,7577.54,1069.28
292,7812.15,734.99
293,7522.75,1068.81
294,8957.82,1063.77
295,8595.52,1023.69
296,8604.30,1042.10
297,7942.49,991.16
298,7495.61,798.43
299,8156.36,702.21
300,7551.21,1130.66
301,7580.20,949.25
302,7653.09,1842.61
303,7671.97,1032.57
304,7641.91,986.88
305,7746.98,737.50
306,7838.22,896.11
307,7589.51,1034.03
308,7726.77,859.49
309,8515.19,897.96
310,7961.11,1216.71
311,7773.05,1002.42
312,7765.07,1038.16
313,7712.14,867.45
314,8493.91,884.41
315,7665.06,789.23
316,8798.48,1040.55
317,7778.90,956.31
318,8776.67,1445.07
319,7726.50,852.16
320,7818.27,961.96
321,7731.82,823.24
322,7860.30,1015.75
323,8825.61,1003.65
324,8680.38,931.14
325,8625.05,1025.74
326,8706.98,871.49
327,8583.29,793.79
328,7497.21,956.31
329,8525.30,995.67
330,8640.74,939.23
331,8728.79,995.86
332,8738.63,951.12
333,8563.60,1054.23
334,7763.48,1050.22
335,7488.17,1040.29
336,7720.65,980.25
337,8856.20,1053.73
338,7765.60,1002.40
339,7655.48,829.94
340,8648.19,971.93
341,7515.83,920.87
342,8569.19,1062.10
343,7535.25,1028.67
344,8821.62,994.46
345,7503.06,1059.03
346,8472.90,975.92
347,7882.64,1039.06
348,8930.95,1143.07
349,7738.74,1063.85
350,7507.58,927.02
351,8469.71,983.89
352,7762.41,1063.37
353,8596.85,1027.07
354,8677.98,977.74
355,7748.05,1037.73
356,8727.73,1423.14
357,7540.04,991.79
358,7584.99,975.27
359,7706.02,873.80
360,7494.55,669.13
361,7952.34,956.31
362,7527.80,742.33
363,8837.05,933.60
364,7421.13,808.97
365,8683.57,935.19
366,8800.08,940.50
367,8685.70,926.50
368,7564.24,1042.47
369,7515.03,931.07
370,7635.80,818.83
371,7589.78,1640.18
372,8011.39,1080.25
373,7557.06,1044.32
374,7679.15,856.07
375,7787.95,1044.10
376,7567.43,831.34
377,7850.46,942.42
378,8782.52,956.75
379,7485.24,911.75
380,7498.27,875.01
381,7942.23,1032.26
382,8821.62,1040.72
383,7615.58,935.50
384,7623.29,1218.72
385,7546.95,711.68
386,7721.45,949.29
387,8705.65,794.70
388,7839.82,986.82
389,7723.04,843.21
390,7598.56,1030.12
391,8666.28,905.81
392,7608.40,723.66
393,7586.32,962.99
394,8575.04,945.50
395,8846.89,1005.45
396,7822.53,867.10
397,8727.19,1055.95
398,7861.10,976.55
399,7566.90,891.04
400,7748.58,1016.92
401,8439.38,988.57
402,8602.44,798.60
403,7673.57,1021.73
404,8605.63,757.01
405,8880.41,984.41
406,7460.24,1052.59
407,7556.26,1047.77
408,7600.68,957.59
409,7993.03,828.92
410,8576.11,948.13
411,7363.41,827.01
412,8572.65,1026.35
413,8861.79,984.30
414,8659.63,944.00
415,7853.38,1044.63
416,8846.63,1040.60
417,8603.50,848.41
418,7449.06,991.56
