sid,area,delay
0,22402.25,17374.39
1,21752.15,15850.60
2,22961.92,11893.71
3,23667.08,12022.12
4,22105.40,22568.93
5,22042.09,11982.05
6,22236.80,18191.85
7,22879.72,18397.71
8,22886.64,17889.65
9,22729.96,13936.08
10,23602.18,11704.57
11,22385.76,17440.33
12,23098.91,16971.98
13,22014.69,18452.79
14,21795.77,17564.57
15,22080.66,15744.78
16,21702.94,18279.20
17,22330.17,17138.62
18,22333.89,11258.42
19,21986.76,19842.42
20,22642.98,17274.67
21,22613.72,17127.76
22,22180.41,9290.00
23,22300.91,15490.79
24,22058.85,19053.99
25,23699.80,15462.08
26,22729.97,11828.46
27,22421.14,11871.48
28,23351.87,12074.79
29,23616.81,11287.28
30,23327.93,12754.29
31,23228.72,11486.66
32,23186.16,15860.07
33,22047.68,15382.05
34,21931.17,11220.35
35,21842.32,15256.65
36,23700.60,11762.78
37,22262.34,15757.35
38,23062.46,12137.43
39,21583.24,12098.46
40,22259.41,14415.30
41,21751.62,21622.71
42,22792.48,18841.53
43,24287.93,11543.48
44,22103.00,13593.41
45,23655.11,11249.84
46,21674.74,19411.74
47,22420.34,16903.53
48,24943.09,16389.17
49,22776.52,11540.72
50,24238.19,16215.19
51,22838.23,13561.29
52,22645.38,11709.88
53,23273.40,11494.35
54,22382.30,13033.81
55,22504.13,16471.10
56,21805.88,17204.20
57,22591.11,21292.29
58,22188.12,16554.76
59,24062.09,13347.40
60,21932.50,16034.58
61,22528.87,17530.71
62,21719.17,15937.19
63,21752.68,14376.12
64,21771.57,16089.15
65,21664.10,15862.71
66,23120.45,14707.35
67,22306.76,16517.40
68,21869.99,11946.68
69,23473.97,12066.95
70,21863.07,11884.65
71,22060.71,12093.26
72,22422.74,12481.88
73,23638.36,11117.39
74,21888.08,20359.54
75,22364.48,11754.46
76,22600.69,12179.93
77,22194.77,17587.49
78,22660.01,17044.49
79,22178.28,19619.43
80,22221.37,17698.55
81,22733.69,11351.36
82,23426.89,11456.79
83,22670.38,12163.46
84,22751.78,16569.25
85,23255.05,11442.37
86,21997.40,17384.95
87,21570.74,17345.16
88,22323.78,16603.35
89,22137.05,16777.63
90,22357.57,18436.49
91,23067.52,11530.61
92,21911.48,11675.60
93,23126.31,17104.10
94,22574.36,12772.22
95,22644.31,13203.78
96,22056.45,14323.84
97,23477.43,12121.44
98,23096.51,12008.69
99,24972.08,12078.88
100,21906.96,17977.18
101,23328.73,15019.91
102,23907.28,15690.92
103,22669.85,11570.82
104,22548.02,12022.58
105,22363.42,17365.37
106,23757.52,13451.34
107,22788.75,16647.98
108,21892.86,15856.78
109,22508.92,19084.36
110,21878.50,11967.46
111,22757.90,11594.25
112,22440.82,17340.88
113,24680.01,11824.58
114,22981.34,11393.78
115,22775.19,11842.57
116,22378.05,12060.58
117,21858.55,17043.75
118,21805.62,15045.23
119,22672.24,13354.37
120,21868.39,20040.51
121,24113.70,12047.18
122,23595.53,14406.32
123,22405.71,11839.44
124,22099.81,18526.87
125,22740.07,16665.24
126,23072.04,12062.87
127,22172.16,13902.92
128,22373.53,19452.44
129,22427.52,11214.53
130,23764.44,11746.03
131,22358.10,16373.81
132,22496.15,19819.81
133,23457.48,11622.60
134,23450.03,12192.03
135,21420.71,12091.48
136,21796.57,17093.41
137,23242.55,14532.04
138,22279.36,18409.37
139,22153.81,10982.77
140,25110.40,15439.07
141,23552.44,11664.00
142,22729.70,11675.48
143,22759.49,11656.65
144,23827.21,15513.00
145,22819.61,18883.43
146,21768.64,15117.37
147,23772.42,11751.54
148,23236.70,11301.40
149,23639.95,12079.86
150,22559.19,16664.79
151,21908.82,15029.23
152,22702.30,11733.60
153,22559.46,11506.93
154,21693.10,17767.24
155,22143.97,15768.70
156,22781.30,15787.66
157,22678.89,21095.69
158,23610.69,11934.02
159,24355.23,12271.46
160,23568.13,11411.43
161,23115.13,11537.29
162,22325.11,8465.01
163,23418.64,10253.13
164,22599.89,17659.62
165,22416.62,17583.54
166,22548.29,16371.39
167,22282.29,18786.07
168,23437.53,12364.84
169,22025.33,12446.21
170,22197.17,18788.20
171,22593.51,11357.67
172,24076.46,15988.01
173,22086.25,11594.16
174,22602.02,19859.74
175,21962.02,9817.46
176,21762.79,12447.58
177,22139.71,11160.37
