sid,area,delay
0,31824.24,134610.38
1,31536.96,63361.19
2,32093.96,72169.90
3,32078.54,60325.96
4,31968.68,112886.52
5,32272.45,86504.84
6,32018.69,59369.55
7,32475.41,83167.06
8,31489.08,60329.66
9,31687.52,82708.57
10,32213.40,66106.01
11,32039.17,125347.78
12,31776.09,59580.38
13,32084.92,142459.89
14,31813.87,144740.69
15,31334.00,59227.76
16,32267.93,74168.86
17,31223.35,63050.55
18,31688.31,66329.05
19,31583.78,55007.77
20,31409.28,118051.96
21,31027.04,38510.54
22,31427.37,54128.52
23,31708.00,90540.92
24,31189.03,70729.54
25,31032.62,71808.21
26,31779.02,110758.55
27,31828.76,76874.13
28,31814.40,58785.82
29,31657.19,57564.73
30,31053.37,72537.48
31,31758.54,61063.14
32,32041.03,138938.19
33,32107.00,73273.33
34,31482.70,77591.70
35,31418.59,129439.92
36,31077.04,67399.62
37,31293.84,55974.84
38,31954.05,64619.70
39,31552.92,61425.00
40,32082.79,78528.19
41,31423.38,52904.59
42,32064.17,65900.05
43,31488.28,62590.69
44,32149.29,141021.62
45,32242.92,68009.41
46,31805.35,120551.14
47,31948.73,134867.95
48,32077.74,66089.28
49,31345.17,56626.36
50,31882.23,75727.09
51,31280.54,80856.20
52,32294.00,61781.20
53,31843.66,61416.89
54,31874.25,67247.72
55,31655.33,56120.61
56,31040.07,58710.36
57,31098.33,109447.15
58,31680.33,108575.91
59,32212.07,66566.46
60,31091.94,114399.38
61,31759.34,65151.17
62,31616.76,123294.94
63,32272.98,127931.20
64,32483.92,85015.68
65,31895.79,112815.17
66,32024.01,71755.36
67,31592.82,71360.13
68,31347.30,131708.86
69,31856.96,87967.51
70,32599.10,60849.98
71,31253.14,54974.70
72,32381.51,60803.86
73,32192.65,56780.18
74,31600.00,114652.59
75,32764.55,85854.24
76,32054.86,122267.68
77,31189.83,103201.22
78,32111.25,122399.75
79,31248.88,51661.89
80,31185.57,127229.34
81,30924.63,74808.17
82,32147.70,69618.51
83,32318.47,67336.44
84,31528.18,121762.16
85,31956.71,70808.88
86,31937.56,89361.09
87,32387.63,86247.59
88,32038.90,68470.65
89,31453.17,60897.61
90,31369.91,113450.20
91,31206.32,62048.72
92,31220.69,55940.07
93,31539.35,62607.75
94,31682.20,136420.41
95,32396.67,67282.02
96,32667.73,89736.30
97,31783.28,78604.03
98,31513.55,62185.99
99,32088.64,64896.71
100,32525.15,143518.09
101,32042.36,74219.59
102,31975.33,89939.27
103,31469.66,114780.72
104,31711.46,55339.04
105,31804.02,64173.75
106,31933.57,77936.89
107,31059.76,58436.80
108,31264.04,56359.95
109,31276.01,53579.53
110,32347.99,79117.17
111,31624.21,60018.46
112,31554.52,74252.33
113,31515.15,64940.22
114,32364.22,77857.27
115,31186.37,55586.85
116,30991.39,59268.38
117,31777.42,74991.59
118,31474.45,72751.75
119,32187.33,86712.65
120,31454.23,72426.15
121,32035.98,80645.30
122,31413.80,74460.02
123,32494.83,67472.60
124,31006.56,64879.39
125,32149.29,71685.62
126,31492.01,59205.74
127,31340.39,64194.66
128,31889.94,118166.47
129,31400.24,121479.58
130,31524.72,57723.94
131,31254.47,49597.19
132,31073.85,114314.78
133,32404.12,63803.06
134,31414.07,60735.37
135,31715.45,79608.88
136,31652.14,122094.41
137,31423.11,73229.24
138,30755.19,54500.44
139,31407.42,113040.41
140,31254.20,63949.78
141,32716.67,63570.71
142,31956.71,71980.30
143,31102.85,73147.44
144,31772.90,73670.29
145,31397.31,113803.20
146,32143.97,56990.29
147,31805.09,125162.74
148,31775.29,89696.80
149,32369.81,70543.51
150,31750.82,83944.11
151,32797.27,52694.30
152,31650.81,68091.17
153,31055.77,107212.83
154,32036.51,77888.71
155,31977.99,58928.54
156,31549.73,68617.73
157,31682.99,75069.43
158,32390.29,63881.88
159,32095.56,74596.50
160,31501.32,63844.65
161,32155.41,65803.23
162,31852.44,55971.23
163,31727.15,66763.48
164,31972.67,114370.86
165,32085.45,83362.75
166,31153.92,66578.42
167,31336.13,119000.57
168,32402.52,63889.73
169,31306.34,109768.38
170,32336.29,58892.78
171,31079.17,49804.24
172,31279.47,75026.60
173,31302.61,76077.13
174,31156.58,50313.27
175,32512.91,71660.27
176,32413.16,61067.03
177,30907.34,53340.31
178,31466.47,67419.41
179,32404.12,126260.93
180,32013.90,128799.75
181,31186.37,104980.89
182,31928.25,87359.72
183,32209.67,145079.48
184,32247.71,123427.35
185,31311.66,119086.74
186,32012.57,50473.49
187,30903.08,114236.83
188,31994.48,66973.52
189,31121.20,71590.09
190,31701.88,125431.79
191,31889.68,85027.63
192,31926.65,67877.96
193,32012.04,70551.48
194,31534.83,66482.65
195,32070.82,89234.81
196,31875.58,65713.72
197,31741.78,66346.40
198,31941.28,140958.23
199,32163.12,114472.78
200,31189.56,63568.48
201,32462.64,71071.77
202,31832.22,126496.98
203,31705.87,115943.12
204,31385.07,57540.19
205,31733.27,64932.25
206,31229.20,64028.84
207,32326.71,92198.30
208,31889.41,75090.62
209,31069.33,60042.53
210,31428.17,68492.71
211,31917.34,128983.66
212,31868.66,77990.20
213,32593.51,82668.89
214,31544.67,53633.84
215,31403.16,53814.12
216,31490.14,79923.72
217,32148.23,90116.17
218,31668.36,126505.49
219,31780.88,134735.95
220,31788.60,85457.69
221,31665.17,126734.68
222,31466.47,54855.15
223,32488.18,83684.23
224,32260.75,50059.86
225,30940.85,50072.05
226,32262.08,75089.34
227,31855.63,126694.99
228,32448.28,64045.29
229,31735.13,78283.71
230,32215.26,72749.44
231,32267.93,61534.17
232,31612.24,108492.45
233,32350.12,61866.02
234,31850.04,122131.64
235,32402.79,68919.40
236,32101.68,66734.24
237,32389.76,72784.53
238,32284.42,60727.51
239,31204.73,64707.28
