sid,area,delay
0,3627.44,3047.64
1,3596.32,3036.80
2,3631.43,3046.28
3,3655.11,3031.12
4,3633.56,3040.20
5,3616.27,3053.50
6,3642.34,3040.52
7,3639.68,3038.99
8,3576.90,3063.03
9,3592.33,3041.68
10,3623.19,3025.98
11,3596.59,3049.85
12,3625.58,3043.47
13,3634.89,3046.74
14,3614.67,3046.76
15,3613.08,3034.32
16,3606.96,3038.77
17,3585.95,3057.02
18,3631.70,3002.04
19,3646.59,3062.76
20,3623.19,3052.83
21,3618.93,3043.33
22,3648.72,3036.58
23,3641.81,3080.15
24,3644.20,3056.61
25,3634.62,3006.55
26,3630.37,3006.33
27,3626.38,3002.98
28,3623.45,3042.69
29,3648.46,3006.72
30,3634.89,3006.91
31,3610.95,2997.48
32,3651.38,3052.47
33,3612.55,3038.11
34,3638.35,2994.13
35,3601.91,3050.83
36,3630.63,3030.46
37,3622.65,3107.85
38,3597.12,3038.47
39,3645.00,3056.25
40,3625.31,3046.94
41,3552.96,3043.35
42,3601.11,3041.80
43,3645.00,3008.39
44,3639.68,3081.70
45,3642.34,3032.21
46,3614.14,3037.69
47,3636.22,3039.66
48,3637.28,3035.93
49,3631.70,3053.47
50,3652.71,3032.10
51,3642.87,3031.80
52,3645.53,3009.83
53,3622.39,3036.85
54,3588.87,3039.84
55,3630.37,3043.47
56,3611.75,3043.47
57,3634.36,3046.23
58,3651.91,3042.73
59,3610.42,3029.39
60,3594.99,3040.76
61,3585.15,3037.59
62,3626.11,3046.88
63,3612.55,3043.84
64,3619.20,3049.21
65,3634.09,3046.04
66,3648.72,3026.78
67,3640.21,3059.96
68,3621.86,3047.30
69,3632.76,3011.75
70,3637.55,3045.56
71,3616.80,3036.95
72,3601.91,3041.25
73,3612.01,3039.25
74,3639.68,3036.36
75,3637.02,2992.75
76,3631.17,3030.63
77,3605.63,3040.30
78,3606.69,3042.15
79,3592.86,3059.39
80,3589.94,3062.37
81,3649.25,3024.33
82,3645.26,3008.98
83,3586.74,3054.20
84,3639.94,3043.31
85,3628.51,3028.34
86,3611.48,3043.19
87,3622.92,3058.10
88,3614.67,3048.74
89,3607.76,3045.20
90,3597.92,3055.12
91,3627.71,3004.39
92,3637.02,3031.60
93,3627.71,3065.78
94,3638.35,3053.94
95,3634.89,3040.72
96,3639.68,3072.52
97,3634.62,3004.66
98,3627.71,3010.39
99,3644.73,3040.73
100,3638.88,3052.28
101,3638.61,3025.15
102,3645.53,3025.46
103,3631.17,2989.82
104,3638.88,3041.30
105,3654.84,3094.70
106,3628.24,3041.26
107,3634.36,3068.91
108,3608.02,3040.21
109,3649.52,3069.49
110,3599.51,3043.89
111,3625.85,3030.17
112,3643.40,3215.63
113,3648.19,3006.64
114,3630.90,3042.11
115,3643.93,3050.80
116,3606.43,3003.85
117,3589.14,3042.85
118,3632.76,3049.41
119,3610.95,3041.75
120,3619.46,3051.50
121,3627.71,3011.10
122,3633.83,3012.92
123,3646.33,3010.14
124,3630.90,3055.52
125,3648.46,3014.45
126,3631.70,3004.02
127,3637.55,3108.79
128,3628.51,3052.47
129,3630.37,3040.94
130,3611.22,3007.00
131,3599.51,3040.82
132,3626.64,3044.32
133,3644.73,3007.18
134,3643.93,3001.05
135,3605.36,3039.62
136,3604.83,3041.82
137,3602.17,3036.51
138,3606.16,3039.13
139,3652.98,3006.12
140,3623.98,2987.46
141,3648.72,3027.89
142,3667.34,3044.81
143,3642.87,3031.22
144,3620.79,3043.90
145,3635.95,3041.76
146,3636.22,3042.38
147,3643.14,3000.09
148,3661.49,3029.55
149,3611.22,3031.82
150,3580.36,3036.61
151,3637.28,3051.68
152,3637.82,3047.60
153,3644.73,3043.70
154,3635.69,3042.59
155,3638.35,3002.23
156,3631.96,3006.74
157,3590.20,3035.13
158,3637.82,3035.81
159,3647.13,3006.89
160,3631.70,3025.26
161,3634.89,3000.66
162,3629.30,3010.62
163,3625.05,3000.50
164,3637.55,3042.19
165,3579.30,3054.71
166,3654.57,3048.70
167,3590.20,3044.07
168,3624.25,3004.37
169,3633.83,3076.47
170,3601.11,3055.47
171,3650.32,3050.66
172,3636.22,3004.66
173,3635.95,3062.72
174,3601.11,3034.70
175,3646.06,3048.56
176,3580.89,3045.66
177,3625.85,3037.41
178,3627.18,3006.26
179,3630.90,3001.20
180,3631.70,3039.78
181,3658.83,3012.69
182,3645.26,3077.22
183,3631.17,3033.20
184,3552.70,3051.61
185,3613.61,3033.45
186,3645.26,3006.20
187,3623.98,3006.65
188,3622.65,2997.36
189,3639.94,3036.97
190,3620.26,3037.50
191,3591.53,3049.59
192,3647.13,3042.39
193,3629.30,3066.52
194,3634.36,3007.03
195,3611.48,3058.82
196,3620.26,3004.44
197,3615.74,3050.57
198,3607.23,3042.39
199,3638.08,3035.02
200,3651.91,3034.74
201,3635.16,3040.23
202,3634.36,3051.06
203,3639.41,3004.43
204,3645.53,3020.91
205,3637.02,3050.73
206,3637.28,3019.10
207,3630.10,3040.25
208,3637.82,3023.53
209,3638.61,3049.32
210,3626.11,3014.84
211,3639.68,2995.33
212,3635.42,3000.09
213,3633.56,3029.81
214,3607.23,3038.05
215,3642.60,3045.06
216,3587.01,3046.70
217,3640.74,3018.27
218,3630.90,3037.82
219,3630.37,3048.03
220,3633.83,2997.62
221,3587.54,3039.39
222,3597.12,3045.93
223,3638.88,3011.39
224,3624.52,2995.81
225,3604.30,3051.09
226,3631.17,3032.90
227,3614.67,3045.00
228,3630.37,3042.58
229,3634.89,3029.74
230,3616.00,3035.02
231,3646.86,3035.95
232,3641.81,3047.55
233,3624.25,3027.67
234,3647.92,3032.50
235,3643.93,3036.57
236,3616.54,3039.97
237,3645.80,2992.82
238,3659.36,3012.00
239,3622.12,3040.31
240,3640.48,3054.60
241,3626.38,3044.58
242,3610.15,3040.37
243,3625.58,3037.20
244,3615.74,3044.37
245,3639.15,3071.12
246,3621.32,3025.73
247,3602.44,3042.78
248,3634.09,3071.46
249,3663.88,2996.82
250,3608.82,3045.11
251,3642.34,3037.51
252,3609.62,3039.64
253,3647.92,3006.43
254,3611.48,3038.01
255,3630.90,3052.91
256,3659.63,3010.79
257,3587.01,3040.92
258,3641.01,3040.80
259,3606.43,3053.19
260,3644.73,3007.88
261,3645.26,3048.81
262,3624.25,3041.44
263,3625.05,3002.06
264,3632.76,3022.54
265,3647.39,2992.03
266,3604.30,3047.91
267,3627.18,3036.34
268,3634.62,3025.72
269,3607.23,3047.81
270,3642.07,3037.00
271,3597.38,3039.38
272,3644.73,3056.32
273,3621.59,3056.52
274,3619.46,3083.39
275,3643.67,3040.17
276,3627.97,3046.05
277,3635.95,3038.02
278,3640.74,3036.07
279,3630.10,3030.46
280,3615.47,3038.42
281,3611.48,3040.35
282,3622.12,3055.27
283,3591.53,3052.42
284,3595.26,3051.78
285,3644.20,3036.65
286,3629.57,3042.81
287,3633.29,3044.86
288,3633.83,2989.74
289,3631.96,3030.52
290,3652.18,3085.34
291,3650.05,3042.81
292,3643.67,3075.47
293,3618.13,3043.65
294,3645.26,3010.34
295,3638.08,3000.54
296,3633.29,3042.58
297,3638.08,3047.93
298,3584.35,3040.29
299,3632.76,3065.89
300,3607.49,3057.31
301,3608.82,3059.23
302,3613.61,3088.62
303,3656.44,3041.74
304,3599.25,3043.52
305,3622.65,3028.56
306,3635.42,3056.91
307,3638.61,3052.34
308,3631.96,2994.13
309,3673.99,3038.73
310,3629.30,3007.98
311,3629.04,3017.04
312,3622.92,2995.38
313,3587.54,3054.86
314,3649.79,3035.46
315,3635.95,3074.41
316,3653.51,3059.46
317,3644.47,3037.56
318,3650.05,3031.50
319,3620.79,3037.50
320,3629.84,3035.51
321,3618.40,3042.10
322,3638.35,3047.43
323,3625.05,3041.11
324,3637.02,3011.06
325,3635.69,3002.05
326,3634.36,3007.09
327,3635.16,3022.53
328,3616.80,3040.24
329,3634.62,3009.04
330,3629.30,3048.32
331,3657.77,3011.42
332,3641.01,3052.59
333,3629.57,3030.46
334,3646.86,3046.96
335,3612.01,3038.94
336,3661.76,3062.32
337,3655.37,3033.48
338,3623.98,3006.41
339,3628.77,3048.84
340,3621.32,3025.18
341,3610.42,3057.50
342,3645.53,3037.09
343,3604.30,3038.66
344,3643.40,3000.09
345,3606.69,3038.17
346,3625.85,3015.27
347,3631.43,3061.20
348,3638.08,3049.46
349,3634.62,3048.70
350,3643.67,3052.48
351,3633.83,3000.09
352,3639.41,3048.52
353,3555.09,3037.78
354,3641.54,3015.32
355,3644.73,3005.34
356,3641.54,3012.12
357,3582.75,3040.11
358,3600.04,3042.54
359,3633.03,3035.71
360,3591.53,3044.44
361,3629.04,3037.17
362,3584.08,3053.67
363,3665.48,3038.51
364,3645.00,3048.48
365,3638.61,2999.05
366,3617.60,3042.99
367,3643.14,2988.83
368,3601.91,3042.06
369,3624.78,3043.77
370,3602.44,3038.57
371,3616.54,3046.15
372,3630.10,3002.47
373,3595.79,3047.52
374,3595.79,3049.83
375,3626.91,3012.13
376,3617.07,3040.65
377,3585.95,3055.24
378,3643.67,3038.56
379,3628.24,3049.34
380,3619.20,3093.43
381,3647.39,2998.58
382,3624.78,3032.17
383,3592.86,3054.27
384,3607.23,3040.21
385,3653.24,3044.55
386,3649.25,3006.76
387,3614.67,3012.48
388,3596.32,3040.53
389,3625.85,3063.97
390,3635.42,3030.64
391,3638.61,3042.24
392,3607.76,3036.78
393,3594.99,3042.23
394,3639.94,3044.40
395,3640.48,3037.59
396,3615.21,3052.46
