sid,area,delay
0,155740.88,19380.96
1,162241.38,18773.11
2,181167.02,13543.45
3,177564.31,17058.37
4,161723.75,12415.98
5,156509.61,12606.83
6,162369.59,19532.86
7,157609.25,19201.35
8,161773.75,19043.02
9,156949.05,12642.68
10,177903.98,18801.20
11,158172.38,12638.94
12,161859.41,19550.99
13,156437.53,18978.11
14,157732.67,19522.10
15,162357.89,18748.07
16,161765.50,12425.39
17,155753.64,18980.55
18,158030.33,20098.62
19,162226.75,19193.39
20,157108.38,18691.54
21,158654.11,18809.69
22,162225.16,12411.18
23,155860.84,18814.20
24,161543.92,19909.74
25,161520.52,19455.81
26,181981.23,19749.58
27,156070.17,19030.16
28,178795.36,13986.75
29,178892.45,19515.61
30,161400.02,18949.12
31,179009.48,18978.91
32,156010.86,18980.65
33,162529.98,18740.17
34,161252.39,19160.10
35,156431.94,12684.80
36,178521.11,7934.18
37,156561.22,18502.03
38,156937.88,12606.83
39,161612.83,19036.81
40,161946.12,15586.05
41,161352.67,12437.76
42,161688.36,15576.34
43,182124.88,18468.99
44,156001.81,19050.31
45,178086.47,20665.21
46,161307.98,15584.62
47,161888.12,19441.89
48,181986.03,14354.53
49,156366.77,12637.47
50,181979.91,13947.01
51,178480.95,14322.59
52,161889.19,19422.90
53,181510.42,10671.00
54,161279.80,18733.07
55,161618.67,19412.67
56,162126.20,18740.17
57,161674.27,19150.63
58,162293.25,20386.57
59,178546.64,9982.70
60,161474.77,15590.07
61,157063.42,12735.24
62,161615.22,19127.16
63,157339.53,12606.83
64,156810.98,19089.44
65,161199.98,19596.56
66,182416.69,6686.83
67,156469.17,19221.37
68,160777.84,15574.87
69,177769.92,20537.47
70,161564.14,19560.39
71,161563.08,12418.83
72,162539.56,12437.76
73,178267.88,10736.12
74,161809.66,19439.59
75,178236.22,19029.41
76,162079.66,19527.19
77,161546.06,19572.18
78,156739.97,12671.04
79,156888.12,12735.24
80,157069.28,12662.35
81,179297.83,7767.15
82,181890.53,19330.75
83,156910.47,18715.41
84,157744.39,20146.84
85,177823.12,20601.05
86,156388.84,12799.45
87,157075.12,19094.04
88,157325.44,12650.04
89,161672.94,12406.63
90,161397.89,15570.27
91,181679.86,18370.38
92,161492.33,18760.63
93,156556.69,18300.03
94,156448.97,19212.55
95,156419.97,19129.27
96,157160.25,18919.03
97,178745.88,19572.34
98,181928.84,19267.83
99,178687.89,15153.88
100,156985.22,19440.34
101,182293.25,6686.71
102,178393.44,18801.34
103,157698.62,18790.14
104,161856.75,19162.65
105,156662.56,19432.82
106,181783.88,12058.20
107,155724.91,18726.92
108,161922.17,12439.34
109,158155.89,18958.36
110,161858.08,18740.17
111,156164.88,12662.35
112,156245.47,18934.56
113,182181.27,20052.04
114,182128.34,7358.73
115,161029.22,18833.22
116,161402.16,19400.62
117,161700.59,15593.40
118,161625.06,19141.72
119,161354.80,18740.17
120,157358.69,12735.24
121,179177.59,18971.12
122,182126.47,19001.63
123,156239.62,19253.50
124,161681.45,19448.41
125,179475.78,19491.64
126,181641.56,19468.68
127,157489.02,19162.44
128,156616.81,18925.59
129,157454.97,12760.78
130,181427.16,19047.21
131,161248.14,15572.11
132,161406.14,19002.65
133,181841.86,19093.12
134,157255.73,19122.54
135,156622.12,12629.86
136,161990.81,15596.09
137,156919.52,12767.35
138,162260.27,15590.29
139,156545.78,19021.12
140,163130.61,18883.68
141,181198.67,7259.24
142,181538.34,13927.12
143,182208.41,6684.20
144,181819.25,13959.98
145,157102.80,19182.46
146,161444.17,19186.26
147,179202.88,19050.30
148,177311.34,11184.38
149,179093.81,19030.65
150,161344.95,18740.17
151,161235.09,19087.01
152,181421.84,7006.19
153,161328.20,12418.42
154,161252.92,19240.58
155,158292.61,19082.06
156,161931.75,19569.79
157,156997.45,12671.04
158,182477.06,6683.73
159,178873.56,19120.00
160,177577.34,18051.01
161,180037.84,19022.38
162,161514.94,19093.29
163,157195.36,19147.24
164,156420.23,18479.03
165,158702.52,19070.26
166,161829.61,19434.64
167,157228.88,12693.55
168,181936.55,19495.53
169,162187.11,19978.23
170,161448.97,12406.63
171,161446.58,18754.69
172,161865.52,19688.92
173,157279.42,12735.24
174,161550.31,18752.03
175,161752.47,19238.37
176,161229.52,16209.78
177,161606.97,18752.87
178,157539.56,20380.72
179,181824.30,19040.62
180,161431.94,19122.10
181,161608.03,19435.20
182,157395.39,19148.38
183,157954.25,12700.58
184,161618.14,19479.36
185,178848.83,8909.42
186,182131.80,19370.90
187,157196.69,19121.98
188,177913.03,18997.15
189,181418.39,7192.96
190,161602.72,15574.87
191,156766.30,12671.04
192,156842.64,19227.30
193,156448.70,19314.08
194,156855.14,18955.01
195,161976.44,19373.80
196,181743.97,19571.17
197,178370.03,7605.06
198,157340.59,12671.04
199,179147.02,8921.76
200,177852.12,20549.78
201,178103.22,17871.55
202,156228.45,18893.67
203,157623.09,20001.63
204,181599.80,8624.94
205,155948.89,12735.24
206,156029.48,19501.75
207,177990.17,15944.15
208,182276.23,13959.98
209,161663.89,19435.81
210,161980.17,19722.71
211,161736.25,19698.33
212,156308.52,19488.54
213,181341.25,11395.84
214,156684.64,12629.86
215,161870.84,19375.90
216,157148.02,12662.35
217,157838.28,18767.18
218,157283.41,19220.54
219,157170.36,12783.40
220,157374.91,19027.57
221,161604.58,18740.17
222,161173.39,18765.71
223,161545.80,19132.63
224,178661.03,20537.47
225,161354.00,18760.63
226,161847.70,12401.48
227,162182.33,18748.21
228,161635.70,19088.47
229,177606.34,18053.90
230,162131.25,15591.63
231,181439.94,13738.93
232,161872.70,19952.94
233,179267.78,9241.81
234,157007.56,19040.26
235,177956.12,20554.68
236,161718.42,18744.99
237,181858.34,20006.99
238,182120.62,19873.17
239,162258.67,15592.23
240,156886.27,19974.03
241,177892.81,15952.45
242,161697.14,19822.35
243,156804.08,18898.53
244,156749.02,12629.86
245,161981.77,19159.85
246,181912.61,6681.85
247,161619.47,12394.45
248,161605.11,19367.19
249,162130.45,19408.31
250,156631.17,12863.65
251,181506.70,7750.99
252,161489.39,18744.99
253,156730.12,18916.71
254,156775.61,12606.83
255,161940.80,19081.82
256,178757.86,19065.83
257,161604.84,15576.34
258,161723.75,18765.71
259,162297.77,12412.86
260,179692.84,18964.31
261,158575.64,18784.75
262,157260.27,18969.01
263,156517.59,19059.12
264,177713.00,17489.83
265,181679.59,19596.99
266,160982.94,15584.38
267,162078.33,19437.51
268,182614.31,6684.20
269,157282.88,12603.47
270,156725.08,12671.04
271,161633.83,12425.39
272,161773.75,19898.13
273,161665.22,19589.28
274,162021.66,19063.50
275,156804.88,18839.97
276,157423.59,18760.26
277,181309.59,7797.86
278,182102.27,6683.81
279,181583.83,7193.22
280,156293.89,12606.83
281,162100.14,18757.96
282,161961.81,18752.87
283,157568.30,12685.48
284,156807.27,12735.24
285,181566.02,18990.94
286,157228.34,18896.03
287,161508.81,18961.25
288,181702.20,19152.43
289,177528.67,16157.82
290,157128.59,20008.54
291,161551.64,19133.69
292,156584.89,19221.45
293,161626.39,18745.77
294,181378.22,19172.81
295,178431.20,18931.80
296,178208.30,17877.69
297,161702.47,19880.22
298,156598.72,12735.24
299,156682.78,12606.83
300,156499.50,12618.28
301,156157.16,12815.50
302,157631.33,18912.25
303,161902.77,19786.02
304,158047.09,12606.83
305,161544.72,15584.44
306,161491.53,19135.45
307,156620.27,19387.25
308,156056.61,19508.71
309,182014.48,10461.15
310,156614.16,19221.17
311,161618.41,19515.98
312,161616.55,19628.90
313,162057.31,19957.36
314,181043.86,9695.49
315,158570.58,19175.09
316,178318.42,13568.49
317,161865.52,18757.95
318,178579.36,15457.65
319,160786.09,18752.87
320,161239.09,18765.71
321,162265.31,19475.10
322,155933.19,19334.97
323,178092.31,7603.46
324,181824.56,19189.25
325,182252.56,19509.24
326,181271.02,19083.90
327,182836.70,13959.98
328,157300.69,12799.45
329,182395.94,19589.35
330,182296.19,6659.92
331,182050.14,19108.57
332,177791.73,10098.25
333,181371.83,10748.34
334,155421.94,19194.08
335,160942.50,15586.01
336,157706.34,19227.80
337,177378.64,20665.21
338,161485.94,19777.36
339,156504.30,19214.04
340,182319.86,6686.71
341,161622.66,18740.17
342,182123.02,6811.30
343,162104.92,15593.40
344,181360.66,19657.07
345,161974.58,18748.21
346,181674.28,19786.27
347,162354.16,19543.53
348,181314.38,7858.26
349,156852.48,19279.80
350,157177.27,19119.90
351,180741.41,19477.90
352,162594.89,19093.79
353,181795.31,10950.85
354,178445.30,10552.42
355,161469.98,19173.31
356,178192.88,19341.75
357,157843.06,12735.24
358,157262.92,12735.24
359,161977.77,15584.38
360,160245.84,15592.23
361,156400.02,12014.81
362,157216.38,12799.45
363,176868.19,16312.96
364,162141.36,19805.28
365,182045.08,19209.54
366,178188.88,10744.74
367,177729.50,20665.21
368,156641.81,12662.35
369,156481.69,12799.45
370,161407.47,15595.63
371,157126.73,19100.11
372,158552.48,19568.88
373,162278.09,12415.72
374,162162.91,12406.63
375,161779.61,19671.21
376,162374.11,19233.51
377,157385.28,19454.60
378,181579.31,13914.16
379,161610.95,19380.39
380,161731.72,19213.90
381,157058.64,19030.11
382,178601.70,12737.02
383,155999.69,12671.04
384,157234.19,12671.04
385,161917.12,18905.15
386,161153.44,19416.11
387,179339.06,19015.73
388,162047.47,18754.62
389,161916.59,19469.07
390,161354.27,12418.42
391,178037.80,7984.94
392,162464.02,18745.26
393,156656.44,12662.35
394,181809.41,11047.26
395,178001.08,20537.47
396,157012.08,19161.97
397,177054.66,18732.48
398,156571.86,19207.89
399,162395.12,18827.21
400,156427.69,19448.00
401,181975.92,19784.17
402,182126.20,6659.92
403,162261.59,19076.62
404,182372.00,13772.62
405,181522.39,19825.07
406,161599.78,12404.76
407,161471.05,16209.78
408,157423.33,19293.92
409,161728.80,18765.71
410,178953.09,18547.15
411,162311.88,18766.89
412,181588.36,13927.28
413,178129.56,21644.64
414,177778.44,12225.25
415,155970.16,19102.54
416,178262.03,10743.05
417,181808.88,19704.52
418,161804.88,12439.60
419,157918.61,18629.98
420,162355.50,19387.53
421,181992.14,13987.99
422,155816.16,19414.83
423,156180.83,19036.94
424,156596.59,19344.08
425,161703.80,12406.63
426,157259.73,12799.45
427,155813.22,18534.47
428,161809.92,19260.67
429,157591.97,19161.74
430,162015.28,19233.99
431,179641.77,5630.25
432,161953.03,18739.05
433,161428.48,19221.99
434,178487.06,17709.44
435,157095.88,13310.94
436,177678.42,15678.73
437,157601.81,12726.21
438,178252.19,19301.12
439,156799.28,19114.71
440,161594.73,19903.15
441,161521.58,19722.25
442,157941.48,12767.35
