sid,area,delay
0,3594.19,1116.99
1,3582.49,1168.59
2,3547.64,1151.54
3,3545.51,1138.14
4,3578.76,1101.65
5,3574.77,1051.58
6,3625.05,1153.94
7,3595.52,1059.01
8,3619.73,1110.21
9,3567.33,1187.17
10,3531.42,1193.38
11,3575.84,1116.61
12,3590.73,1129.20
13,3584.08,1163.26
14,3569.72,1150.88
15,3568.39,1159.55
16,3569.72,1166.74
17,3589.14,1140.83
18,3603.50,1164.51
19,3635.95,1159.05
20,3593.13,1117.63
21,3556.15,1170.71
22,3629.84,1063.44
23,3564.13,1185.21
24,3535.94,1198.53
25,3574.77,1070.97
26,3565.46,1167.21
27,3605.90,1141.45
28,3558.02,1136.96
29,3533.81,1090.29
30,3574.77,1173.08
31,3541.26,1153.38
32,3609.89,1057.88
33,3593.39,1183.22
34,3587.01,1160.13
35,3550.30,1135.22
36,3598.18,1132.62
37,3628.77,1139.98
38,3601.11,1030.51
39,3539.13,1158.85
40,3641.27,1131.05
41,3570.78,1172.74
42,3590.47,1171.92
43,3592.60,1166.18
44,3591.27,1102.22
45,3581.16,1031.12
46,3628.77,1152.56
47,3623.45,1184.72
48,3582.22,1077.06
49,3630.37,1135.67
50,3535.14,1172.33
51,3594.19,1162.21
52,3559.61,1146.04
53,3537.00,1143.27
54,3576.64,1155.99
55,3597.12,1116.30
56,3571.05,1153.20
57,3554.29,1174.42
58,3639.68,1105.38
59,3530.88,1125.56
60,3593.39,1171.41
61,3561.74,1164.17
62,3554.03,1167.83
63,3619.46,1052.70
64,3596.05,1085.67
65,3605.10,1164.74
66,3565.46,1161.85
67,3560.94,1175.52
68,3591.80,1159.31
69,3611.75,1087.91
70,3608.82,1161.83
71,3569.45,1170.43
72,3581.16,1138.19
73,3586.21,1152.88
74,3571.58,1165.50
75,3559.61,1183.20
76,3571.05,1156.11
77,3579.03,1184.15
78,3580.89,1080.98
79,3620.26,1154.18
80,3578.76,1163.87
81,3635.16,1101.92
82,3581.96,1156.05
83,3553.49,1140.64
84,3588.61,1175.51
85,3551.10,1157.12
86,3574.24,1080.80
87,3620.26,1066.78
88,3500.29,1160.56
89,3556.95,1161.87
90,3543.65,1136.14
91,3593.39,1037.02
92,3603.24,1180.98
93,3625.58,1115.39
94,3587.01,1137.54
95,3536.20,1171.24
96,3594.72,1143.90
97,3563.87,1144.19
98,3600.84,1050.14
99,3553.49,1164.72
100,3561.74,1058.61
101,3524.23,1178.70
102,3572.38,1111.78
103,3602.17,1170.93
104,3629.84,1146.25
105,3559.35,1194.70
106,3623.45,1157.79
107,3587.28,1131.95
108,3580.89,1218.53
109,3622.92,1169.47
110,3601.37,1046.11
111,3612.55,1122.21
112,3569.45,1127.25
113,3543.39,1132.91
114,3616.00,1087.45
115,3602.97,1166.32
116,3557.75,1151.73
117,3573.44,1165.43
118,3614.41,1156.96
119,3635.42,1156.96
120,3579.56,1146.69
121,3601.64,1148.20
122,3597.38,1158.31
123,3574.77,1187.93
124,3553.49,1151.93
125,3583.82,1052.38
126,3602.17,1150.28
127,3552.70,1172.91
128,3553.49,1167.87
129,3602.44,1162.84
130,3615.74,1168.16
131,3614.14,1211.35
132,3617.07,1193.75
133,3555.62,1123.53
134,3624.52,1046.99
135,3594.99,1152.87
136,3597.38,1170.50
137,3610.95,1155.75
138,3560.94,1183.94
139,3552.43,1116.16
140,3475.56,1176.75
141,3558.28,1175.67
142,3618.13,1156.90
143,3600.31,1147.45
144,3550.83,1178.49
145,3576.37,1170.75
146,3573.18,1171.81
147,3568.92,1197.66
148,3575.57,1160.72
149,3593.93,1164.18
150,3597.12,1156.38
151,3613.88,1165.64
152,3564.67,1158.81
153,3580.63,1143.40
154,3576.64,1109.86
155,3588.34,1043.65
156,3543.39,1167.18
157,3600.31,1058.95
158,3579.83,1180.73
159,3556.15,1130.47
160,3590.20,1150.33
161,3575.31,1158.79
162,3638.08,1170.93
163,3646.06,1160.43
164,3587.54,1159.92
165,3551.63,1168.29
166,3539.40,1094.57
167,3556.15,1140.69
168,3597.12,1130.25
169,3573.44,1160.38
170,3589.14,1177.70
171,3626.64,1179.71
172,3539.66,1170.71
173,3572.38,1177.32
174,3640.21,1177.53
175,3588.34,1124.76
176,3600.31,1182.52
177,3583.02,1144.43
178,3564.67,1139.65
179,3639.68,1139.86
180,3623.45,1178.42
181,3630.10,1152.89
182,3568.39,1190.90
183,3634.36,1127.23
184,3593.93,1154.89
185,3569.45,1085.28
186,3617.87,1158.10
187,3598.71,1165.19
188,3617.07,1097.29
189,3589.40,1156.02
190,3547.64,1137.21
191,3595.26,1193.74
192,3554.29,1162.76
193,3545.51,1162.47
194,3551.37,1148.43
195,3592.86,1148.37
196,3576.37,1180.42
197,3498.17,1155.06
198,3587.54,1166.76
199,3585.15,1136.30
200,3643.93,1069.86
201,3604.03,1019.26
202,3567.86,1170.26
203,3595.79,1054.97
204,3588.61,1161.06
205,3624.25,1083.54
206,3619.73,1097.94
207,3643.14,1163.27
208,3591.80,1120.74
209,3615.74,1174.13
210,3521.84,1172.54
211,3602.44,1192.87
212,3610.15,1069.02
213,3569.99,1104.83
214,3614.41,1152.12
215,3609.35,1181.34
216,3652.98,1069.03
217,3586.21,1072.04
218,3647.13,1124.59
219,3586.74,1169.64
220,3590.20,1164.15
221,3549.24,1123.86
222,3579.03,1144.43
223,3632.50,1097.81
224,3606.43,1133.50
225,3619.46,1130.24
226,3626.38,1098.81
227,3626.11,1163.98
228,3561.47,1121.37
229,3582.22,1104.45
230,3586.48,1136.47
231,3571.05,1144.03
232,3586.74,1159.16
233,3575.31,1194.66
234,3606.43,1072.93
235,3585.15,1182.33
236,3568.66,1220.51
237,3547.91,1165.82
238,3574.51,1081.72
239,3549.50,1182.29
240,3605.10,1152.49
241,3567.86,1183.04
242,3602.44,1109.24
243,3585.41,1088.55
244,3631.70,1110.46
245,3599.25,1174.13
246,3477.95,1131.81
247,3612.55,1186.75
248,3572.38,1184.15
249,3578.23,1177.81
250,3630.63,1119.85
251,3586.74,1188.58
252,3509.34,1187.92
253,3589.67,1148.59
254,3556.95,1187.12
255,3607.49,1048.98
256,3569.45,1172.21
257,3533.81,1134.68
258,3613.08,1021.67
259,3600.31,1151.51
260,3626.64,1175.08
261,3579.03,1115.67
262,3607.23,1143.16
263,3598.98,1138.35
264,3567.06,1163.60
265,3579.30,1187.20
266,3568.92,1133.48
267,3558.28,1181.24
268,3525.03,1142.81
269,3575.84,1084.36
270,3586.21,1058.14
271,3559.61,1149.76
272,3625.31,1165.84
273,3588.61,1160.43
274,3583.29,1063.71
275,3574.51,1169.51
276,3566.00,1121.62
277,3533.54,1130.26
278,3585.68,1158.01
279,3582.49,1169.06
280,3629.04,1108.06
281,3534.08,1142.65
282,3623.19,1168.85
283,3611.75,1138.00
284,3597.12,1196.10
285,3609.89,1140.20
286,3553.23,1193.81
287,3628.51,1104.86
288,3577.43,1153.45
289,3598.18,1145.39
290,3585.68,1041.24
291,3596.85,1148.78
292,3535.94,1169.15
293,3547.91,1169.01
294,3605.90,1131.30
295,3569.45,1171.72
296,3596.59,1164.69
297,3548.17,1193.48
298,3647.13,1116.91
299,3617.07,1063.45
300,3509.60,1135.97
301,3623.72,1181.71
302,3566.53,1123.94
303,3615.74,1179.98
304,3643.67,1058.52
305,3617.33,1151.70
306,3636.75,1184.04
307,3572.38,1128.77
308,3613.88,1032.17
309,3550.57,1143.39
310,3584.08,1157.12
311,3538.86,1143.57
312,3543.12,1163.16
313,3596.32,1147.46
314,3548.97,1105.15
315,3649.79,1180.54
316,3604.83,1172.32
317,3594.19,1131.19
318,3594.46,1153.44
319,3620.53,1034.21
320,3567.59,1164.00
321,3565.73,1146.50
322,3548.71,1194.81
323,3522.37,1164.57
324,3588.07,1152.76
325,3550.04,1163.38
326,3586.21,1157.58
327,3620.53,1161.46
328,3590.47,1061.63
329,3631.96,1166.90
330,3547.11,1146.93
331,3629.04,1146.32
332,3558.81,1184.04
333,3561.21,1155.87
334,3579.03,1132.69
335,3575.31,1186.52
336,3560.41,1173.76
337,3593.93,1196.14
338,3520.78,1133.11
339,3622.65,1172.81
340,3508.81,1155.66
341,3596.85,1183.16
342,3617.07,1136.06
343,3613.08,1183.34
344,3614.14,1156.18
345,3616.54,1089.00
346,3577.97,1160.33
347,3595.26,1156.41
348,3565.46,1050.64
349,3621.06,1200.15
350,3580.36,1140.88
351,3616.00,1152.00
352,3599.78,1150.88
353,3572.91,1169.54
354,3550.30,1175.53
355,3578.23,1153.86
356,3600.84,1028.95
357,3605.63,1114.55
358,3570.25,1158.29
359,3588.87,1126.84
360,3587.28,1138.63
361,3565.46,1089.85
362,3621.59,1127.59
363,3608.29,1082.38
364,3609.09,1047.24
365,3540.73,1180.80
366,3524.77,1136.84
367,3576.90,1123.76
368,3567.06,1140.80
369,3577.97,1118.22
370,3558.28,1136.25
371,3597.65,1190.57
372,3581.69,1125.29
373,3560.94,1161.83
374,3558.55,1192.57
375,3622.65,1144.92
376,3584.88,1114.08
377,3557.22,1199.33
378,3533.54,1165.50
379,3563.07,1178.97
380,3586.74,1089.27
381,3585.15,1134.02
382,3606.69,1190.79
383,3615.47,1077.80
384,3562.80,1164.68
385,3606.16,1058.72
386,3556.15,1154.93
387,3610.95,1137.75
388,3582.75,1175.60
389,3565.73,1113.87
390,3592.33,1069.39
391,3575.84,1142.31
392,3584.35,1120.79
393,3541.52,1145.11
394,3560.14,1178.79
395,3564.67,1196.43
396,3565.73,1088.32
397,3622.92,1062.76
398,3580.09,1112.38
399,3566.26,1172.71
400,3561.74,1194.90
401,3618.40,1145.74
402,3558.55,1179.59
403,3585.68,1165.13
404,3572.38,1123.89
405,3552.16,1188.59
406,3604.57,1132.36
407,3544.72,1182.57
408,3565.73,1077.44
409,3629.84,1103.18
410,3571.05,1169.99
411,3617.33,1177.99
412,3628.24,1112.15
413,3555.89,1068.74
414,3552.70,1128.75
415,3594.19,1120.72
416,3605.90,1162.68
417,3550.83,1154.83
418,3577.97,1160.88
419,3605.10,1041.58
420,3629.04,1133.23
421,3579.56,1153.16
422,3574.24,1197.12
423,3534.87,1075.23
424,3546.31,1162.93
425,3560.14,1162.53
426,3573.98,1061.28
427,3552.96,1163.81
428,3610.68,1187.64
429,3580.09,1105.79
430,3627.71,1174.48
431,3536.74,1166.22
432,3623.19,1136.00
433,3592.86,1080.08
434,3671.07,1151.65
435,3544.72,1179.75
436,3577.70,1165.97
437,3511.20,1159.79
438,3584.35,1150.43
439,3588.87,1178.45
440,3550.30,1164.60
441,3575.57,1165.56
442,3608.02,1127.17
443,3595.26,1171.96
444,3577.17,1180.38
445,3590.20,1133.03
446,3577.17,1151.85
447,3578.23,1120.07
448,3600.04,1144.43
449,3611.75,1196.76
450,3614.14,1134.86
451,3572.11,1141.94
452,3607.49,1151.66
453,3598.18,1153.57
454,3616.00,1172.91
455,3618.66,1155.93
456,3587.28,1129.38
457,3586.74,1170.82
458,3572.65,1153.16
459,3584.08,1178.46
460,3600.04,1154.02
461,3591.27,1166.41
462,3557.22,1159.83
463,3571.58,1182.92
464,3635.42,1149.54
465,3528.22,1172.37
466,3594.99,1142.22
467,3562.80,1150.47
468,3607.76,1181.88
469,3564.67,1152.58
470,3569.99,1140.62
471,3619.99,1139.13
472,3606.96,1159.26
473,3545.25,1098.39
474,3523.70,1178.24
475,3585.68,1200.45
476,3627.44,1123.55
477,3596.05,1088.02
478,3614.94,1046.90
479,3570.78,1117.22
480,3584.62,1106.57
481,3591.80,1147.33
482,3566.26,1104.68
483,3613.88,1031.00
484,3603.24,1056.23
485,3627.18,1194.13
486,3573.98,1184.46
487,3584.35,1174.04
488,3631.70,1071.69
489,3577.97,1201.41
490,3641.27,1140.83
491,3616.27,1169.34
492,3563.34,1105.15
493,3656.17,1154.24
494,3518.91,1182.18
495,3623.72,1127.07
496,3571.85,1180.15
497,3560.68,1139.76
498,3602.44,1130.56
499,3612.81,1175.61
500,3541.52,1182.05
501,3569.72,1183.12
502,3573.98,1157.89
503,3555.89,1158.21
504,3567.59,1138.05
505,3604.03,1056.31
506,3574.51,1155.01
507,3591.53,1131.59
508,3551.10,1169.71
509,3600.58,1185.51
510,3568.66,1193.60
511,3522.90,1102.88
512,3558.28,1172.86
513,3585.68,1034.97
514,3598.18,1140.52
515,3609.35,1146.52
516,3582.22,1144.68
517,3534.87,1153.89
518,3623.45,1178.84
519,3566.26,1138.59
520,3584.62,1141.89
521,3559.88,1180.04
522,3592.60,1101.98
523,3604.57,1172.92
524,3591.53,1060.45
525,3618.66,1073.35
526,3615.47,1169.51
527,3604.30,1151.41
528,3596.85,1159.56
529,3617.33,1079.00
530,3573.44,1184.68
531,3575.04,1121.22
532,3556.42,1132.79
533,3590.20,1111.79
534,3579.56,1097.77
535,3585.41,1197.21
536,3588.07,1179.55
537,3572.11,1172.68
538,3544.98,1183.27
539,3559.35,1135.26
540,3587.54,1162.53
541,3583.29,1155.18
542,3572.38,1078.49
543,3581.96,1171.80
544,3615.74,1147.46
545,3587.54,1049.32
546,3561.21,1053.86
547,3557.22,1092.91
548,3550.83,1122.95
549,3533.54,1157.04
550,3617.87,1138.44
551,3585.95,1155.79
552,3613.08,1056.69
553,3571.85,1185.02
554,3570.78,1140.87
555,3576.10,1170.54
556,3620.79,1162.18
557,3575.57,1142.89
558,3601.64,1164.50
559,3559.88,1107.52
560,3610.42,1174.13
561,3607.23,1136.44
562,3584.88,1127.15
563,3539.93,1159.29
564,3603.24,1163.52
565,3577.43,1111.84
566,3557.75,1095.06
567,3519.18,1169.75
568,3534.61,1151.60
569,3595.79,1167.40
570,3547.11,1176.87
571,3621.06,1143.55
572,3606.43,1165.02
573,3614.41,1100.43
574,3614.67,1082.50
575,3563.60,1200.45
576,3612.55,1133.69
577,3618.93,1141.20
578,3591.53,1157.34
579,3626.91,1056.67
580,3588.87,1153.28
581,3571.58,1145.93
582,3643.67,1143.08
583,3597.38,1191.67
584,3591.80,1178.61
585,3613.34,1179.70
586,3576.90,1162.80
587,3569.19,1152.31
588,3573.18,1124.60
589,3576.90,1149.07
590,3595.26,1143.39
591,3608.56,1114.91
592,3592.86,1170.23
593,3612.55,1139.74
594,3588.34,1158.87
595,3587.01,1185.27
596,3593.13,1023.49
597,3582.75,1168.53
598,3603.50,1152.31
599,3611.75,1181.67
600,3550.04,1140.83
601,3624.25,1182.27
602,3606.16,1053.33
603,3560.41,1207.05
604,3555.36,1181.75
605,3574.51,1167.77
606,3647.92,1146.97
607,3647.92,1157.77
608,3635.16,1149.72
609,3595.26,1115.62
610,3598.18,1144.10
611,3603.77,1135.28
612,3596.59,1135.27
613,3622.65,1173.23
614,3593.66,1138.22
615,3592.33,1192.68
616,3598.98,1055.55
617,3572.11,1151.04
618,3590.73,1140.81
619,3553.49,1185.25
620,3617.07,1089.11
621,3635.95,1152.16
622,3551.90,1171.41
623,3599.78,1121.96
624,3578.50,1163.49
625,3563.34,1154.03
626,3580.09,1192.33
627,3588.07,1179.85
628,3525.83,1102.37
629,3549.50,1117.93
630,3679.31,1072.94
631,3566.00,1123.96
632,3617.87,1168.67
633,3616.00,1162.41
634,3583.55,1152.37
635,3588.07,1118.59
636,3587.54,1081.30
637,3567.86,1172.51
638,3593.13,1169.79
639,3647.66,1156.17
640,3596.59,1092.37
641,3569.99,1044.71
642,3603.77,1085.37
643,3592.33,1159.55
644,3542.59,1150.72
645,3612.28,1137.90
646,3618.13,1154.91
647,3519.45,1109.95
648,3554.82,1149.22
649,3597.12,1162.61
650,3577.70,1163.02
651,3557.22,1158.86
652,3541.79,1154.25
653,3582.22,1045.34
654,3639.41,1157.68
655,3608.29,1133.36
656,3555.36,1117.52
657,3600.31,1144.77
658,3570.25,1165.43
659,3597.65,1169.39
660,3605.10,1174.16
661,3614.14,1141.27
662,3504.82,1135.31
663,3585.15,1056.44
664,3625.85,1050.73
665,3587.81,1143.18
666,3635.16,1077.31
667,3554.29,1172.37
668,3654.31,1062.47
669,3621.86,1165.20
670,3593.66,1183.23
671,3582.22,1188.56
672,3617.87,1167.98
673,3587.81,1111.10
674,3596.32,1120.08
675,3585.68,1154.83
676,3623.72,1165.93
677,3623.98,1043.51
678,3565.73,1167.63
679,3529.55,1135.97
680,3591.80,1165.23
681,3587.28,1119.17
682,3586.48,1065.46
683,3582.49,1198.25
684,3574.24,1201.47
685,3613.34,1146.11
686,3573.18,1158.81
687,3556.95,1159.89
688,3569.19,1155.24
689,3599.51,1052.26
690,3556.15,1172.93
691,3610.15,1162.61
692,3508.54,1179.08
693,3599.78,1051.30
694,3641.27,1055.42
695,3555.09,1174.71
696,3624.78,1154.00
697,3571.58,1160.53
698,3593.66,1074.24
699,3647.39,1171.22
700,3584.88,1139.34
701,3573.44,1170.56
702,3600.58,1123.90
703,3583.82,1163.36
704,3548.17,1116.38
705,3573.71,1159.88
706,3569.72,1137.91
707,3560.41,1181.87
708,3605.90,1027.83
709,3598.45,1172.79
710,3591.27,1117.15
711,3594.19,1136.08
712,3606.96,1128.99
713,3578.76,1193.67
714,3597.38,1180.13
715,3593.93,1114.24
716,3586.74,1128.88
717,3645.53,1164.86
718,3588.07,1149.74
719,3589.94,1147.42
720,3641.54,1149.79
721,3552.96,1102.47
722,3659.63,1041.28
723,3568.39,1147.12
724,3585.15,1131.35
725,3549.24,1172.63
