sid,area,delay
0,19819.66,31813.61
1,19769.92,32009.25
2,19439.54,30935.02
3,19569.89,30914.84
4,19323.84,30978.41
5,19605.79,31502.69
6,19624.42,30794.06
7,19701.29,30768.09
8,19458.43,31401.29
9,19224.62,31773.31
10,19781.62,30910.72
11,19674.69,31497.96
12,19563.24,32047.18
13,19595.42,30769.37
14,19709.80,30328.44
15,19749.17,31407.07
16,19538.23,31531.85
17,19523.34,31496.27
18,19844.13,31338.13
19,19384.48,31955.57
20,20002.93,30590.20
21,19642.77,30819.49
22,19702.09,31585.34
23,19681.34,30901.09
24,19564.83,30347.59
25,19806.09,32384.79
26,19477.05,31247.39
27,19774.97,32163.88
28,19732.15,31726.84
29,19535.84,31254.97
30,19541.42,31739.31
31,19565.36,29484.68
32,19833.76,31821.92
33,19520.14,31176.03
34,19440.08,30946.30
35,19557.65,30651.48
36,19585.31,32465.09
37,19785.08,30417.07
38,19500.73,31894.12
39,19522.01,30392.98
40,19421.19,31251.71
41,19443.80,30198.60
42,19273.03,30989.38
43,19619.89,32488.52
44,19729.22,31123.30
45,19602.60,31996.13
46,19423.05,31429.16
47,19478.65,31039.24
48,19656.34,32162.69
49,19699.96,31182.16
50,19871.53,33163.36
51,19697.83,30578.06
52,19625.21,30658.47
53,19503.39,31030.10
54,19247.49,30714.14
55,19599.68,31384.19
56,19547.54,31137.84
57,19680.54,31617.97
58,19698.63,31594.96
59,19458.70,30293.13
60,19578.66,31697.33
61,19561.37,30766.70
62,19341.92,31229.61
63,19572.01,32724.46
64,19626.81,31048.65
65,19340.06,32184.79
66,19545.68,31100.98
67,19628.94,30764.32
68,19316.39,31540.17
69,19693.04,31968.52
70,19264.25,30617.21
71,19594.09,30888.84
72,19593.83,30677.95
73,19868.07,30579.34
74,19606.06,31068.05
75,19558.45,30538.76
76,19200.68,30650.96
77,19486.36,31510.91
78,19435.56,31204.36
79,19751.83,31446.48
80,19657.13,31185.65
81,19768.32,32671.79
82,19819.93,31257.84
83,19507.64,30475.03
84,19686.93,31971.51
85,19648.89,30381.51
86,19664.85,31331.05
87,19810.08,32551.08
88,19416.67,31609.49
89,19393.26,32273.27
90,19132.58,30055.48
91,19554.72,31508.42
92,19480.78,31990.21
93,19856.10,30743.21
94,19456.84,32282.41
95,19354.69,31123.79
96,19607.39,30799.12
97,19444.60,31986.13
98,19288.99,31472.45
99,19588.77,31130.37
100,19566.43,32899.60
101,19491.68,31981.85
102,19706.34,31963.23
103,19627.87,31991.63
104,19487.96,31495.16
105,19851.05,30857.08
106,19416.94,30556.11
107,19826.84,31439.08
108,19267.18,31452.53
109,19704.48,30679.04
110,19517.22,31023.44
111,19519.61,31701.99
112,19851.58,31169.06
113,19558.18,31348.63
114,19226.21,31860.11
115,19242.71,30852.79
116,19599.94,31121.64
117,19594.89,31170.04
118,19525.46,31656.78
119,19546.48,31330.66
120,19637.98,30858.17
121,19565.36,32124.56
122,19352.83,30710.90
123,19544.88,31105.26
124,19585.31,31176.98
125,19740.66,31553.02
126,19495.94,31592.20
127,19331.28,31217.98
128,19301.76,31247.96
129,19452.05,30854.93
130,19552.86,32416.46
131,19427.58,31687.19
132,19510.30,32599.03
133,19345.65,31126.77
134,19854.24,32401.92
135,19611.91,30766.19
136,19201.21,31242.74
137,19790.40,32247.74
138,19389.54,29907.57
139,19613.78,31599.58
140,19654.21,31868.47
141,19315.06,29653.69
142,19366.13,31841.86
143,19494.08,30671.31
144,19551.53,31518.13
145,19786.68,30961.12
146,19439.28,31351.58
147,19658.73,30302.96
148,19559.51,32139.77
149,19635.06,31752.62
150,19596.22,32292.07
151,19396.99,32157.00
152,19542.22,31627.20
153,19329.69,31627.23
154,19433.16,30523.87
155,19566.69,31022.78
156,19867.54,31736.52
157,19692.78,32021.70
158,19625.48,30609.12
159,19365.33,30115.92
160,19846.53,30641.24
161,19534.77,30589.29
162,19519.08,31913.54
163,19873.39,30584.11
164,19548.87,31496.04
165,19466.15,30732.59
166,19333.68,30391.82
167,19587.97,31007.09
168,19565.63,31923.94
169,19370.92,31243.65
170,19493.54,31656.78
171,19513.23,31290.88
172,19665.11,31351.91
173,19596.22,31549.30
174,19558.98,31186.57
175,19356.02,32036.39
176,19440.88,31206.72
177,19526.26,31288.83
178,19918.08,31546.74
179,19557.12,31868.47
180,19660.59,32719.26
181,19802.10,31823.99
182,19648.62,31199.32
183,19652.08,31494.75
184,19486.89,31348.74
185,19782.95,31145.67
186,19722.04,31759.22
187,19544.35,31385.32
188,19811.95,31827.22
189,19373.84,31092.71
190,19589.57,31185.99
191,19673.62,31404.13
192,19487.43,31124.15
193,19368.52,31706.31
194,19843.87,30649.34
195,19316.39,30454.03
196,19369.06,30830.90
197,19228.87,30468.47
198,19598.61,31173.61
199,19641.17,30388.17
200,19939.89,32279.94
201,19714.32,31553.53
202,19633.73,32007.70
203,19698.63,31467.73
204,19272.23,31748.54
205,19793.06,31938.54
206,19808.22,31985.06
207,19435.29,31613.27
208,19619.10,31590.23
209,19445.93,31541.53
210,19901.85,31691.87
211,19420.93,31488.80
212,19921.80,31416.94
213,19334.21,31316.48
214,19711.40,30609.66
215,19586.64,31909.93
216,19691.45,32610.48
217,19723.90,32962.00
218,19694.37,30021.66
219,19477.32,32460.30
220,19551.27,31272.19
221,19596.75,31722.10
222,19648.09,31004.88
223,19449.39,32389.01
224,19760.87,31324.04
225,19531.58,31954.11
226,19650.75,31904.63
227,19381.29,32235.33
228,19506.04,31332.26
229,19687.19,30854.65
230,19485.56,30571.09
231,19454.71,31306.81
232,19674.16,31164.19
233,19637.71,30933.85
234,19724.96,30853.31
235,19349.37,31931.88
236,19350.97,30099.26
237,19280.21,31030.92
238,19502.06,31833.93
239,19541.69,30349.30
240,19663.25,30468.52
241,19568.56,31498.79
242,19503.92,31736.53
243,19728.16,32426.02
244,19791.20,30658.69
245,19391.67,31580.60
246,19577.60,30623.57
247,19504.71,31902.44
248,19444.33,31209.07
249,19844.93,32004.00
250,19439.01,32827.31
251,19428.91,31070.98
252,19259.73,31013.39
253,19814.34,30740.01
254,19617.50,31711.21
255,19480.24,30822.37
256,19444.33,30958.67
257,19411.08,31447.53
258,19419.33,30890.46
259,19385.55,30699.65
260,19687.72,32270.58
261,19334.74,30793.39
262,19743.58,31163.50
263,19758.48,30636.79
264,19551.53,31565.52
265,19554.19,30746.16
266,19515.09,30370.44
267,19578.13,32148.22
268,19740.92,31111.50
269,19611.38,32003.24
270,19861.69,31446.17
271,19462.95,31719.20
272,19462.95,32441.56
273,19363.47,31343.10
274,19560.04,30732.03
275,19366.66,31467.71
276,19862.22,31422.42
277,19633.46,31197.39
278,19355.76,31299.30
279,19376.24,30706.18
280,19430.77,31291.20
281,19720.44,30692.06
282,19287.39,31137.37
283,19761.14,31274.05
284,19456.04,30354.50
285,19321.44,31825.23
286,19255.47,30587.70
287,19503.12,31846.53
288,19502.59,31485.78
289,19178.07,31639.50
290,19670.96,30580.36
291,19448.86,32160.96
292,19416.67,30584.32
293,19647.56,30770.48
294,19425.71,31567.27
295,19716.45,30459.86
296,19494.34,31250.70
297,19740.66,31836.91
298,19845.46,31919.98
299,19607.92,33141.12
300,19260.00,30739.02
301,19563.24,32316.88
302,19758.48,30490.90
303,19385.55,30378.34
304,19639.58,32675.40
305,19532.91,32064.84
306,19419.33,31612.35
307,19472.79,32326.91
308,19876.58,31416.35
309,19313.73,31276.75
310,19745.18,31051.01
311,19952.39,32661.50
312,19572.28,30749.85
313,19540.36,30121.68
314,19470.93,30205.86
315,19917.02,31239.62
316,19636.92,31691.22
317,19648.62,31180.79
318,19633.19,30431.50
319,19537.43,32650.75
320,19360.01,31582.76
321,19472.79,30868.37
322,19425.18,31819.06
323,19267.18,30823.60
324,19454.71,31608.09
325,19504.18,30922.17
326,19352.30,32010.02
327,20028.47,31917.25
328,19414.54,31392.79
329,19477.32,30928.83
330,19620.69,31841.02
331,19461.36,31528.27
332,19718.31,30789.12
333,19338.46,30445.48
334,19440.88,30482.37
335,19370.92,30262.66
336,19420.39,31021.38
337,19850.78,31448.58
338,19947.61,32524.53
339,19752.10,31911.86
340,19706.88,31559.95
341,19437.42,30877.20
342,19470.40,31265.33
343,19493.28,31112.08
344,19474.12,32011.40
345,19337.93,30922.80
346,19349.11,30500.71
347,19474.92,30710.55
348,19352.83,31744.51
349,19818.06,32426.88
350,19471.20,31625.61
351,19776.57,31414.75
352,19335.54,31123.49
353,19475.19,30777.47
354,19710.60,30954.34
355,19358.15,30746.19
356,19528.39,31251.59
357,19687.72,30714.59
358,19588.77,31685.62
359,19424.12,30982.63
360,19486.89,32928.84
361,19384.48,31704.95
362,19558.71,31412.26
363,19688.26,32299.67
364,19348.31,31356.37
365,19344.32,30836.94
366,19506.84,30725.46
367,19670.70,30774.59
368,19612.71,31610.37
369,19740.66,31107.81
370,19432.10,32005.62
371,19795.45,31992.32
372,19752.10,32202.64
373,19594.62,30858.09
374,19774.44,31272.70
375,19684.80,31766.81
376,19461.62,31264.54
377,19739.59,32553.62
378,19182.06,30735.39
379,19536.10,31570.82
380,19396.45,30277.46
381,19593.03,31132.22
382,19751.83,30904.79
383,19570.15,31706.54
384,19413.21,31222.29
385,19419.33,30972.78
386,19653.68,30876.83
387,19842.80,31114.83
388,19403.10,31152.08
389,19421.19,31044.45
390,19505.51,31845.19
391,19342.72,31414.51
392,19564.30,30942.76
393,19661.92,31462.96
394,19515.36,30619.93
395,19611.38,31411.31
396,19495.14,30688.63
397,19667.24,31688.99
398,19456.84,31449.55
399,19451.25,30955.65
400,19427.04,32311.90
401,19448.32,31730.78
402,19472.79,31971.45
403,19601.27,31776.97
404,19581.86,30769.85
405,19398.32,30578.21
406,19328.89,31474.06
407,19345.65,30235.88
408,19455.24,31654.09
409,19461.09,31669.43
410,19773.11,30615.21
411,19739.59,31015.37
412,19327.29,31995.79
413,19420.39,31929.45
414,19612.18,31204.39
415,19778.16,31486.30
416,19601.27,30612.93
417,19376.24,30720.01
418,19556.59,30811.87
419,19669.10,30275.73
420,19493.28,30462.77
421,19677.62,32110.04
422,19596.49,30595.68
423,19662.99,31674.17
424,19380.76,30611.48
425,19657.93,31506.39
426,19603.93,32495.18
427,19401.24,31208.59
428,19489.82,32136.72
429,19709.27,31559.08
430,19493.28,30916.23
431,19222.49,30658.78
432,19419.60,31948.93
433,19285.53,31740.73
434,19845.20,32819.03
435,19269.31,30491.68
436,19737.46,30718.61
437,19730.82,31003.03
438,19419.86,30094.24
439,19654.21,31889.95
