sid,area,delay
0,650.37,596.92
1,653.03,647.83
2,658.35,491.42
3,668.46,533.24
4,654.63,572.46
5,655.42,630.34
6,646.11,541.61
7,652.50,614.86
8,646.91,538.98
9,656.49,480.80
10,667.66,526.80
11,656.49,619.12
12,650.90,486.42
13,623.50,551.38
14,645.05,595.84
15,641.86,540.14
16,637.87,532.47
17,676.70,554.23
18,665.00,559.63
19,649.84,585.93
20,636.54,818.10
21,659.95,561.01
22,669.79,582.30
23,651.97,618.64
24,637.07,517.86
25,684.42,635.81
26,654.63,550.25
27,649.04,618.99
28,658.08,576.95
29,668.19,586.62
30,662.61,630.26
31,680.96,579.20
32,641.59,602.25
33,635.74,572.41
34,672.45,487.87
35,667.93,581.59
36,662.87,549.54
37,651.43,634.87
38,652.76,595.59
39,647.71,629.42
40,666.06,538.13
41,642.39,609.53
42,660.74,585.22
43,666.86,570.28
44,628.03,560.78
45,668.46,611.98
46,643.45,597.18
47,644.52,618.69
48,670.59,591.44
49,650.90,588.12
50,674.31,612.17
51,654.63,483.88
52,663.40,537.70
53,677.24,500.44
54,651.17,548.59
55,661.01,487.97
56,652.76,546.11
57,661.54,496.76
58,643.99,617.67
59,672.45,531.09
60,649.04,754.87
61,646.11,553.14
62,653.03,487.32
63,642.12,664.81
64,642.39,644.76
65,634.41,538.13
66,684.95,618.18
67,644.78,596.52
68,653.03,918.72
69,658.62,614.95
70,661.28,516.29
71,659.68,512.58
72,655.69,722.15
73,659.41,544.00
74,651.97,539.65
75,675.11,554.54
76,651.43,520.59
77,671.92,551.29
78,645.32,534.02
79,642.39,588.28
80,662.61,585.80
81,672.71,612.11
82,664.20,452.05
83,644.25,551.10
84,660.74,539.27
85,665.53,548.60
86,645.05,576.45
87,650.90,617.68
88,641.33,524.40
89,659.15,522.17
90,639.20,522.72
91,663.94,516.56
92,667.66,554.36
93,643.19,648.95
94,645.05,661.80
95,633.08,550.40
96,632.55,714.96
97,669.26,551.97
98,681.23,575.52
99,669.79,470.76
100,651.97,548.73
101,653.56,578.66
102,658.08,553.48
103,679.90,618.88
