sid,area,delay
0,4941.75,1782.87
1,4981.91,1861.29
2,4757.41,1869.65
3,4828.96,1897.80
4,4826.84,1822.36
5,4863.81,1879.39
6,4931.64,1775.98
7,4842.80,1839.33
8,4851.57,1797.65
9,4863.01,1837.26
10,4780.02,1800.39
11,4916.21,1824.95
12,4876.05,1813.76
13,4816.20,1754.74
14,4830.03,1820.96
15,4924.46,1788.98
16,4870.99,1955.74
17,4791.99,1814.04
18,4973.14,1799.58
19,4914.35,1822.88
20,4976.59,1800.03
21,4819.12,1804.09
22,4961.43,1855.20
23,4906.37,1734.85
24,4785.07,1904.29
25,4841.20,1775.64
26,4869.40,1834.07
27,4801.03,1854.43
28,4891.74,1782.16
29,4896.79,1896.22
30,4825.77,1752.18
31,4748.90,1720.38
32,4932.97,1803.90
33,4922.06,1874.23
34,4859.55,1858.92
35,4786.14,1827.64
36,4972.87,1765.58
37,4913.02,1777.08
38,4834.82,1786.78
39,4854.77,1900.39
40,4938.02,1852.20
41,4884.82,1863.46
42,4828.17,1811.07
43,4827.90,1873.71
44,4862.48,1833.61
45,4863.28,1807.89
46,4898.12,1868.42
47,4894.13,1815.61
48,4934.03,1763.62
49,4914.35,1918.47
50,4800.50,1804.43
51,4849.98,1788.71
52,4819.39,1774.06
53,4822.85,1858.03
54,4867.00,1871.40
55,4916.48,1787.97
56,4826.57,1888.35
57,4787.20,1872.45
58,4977.39,1796.95
59,4835.61,1859.58
60,4885.89,1751.22
61,4859.02,1863.64
62,4875.25,1819.23
63,4911.42,1829.60
64,4932.17,1782.58
65,4892.54,1874.45
66,4782.68,1799.29
67,4888.55,1853.41
68,4887.75,1808.46
69,4886.69,1761.44
70,4870.99,1829.31
71,4850.24,1810.91
72,4852.90,1862.26
73,4911.96,1780.53
74,4840.14,1801.08
75,4796.78,1815.43
76,4893.34,1848.67
77,4972.87,1834.46
78,4917.01,1783.53
79,4845.19,1786.33
80,4838.01,1800.96
81,4936.69,1827.76
82,4835.35,1790.56
83,4880.83,1867.79
84,4926.59,1783.58
85,4816.46,1786.00
86,4855.56,1817.80
87,4876.05,1759.59
88,4826.04,1777.95
89,4855.83,1799.05
90,4803.16,1738.60
91,4880.57,1869.71
92,4944.41,1825.64
93,4919.67,1847.82
94,4782.41,1792.54
95,4899.45,1893.59
96,4892.01,1799.41
97,4845.19,1817.02
98,4896.53,1802.30
99,4829.76,1787.89
100,4839.34,1729.32
101,4874.45,1792.69
102,4902.65,1753.49
103,4926.85,1785.54
104,4907.70,1785.85
105,4867.80,1813.96
106,4864.87,1850.09
107,4906.37,1818.25
108,4882.70,1828.51
109,4824.44,1844.79
110,4846.25,1743.24
111,4865.41,1827.65
112,4928.18,1816.06
113,4871.79,1802.74
114,4894.13,1830.79
115,4942.28,1857.05
116,4840.40,1806.49
117,4910.63,1804.66
118,4872.59,1795.73
119,4933.24,1728.70
120,4931.91,1805.49
121,4928.45,1793.86
122,4859.02,1816.45
123,4867.00,1788.84
124,4867.27,1810.03
125,4855.30,1783.72
126,4861.15,1787.73
127,4802.63,1800.42
128,4851.04,1791.51
129,4824.18,1774.16
130,4885.36,1838.52
131,4909.03,1819.48
132,4876.58,1883.64
133,4838.27,1780.25
134,4955.31,1832.17
135,4806.62,1773.56
136,4923.39,1795.21
137,4860.88,1835.53
138,4803.96,1775.18
139,4914.62,1789.05
140,4813.54,1820.88
141,4804.49,1773.45
142,4860.88,1867.63
143,4903.98,1854.40
144,4876.84,1810.73
145,4761.93,1818.55
146,4880.83,1811.41
147,4826.30,1838.98
148,4791.72,1774.63
149,4849.18,1812.04
150,4839.87,1827.05
151,4925.26,1802.95
152,4875.78,1855.98
153,4849.71,1790.98
154,4838.54,1790.20
155,4883.49,1824.88
156,4893.60,1799.48
157,4864.34,1806.98
158,4874.72,1860.48
159,4803.96,1832.60
160,4822.85,1831.82
161,4826.57,1799.83
162,4940.42,1775.98
163,4996.28,1775.79
164,4912.49,1867.86
165,4768.32,1744.21
166,4835.61,1849.99
167,4828.43,1844.26
168,4936.43,1774.87
169,4901.58,1839.73
170,4903.44,1861.14
171,4932.44,1836.83
172,4785.07,1829.55
173,4808.75,1874.77
174,4942.81,1773.42
175,4903.71,1824.20
176,4837.21,1816.96
177,4903.18,1846.50
178,4951.59,1814.65
179,4913.29,1702.28
180,4896.26,1817.55
181,4965.69,1758.79
182,4811.14,1778.99
183,4868.33,1738.82
184,4842.80,1773.01
185,4836.41,1821.76
186,4959.57,1772.39
187,4763.79,1855.60
188,4930.31,1774.29
189,4901.32,1740.12
190,4806.89,1863.64
191,4768.58,1829.54
192,4830.29,1812.43
193,4839.60,1807.91
194,4847.58,1764.70
195,4905.04,1878.99
196,4870.46,1806.56
197,4755.28,1897.78
198,4816.99,1858.24
199,4870.99,1790.80
200,4950.26,1785.15
201,4880.04,1876.76
202,4810.61,1828.09
203,4826.84,1819.76
204,4902.38,1814.21
205,4973.14,1819.14
206,4919.14,1790.85
207,4926.85,1767.08
208,4905.04,1849.01
209,4915.41,1769.76
210,4835.61,1770.89
211,4841.20,1817.27
212,4898.92,1850.06
213,4828.96,1878.73
214,4931.64,1721.00
215,4884.03,1854.32
216,4931.91,1832.72
217,4899.99,1831.40
218,4883.76,1831.94
219,4839.07,1781.80
220,4837.48,1778.97
221,4869.66,1848.83
222,4834.28,1822.62
223,4918.34,1894.55
224,4919.67,1822.54
225,4904.51,1816.24
226,4877.38,1822.88
227,4921.80,1820.15
228,4842.53,1827.69
229,4824.71,1886.84
230,4843.06,1867.13
231,4910.36,1857.31
232,4849.18,1811.34
233,4849.98,1809.89
234,4923.93,1819.13
235,4890.41,1832.37
236,4785.87,1862.30
237,4912.49,1831.35
238,4867.00,1841.45
239,4887.22,1787.74
240,4861.15,1798.52
241,4851.84,1815.68
242,4859.55,1771.02
243,4857.69,1837.97
244,4921.53,1749.84
245,4830.03,1887.19
246,4729.48,1795.38
247,4859.02,1909.55
248,4885.89,1849.70
249,4893.07,1826.19
250,4856.36,1841.85
251,4882.96,1851.44
252,4766.72,1854.25
253,4808.22,1779.08
254,4857.43,1817.76
255,4821.52,1813.07
256,4832.42,1813.75
257,4817.53,1819.96
258,4821.25,1831.76
259,4870.46,1766.25
260,4819.39,1771.35
261,4874.18,1834.01
262,4830.56,1791.95
263,4814.33,1811.45
264,4844.39,1854.85
265,4815.40,1870.40
266,4788.80,1843.05
267,4866.20,1819.63
268,4855.03,1719.02
269,4857.96,1832.73
270,4958.24,1748.21
271,4836.41,1874.88
272,4889.88,1842.77
273,4837.48,1845.99
274,4880.57,1874.80
275,4861.15,1753.73
