sid,area,delay
0,9848.12,35456.39
1,9804.49,57858.17
2,9868.33,22923.86
3,9854.77,27158.98
4,9745.97,68013.08
5,9543.02,26953.23
6,9775.23,66075.74
7,9610.05,27297.39
8,9726.02,50050.03
9,9574.67,20392.25
10,9868.87,25006.99
11,9892.81,35605.41
12,9733.74,13055.74
13,9745.18,54748.46
14,9746.77,53909.44
15,9785.61,70402.16
16,9659.79,28075.28
17,9619.89,27163.08
18,10027.93,67497.23
19,9737.20,66552.47
20,9901.32,34729.84
21,9651.54,29731.96
22,10035.65,57190.73
23,9547.27,27715.20
24,9686.12,65984.02
25,9719.37,11460.97
26,9914.09,56033.27
27,9787.20,35244.28
28,9827.37,35380.38
29,9881.37,32193.90
30,10041.77,54082.80
31,9968.35,30506.78
32,9727.35,25464.96
33,9823.65,57894.34
34,9911.69,55749.55
35,9786.14,49432.85
36,10113.85,30794.16
37,9677.88,35397.68
38,9617.76,16618.08
39,9594.62,16727.81
40,9784.28,55569.53
41,9777.89,54509.34
42,9873.92,24030.86
43,9706.34,29133.09
44,9616.96,26452.25
45,9833.49,26183.65
46,9742.25,48550.33
47,9691.71,70817.00
48,10162.53,75578.16
49,9585.04,34804.69
50,9635.58,35129.71
51,9963.30,58760.97
52,9686.66,15886.00
53,9842.00,31895.81
54,9764.59,49287.44
55,9744.11,12497.59
56,9712.46,54673.98
57,10049.75,30972.34
58,9771.51,54517.04
59,9828.70,26493.21
60,9699.69,67004.95
61,9684.00,77419.30
62,9667.50,66091.78
63,9515.09,28277.37
64,9574.14,16792.51
65,9712.72,66166.68
66,10059.85,54140.41
67,9738.53,27899.86
68,9620.16,67186.75
69,10034.05,53847.93
70,9856.90,57015.36
71,9718.58,17070.70
72,9822.05,50538.62
73,9900.25,35346.01
74,9715.12,70217.20
75,10053.74,51283.14
76,9986.97,55766.00
77,9704.21,66624.72
78,10063.84,31591.88
79,9735.07,34362.09
80,9824.98,49315.12
81,9683.46,35326.68
82,10041.50,51020.60
83,9682.67,19602.38
84,9736.40,57924.84
85,9587.44,27710.27
86,9597.81,28596.04
87,9680.01,57803.17
88,9844.66,25144.51
89,9595.68,15330.36
90,9771.24,25561.64
91,9783.48,28392.66
92,9989.90,50134.39
93,9780.02,34052.66
94,9504.71,27090.37
95,9529.18,26439.38
96,9535.57,28648.56
97,9551.79,32926.06
98,9931.38,55431.27
99,9629.73,31840.10
100,9771.51,48949.78
101,9779.49,12775.29
102,9866.21,26521.07
103,9622.82,24236.86
104,9738.26,68485.26
105,9440.34,114916.27
106,9914.09,55166.79
107,9430.50,35359.88
108,9743.85,56257.41
109,9536.90,35519.34
110,10010.11,24507.88
111,9984.58,30734.11
112,9700.22,28435.61
113,9948.67,67401.43
114,10025.01,56189.34
115,10097.09,54118.39
116,9927.65,58834.45
117,9996.28,31903.60
118,9637.98,67720.75
119,9777.63,53793.79
120,9890.68,56633.92
121,9957.18,29436.59
122,9960.90,55719.52
123,9877.11,26452.42
124,9872.86,28128.37
125,10015.43,57490.34
126,9937.23,67621.61
127,9807.95,23540.14
128,9835.08,29766.14
129,9780.02,26528.33
130,10008.78,24166.17
131,9582.38,19425.55
132,9707.94,67626.29
133,9920.74,67492.21
134,10218.12,76298.42
135,9735.33,20934.86
136,9747.30,56096.92
137,9530.51,26400.44
138,9677.61,67365.00
139,9864.08,30055.51
140,9802.10,30482.05
141,9975.27,56468.11
142,9948.13,55176.49
143,9952.12,56178.90
144,9775.77,15556.28
145,9528.12,35109.97
146,9627.34,54945.69
147,10072.36,50760.23
148,9581.85,27924.62
149,9935.37,72226.45
150,9890.68,34345.97
151,9670.16,68031.07
152,9692.77,28227.28
153,9628.40,18475.70
154,10007.72,24187.06
155,9853.97,27328.00
156,9757.15,34865.36
157,9637.45,23556.14
158,9975.80,51657.98
159,9507.64,26401.30
160,9545.68,34959.09
161,9655.80,20619.76
162,10024.74,59950.57
163,10054.53,34224.39
164,9867.00,27873.64
165,9974.73,24835.69
166,9485.83,28488.50
167,9443.80,28048.66
168,9972.07,60217.55
169,9720.97,56063.10
170,9721.24,55487.89
171,9956.11,59058.46
172,9643.30,12282.79
173,9845.72,57297.75
174,9811.68,68408.38
175,9702.35,57537.70
176,9666.44,67959.20
177,9839.34,28706.94
178,9913.29,33159.92
179,10023.94,56230.68
180,9865.14,23468.78
181,10110.13,32279.63
182,9756.35,53779.58
183,9822.32,27354.84
184,9637.98,58307.08
185,9829.76,34861.66
186,9967.55,58865.40
187,9758.74,32180.02
188,9696.50,35029.14
189,9947.07,58028.63
190,9554.45,28386.15
191,9671.76,27955.07
192,9502.85,23908.21
193,9871.79,24169.05
194,9993.35,30613.63
195,9692.77,68125.80
196,10098.69,51020.59
197,9620.16,20558.81
198,9635.58,20781.30
199,9830.03,34757.44
200,9635.05,35695.33
201,9814.34,27051.18
202,9500.46,33725.25
203,10030.59,74312.15
204,9909.03,69611.39
205,10000.27,69189.06
206,9790.93,21912.58
207,9610.05,32546.50
208,10171.31,54003.05
209,9717.78,66623.45
210,9639.57,35281.03
211,9868.07,56711.73
212,9757.41,23003.73
213,9930.05,56060.24
214,9791.19,34159.84
215,9667.77,68664.48
216,9869.40,32912.34
217,9526.52,27165.07
218,9948.40,32844.51
219,9778.16,26894.21
220,9889.61,25758.71
221,9609.25,56421.50
222,9633.99,30664.84
223,9912.22,55932.83
224,9919.41,34777.80
225,9846.52,27673.76
226,9979.79,71713.36
227,9726.56,69633.64
228,9887.75,23116.54
229,9933.50,27124.80
230,9672.29,67809.39
231,9956.91,57336.69
232,9655.27,67728.00
233,9612.18,34509.52
234,9917.81,32844.47
235,9860.09,26022.62
236,9636.91,67460.87
237,10014.37,55702.09
238,9953.45,69238.70
239,9620.42,66285.85
240,9824.98,58063.45
241,9603.13,21120.07
242,9787.47,24347.86
243,9467.21,34720.04
244,9493.01,35112.00
245,9618.29,67872.87
246,9639.84,11286.76
247,9811.94,64887.09
248,9603.66,55494.49
249,10210.41,54169.66
250,9791.99,23850.03
251,10001.87,67696.77
252,9878.97,24648.29
253,9706.07,24631.88
254,9715.65,32084.40
255,9696.76,31036.89
256,9656.33,23520.16
257,9578.93,15623.96
258,9975.80,26145.74
259,9654.20,69175.48
260,9961.43,67380.06
261,9540.09,19291.07
262,9420.66,111005.27
263,9851.58,35650.49
264,9989.10,55393.07
265,9963.56,54912.32
266,9841.20,22891.60
267,9620.69,17595.95
268,9771.24,34193.09
269,9547.54,27996.63
270,10041.23,32308.65
271,9856.90,29923.48
272,9684.79,68431.62
273,9705.01,29632.84
274,9976.86,29067.70
275,9585.31,23970.14
276,9588.50,34419.93
277,9693.84,16547.21
278,10018.36,56086.82
279,9916.48,68769.81
280,9744.11,31801.70
281,9726.56,66441.21
282,9925.52,72013.16
283,9449.92,34892.01
284,9685.59,17021.90
285,9582.92,15144.85
286,9827.10,30020.65
287,9678.14,67217.59
288,9934.30,54423.58
289,9859.82,29695.19
290,9845.99,54010.57
291,9587.97,67939.16
292,9724.43,26155.46
