sid,area,delay
0,2250.63,2513.99
1,2051.13,2187.91
2,2203.54,2481.81
3,2088.10,2046.46
4,2002.71,1904.25
5,2302.23,2118.26
6,1990.48,2009.60
7,2274.57,2502.79
8,2025.06,2109.02
9,2034.10,1921.39
10,2319.52,2148.88
11,2208.33,2119.26
12,2272.17,2503.09
13,2197.96,2137.76
14,2213.39,2115.85
15,2017.34,1905.52
16,2124.01,2199.80
17,2026.92,2013.47
18,2312.07,2297.05
19,2036.76,2030.30
20,2216.58,2160.49
21,2287.87,2476.32
22,2105.12,2781.45
23,2163.11,2472.57
24,2011.76,2032.80
25,2403.04,2473.43
26,2051.66,2018.06
27,2284.94,2132.75
28,2259.40,2092.30
29,2062.56,2209.40
30,2071.34,2380.83
31,2201.15,2056.81
32,2207.53,2184.06
33,2007.24,2079.23
34,2049.80,2058.24
35,2182.26,2195.91
36,2301.17,2515.61
37,2252.75,2527.53
38,1929.83,1620.05
39,2296.64,2066.11
40,2000.85,1760.92
41,2046.60,1993.19
42,2005.91,2369.18
43,2307.28,2508.62
44,2175.88,2047.02
45,2327.50,2507.49
46,1978.24,1671.78
47,2007.77,2077.00
48,2077.73,2223.59
49,2320.32,2522.93
50,2408.36,2489.54
51,2205.67,2036.86
52,2227.22,2132.82
53,2261.00,2004.25
54,2001.92,1740.43
55,2274.83,2503.11
56,2043.15,2222.05
57,2287.07,1986.36
58,2077.99,2165.91
59,2030.91,2243.85
60,1989.68,1916.43
61,2216.58,2076.06
62,1989.15,2182.94
63,2227.75,2174.76
64,2235.73,2674.40
65,1983.30,1695.03
66,2077.46,2363.92
67,2037.29,2277.86
68,2023.73,2021.78
69,2274.03,2264.91
70,2062.30,2279.01
71,2258.34,2503.07
72,2015.22,1989.56
73,2284.94,2252.02
74,1961.22,1998.88
75,2225.62,2689.34
76,2024.79,2044.87
77,2045.01,2135.69
78,2224.82,2440.87
79,2268.71,2437.29
80,2254.88,2445.00
81,2327.23,2515.23
82,2072.41,1915.92
83,2234.67,2526.42
84,2181.73,2235.22
85,2240.78,2076.87
86,2284.67,2068.08
87,2257.81,2440.53
88,1925.57,1735.54
89,1993.40,1927.52
90,1985.69,1862.17
91,2236.00,2180.46
92,2096.35,2942.65
93,2224.82,2162.26
94,2041.28,2297.46
95,1996.60,1942.62
96,2280.42,2676.86
97,2282.81,2499.93
98,2039.16,2186.79
99,2090.76,2185.26
100,2210.46,2518.69
101,2079.06,2371.71
102,2299.57,2507.94
103,1986.49,1716.46
104,2047.93,2628.89
105,2233.60,2264.03
106,2092.09,2763.86
107,2177.48,2204.10
108,2020.80,2206.52
109,2235.46,2436.55
110,2170.83,2688.55
111,2269.78,2166.97
112,2192.64,2162.02
113,2099.54,2258.76
114,2041.02,1924.83
115,2018.14,2062.73
116,2049.80,2072.92
117,2238.66,2131.55
118,1950.05,1621.09
119,2006.70,1740.18
120,2173.22,2155.34
121,2139.17,2003.59
122,2009.10,2157.94
123,2327.77,2496.47
124,2195.83,2104.49
125,2315.53,2514.91
126,2046.87,2255.81
127,1974.25,1817.42
128,2021.60,1850.31
129,2084.64,2145.99
130,2294.52,1989.56
131,2277.23,1985.95
132,2010.43,1924.46
133,2028.78,1961.74
134,2320.32,2510.47
135,2289.73,2446.82
136,2000.05,2122.51
137,2193.97,2115.51
138,1986.49,2075.85
139,1992.34,1988.21
140,2158.86,2371.37
141,2003.25,1750.88
142,2044.21,2081.35
143,2097.68,2487.11
144,2100.60,2383.82
145,2272.44,2092.66
146,1987.29,1619.05
147,2289.20,2375.46
148,2305.42,2682.14
149,2324.57,2377.73
150,2255.41,2503.06
151,1965.74,1631.12
152,2208.33,2052.79
153,2012.56,2196.19
154,2133.05,2713.12
155,2326.17,2501.54
156,2403.84,2487.08
157,2275.36,2232.89
158,2088.90,2129.09
159,2073.47,2106.51
160,2301.17,2095.85
161,2311.81,2506.57
162,2068.42,2746.96
163,2248.76,2048.07
164,2026.92,1933.49
165,2246.64,2485.59
166,2007.24,2212.22
167,2223.76,2092.54
168,2053.52,1957.45
169,2021.87,2209.38
170,1950.31,1676.10
171,2076.40,2351.78
172,2004.58,2231.37
173,2263.93,2091.89
174,2012.29,1774.84
175,1941.80,1767.97
176,1980.10,1607.90
177,2320.32,2503.06
178,2313.93,2323.80
179,2058.31,2158.12
180,2237.33,2106.20
181,2302.50,2508.62
182,2246.90,1924.39
183,2250.89,2159.91
184,1977.98,1699.94
185,2284.94,2138.33
186,2093.15,2781.70
187,2138.64,2307.99
188,2289.99,2143.73
189,2076.93,2301.36
190,2215.78,2161.08
191,2274.83,2096.98
192,1929.83,1933.04
193,2039.95,2796.86
194,2264.19,2049.30
195,1996.60,1943.63
196,2035.17,2501.74
197,2014.68,2087.08
198,2262.86,2066.92
199,2315.80,2451.22
200,2323.24,2515.83
201,2289.46,2419.71
202,2264.99,2075.63
203,2301.43,2507.17
204,2044.74,2280.71
205,2238.66,2217.64
206,2309.41,2500.67
207,2036.50,2219.91
208,2092.62,2346.13
209,2021.60,2033.82
210,2402.78,2167.29
211,2049.00,2451.88
212,2305.16,2507.90
213,2036.76,2376.20
214,2267.12,1986.43
215,2035.96,1936.67
216,2266.59,1938.59
217,2247.70,2182.90
218,2260.73,1926.13
219,2236.53,2500.82
220,1960.15,1954.24
221,2087.04,2191.48
222,2325.37,2510.61
223,2051.39,2594.89
224,2330.96,2504.91
225,2312.07,2510.46
226,2053.52,2019.72
227,2028.78,1987.33
228,2289.99,2491.84
229,2320.85,2507.40
230,1997.93,1596.72
231,1989.68,1961.76
232,2025.32,2274.11
233,2200.35,2030.77
234,2221.37,2120.73
235,1971.59,1963.30
236,2017.61,2140.26
237,2027.19,1997.41
238,2040.22,2199.31
239,2039.95,2153.36
240,2286.54,2523.90
241,2250.09,2262.34
242,2257.54,2503.06
243,2254.88,1987.22
244,2264.72,1986.58
245,1969.73,1732.32
246,2074.00,2375.43
247,2030.11,1915.65
248,1964.14,1691.43
249,1998.46,1998.29
250,1971.06,1821.40
251,2078.79,2230.34
252,2010.96,1842.36
253,2318.99,2504.99
254,2197.96,2199.44
255,2171.36,2965.27
256,2014.95,2000.29
257,2022.66,2252.76
258,2227.75,2113.69
259,1999.52,1944.68
260,2332.29,2510.46
261,2113.90,2666.73
262,2205.14,2258.39
263,2272.17,2185.23
264,2249.56,2259.78
265,2033.04,2244.78
266,2288.40,1987.64
267,2043.68,2031.80
268,2406.50,2489.68
269,2292.92,2033.47
270,2283.08,2060.66
271,2279.62,2499.80
272,1971.33,1625.19
273,2004.84,2168.11
274,2164.97,2074.72
275,1987.29,1758.12
276,2279.09,2437.45
277,2301.96,2504.91
278,2015.75,2337.45
279,2069.21,2586.17
280,2074.00,2180.13
281,2012.56,1903.48
282,2050.06,2287.19
283,2291.86,2452.75
284,2179.87,2134.55
285,2017.88,1708.04
286,2024.26,1860.04
287,2031.97,2056.29
288,2065.49,2267.09
289,2073.47,2127.42
290,2266.59,2320.94
291,1954.83,1520.71
292,2007.24,2255.74
293,1934.88,1530.83
294,2029.05,2479.97
295,2314.47,2488.10
296,2279.35,2508.64
297,2295.31,2088.23
298,2321.91,2510.57
299,2239.72,2161.67
300,2061.23,2295.38
301,2180.93,2164.84
302,2163.11,2188.05
303,2001.92,2338.67
304,2294.25,2118.22
305,2330.96,2505.06
306,2016.55,2084.69
307,2299.30,2477.44
308,2332.82,2513.21
309,2019.74,2089.64
310,2255.41,2523.50
311,2403.58,2175.43
312,2040.49,2030.37
313,2004.84,2074.91
314,2124.54,2026.71
315,2282.28,2508.72
316,2185.46,1981.08
317,2306.22,2286.25
318,2215.25,2188.34
319,2221.90,2153.74
320,2059.11,2170.52
321,2041.28,2133.66
322,2058.04,1847.68
323,2002.98,1827.17
324,2039.42,2474.50
325,2044.48,2017.31
326,2000.05,1968.39
327,1981.17,1745.12
328,2275.63,2518.90
329,2045.01,2103.33
330,2085.71,2382.27
331,2018.14,2047.20
332,2279.35,1913.24
333,2089.70,2256.57
334,2225.36,2261.27
335,2012.82,2117.41
336,2074.27,2020.22
337,2300.10,2508.62
338,2403.58,2192.41
339,2266.59,2459.59
340,2405.44,2487.05
341,1993.14,2152.86
342,2010.16,1830.90
343,2021.87,1982.61
344,2210.99,2093.07
345,1982.50,1720.58
346,2023.99,2315.00
347,1986.75,1885.21
348,2040.49,2595.34
349,2322.18,2504.28
350,1992.07,2528.10
351,2336.54,2511.51
352,2006.44,1917.31
353,2051.66,2396.92
354,2235.20,1997.20
355,2069.48,2148.04
356,2298.51,2377.12
357,2154.33,2160.88
358,2281.75,2411.39
359,2046.87,2041.52
360,2264.19,2375.25
361,2028.78,1977.25
362,2294.78,2589.71
363,2315.26,2154.29
364,1994.73,1996.80
365,2034.63,2072.07
366,2218.71,2123.70
367,2304.62,2507.72
368,2202.48,2192.02
369,2222.96,2243.01
370,2234.67,2420.71
371,2240.25,2914.63
372,2312.34,2515.64
373,2026.39,2247.01
374,2275.36,2162.26
375,2081.72,3061.87
376,2242.11,2184.15
377,2291.06,2013.38
378,2001.38,2182.55
379,2238.39,2157.98
380,2280.42,2486.96
381,2249.83,2196.55
382,2232.01,2260.17
383,2193.17,2478.14
384,2055.12,2677.73
385,2205.41,2481.81
386,2226.42,2061.21
387,2295.85,2508.55
388,1968.93,1743.40
389,2045.81,1946.95
390,2025.59,1936.17
391,2063.89,2834.38
392,2283.08,2493.40
393,2177.48,2211.37
394,2085.71,2111.55
395,2300.37,2508.63
396,2268.18,2974.10
397,2332.82,2495.80
398,2235.20,2056.83
399,2006.17,2147.62
400,2096.88,2372.23
401,2006.17,1850.18
402,2001.92,1875.69
403,2201.42,2190.51
404,2023.46,2038.17
405,2051.13,2339.74
406,1978.51,1835.78
407,2004.31,1757.56
408,2040.22,1879.94
409,2082.51,2493.08
410,2203.01,2036.86
411,2051.13,2246.65
412,2252.22,2063.04
413,2122.95,1974.15
414,2292.65,2675.62
415,2213.39,2837.63
416,2305.16,2168.58
417,2043.94,2164.72
418,1995.80,1853.83
419,2243.98,2634.25
420,1994.73,2133.37
421,2051.39,2079.54
422,2315.26,2510.77
423,2270.58,2306.72
424,2035.96,1887.65
425,2168.17,2552.86
426,2277.23,2451.49
427,1953.50,1653.06
428,2025.32,2260.21
429,2192.90,2478.14
430,1995.00,1893.43
431,2062.83,1976.19
432,1984.09,1777.43
433,1969.73,1795.41
434,2278.02,2406.77
435,2006.44,1944.93
436,2328.83,2495.80
437,2199.55,2196.30
438,2082.78,2367.55
439,2184.66,2064.38
440,1994.20,2141.70
441,2060.17,2187.07
442,2290.79,2075.30
443,1963.35,1897.60
444,1983.56,1978.41
445,2236.26,2248.47
446,2303.83,2508.62
447,2310.21,2490.85
448,2327.77,2504.90
449,2005.91,2285.81
450,2044.21,2199.87
451,2261.00,2068.78
452,2029.31,2067.26
453,2005.64,1853.54
454,2038.89,2057.29
455,1981.43,1816.92
456,2331.76,2516.18
457,1974.78,1961.39
458,2021.87,1990.87
