sid,area,delay
0,323.72,237.57
1,318.40,272.05
2,329.31,258.07
3,327.18,278.00
4,319.20,242.33
5,315.74,266.56
6,330.64,246.06
7,313.08,276.05
8,329.04,246.08
9,325.58,260.51
10,325.32,253.77
11,312.82,232.25
12,320.80,248.82
13,314.15,253.90
14,312.82,253.01
15,318.40,217.42
16,316.01,291.54
17,316.81,282.20
18,318.93,272.40
19,318.40,253.72
20,317.60,229.38
21,318.40,231.24
22,321.86,293.37
23,314.15,341.68
24,316.01,231.17
25,325.85,299.73
26,326.38,297.83
27,317.87,247.82
28,322.92,246.55
29,327.71,247.20
30,325.05,239.91
31,330.37,247.34
32,312.55,263.62
33,321.86,243.39
34,320.26,262.76
35,316.01,301.21
36,333.83,302.57
37,314.41,269.11
38,325.58,239.33
39,317.07,249.29
40,327.18,246.06
41,330.90,246.06
42,324.25,249.55
43,336.22,275.74
44,314.68,304.33
45,324.79,302.35
46,325.32,257.08
47,315.74,280.32
48,335.69,247.91
49,320.80,246.97
50,337.55,251.25
51,326.91,315.29
52,320.53,253.24
53,329.04,247.20
54,321.33,249.55
55,320.80,244.66
56,314.41,254.34
57,322.92,257.75
58,317.60,295.30
59,329.84,253.77
60,323.46,246.06
61,312.55,229.43
62,316.27,248.10
63,314.94,275.13
64,314.41,299.97
65,320.53,217.42
66,336.22,243.06
67,319.20,217.42
68,321.59,246.24
69,325.85,301.81
70,318.67,247.69
71,321.86,263.01
72,327.45,245.95
73,325.58,246.15
74,317.60,215.89
75,326.65,261.56
76,317.87,303.02
77,329.84,273.32
78,318.14,267.56
79,314.68,228.69
80,317.34,301.06
81,326.91,280.60
82,328.78,254.23
83,318.67,262.96
84,320.80,255.36
85,331.17,254.23
86,316.27,339.87
87,316.54,236.25
88,318.40,307.33
89,319.73,292.36
90,312.28,267.01
91,328.24,321.62
92,317.87,295.53
93,317.87,299.15
94,321.59,257.73
95,314.94,282.02
96,316.54,315.24
97,329.04,346.20
98,327.45,246.54
99,325.32,285.57
100,316.54,294.17
