sid,area,delay
0,68302.41,13165.76
1,64880.86,41115.27
2,76289.87,27758.68
3,66393.07,31565.38
4,66045.94,32411.81
5,63444.19,31853.88
6,64769.94,39673.98
7,68380.88,11713.89
8,64747.59,37763.25
9,68196.28,13174.33
10,75886.88,62445.63
11,77208.36,31665.04
12,64802.12,38630.15
13,77385.52,33119.37
14,77185.75,31390.59
15,76713.87,27674.16
16,64862.24,36922.47
17,74915.45,30181.14
18,75478.30,53239.02
19,76340.14,19716.07
20,77206.23,31977.12
21,77367.70,31338.22
22,65026.62,36927.15
23,63829.09,27932.57
24,64842.29,38209.76
25,65071.58,36881.59
26,78631.20,22011.64
27,66734.88,30751.50
28,76471.27,35795.38
29,65351.68,31312.36
30,65078.23,31559.69
31,66015.09,30989.82
32,68170.74,13621.02
33,75637.10,28138.83
34,75434.41,28722.46
35,76841.02,31683.97
36,65741.90,13252.13
37,77066.59,32841.32
38,77359.19,31403.41
39,75675.14,24287.13
40,64817.29,38221.23
41,65068.65,36927.95
42,76661.73,27140.17
43,79035.25,34458.57
44,77289.23,32271.98
45,77384.19,46451.30
46,74231.02,19314.73
47,64775.52,43285.95
48,77532.62,34939.25
49,66853.25,30135.04
50,79829.79,29291.46
51,78879.91,40675.89
52,65025.56,19769.32
53,76792.34,18671.01
54,76016.15,22979.39
55,64780.04,38662.04
56,64752.64,38652.61
57,76590.45,28786.85
58,75807.07,32143.39
59,75723.81,18351.08
60,75047.38,17299.04
61,77276.20,31989.25
62,76065.62,29096.74
63,67776.53,15039.78
64,68373.70,10782.19
65,72962.73,23560.19
66,77512.13,31981.74
67,68388.07,11014.20
68,64614.32,37500.89
69,65987.95,31321.02
70,74338.22,31422.58
71,75933.42,19727.38
72,76905.92,23745.15
73,76521.81,35969.87
74,64659.81,37229.02
75,66392.01,33917.75
76,65451.16,33847.96
77,64980.88,38084.55
78,68441.00,17019.14
79,68252.94,13327.81
80,67850.22,14913.44
81,66006.57,33514.32
82,65809.46,36929.48
83,68300.82,14011.22
84,68293.91,13382.90
85,77420.10,42750.23
86,77452.28,33114.07
87,77237.09,32238.95
88,77265.29,32266.11
89,64756.37,36933.81
90,65112.81,28865.98
91,75550.38,21401.37
