sid,area,delay
0,25498.49,2874.42
1,26614.63,2842.72
2,25234.09,2705.69
3,25620.85,3337.99
4,26093.54,2804.81
5,26104.71,3867.43
6,25507.01,2731.11
7,26136.10,3884.88
8,25492.64,2684.95
9,25728.58,2537.99
10,25885.26,3588.61
11,25678.84,3038.36
12,25698.26,2604.40
13,25334.64,3033.05
14,25649.85,2716.58
15,25957.61,3523.34
16,26075.71,2775.34
17,25639.47,2498.20
18,25960.54,3615.59
19,26312.72,2354.70
20,25753.32,3096.87
21,25954.95,3004.62
22,25949.63,2684.73
23,25733.11,2851.31
24,25992.72,3418.14
25,26000.70,2459.42
26,26011.88,3585.49
27,25674.05,3477.68
28,25891.38,3058.60
29,26188.76,2747.56
30,25773.27,2293.08
31,25826.21,3135.32
32,25547.17,2842.34
33,26237.71,2766.35
34,26091.67,2725.47
35,25987.93,3021.24
36,25757.84,2795.20
37,25661.82,2968.63
38,26113.49,2552.17
39,25841.63,2538.97
40,25771.68,2706.48
41,25805.72,2474.71
42,25813.71,2460.35
43,25894.57,2933.89
44,25435.19,2760.04
45,25242.60,3419.93
46,26060.29,2787.71
47,25919.57,2753.88
48,26276.01,3070.25
49,25600.37,3402.82
50,25942.45,2473.55
51,25922.50,3062.58
52,25343.42,2563.02
53,25984.74,3553.35
54,25512.86,2694.17
55,25123.70,2470.25
56,25895.10,2924.70
57,26298.62,2948.53
58,26528.71,2460.11
59,25050.55,2996.40
60,25964.79,3101.42
61,25520.84,2992.96
62,26126.52,3149.63
63,25093.91,3392.86
64,25843.76,3038.48
65,25980.22,2930.81
66,25774.87,2605.01
67,25453.54,3570.17
68,25792.96,3293.43
69,25628.04,2553.25
70,26140.35,2618.98
71,26524.99,2948.36
72,26321.50,2727.61
73,25850.15,3053.46
74,25844.56,3453.87
75,25745.08,3352.47
76,25134.07,2700.05
77,25773.80,2814.51
78,25487.32,3159.47
79,25694.00,3213.02
80,25082.74,2718.98
81,25536.53,3190.59
82,25730.45,2750.54
83,25663.15,3220.13
84,25632.82,3068.78
85,26118.27,2790.58
86,25776.73,3491.00
87,25775.93,2798.01
88,25757.58,2570.22
89,25570.05,2704.83
90,26169.35,2815.94
91,25739.22,2995.52
92,25876.21,2679.16
93,25769.81,3153.21
94,25677.51,2970.22
95,25390.50,3177.51
96,25771.68,2574.85
97,25808.12,3336.35
98,25986.07,2914.28
99,25697.73,3568.57
100,25114.92,3036.76
101,25866.11,2505.66
102,25249.79,2968.91
103,25956.81,3388.78
104,25863.18,2737.19
105,25524.03,2322.35
106,26001.23,2601.54
107,25540.26,2848.76
108,25700.12,2790.74
109,25657.56,3144.32
110,26220.68,2381.13
111,25791.09,2696.33
112,25898.29,3926.15
113,25877.81,2805.04
114,25483.07,2858.63
115,26033.69,2736.69
116,25679.64,2779.74
117,26031.82,2754.41
118,25859.99,2632.22
119,25690.28,2711.26
120,26010.81,3789.71
121,25705.44,3338.87
122,26175.46,2871.70
123,25105.08,2703.72
124,25698.79,3110.29
125,25395.82,3551.88
126,26169.61,2860.93
127,26280.80,3535.09
128,25578.29,3332.59
129,25720.34,3423.57
130,25995.91,2887.77
131,26049.91,2636.45
132,26525.52,2961.53
133,26038.74,2724.64
134,25720.34,3053.06
135,25684.69,3619.98
136,25666.61,2220.35
137,25684.69,2758.74
138,25848.55,2764.71
139,26129.45,3019.93
140,26342.51,2509.01
141,26155.78,2966.84
142,25821.42,2950.78
143,25873.55,2794.35
144,26069.33,2421.77
145,25849.62,3449.00
146,26279.47,2271.38
147,25794.02,3413.24
148,25169.45,2950.34
149,25521.10,2694.40
150,25963.20,2957.62
151,26373.37,2892.19
152,25844.03,2949.82
153,25987.67,2739.15
154,26186.90,2349.26
155,25607.29,3509.07
156,25753.32,2277.66
157,25685.76,3001.31
158,25628.57,2739.32
159,25944.84,2924.20
160,25823.55,2779.46
161,25222.92,3661.22
162,25833.92,2761.72
163,25737.36,3265.17
164,26200.73,4494.60
165,25254.84,3596.95
166,26248.62,2985.95
167,25202.44,3750.08
168,25782.58,2767.75
169,25636.55,2963.05
170,26397.57,2721.76
171,25828.07,2806.78
172,26046.99,2375.97
173,25721.93,3400.94
174,26087.42,2825.07
175,26261.12,2526.23
176,25753.85,3457.65
177,25747.21,2750.04
178,25813.44,3642.77
179,25757.05,2755.47
180,26370.71,2632.04
181,26052.57,2974.75
182,25861.05,3436.83
183,25212.54,2752.02
184,25724.33,2971.26
185,25845.36,2977.80
186,26048.05,2903.09
187,25633.09,2861.85
188,25658.09,2636.46
189,26011.61,2796.19
190,26169.35,3583.28
191,26115.61,2527.50
192,26000.70,2931.46
193,26084.76,2368.53
194,25880.47,2683.59
195,26129.45,2745.50
196,26157.38,2733.98
197,25228.50,3803.66
198,25667.40,2944.07
199,25709.96,3235.43
200,26065.07,2296.01
201,25680.44,3436.86
202,25532.54,3400.07
203,25814.50,2578.59
204,25756.51,2903.90
205,25710.50,3624.47
206,25497.43,2552.49
207,25758.91,2753.17
208,25923.03,2841.36
209,26023.05,2956.50
210,25792.16,2403.82
211,26054.17,2782.22
212,25683.37,3244.65
213,25731.24,2929.07
214,25614.21,3154.41
215,25940.59,2649.21
216,25583.62,3300.26
217,25229.57,3240.68
218,25655.17,2617.20
219,25425.61,2555.32
220,25833.39,2769.99
221,25239.94,2743.77
222,25907.07,2719.17
223,25837.38,3034.27
224,25612.61,2587.75
225,26260.32,2805.14
226,25258.30,2822.69
227,26253.40,2813.85
228,26393.85,2688.71
229,25150.30,2884.97
230,25909.20,2764.27
231,26022.78,2804.52
232,25846.69,2471.77
233,25929.15,3257.22
234,25882.60,3557.45
235,25288.62,2912.88
236,25321.87,2933.61
237,25904.14,2631.80
238,25695.07,2886.78
239,26077.58,3558.43
240,25917.98,2561.44
241,25602.23,2982.43
242,25885.52,2811.47
243,25663.41,2522.08
244,25659.16,3210.53
245,26035.55,2969.65
246,26283.99,2543.94
247,26405.02,2829.30
248,25767.15,3182.91
249,26132.90,2269.59
250,26051.51,2458.01
251,25541.05,2759.70
252,25650.91,2484.55
253,25833.65,2523.86
254,25996.98,3396.75
255,26111.89,2611.14
256,25922.50,3268.30
257,25862.65,2531.14
258,25795.08,2571.77
259,25819.82,2573.44
260,25789.50,2813.38
261,26026.50,2993.81
262,25708.63,2878.51
263,25631.49,2941.49
264,25732.57,3977.74
265,26200.47,2849.75
266,25764.76,2474.00
267,26503.71,2961.74
268,26208.18,2661.48
269,25691.88,3741.69
270,25745.61,3374.37
271,25734.70,2971.06
272,26257.39,2795.98
273,26026.50,3106.59
274,26517.27,2982.59
275,25729.12,2837.58
276,25659.16,3284.46
277,25924.63,2932.28
278,25141.52,2499.57
279,25767.95,2820.53
280,25844.83,2913.53
281,26110.29,2958.03
282,25214.41,3133.20
283,25344.48,2774.68
284,25568.45,3067.18
285,25863.45,2922.01
286,25820.62,3336.45
287,26326.55,2252.86
288,25910.26,3369.88
289,25424.28,3228.92
290,26046.19,3537.63
291,26086.89,2983.36
292,25121.57,2987.77
293,25870.63,2944.88
294,26179.99,2862.83
295,25291.81,3243.69
296,25040.44,2950.28
297,26232.65,2879.16
298,25554.35,2972.82
299,25088.59,3385.03
300,25434.39,3990.19
301,25631.23,3393.25
302,25503.02,2750.65
303,25373.21,2400.50
304,26211.91,2736.21
305,26326.82,2741.92
306,25985.01,2662.31
307,26029.16,2684.15
308,25065.71,3163.19
309,25922.76,2969.89
310,25675.92,3379.22
311,26071.72,2329.25
312,25707.04,3219.87
313,26129.71,2642.57
314,25698.26,2832.19
315,25592.66,2928.52
316,25628.57,3190.46
317,25818.49,2825.03
318,25857.06,2824.69
319,25697.46,2771.42
320,25793.75,2999.92
321,25903.08,2832.90
322,25879.41,2705.86
323,25325.06,3493.21
324,26198.61,2999.43
325,25836.31,2786.39
326,25934.20,2913.51
327,25993.52,2434.80
328,25871.16,3538.68
329,25409.92,2611.43
330,25883.40,2531.24
331,25861.32,2949.93
332,25966.12,3213.48
333,25806.52,2768.26
334,25535.47,2929.01
335,25963.20,3445.78
336,25863.98,2800.31
337,25790.30,3230.89
338,25756.25,2272.37
339,25698.79,3297.33
340,25835.52,3139.60
341,25881.00,2742.67
342,25665.54,2776.47
343,26137.16,2516.51
344,25830.99,3038.99
345,26366.98,2315.92
346,25894.30,2475.54
347,26256.86,2965.06
348,25591.06,3014.08
349,25905.21,2888.18
350,25774.34,3392.76
351,25524.83,3380.94
352,25521.90,3345.37
353,25032.20,2917.84
354,25730.45,2804.41
355,26179.99,3046.16
356,25365.23,3182.67
357,25937.66,3623.38
358,25226.38,2552.50
359,25933.40,3595.27
360,25928.88,2826.13
361,25688.15,3242.85
362,25562.07,2537.64
363,25087.79,2893.15
364,25588.14,2705.09
365,26146.21,2855.89
366,25846.96,3069.32
367,25803.86,2612.50
368,25777.26,3299.03
369,25963.73,2955.42
370,25246.86,3070.77
371,25621.65,3031.40
372,25750.13,3227.87
373,25745.61,2741.08
374,26323.63,2688.46
375,25784.44,2442.39
376,25872.22,2927.88
377,25987.14,3088.89
378,26048.32,2829.49
379,25683.63,2802.28
380,25789.50,2770.64
381,25728.85,3449.29
382,25836.85,3339.87
383,25056.67,3138.53
384,25695.87,3056.60
385,25818.23,2726.46
386,25753.59,2581.30
387,25865.31,2913.46
388,25757.31,2444.59
389,26240.37,2745.64
390,25982.62,2780.15
391,25217.07,3043.23
392,25734.17,2756.07
393,25872.22,2984.23
394,25613.41,2732.75
395,26394.91,2738.37
396,25928.62,2632.89
397,25236.22,2832.78
398,25752.26,3378.59
399,25875.15,2987.96
400,25962.40,2263.36
401,25083.54,2633.11
402,26198.07,2568.20
403,26085.29,2945.99
404,26273.88,2931.96
405,25773.54,2785.07
406,25865.04,2947.47
407,25989.00,2457.75
408,26185.31,2696.39
409,26153.12,2686.62
410,25646.12,3319.40
411,25840.84,2790.49
412,25581.22,3306.80
413,25601.70,2771.98
414,25227.97,3137.32
415,25740.55,3096.96
416,25709.17,2801.31
417,26006.02,2704.21
418,25902.55,2928.37
419,25414.17,3570.95
420,25292.34,3011.62
421,26281.07,2955.61
422,26029.43,2739.92
423,25929.41,3227.66
424,25961.87,2825.04
425,26153.65,2734.89
426,26059.49,3035.27
427,26240.10,2413.43
428,26156.31,2234.30
429,25406.72,3686.71
430,25700.12,2950.45
431,25106.68,2779.85
432,26021.18,2534.02
433,26067.73,3002.07
434,25400.61,3420.92
435,25789.23,2796.28
436,25071.03,3513.36
437,25884.99,3280.40
438,25336.23,2683.09
439,25584.68,3073.63
440,26581.91,2946.51
441,25753.06,2258.07
442,25624.31,3524.84
443,26483.23,2891.60
444,26401.56,2616.41
445,25577.76,3499.18
446,25921.17,2498.68
447,25888.18,2609.48
448,26146.74,2988.95
449,25158.01,2337.57
450,25504.08,2964.61
451,25595.05,3197.94
452,26324.96,2730.84
453,25272.13,2739.11
454,25820.09,2485.01
455,25482.27,2782.52
456,25582.29,2394.71
457,25572.18,2770.30
458,25939.26,2913.97
459,26166.42,2840.23
460,25225.84,3038.95
461,25870.10,3040.72
462,26228.66,2646.19
463,25871.69,2487.27
464,25270.00,3242.03
465,25797.21,2534.98
466,25932.34,2687.15
467,26016.13,2402.64
468,26030.23,2570.09
469,25611.81,3522.76
470,25525.36,3420.23
471,25485.99,3438.11
472,26152.59,2805.32
473,25807.59,2329.10
474,25797.48,2267.23
475,25891.91,2817.99
476,24882.71,3280.07
477,25430.93,2690.04
478,25807.05,3699.78
479,25712.36,2785.26
480,25861.32,3100.55
481,25553.82,3128.17
482,25188.34,2733.85
483,25250.32,2678.90
484,25287.56,3108.91
485,26062.15,2694.77
486,25043.37,3396.68
487,24988.57,4001.01
488,25618.99,4240.67
489,24994.16,3663.49
490,25918.24,2967.54
491,26186.64,2943.06
492,25789.50,2778.05
493,26003.89,2870.74
494,26078.11,2537.84
495,25908.93,3405.01
496,25640.54,2949.56
497,25210.68,2945.29
498,25842.70,3662.36
499,26070.13,2746.35
500,26147.54,2574.81
501,25618.99,2790.75
502,25765.82,2378.67
503,25954.95,3003.09
504,25344.48,2561.73
505,25961.33,2952.64
506,25670.06,2947.89
507,26124.92,2277.68
508,25711.83,3419.36
509,25987.93,2900.50
510,25713.16,3588.23
511,26075.98,2352.49
512,25602.77,3380.30
513,25847.49,3033.60
514,25835.78,2964.16
515,25849.62,2761.33
516,25865.04,2763.15
517,25685.23,2772.35
518,26298.09,2798.39
519,25569.52,2590.04
520,25089.12,2996.91
521,25708.90,3355.19
522,26084.76,2969.03
523,25653.31,2563.82
524,26017.73,4581.00
525,25689.22,3655.30
526,26002.03,2993.22
527,25560.47,2698.90
528,25339.96,2478.62
529,25408.05,2837.02
530,25509.67,3034.25
531,25599.84,2913.93
532,26152.32,2534.44
533,25842.70,2931.90
534,25746.14,3000.31
535,25901.22,2670.43
536,25721.14,2786.12
537,25609.42,3326.44
538,25079.28,3168.98
539,25850.15,2825.45
540,26008.68,2571.64
541,25901.48,3211.40
542,26145.41,3909.07
543,25844.29,3459.86
544,26183.98,2809.03
545,26041.40,2555.30
546,25773.80,3583.54
547,25966.39,2375.53
548,26154.72,3475.73
549,26347.57,2783.72
550,26028.37,2686.32
551,25950.96,4163.04
552,25840.04,2696.00
553,26283.99,2529.82
554,26211.11,2936.18
555,25953.35,2840.51
556,25863.71,2907.05
557,25797.21,3094.64
558,25724.86,2776.65
559,25655.43,3564.31
560,25743.21,2766.97
561,25794.29,2797.86
562,25231.96,3055.12
563,25744.28,2944.55
564,25894.30,3439.86
565,26223.88,2916.88
566,25787.10,2582.41
567,25856.80,2532.13
568,26209.51,2256.25
569,25829.40,2932.14
570,25897.49,2951.63
571,26039.01,3144.48
572,25668.73,3325.82
573,25058.26,2805.06
574,25046.83,2899.29
575,25892.17,2779.44
576,25798.01,3673.16
577,25299.53,2729.59
578,25739.49,2959.39
579,25025.28,3393.02
580,26033.15,2403.76
581,25602.77,3350.34
582,25757.58,3356.10
583,25678.04,2900.08
584,25574.84,3007.19
585,25866.90,2963.58
586,25650.91,3015.24
587,25985.27,3547.07
588,26766.52,2848.58
589,25675.65,2725.11
590,25862.91,2418.71
591,25727.25,2529.61
592,25277.18,3379.19
593,26039.01,3408.68
594,25762.37,3597.73
595,25669.53,3099.81
596,25167.32,3003.18
597,25861.05,2785.63
598,25563.66,3415.37
599,25564.46,2637.81
600,25906.80,3307.61
601,26283.99,2312.73
602,25824.34,2574.89
603,26020.92,2343.98
604,26912.82,2862.08
605,25867.70,2962.65
606,25810.51,2860.89
607,25109.34,2694.61
608,25397.68,3304.55
609,26440.13,2602.80
610,25580.69,2854.45
611,25936.60,2459.15
612,25928.62,2573.40
613,26224.67,2729.17
614,25929.41,2356.07
615,26239.84,2672.36
616,25888.18,2457.34
617,25737.63,3059.84
618,26415.66,3467.28
619,25628.30,3196.98
620,24965.70,3492.55
621,25711.83,2926.16
622,25877.81,3117.60
623,25754.12,3368.32
624,26098.06,2794.44
625,25768.48,3108.67
626,25749.07,2766.94
627,25872.49,3764.24
628,25864.51,2495.70
629,25201.37,3003.05
630,25537.33,2755.07
631,25778.06,3554.61
632,26070.93,2856.54
633,25973.30,2921.51
634,25703.31,3430.16
635,25918.24,2945.12
636,25677.25,2946.92
637,26176.79,2736.21
638,26518.34,2824.45
639,25794.29,3601.43
640,25930.74,2707.14
641,25426.14,2930.18
642,25999.90,2762.36
643,26000.70,2895.53
644,26058.96,2511.19
645,26256.86,2733.90
646,25509.93,3252.58
647,25558.08,2769.71
648,26041.67,2957.64
649,26199.40,2959.57
650,25768.75,2761.30
651,25807.85,2562.88
652,25540.79,2827.18
653,26089.28,2827.01
654,25787.90,2465.48
655,25700.12,2487.21
656,25661.29,2746.57
657,25528.55,3429.63
658,25539.46,2368.26
659,25271.33,2643.81
660,25796.41,3114.96
661,25847.49,3416.57
662,26139.55,2274.14
663,26372.57,3549.67
664,26160.30,2624.53
665,25845.36,3191.15
666,25503.55,2249.29
667,25806.52,2698.63
668,25651.18,2732.84
669,25466.04,3461.59
670,25846.69,2493.98
671,25820.09,3403.56
672,25762.37,2408.12
673,25109.34,2550.12
674,25642.40,3396.59
675,25646.92,2872.37
676,25543.45,3353.50
677,26114.82,2692.08
678,26322.83,2989.64
679,25176.90,2791.24
680,25775.67,2352.12
681,25776.46,2814.12
682,25543.98,2781.69
683,26293.57,2812.64
684,25873.29,2923.65
685,25825.41,2960.00
686,25659.96,3188.50
687,26024.64,2913.56
688,25789.50,2829.12
689,26092.47,2395.56
690,25977.03,2907.21
691,26366.72,2752.40
692,25280.11,3766.20
693,26039.01,2709.39
694,25486.26,2881.84
695,25137.53,2785.09
696,26213.77,2713.98
697,25808.92,2800.00
698,25142.32,3161.92
699,26162.70,2842.61
700,26423.11,2921.05
701,25890.31,2879.90
702,25767.95,2840.51
703,25813.97,2781.59
704,25922.76,3416.34
705,25894.83,3035.17
706,25763.96,2944.72
707,25903.61,2784.04
708,26086.62,2555.90
709,26266.97,2855.87
710,25720.34,2778.34
711,25722.20,3212.88
712,25819.82,3164.18
713,25808.38,2708.60
714,25935.80,2896.04
715,26145.14,3054.90
716,25785.77,3296.86
717,26086.09,2904.14
718,25727.52,3267.54
719,25803.60,2737.33
720,25683.63,2994.39
721,26036.08,2876.20
722,25122.10,2325.70
723,25580.96,2843.81
724,25790.03,3195.80
725,26423.64,2780.78
726,25727.25,2776.11
