sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,9818,14423,11052,2339,2137,11,15528,0.14389207978904373,0,4,1973942.0,0.00010054198521483261,24241
1000,9671,14346,10940,2339,2137,11,15416,0.14400471641744705,0,4,1947140.0,0.00010106563926489087,24017
1001,10172,14041,11038,2339,2137,11,15514,0.14467745450930358,0,4,1972122.0,0.00010060719076028347,24213
1002,10093,13926,10941,2339,2137,11,15417,0.14380096025146955,0,4,1946518.0,0.00010106094341364722,24019
1003,9388,14819,11035,2339,2137,11,15511,0.14331156329790232,0,4,1957709.0,0.00010062117269493777,24207
1004,10958,13065,10943,2339,2137,11,15419,0.14381708771855306,0,4,1949913.0,0.00010105155281487191,24023
1005,8557,15664,11042,2339,2137,11,15518,0.1441528260636229,0,4,1969921.0,0.00010058855329755989,24221
1006,10063,14124,11025,2339,2137,11,15501,0.14508953006462844,0,4,1978852.0,0.00010066780290969781,24187
1007,10117,13876,10928,2339,2137,11,15404,0.14419379982133557,0,4,1949896.0,0.00010112201818593076,23993
1008,9557,14646,11033,2339,2137,11,15509,0.14356189009767947,0,4,1963921.0,0.00010063049581251906,24203
1009,10383,13608,10927,2339,2137,11,15403,0.14420911816627602,0,4,1945772.0,0.00010112671882227345,23991
100,10111,14058,11016,2339,2137,11,15492,0.14500906346918815,0,4,1971848.0,0.00010070980138005388,24169
1010,9894,14301,11029,2339,2137,11,15505,0.14338975364474146,0,4,1961301.0,0.00010064914643533545,24195
1011,10988,13023,10937,2339,2137,11,15413,0.14388668479401742,0,4,1949482.0,0.00010107972902634142,24011
1012,8288,15973,11062,2339,2137,11,15538,0.1447569453031869,0,4,1984277.0,0.00010049545364631977,24261
1013,9384,14795,11021,2339,2137,11,15497,0.14341079965536807,0,4,1956985.0,0.00010068646523721397,24179
1014,11028,12961,10926,2339,2137,11,15402,0.1442893418201581,0,4,1952919.0,0.00010113141982687283,23989
1015,9356,14845,11032,2339,2137,11,15508,0.14401481723931842,0,4,1963442.0,0.0001006351579197287,24201
1016,9645,14370,10939,2339,2137,11,15415,0.1441241291485242,0,4,1948912.0,0.00010107033548407136,24015
1017,11104,12889,10928,2339,2137,10,15404,0.14411423733530307,0,4,1948812.0,0.00010112201818593076,23993
1018,11035,13012,10955,2339,2137,11,15431,0.1440575707916639,0,4,1954630.0,0.00010099524011579489,24047
1019,9823,14394,11040,2339,2137,11,15516,0.14368356562729753,0,4,1966590.0,0.00010059787129803199,24217
101,8982,15023,10934,2339,2137,11,15410,0.14411544124765063,0,4,1954344.0,0.00010109382209988861,24005
1020,10533,13510,10953,2339,2137,11,15429,0.14403624099698933,0,4,1958492.0,0.00010100462188882197,24043
1021,8299,15902,11032,2339,2137,11,15508,0.1446717193764216,0,4,1971470.0,0.0001006351579197287,24201
1022,9361,14820,11022,2339,2137,11,15498,0.14353428597520498,0,4,1959431.0,0.00010068179910651388,24181
1023,9561,14686,11055,2339,2137,11,15531,0.14512927751454222,0,4,1982420.0,0.00010052802191143542,24247
1024,10226,13801,10945,2339,2137,11,15421,0.1438038686334173,0,4,1947115.0,0.00010104216368754822,24027
1025,9818,14181,10931,2339,2137,11,15407,0.14392509088947386,0,4,1942959.0,0.00010110791848619703,23999
1026,10772,13459,11047,2339,2137,11,15523,0.14327104028508053,0,4,1963575.0,0.00010056526469034153,24231
1027,10014,14029,10953,2339,2137,11,15429,0.14392662073950727,0,4,1953830.0,0.00010100462188882197,24043
1028,10922,13063,10924,2339,2137,11,15400,0.14417182977022458,0,4,1948950.0,0.00010114082294093984,23985
1029,9424,14759,11023,2339,2137,11,15499,0.144819443343458,0,4,1972883.0,0.00010067713334171123,24183
102,8700,15485,11024,2339,2137,11,15500,0.14366303544912293,0,4,1960037.0,0.0001006724679427809,24185
