sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,30696,34398,31245,3087,2604,35,36936,0.0868442446835988,0,1,7388856.0,4.771478757309722e-05,65094
1000,31456,34610,31731,3087,2604,36,37422,0.08491682690326932,0,1,7831939.0,4.7177576728720024e-05,66066
1001,28184,35656,30618,3087,2604,37,36309,0.0890399024299326,0,1,7246914.0,4.8425739733440516e-05,63840
1002,29061,35319,30888,3087,2604,37,36579,0.08798485819633192,1.618751618751619e-05,1,7268982.0,4.8117071588565656e-05,64380
1003,30169,33625,30595,3087,2604,37,36286,0.08897018331739999,0,1,7260410.0,4.845221218101252e-05,63794
1004,30507,35001,31452,3087,2604,34,37143,0.08638861501807554,0,1,7192320.0,4.748452263556706e-05,65508
1005,31880,33826,31551,3087,2604,32,37242,0.08637538106901904,0,1,7313575.0,4.737516105380891e-05,65706
1006,29598,35212,31103,3087,2604,36,36794,0.08755674331978165,0,1,7413493.0,4.7874011191698395e-05,64810
1007,28749,35231,30688,3087,2604,36,36379,0.08830225687245372,0,1,7331660.0,4.834534461254554e-05,63980
1008,28828,35978,31101,3087,2604,36,36792,0.08732242938183706,0,1,7409046.0,4.7876261181108296e-05,64806
1009,28317,36447,31080,3087,2604,36,36771,0.08825272275858571,0,1,7411865.0,4.7899898531116377e-05,64764
100,29174,35106,30838,3087,2604,36,36529,0.0867873079727421,0,1,7681948.0,4.8173942574765866e-05,64280
1010,29106,35138,30820,3087,2604,35,36511,0.08799089369275996,0,1,7386118.0,4.819444822971861e-05,64244
1011,30473,34889,31379,3087,2604,34,37070,0.08691421993764857,0,1,7261522.0,4.756547918137745e-05,65362
1012,31495,34019,31455,3087,2604,38,37146,0.08662862948098593,0,1,7443823.0,4.748120140789437e-05,65514
1013,29453,36113,31481,3087,2604,34,37172,0.08636579648561185,0,1,7303677.0,4.745243641953232e-05,65566
1014,28998,35352,30873,3087,2604,35,36564,0.08767224545054807,0,1,7260175.0,4.813411913229043e-05,64350
1015,30692,33966,31027,3087,2604,38,36718,0.08713316736211976,0,1,7676618.0,4.795965605664938e-05,64658
1016,32229,33195,31410,3087,2604,38,37101,0.0868669674269916,0,1,7354153.0,4.753106748526696e-05,65424
1017,28522,35708,30813,3087,2604,36,36504,0.08823270833398822,0,1,7207090.0,4.820242724819588e-05,64230
1018,28198,35760,30677,3087,2604,36,36368,0.08843071432060402,0,1,7186150.0,4.835796089653612e-05,63958
1019,31621,34719,31868,3087,2604,35,37559,0.08362952838428028,1.56897200953935e-05,1,7891484.0,4.702826847383916e-05,66340
101,29446,37570,32206,3087,2604,36,37897,0.0816448721379856,0,1,8425541.0,4.6663821159549e-05,67016
1020,30328,37832,32778,3087,2604,39,38469,0.08022200242871384,0,1,8763934.0,4.605948496527184e-05,68160
1021,29806,34360,30781,3087,2604,36,36472,0.08805015872960854,0,1,7198300.0,4.823893558676868e-05,64166
1022,31864,33146,31203,3087,2604,34,36894,0.08706004160730829,0,1,7264873.0,4.776177416225727e-05,65010
1023,32174,32668,31119,3087,2604,36,36810,0.08720154947246354,0,1,7369625.0,4.785601870029173e-05,64842
1024,29582,35772,31375,3087,2604,38,37066,0.08677869744114541,0,1,7851848.0,4.75699229426789e-05,65354
1025,27526,36720,30821,3087,2604,35,36512,0.08699571223617988,0,1,7491142.0,4.819330858016905e-05,64246
1026,29165,35431,30996,3087,2604,37,36687,0.08785585202200236,0,1,7271924.0,4.799467602361051e-05,64596
1027,29409,35325,31065,3087,2604,36,36756,0.08749885931688633,0,1,7377477.0,4.791679629605696e-05,64734
1028,27859,36279,30767,3087,2604,35,36458,0.08826488874049358,0,1,7409590.0,4.825492494369929e-05,64138
1029,30852,33356,30802,3087,2604,34,36493,0.08810389869312853,1.623271216154795e-05,1,7228656.0,4.8214970911267064e-05,64208
102,31127,34359,31441,3087,2604,34,37132,0.08642569976335887,0,1,7415367.0,4.749670435131172e-05,65486
1030,29434,34386,30608,3087,2604,35,36299,0.08878484192426853,0,1,7177132.0,4.8437246028442204e-05,63820
1031,30401,35207,31502,3087,2604,32,37193,0.0858240391053837,0,1,7392837.0,4.742922798385523e-05,65608
1032,31156,35422,31987,3087,2604,38,37678,0.08147464190106163,0,1,8594098.0,4.6899324538286333e-05,66578
1033,31307,34323,31513,3087,2604,35,37204,0.08620361073593563,0,1,7327521.0,4.7417080026127465e-05,65630
1034,28485,35405,30643,3087,2604,36,36334,0.08862305274867326,0,1,7222023.0,4.839699729181796e-05,63890
1035,28964,35960,31160,3087,2604,35,36851,0.08728732267954274,0,1,7345862.0,4.780997310412863e-05,64924
1036,32146,33858,31700,3087,2604,34,37391,0.0857467301809427,0,1,7477445.0,4.7211490345738764e-05,66004
1037,31189,33409,30997,3087,2604,36,36688,0.0874761015781839,0,1,7261401.0,4.799354556872959e-05,64598
1038,29365,35371,31066,3087,2604,37,36757,0.08735801565827349,0,1,7255478.0,4.791566941661574e-05,64736
1039,28835,36187,31209,3087,2604,38,36900,0.08392041680391,0,1,8051230.0,4.775505626543298e-05,65022
103,28606,36598,31300,3087,2604,35,36991,0.08719261094898946,0,1,7555194.0,4.765339375237581e-05,65204
1040,29597,35387,31190,3087,2604,34,36881,0.08695159593918896,0,1,7360205.0,4.7776335933221586e-05,64984
1041,30988,34920,31652,3087,2604,34,37343,0.08537874952245153,0,1,7206148.0,4.726409578546184e-05,65908
1042,28433,35801,30815,3087,2604,38,36506,0.0881570725231036,0,1,7372324.0,4.820014726580474e-05,64234
1043,32347,32681,31212,3087,2604,34,36903,0.08734856840946287,1.6019479687299756e-05,1,7297636.0,4.7751698008392464e-05,65028
1044,28919,35149,30732,3087,2604,36,36423,0.08861211697644532,0,1,7281753.0,4.8294943579561066e-05,64068
1045,29686,35084,31083,3087,2604,37,36774,0.08716444223695703,0,1,7173739.0,4.7896520373034515e-05,64770
1046,27863,35691,30475,3087,2604,33,36166,0.08876884287925582,0,1,7196459.0,4.85907880156801e-05,63554
1047,30052,34092,30770,3087,2604,36,36461,0.08835981316458853,0,1,7376467.0,4.825149778308951e-05,64144
1048,28629,35267,30646,3087,2604,40,36337,0.08785808742354913,0,1,7520001.0,4.8393550433332224e-05,63896
1049,28807,36963,31583,3087,2604,33,37274,0.08649153274184436,0,1,7336519.0,4.7339916946999424e-05,65770
104,30867,34403,31333,3087,2604,35,37024,0.08720450930419522,0,1,7358612.0,4.7616631405117575e-05,65270
1050,28361,36219,30988,3087,2604,35,36679,0.08687290906757528,0,1,7376645.0,4.8003721532739475e-05,64580
1051,31583,33163,31071,3087,2604,34,36762,0.08748703117500423,0,1,7238537.0,4.791003579480381e-05,64746
1052,29504,35842,31371,3087,2604,40,37062,0.08365065819358267,0,1,8574510.0,4.757436751437847e-05,65346
1053,28736,35496,30814,3087,2604,33,36505,0.0879957569738115,0,1,7175564.0,4.820128723071418e-05,64232
1054,30216,34648,31130,3087,2604,36,36821,0.08729850894862458,0,1,7401994.0,4.78436565134074e-05,64864
1055,30033,34967,31198,3087,2604,36,36889,0.08731741706487577,0,1,7414289.0,4.776737381839611e-05,65000
1056,29703,35217,31158,3087,2604,37,36849,0.08775751127738125,0,1,7341457.0,4.781221722520233e-05,64920
1057,30194,34716,31153,3087,2604,34,36844,0.0869330293655741,0,1,7377863.0,4.781782842714458e-05,64910
1058,31429,34003,31414,3087,2604,36,37105,0.08679198192683578,1.5916470363532182e-05,1,7357516.0,4.7526630805821896e-05,65432
1059,28013,35987,30698,3087,2604,36,36389,0.08882528718918961,1.6287706039481398e-05,1,7290415.0,4.833388083033366e-05,64000
105,30815,34415,31313,3087,2604,36,37004,0.08676743396859128,0,1,7353001.0,4.7638905005067076e-05,65230
1060,31877,33717,31495,3087,2604,33,37186,0.08572933545491744,0,1,7141790.0,4.743696166643818e-05,65594
1061,31630,33858,31442,3087,2604,36,37133,0.08679724227275827,0,1,7270863.0,4.7495596670526184e-05,65488
1062,32513,36219,33064,3087,2604,36,38755,0.0798011162745644,0,1,8545498.0,4.576302300468123e-05,68732
1063,27812,37206,31207,3087,2604,40,36898,0.0870814972652411,0,1,8052840.0,4.7757295359500926e-05,65018
1064,29946,35222,31282,3087,2604,36,36973,0.08690524707141774,0,1,7404965.0,4.767346929793902e-05,65168
1065,29299,36149,31422,3087,2604,35,37113,0.08566899595363948,0,1,7490787.0,4.751775987165779e-05,65448
1066,28306,35698,30700,3087,2604,36,36391,0.08818547604843799,0,1,7301418.0,4.833158870977894e-05,64004
1067,31686,33998,31540,3087,2604,35,37231,0.08589752771858802,0,1,7202394.0,4.738728805048124e-05,65684
1068,30296,33738,30715,3087,2604,34,36406,0.08781027990709653,0,1,7324454.0,4.831440455786054e-05,64034
1069,31732,34846,31987,3087,2604,36,37678,0.08476229832320889,0,1,7588475.0,4.6899324538286333e-05,66578
106,30501,34359,31128,3087,2604,35,36819,0.0875835535720448,0,1,7410003.0,4.784590372031202e-05,64860
1070,30239,34631,31133,3087,2604,34,36824,0.08747185023780446,0,1,7312295.0,4.7840286089129196e-05,64870
1071,28909,36299,31302,3087,2604,37,36993,0.08614453113187043,0,1,7705449.0,4.7651164154595036e-05,65208
1072,28688,35780,30932,3087,2604,35,36623,0.0877234864663212,0,1,7346972.0,4.8067133319487996e-05,64468
1073,27984,35774,30577,3087,2604,37,36268,0.08874399094449714,0,1,7216488.0,4.847294943177049e-05,63758
1074,29093,35729,31109,3087,2604,35,36800,0.08716189420563775,0,1,7239370.0,4.7867262461054586e-05,64822
1075,32057,33843,31648,3087,2604,35,37339,0.08623816714268004,1.5798786653185036e-05,1,7336652.0,4.726848473940413e-05,65900
1076,30858,34710,31482,3087,2604,37,37173,0.08654662882402614,0,1,7207453.0,4.745133075320486e-05,65568
1077,29138,35172,30853,3087,2604,32,36544,0.0875227321593201,0,1,7245542.0,4.815686752065664e-05,64310
1078,31451,34043,31445,3087,2604,37,37136,0.08689646380587256,1.590077913817777e-05,1,7369032.0,4.7492273930713926e-05,65494
1079,30651,35249,31648,3087,2604,36,37339,0.08517067291530976,0,1,7607868.0,4.726848473940413e-05,65900
107,31104,34268,31384,3087,2604,33,37075,0.08679678418552672,1.5931684934998726e-05,1,7325083.0,4.755992561904676e-05,65372
1080,27768,36658,30911,3087,2604,36,36602,0.08530784330112183,0,1,7685644.0,4.809095487844698e-05,64426
1081,35012,34082,33245,3087,2604,36,38936,0.07798180092054977,0,1,8674555.0,4.5577324073468426e-05,69094
1082,28513,35311,30610,3087,2604,36,36301,0.0883952469349613,0,1,7198375.0,4.843494434314622e-05,63824
1083,32467,36143,33003,3087,2604,36,38694,0.08005624748611384,0,1,8479089.0,4.582594068603625e-05,68610
1084,30617,34185,31099,3087,2604,35,36790,0.08700179364568437,0,1,7340918.0,4.7878511376828156e-05,64802
1085,29952,35566,31457,3087,2604,37,37148,0.08561931216999166,0,1,7883291.0,4.74789875080333e-05,65518
1086,29010,35514,30960,3087,2604,36,36651,0.08769534723829457,1.614987080103359e-05,1,7253395.0,4.8035407017327966e-05,64524
1087,30970,34398,31382,3087,2604,33,37073,0.08681499083332266,0,1,7345584.0,4.75621468920963e-05,65368
1088,29520,34956,30936,3087,2604,33,36627,0.08743804300933108,0,1,7284366.0,4.806259848868845e-05,64476
1089,29805,35619,31410,3087,2604,33,37101,0.08614743782136174,0,1,7354586.0,4.753106748526696e-05,65424
108,27860,36326,30791,3087,2604,32,36482,0.08824128388538523,0,1,7242961.0,4.822752094067797e-05,64186
1090,31379,34105,31440,3087,2604,37,37131,0.08690062654659839,1.5903307888040712e-05,1,7436871.0,4.749781208252686e-05,65484
1091,30512,34430,31169,3087,2604,36,36860,0.08751746226220995,0,1,7467431.0,4.779987710201288e-05,64942
1092,28855,38401,32326,3087,2604,40,38017,0.081049457125173,0,1,9103889.0,4.653575588946607e-05,67256
1093,29532,35912,31420,3087,2604,35,37111,0.08641362889030227,0,1,7448092.0,4.7519977302174765e-05,65444
1094,30138,35526,31530,3087,2604,40,37221,0.08581626482024571,0,1,7553973.0,4.739831785344868e-05,65664
1095,29977,33793,30583,3087,2604,36,36274,0.08885811026294453,0,1,7200899.0,4.846603509304835e-05,63770
1096,30715,34591,31351,3087,2604,32,37042,0.08648443166232561,0,1,7413849.0,4.759660253634865e-05,65306
1097,28510,35270,30588,3087,2604,36,36279,0.08870042710097252,0,1,7194301.0,4.846027461238653e-05,63780
1098,29441,35731,31284,3087,2604,38,36975,0.08695078986751485,0,1,7395229.0,4.7671237866727466e-05,65172
1099,28193,35917,30753,3087,2604,34,36444,0.08817269451432125,0,1,7380417.0,4.827092463717364e-05,64110
109,29922,35030,31174,3087,2604,36,36865,0.08778556323126392,0,1,7445214.0,4.77942700091927e-05,64952
10,30972,34162,31265,3087,2604,37,36956,0.08699221312760802,0,1,7283337.0,4.7692444696380336e-05,65134
1100,29695,33939,30515,3087,2604,37,36206,0.08871141615272528,0,1,7195836.0,4.854451033214068e-05,63634
1101,29585,34845,30913,3087,2604,37,36604,0.08808466665486749,0,1,7478311.0,4.8088685166618955e-05,64430
1102,32084,34110,31795,3087,2604,37,37486,0.0853943942130197,0,1,7764410.0,4.710771181794313e-05,66194
1103,29520,35180,31048,3087,2604,36,36739,0.08720570971588693,0,1,7170334.0,4.793596115960815e-05,64700
1104,30875,35085,31678,3087,2604,36,37369,0.08548289434366774,0,1,7351046.0,4.723558697154628e-05,65960
1105,28772,35704,30936,3087,2604,35,36627,0.0878194353493601,0,1,7195267.0,4.806259848868845e-05,64476
1106,28671,35255,30661,3087,2604,35,36352,0.08771852571249386,0,1,7316842.0,4.8376323316366524e-05,63926
1107,28257,36493,31073,3087,2604,40,36764,0.08735490306835646,0,1,7892708.0,4.790778270786555e-05,64750
1108,28977,35527,30950,3087,2604,35,36641,0.08746829910516313,0,1,7235614.0,4.8046733149886145e-05,64504
1109,30324,35010,31365,3087,2604,34,37056,0.08703596760959781,0,1,7247441.0,4.758103589189295e-05,65334
110,28544,36066,31003,3087,2604,38,36694,0.08721896454347983,0,1,7591653.0,4.798676392996228e-05,64610
1110,30516,34374,31143,3087,2604,36,36834,0.08449576803790196,0,1,7731283.0,4.782905468644092e-05,64890
1111,31101,33831,31164,3087,2604,34,36855,0.08711119250471679,0,1,7274579.0,4.7805485478465345e-05,64932
1112,30011,35727,31567,3087,2604,36,37258,0.08585061835952595,0,1,7484313.0,4.7357532598811646e-05,65738
1113,29594,35296,31143,3087,2604,33,36834,0.08706490708955668,0,1,7183650.0,4.782905468644092e-05,64890
1114,29133,35009,30769,3087,2604,36,36460,0.08858663298656863,1.625012187591407e-05,1,7311763.0,4.8252640117227844e-05,64142
1115,30262,35248,31453,3087,2604,34,37144,0.08700732843577856,0,1,7434605.0,4.748341550928759e-05,65510
1116,28554,35834,30892,3087,2604,35,36583,0.08797764418556153,6.474168069403081e-05,1,7263701.0,4.811252756530332e-05,64388
1117,29783,35465,31322,3087,2604,32,37013,0.08681135952699608,0,1,7394662.0,4.762887936923176e-05,65248
1118,30849,34217,31231,3087,2604,38,36922,0.08756520563907667,0,1,7348920.0,4.773043974397593e-05,65066
1119,31174,33676,31123,3087,2604,36,36814,0.0874806307654186,0,1,7430629.0,4.785152263862324e-05,64850
111,29626,35608,31315,3087,2604,35,37006,0.08687356386737084,0,1,7289483.0,4.763667673007345e-05,65234
1120,32005,33193,31297,3087,2604,33,36988,0.08713814489619874,0,1,7449216.0,4.765673853081797e-05,65198
1121,31058,35528,31991,3087,2604,36,37682,0.08254279736641465,0,1,8268300.0,4.689500228707686e-05,66586
1122,27999,35815,30605,3087,2604,35,36296,0.0883446587690915,0,1,7196401.0,4.844069895615433e-05,63814
1123,30256,34844,31248,3087,2604,35,36939,0.0872555381601836,1.6001024065540195e-05,1,7422578.0,4.771143483952382e-05,65100
1124,29115,35799,31155,3087,2604,36,36846,0.08716348253849238,0,1,7221479.0,4.781558379219212e-05,64914
1125,28183,36129,30854,3087,2604,36,36545,0.08815330859107161,0,1,7347216.0,4.815572960333193e-05,64312
1126,27834,36076,30653,3087,2604,35,36344,0.08831854525612795,0,1,7190231.0,4.838550962416934e-05,63910
1127,29560,35492,31224,3087,2604,38,36915,0.08721143163855063,0,1,7384607.0,4.773826958723723e-05,65052
1128,27167,36623,30593,3087,2604,36,36284,0.08929062634411596,0,1,7372526.0,4.845451546604176e-05,63790
1129,30643,37709,32874,3087,2604,36,38565,0.08029377669053679,0,1,8466463.0,4.5959555187997455e-05,68352
112,30576,34464,31218,3087,2604,34,36909,0.08695742858116633,0,1,7346106.0,4.7744982876596635e-05,65040
1130,28824,35058,30639,3087,2604,36,36330,0.08837379659093149,1.6319070465746273e-05,1,7181697.0,4.8401593847619624e-05,63882
1131,28507,35023,30463,3087,2604,37,36154,0.08964564517767404,0,1,7398326.0,4.860468808918026e-05,63530
1132,30860,35370,31813,3087,2604,37,37504,0.08475051861476982,0,1,7852891.0,4.7088098708644835e-05,66230
1133,31006,34534,31468,3087,2604,35,37159,0.08667332476041602,0,1,7570430.0,4.746681465999636e-05,65540
1134,29516,34582,30747,3087,2604,38,36438,0.08762606815192273,0,1,7551750.0,4.8277784815306695e-05,64098
1135,30039,34279,30857,3087,2604,35,36548,0.08842603306740032,0,1,7289353.0,4.815231616593683e-05,64318
1136,30279,34113,30894,3087,2604,37,36585,0.08826931551710429,0,1,7432906.0,4.811025586748323e-05,64392
1137,28075,36567,31019,3087,2604,37,36710,0.08805431289848228,0,1,7482758.0,4.7968688694838556e-05,64642
1138,30125,36087,31804,3087,2604,36,37495,0.08540571057176598,0,1,7512837.0,4.709790326909255e-05,66212
1139,29707,36321,31712,3087,2604,36,37403,0.08600238839586058,0,1,7454110.0,4.719835684755023e-05,66028
113,32040,33084,31260,3087,2604,34,36951,0.08743700774625046,0,1,7317960.0,4.769802850126391e-05,65124
1140,30788,33578,30881,3087,2604,36,36572,0.08829342124614163,0,1,7311874.0,4.812502564347741e-05,64366
1141,28328,35896,30810,3087,2604,37,36501,0.0881663714237772,0,1,7346582.0,4.82058476161096e-05,64224
1142,29349,35351,31048,3087,2604,36,36739,0.08739184521341445,0,1,7232430.0,4.793596115960815e-05,64700
1143,32360,33134,31445,3087,2604,34,37136,0.08667271194306611,0,1,7375125.0,4.7492273930713926e-05,65494
1144,31222,33976,31297,3087,2604,35,36988,0.08691418449095714,0,1,7309433.0,4.765673853081797e-05,65198
1145,29591,35719,31353,3087,2604,35,37044,0.08629697018342548,0,1,7440735.0,4.759437812144898e-05,65310
1146,29632,35336,31182,3087,2604,36,36873,0.08759224859959515,0,1,7430772.0,4.7785301329573494e-05,64968
1147,29324,35514,31117,3087,2604,37,36808,0.08761020356327272,0,1,7457011.0,4.7858267040207684e-05,64838
1148,30632,34962,31495,3087,2604,34,37186,0.08655931635645006,1.587553579933323e-05,1,7299034.0,4.743696166643818e-05,65594
1149,27711,35839,30473,3087,2604,36,36164,0.08903778300038347,0,1,7336661.0,4.859310415664174e-05,63550
114,30430,34070,30948,3087,2604,40,36639,0.08722247621358656,0,1,7558342.0,4.8048999001461346e-05,64500
1150,31643,33725,31382,3087,2604,34,37073,0.08627198532492672,0,1,7446694.0,4.75621468920963e-05,65368
1151,27457,35693,30273,3087,2604,33,35964,0.08931980733096373,0,1,7326679.0,4.882580956138038e-05,63150
1152,30829,34025,31125,3087,2604,35,36816,0.08758093676627328,0,1,7374518.0,4.784927491681601e-05,64854
1153,30758,35068,31611,3087,2604,34,37302,0.0850071202877238,0,1,7673993.0,4.730912032345346e-05,65826
1154,29534,35832,31381,3087,2604,34,37072,0.085611198240484,0,1,7307683.0,4.7563257604559095e-05,65366
