sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,51484,35335,42507,1975,1805,43,46287,0.03431957541006536,0,2,36754483.0,4.0523420341796985e-05,86819
1000,52123,36486,43402,1975,1805,43,47182,0.033715368915264034,0,2,35482158.0,3.980469931129259e-05,88609
1001,51118,36511,42912,1975,1805,43,46692,0.034284381288471506,0,2,35867422.0,4.0195015763735766e-05,87629
1002,51415,36448,43029,1975,1805,43,46809,0.034169340350667037,0,2,34721889.0,4.010112711665609e-05,87863
1003,49618,37671,42742,1975,1805,43,46522,0.03443316154592999,0,2,35837074.0,4.033221741140084e-05,87289
1004,51428,34739,42181,1975,1805,43,45961,0.03464110094213088,0,2,35153344.0,4.079166979822394e-05,86167
1005,50967,36092,42627,1975,1805,43,46407,0.03432795133658606,0,2,34470847.0,4.042555997526633e-05,87059
1006,50646,35939,42390,1975,1805,42,46170,0.03460376748068576,0,2,36107631.0,4.0619289136591255e-05,86585
1007,51926,34915,42518,1975,1805,43,46298,0.03428343430783248,0,2,36365168.0,4.0514430186968125e-05,86841
1008,50296,36295,42393,1975,1805,42,46173,0.03457627186825952,0,2,36853786.0,4.061682532506468e-05,86591
1009,52281,35326,42901,1975,1805,43,46681,0.034082255410227476,0,2,35296305.0,4.0203865404762663e-05,87607
100,51284,37329,43404,1975,1805,43,47184,0.03386565882821845,0,2,37279426.0,3.9803121640610783e-05,88613
1010,51002,36223,42710,1975,1805,42,46490,0.034259020817628806,0,2,36855290.0,4.0358147897803646e-05,87225
1011,52022,35005,42611,1975,1805,43,46391,0.03434262267384428,0,2,35365152.0,4.043858084376839e-05,87027
1012,50091,36936,42611,1975,1805,43,46391,0.03440772573496884,0,2,36814844.0,4.043858084376839e-05,87027
1013,49698,36579,42236,1975,1805,42,46016,0.034747722332306274,0,2,37192686.0,4.074616549571049e-05,86277
1014,50526,35851,42286,1975,1805,43,46066,0.03471030299243573,0,2,36270769.0,4.070488550849102e-05,86377
1015,51474,37439,43554,1975,1805,43,47334,0.033779096935247395,0,2,35835741.0,3.9685150009326965e-05,88913
1016,51902,35325,42711,1975,1805,43,46491,0.034382577354381175,0,2,35318440.0,4.035733706793349e-05,87227
1017,50487,36014,42348,1975,1805,42,46128,0.03475993041928999,0,2,34949445.0,4.065381375061858e-05,86501
1018,50138,36511,42422,1975,1805,42,46202,0.03465170970826508,0,2,35004625.0,4.0593023802831135e-05,86649
1019,52166,34793,42577,1975,1805,43,46357,0.03426163367048158,0,2,35009956.0,4.0466277919007146e-05,86959
101,53106,35293,43297,1975,1805,43,47077,0.033669607612271904,0,2,35529923.0,3.98877021778208e-05,88399
1020,54487,33200,42941,1975,1805,43,46721,0.033956731647055705,0,2,35591163.0,4.017170346384381e-05,87687
1021,50367,37848,43205,1975,1805,42,46985,0.03409649597134304,0,2,35014748.0,3.996071216253957e-05,88215
1022,49255,36802,42126,1975,1805,42,45906,0.03476971647698437,0,2,34643042.0,4.083727532837249e-05,86057
1023,49587,36474,42128,1975,1805,42,45908,0.035016017000184196,0,2,34951661.0,4.083561516803241e-05,86061
1024,52564,36915,43837,1975,1805,43,47617,0.03346039542672147,0,2,35692115.0,3.9464461588783804e-05,89479
1025,52732,36247,43587,1975,1805,43,47367,0.03352724423207558,0,2,35220691.0,3.96592895877396e-05,88979
1026,50123,35854,42086,1975,1805,42,45866,0.03486968772379786,0,2,37216721.0,4.08705067595346e-05,85977
1027,50749,36346,42645,1975,1805,42,46425,0.03448960485452672,0,2,35172220.0,4.0410921467374634e-05,87095
1028,50735,36700,42815,1975,1805,42,46595,0.03428425700788099,0,2,37470668.0,4.027318739876632e-05,87435
1029,49798,36853,42423,1975,1805,42,46203,0.034564214640789154,0,2,35593722.0,4.0592203555698644e-05,86651
102,49439,37850,42742,1975,1805,42,46522,0.03430025399382203,0,2,37214660.0,4.033221741140084e-05,87289
1030,49008,37965,42584,1975,1805,43,46364,0.03459672576355179,0,2,35150892.0,4.04605724944591e-05,86973
1031,51698,35015,42454,1975,1805,43,46234,0.03448211326792167,0,2,35348256.0,4.056679224309413e-05,86713
1032,53218,34541,42977,1975,1805,43,46757,0.03387992567857195,0,2,35549377.0,4.0142801464800074e-05,87759
1033,51563,35310,42534,1975,1805,42,46314,0.034301039925839764,0,2,36424143.0,4.050136068077256e-05,86873
1034,51780,36019,42997,1975,1805,43,46777,0.03421412730293237,0,2,35728225.0,4.0126762673133e-05,87799
1035,51919,34680,42397,1975,1805,43,46177,0.03437282408127261,0,2,35084376.0,4.0613540705577865e-05,86599
1036,51525,35928,42824,1975,1805,43,46604,0.03408680272018314,0,2,35012438.0,4.026592162923128e-05,87453
1037,49189,37006,42195,1975,1805,42,45975,0.03465010450234491,0,2,35350821.0,4.078007729408397e-05,86195
1038,50265,35794,42127,1975,1805,42,45907,0.03483317096797671,0,2,36931508.0,4.083644523141608e-05,86059
1039,51837,37542,43787,1975,1805,43,47567,0.03360106069269364,0,2,37681940.0,3.950327462783744e-05,89379
103,52418,35477,43045,1975,1805,43,46825,0.03393628184451108,0,2,35404500.0,4.008832155746014e-05,87895
1040,50181,35820,42098,1975,1805,42,45878,0.034785764611698806,0,2,37002113.0,4.0860531681907694e-05,86001
1041,52216,34161,42286,1975,1805,43,46066,0.03444038858480838,0,2,34943919.0,4.070488550849102e-05,86377
1042,50971,36122,42644,1975,1805,43,46424,0.03443008558283432,0,2,34946153.0,4.041173444107345e-05,87093
1043,50272,35991,42229,1975,1805,43,46009,0.034604699148413944,0,2,35156847.0,4.0751951342112465e-05,86263
