sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,64587,101240,78707,11592,8413,80,98712,0.11565354637383411,6.352675111489448e-06,1,87605409.0,1.7018439736177283e-05,165827
1000,55586,110341,78757,11592,8413,79,98762,0.11546257746753255,0,1,87683096.0,1.701146462071764e-05,165927
1001,58756,106165,78254,11592,8413,83,98259,0.11598581336458211,6.38944974058834e-06,1,87543045.0,1.708188129496433e-05,164921
1002,61170,104423,78590,11592,8413,78,98595,0.11556767723813546,0,1,87519963.0,1.7034782637884293e-05,165593
1003,55901,109138,78313,11592,8413,82,98318,0.11589818452700576,6.384636011900961e-06,1,87542834.0,1.7073593208454903e-05,165039
1004,57804,107899,78645,11592,8413,76,98650,0.11575424936891875,1.2715366520439952e-05,1,87583847.0,1.702709638642284e-05,165703
1005,57455,108466,78754,11592,8413,80,98759,0.11556346557406477,0,1,87834876.0,1.701188297532827e-05,165921
1006,59251,105704,78271,11592,8413,75,98276,0.11585921389296455,0,1,87488046.0,1.707949242343238e-05,164955
1007,59672,105903,78581,11592,8413,80,98586,0.11572426824021183,0,1,87391639.0,1.7036041012110873e-05,165575
1008,59093,106116,78398,11592,8413,80,98403,0.11580547765486701,1.2755427434373326e-05,1,87592956.0,1.7061666083960925e-05,165209
1009,60686,105651,78962,11592,8413,76,98967,0.11509708249633185,0,1,87585322.0,1.698292303577764e-05,166337
100,58715,106510,78406,11592,8413,82,98411,0.11583121054631632,6.377062979873989e-06,1,87331801.0,1.7060544341012487e-05,165225
1010,60341,105110,78519,11592,8413,79,98524,0.11573654753607164,0,1,87395085.0,1.704471458529155e-05,165451
1011,57691,107950,78614,11592,8413,77,98619,0.11576987776472202,6.360190296893683e-06,1,87552613.0,1.7031427831449315e-05,165641
1012,54219,110882,78344,11592,8413,81,98349,0.11587198727572048,0,1,87563741.0,1.706924149282314e-05,165101
1013,63224,102133,78472,11592,8413,79,98477,0.11581551571321214,1.2743398919359771e-05,1,87645033.0,1.705129527265838e-05,165357
1014,61919,103110,78308,11592,8413,79,98313,0.1159612200525087,0,1,87563776.0,1.707429529423644e-05,165029
1015,57806,107603,78498,11592,8413,82,98503,0.11579748708276204,0,1,87668241.0,1.7047654299566755e-05,165409
