sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,196270,317787,238320,37597,37417,43,313334,0.09031162913723306,4.196038939241356e-06,29,441914489.0,5.235975643043648e-06,514057
1000,193123,321090,238398,37597,37417,43,313412,0.09027020178375211,4.1946660626347535e-06,29,442058029.0,5.234957931854115e-06,514213
1001,198183,316172,238469,37597,37417,43,313483,0.09025369460910174,0,29,441992829.0,5.234031870587886e-06,514355
1002,222977,290654,238107,37597,37417,43,313121,0.09039271206184464,0,29,441987603.0,5.238756635302829e-06,513631
1003,164736,349317,238318,37597,37417,43,313332,0.09031303502370673,0,29,442012375.0,5.2360017429961685e-06,514053
1004,224828,288395,237903,37597,37417,43,312917,0.09046873752356582,8.406787640340811e-06,29,441879941.0,5.241422673104216e-06,513223
1005,162722,351661,238483,37597,37417,43,313497,0.09024236413338646,2.09658550085331e-06,29,442038954.0,5.233849302590125e-06,514383
1006,196469,317546,238299,37597,37417,43,313313,0.09032316036033376,0,29,441949471.0,5.236249704501992e-06,514015
1007,225615,287320,237759,37597,37417,43,312773,0.09051578813142994,4.2059396279425805e-06,29,442153242.0,5.243306087271166e-06,512935
1008,193812,319735,238065,37597,37417,43,313079,0.09041306329977222,0,29,441910390.0,5.2393053211996805e-06,513547
1009,224395,289176,238077,37597,37417,43,313091,0.09040128007764979,2.520193046787384e-05,29,441943273.0,5.239148542997959e-06,513571
100,194492,318809,237942,37597,37417,43,312956,0.09045607883072383,0,29,441914185.0,5.240912796198352e-06,513301
1010,196569,317156,238154,37597,37417,43,313168,0.0903799375464096,0,29,441883895.0,5.2381427551580064e-06,513725
1011,223911,289892,238193,37597,37417,43,313207,0.09035859005581098,8.39655237559458e-06,29,441898409.0,5.237633465854874e-06,513803
1012,162562,351751,238448,37597,37417,43,313462,0.09026193452901556,0,29,441972351.0,5.234305744590508e-06,514313
1013,195696,317863,238071,37597,37417,43,313085,0.09039505601569839,0,29,442213903.0,5.2392269310184815e-06,513559
1014,195844,318399,238413,37597,37417,43,313427,0.09027440398564762,0,29,441902920.0,5.234762259952159e-06,514243
1015,165836,347305,237862,37597,37417,43,312876,0.09048173254349573,0,29,441969892.0,5.241958796071493e-06,513141
1016,194613,318458,237827,37597,37417,43,312841,0.09050007364656575,0,29,441851827.0,5.242416541940678e-06,513071
1017,221962,291365,237955,37597,37417,43,312969,0.09043930958426522,1.8911138660671137e-05,29,442249983.0,5.24074285753239e-06,513327
1018,222081,291476,238070,37597,37417,43,313084,0.09039653953852488,4.2004452471962024e-06,29,442261046.0,5.239239995898633e-06,513557
1019,196279,317762,238312,37597,37417,43,313326,0.09031050770694468,8.392359595823962e-06,29,441834976.0,5.236080044292115e-06,514041
101,192962,321175,238360,37597,37417,43,313374,0.09027972482512378,0,29,442199679.0,5.235453694332016e-06,514137
1020,226063,287092,237869,37597,37417,43,312883,0.09046567662660446,2.1019973178514225e-06,29,442190766.0,5.2418672557316705e-06,513155
1021,164315,349128,238013,37597,37417,43,313027,0.09041877304679732,0,29,442121414.0,5.239984793289661e-06,513443
1022,164640,349731,238477,37597,37417,43,313491,0.09024417664931793,4.193276500459164e-06,29,442091268.0,5.233927544580693e-06,514371
1023,166371,347378,238166,37597,37417,43,313180,0.09037168699376276,0,29,441944752.0,5.2379860410396786e-06,513749
1024,223312,290911,238403,37597,37417,43,313417,0.09028315464515313,8.389156176725964e-06,29,441903850.0,5.234892706389248e-06,514223
1025,222765,291530,238439,37597,37417,43,313453,0.09026537563124921,0,29,441981905.0,5.234423127247582e-06,514295
1026,196706,317209,238249,37597,37417,43,313263,0.09033959209378149,0,29,442016203.0,5.236902338181321e-06,513915
1027,224979,288434,237998,37597,37417,43,313012,0.09043349328373457,4.201715980806562e-06,29,442023883.0,5.240180825021556e-06,513413
1028,224115,289742,238220,37597,37417,43,313234,0.09033815769261407,0,29,442275756.0,5.237280934392592e-06,513857
1029,166214,347063,237930,37597,37417,43,312944,0.09046047383220802,0,29,441910964.0,5.241069671668823e-06,513277
102,162641,351478,238351,37597,37417,42,313365,0.09030479715463983,0,29,441924580.0,5.235571124432838e-06,514119
1030,164858,349591,238516,37597,37417,42,313530,0.0902366240455435,0,29,441927594.0,5.23341901016922e-06,514449
1031,225930,287665,238089,37597,37417,43,313103,0.09040045254082196,1.260033012864937e-05,29,441853214.0,5.238991773438636e-06,513595
1032,193099,321040,238361,37597,37417,43,313375,0.09028467374196082,0,29,442100123.0,5.2354406468426285e-06,514139
1033,196213,318052,238424,37597,37417,43,313438,0.09027171204716307,8.38841727342885e-06,29,441892059.0,5.23461877578968e-06,514265
1034,222777,290198,237779,37597,37417,43,312793,0.09051745268935317,1.2616757577414322e-05,29,441976858.0,5.243044427435013e-06,512975
1035,196332,317541,238228,37597,37417,43,313242,0.09034053704259301,0,29,442021394.0,5.237176489021619e-06,513873
1036,193252,321149,238492,37597,37417,43,313506,0.09024581694365778,4.193012763530852e-06,29,441860201.0,5.2337319436457795e-06,514401
1037,190601,322596,237890,37597,37417,43,312904,0.09047231694176389,0,29,441958054.0,5.2415926523780655e-06,513197
1038,193694,320389,238333,37597,37417,43,313347,0.09031102666106425,0,29,441915434.0,5.235805999195467e-06,514083
1039,224717,288598,237949,37597,37417,43,312963,0.09045758374690399,4.202581225388633e-06,29,441919831.0,5.2408212895015395e-06,513315
103,196373,317834,238395,37597,37417,43,313409,0.09027814218554663,8.389437697938295e-06,29,441949750.0,5.234997067851883e-06,514207
1040,193893,320472,238474,37597,37417,42,313488,0.09025815393260297,0,29,441935402.0,5.233966666384307e-06,514365
1041,196689,317502,238387,37597,37417,43,313401,0.0902780212829568,2.5169157714137095e-05,29,441923447.0,5.235101433148457e-06,514191
1042,223271,290888,238371,37597,37417,43,313385,0.09028703168482566,4.195141187476665e-06,29,442100668.0,5.235310175244138e-06,514159
1043,165797,347036,237708,37597,37417,43,312722,0.09054285616573443,0,29,441842771.0,5.243973428722042e-06,512833
1044,223069,290798,238225,37597,37417,43,313239,0.09034912000377428,0,29,442012342.0,5.237215655585996e-06,513867
1045,195498,317783,237932,37597,37417,43,312946,0.09046385019705996,0,29,441948236.0,5.241043525156412e-06,513281
1046,225045,287950,237789,37597,37417,43,312803,0.09051259487756591,2.102704498526004e-05,29,441877258.0,5.24291360653529e-06,512995
1047,190869,322828,238140,37597,37417,43,313154,0.09037568931844492,4.199210548416898e-06,29,442099029.0,5.238325599214222e-06,513697
1048,222458,289863,237452,37597,37417,43,312466,0.09065040133980312,0,29,441868145.0,5.2473255855474786e-06,512321
1049,222435,291490,238254,37597,37417,43,313268,0.09033786213419735,4.197201306169046e-06,29,441953437.0,5.236837068069014e-06,513925
104,225716,287861,238080,37597,37417,43,313094,0.0904014759707674,1.2600806451612903e-05,29,441910070.0,5.2391093497979265e-06,513577
1050,222126,291795,238252,37597,37417,43,313266,0.09033966899171453,0,29,441916768.0,5.23686317593407e-06,513921
1051,164059,349026,237834,37597,37417,43,312848,0.0904964691625163,0,29,441978866.0,5.242324986877097e-06,513085
1052,192949,321056,238294,37597,37417,43,313308,0.09030506815017095,0,29,442178230.0,5.236314961126076e-06,514005
1053,222733,290370,237843,37597,37417,43,312857,0.09049441061262731,8.408908397556371e-06,29,441856386.0,5.24220727755124e-06,513103
1054,224709,288362,237827,37597,37417,43,312841,0.09049333669170594,0,29,442020514.0,5.242416541940678e-06,513071
1055,223216,290779,238289,37597,37417,42,313303,0.09032158603742324,0,29,442039069.0,5.236380219248677e-06,513995
1056,222883,290606,238036,37597,37417,43,313050,0.09042074126517217,4.2010452200507485e-06,29,441998511.0,5.239684237537436e-06,513489
1057,196311,317576,238235,37597,37417,43,313249,0.09034393097153672,4.197536046340798e-06,29,441913419.0,5.2370851024701225e-06,513887
1058,192753,320804,238070,37597,37417,43,313084,0.09039482741884783,2.3102448859579117e-05,29,442249367.0,5.239239995898633e-06,513557
1059,224955,288568,238053,37597,37417,43,313067,0.0904096398435757,8.40149042440129e-06,29,442044550.0,5.23946210804441e-06,513523
105,196812,318119,238757,37597,37417,43,313771,0.09013354309164272,4.188358875341875e-06,29,442085113.0,5.230278547275077e-06,514931
1060,163042,351455,238540,37597,37417,43,313554,0.09022272921536849,0,29,441976173.0,5.233106111173727e-06,514497
1061,164405,349018,238003,37597,37417,43,313017,0.09042376078975561,2.1008138552875383e-06,29,442173716.0,5.240115479609874e-06,513423
1062,226460,288127,238585,37597,37417,43,313599,0.09019346201651905,0,29,442194244.0,5.232519518477591e-06,514587
1063,222847,291476,238453,37597,37417,43,313467,0.09025151608430096,4.193698548560933e-06,29,442156127.0,5.2342405340992965e-06,514323
1064,196155,317534,238136,37597,37417,43,313150,0.09036641663665627,4.1992810830785766e-06,29,442216378.0,5.238377842532904e-06,513689
1065,221859,291562,238002,37597,37417,43,313016,0.09043875855280019,4.20164536432467e-06,29,441911320.0,5.240128548572123e-06,513421
1066,224896,288591,238035,37597,37417,43,313049,0.0904099805497959,0,29,442206741.0,5.239697304518464e-06,513487
