sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,18945,29676,24106,632,409,777,25147,0.018647941720532017,0,3,2326637.0,7.688981107954709e-05,48621
1000,18297,30230,24059,632,409,808,25100,0.018787674520426376,2.0782243651024563e-05,3,2345484.0,7.70288303735534e-05,48527
1001,18684,29355,23815,632,409,788,24856,0.019158071261474566,2.0995171110644552e-05,3,2278272.0,7.775869272550021e-05,48039
1002,18658,29529,23889,632,409,803,24930,0.018833640255500855,0.0001674410816693876,3,2287083.0,7.753588583072114e-05,48187
1003,18571,29660,23911,632,409,785,24952,0.018949874747042062,2.0910877838651665e-05,3,2292583.0,7.746989164488592e-05,48231
1004,18860,29541,23996,632,409,793,25037,0.018834167221733623,0,3,2339754.0,7.721596482006119e-05,48401
1005,18556,30259,24203,632,409,770,25244,0.01881460230131213,0.000103292980209065,3,2327552.0,7.66044775255127e-05,48815
1006,18882,29505,23989,632,409,777,25030,0.019034129973002165,4.168577264579599e-05,3,2302714.0,7.723681360624472e-05,48387
1007,18679,29370,23820,632,409,804,24861,0.01925653472390612,0.00010495382031905961,3,2320966.0,7.774359792821377e-05,48049
1008,18413,29940,23972,632,409,780,25013,0.01890499302332812,2.0857667278491573e-05,3,2297905.0,7.728749321582587e-05,48353
1009,18512,29597,23850,632,409,787,24891,0.019181907157550932,0.00016771488469601676,3,2309430.0,7.765315191268886e-05,48109
100,18877,29338,23903,632,409,816,24944,0.01877195284403776,2.0917876417186128e-05,3,2310489.0,7.749387654525828e-05,48215
1010,18673,29436,23850,632,409,796,24891,0.01880232878639798,0,3,2297722.0,7.765315191268886e-05,48109
1011,18788,29715,24047,632,409,767,25088,0.019034544057588056,0,3,2329609.0,7.706440515577219e-05,48503
1012,18314,30087,23996,632,409,781,25037,0.01903938860920054,0,3,2289745.0,7.721596482006119e-05,48401
1013,17819,30012,23711,632,409,781,24752,0.01927824642218085,4.217451815613006e-05,3,2296888.0,7.807399710162998e-05,47831
1014,18699,29566,23928,632,409,778,24969,0.018777102247359897,4.179204279505182e-05,3,2302627.0,7.74189729323958e-05,48265
1015,18377,29660,23814,632,409,809,24855,0.01913916101321074,0.00010498026371042244,3,2294005.0,7.776171238746814e-05,48037
1016,18673,29722,23993,632,409,774,25034,0.019006948772118226,4.167882299003876e-05,3,2314235.0,7.722489863751343e-05,48395
1017,18243,29942,23888,632,409,782,24929,0.019073726898664302,6.279303415941058e-05,3,2311900.0,7.753888823462743e-05,48185
1018,18337,29536,23732,632,409,797,24773,0.019224954287915968,4.213719871902916e-05,3,2297960.0,7.801012427461079e-05,47873
1019,18961,29630,24091,632,409,788,25132,0.018659920655667735,0.0001245278319704454,3,2320709.0,7.693412445888431e-05,48591
101,18226,30483,24150,632,409,805,25191,0.01869526561426864,0.00018633540372670808,3,2363896.0,7.676011879010143e-05,48709
1020,19269,29928,24394,632,409,771,25435,0.018821118182706258,0.00012298106091661884,3,2343989.0,7.604877305212492e-05,49197
1021,18175,29844,23805,632,409,796,24846,0.019072156539120665,0.00021003990758244065,3,2294137.0,7.778889988896302e-05,48019
1022,18603,29824,24009,632,409,772,25050,0.018990571949868938,2.082552376192261e-05,3,2306070.0,7.717727545428126e-05,48427
1023,18503,29756,23925,632,409,773,24966,0.019321966590716874,0,3,2311343.0,7.742795372946944e-05,48259
1024,18491,29614,23848,632,409,816,24889,0.01903186005324292,0,3,2332501.0,7.765917510777748e-05,48105
1025,18251,30074,23958,632,409,807,24999,0.018879218113334047,6.260956674179814e-05,3,2345732.0,7.732927926605823e-05,48325
1026,18575,29580,23873,632,409,779,24914,0.01867596313694604,0,3,2296421.0,7.758395217604998e-05,48155
1027,18351,29186,23564,632,409,788,24605,0.019758280696733778,2.1218808351722967e-05,3,2296347.0,7.852404852464748e-05,47537
1028,18211,29802,23802,632,409,797,24843,0.019308293447798792,6.301991429291656e-05,3,2308301.0,7.779796660909912e-05,48013
1029,18698,29513,23901,632,409,788,24942,0.018685055762734194,2.0919626793857997e-05,3,2293072.0,7.749987508809621e-05,48211
102,18153,30276,24010,632,409,782,25051,0.01847161912026042,0,3,2322746.0,7.717430095300198e-05,48429
1030,18429,30136,24078,632,409,781,25119,0.018719635544283308,2.0765844339230835e-05,3,2309520.0,7.697257067189068e-05,48565
1031,18891,29626,24054,632,409,787,25095,0.0187998878999205,4.1573127130622764e-05,3,2328200.0,7.70436492122951e-05,48517
1032,18510,30595,24348,632,409,791,25389,0.0188484936687183,0.0001232134056185313,3,2377536.0,7.618187022223473e-05,49105
1033,19275,29478,24172,632,409,799,25213,0.018486274719877436,0,3,2344963.0,7.669543636715894e-05,48753
1034,18646,29465,23851,632,409,786,24892,0.01916849746813936,0,3,2311417.0,7.765014066504312e-05,48111
1035,19029,29692,24156,632,409,783,25197,0.01855884402232686,6.209637357178341e-05,3,2341023.0,7.67424673254072e-05,48721
1036,18512,29923,24013,632,409,794,25054,0.018912876159327553,0.00014575438304251863,3,2353616.0,7.716537882293514e-05,48435
1037,18254,29881,23863,632,409,762,24904,0.018946099186486966,0,3,2305208.0,7.76140238774695e-05,48135
1038,18599,29818,24004,632,409,773,25045,0.01871113256443602,4.1659723379436764e-05,3,2292362.0,7.719215139629358e-05,48417
1039,18661,29464,23858,632,409,816,24899,0.01892252637881635,6.287199262301953e-05,3,2306355.0,7.76290684604375e-05,48125
103,18864,29585,24020,632,409,785,25061,0.01870437731575229,8.326394671107411e-05,3,2324048.0,7.714456852972283e-05,48449
1040,18618,29869,24039,632,409,777,25080,0.018605780936120715,2.0799534090436376e-05,3,2338949.0,7.70881399148706e-05,48487
1041,18921,29448,23980,632,409,783,25021,0.018797708674467742,0.0001042535446205171,3,2310896.0,7.726363571626212e-05,48369
1042,18383,29890,23932,632,409,796,24973,0.019129415275024073,2.089252883168979e-05,3,2323189.0,7.740700177238992e-05,48273
1043,18731,29620,23971,632,409,747,25012,0.018856588288592716,2.0858537399357557e-05,3,2302157.0,7.729047643792848e-05,48351
1044,18621,29532,23872,632,409,787,24913,0.019093157871395802,2.0945040214477212e-05,3,2309811.0,7.758695829888783e-05,48153
1045,18968,29331,23945,632,409,769,24986,0.0188748687890309,0,3,2308977.0,7.736812102469998e-05,48299
1046,18666,29801,24029,632,409,792,25070,0.01857285548823464,6.242457031087436e-05,3,2333650.0,7.711782890470804e-05,48467
1047,18014,30209,23907,632,409,790,24948,0.019150969183456504,0,3,2325215.0,7.748188224130555e-05,48223
1048,18647,29154,23696,632,409,804,24737,0.019118427856537314,0,3,2284380.0,7.811968454061697e-05,47801
1049,18234,30255,24040,632,409,789,25081,0.01886735328198815,6.239600665557404e-05,3,2344446.0,7.70851722715054e-05,48489
104,18524,29629,23872,632,409,781,24913,0.01907529867036387,4.1890080428954424e-05,3,2324141.0,7.758695829888783e-05,48153
1050,18523,29704,23909,632,409,796,24950,0.018935554212779558,8.365050817683717e-05,3,2326877.0,7.74758864797614e-05,48227
1051,18486,29653,23865,632,409,768,24906,0.01891459056052816,0,3,2288126.0,7.760800767480788e-05,48139
1052,18632,30429,24326,632,409,804,25367,0.01887236650013082,0,3,2343200.0,7.624569001115505e-05,49061
1053,18307,29790,23844,632,409,796,24885,0.018923642026753656,0,3,2317659.0,7.76712242979012e-05,48097
1054,18562,29411,23782,632,409,798,24823,0.01914412369750462,0,3,2292440.0,7.785846539450482e-05,47973
1055,18596,29289,23738,632,409,803,24779,0.019315527709673513,0.0001263796444519336,3,2299786.0,7.79918940614791e-05,47885
1056,18506,29599,23848,632,409,792,24889,0.018814383525993093,8.386447500838645e-05,3,2295486.0,7.765917510777748e-05,48105
1057,19017,29226,23917,632,409,762,24958,0.01879406505263349,2.090563197725467e-05,3,2286658.0,7.74519126981267e-05,48243
1058,18029,29924,23772,632,409,796,24813,0.019305862627563175,2.1033148241628808e-05,3,2303119.0,7.788875003955916e-05,47953
1059,18305,29852,23874,632,409,792,24915,0.019030143501991705,0.00016754628466113765,3,2303134.0,7.758094628584744e-05,48157
105,19097,29618,24153,632,409,762,25194,0.01900992153291516,2.0701362149629445e-05,3,2323044.0,7.675129204415375e-05,48715
1060,18413,29948,23976,632,409,779,25017,0.018863107681862338,6.256256256256256e-05,3,2324506.0,7.727556262700749e-05,48361
1061,17921,29748,23630,632,409,779,24671,0.019364451251427512,4.231908590774439e-05,3,2280100.0,7.832134530469622e-05,47669
1062,18875,29876,24171,632,409,804,25212,0.01886178148946158,0.0002068594596830913,3,2369129.0,7.669837411529571e-05,48751
1063,18413,30324,24164,632,409,818,25205,0.018860169854981124,0.0002069193842079126,3,2363887.0,7.671894464754196e-05,48737
1064,18715,29466,23886,632,409,797,24927,0.01929635299848379,0.0001674621116972285,3,2294749.0,7.75448937391607e-05,48181
1065,18461,29696,23874,632,409,789,24915,0.01883892144277982,2.0943285582642206e-05,3,2318895.0,7.758094628584744e-05,48157
1066,18282,29667,23770,632,409,781,24811,0.019168632045071854,0,3,2291726.0,7.789480979225922e-05,47949
1067,17798,30049,23719,632,409,797,24760,0.019059950727716442,4.216029343564231e-05,3,2298172.0,7.804965228290217e-05,47847
1068,18097,29540,23614,632,409,790,24655,0.019561678307825847,0.00014821715931227238,3,2293794.0,7.837038944689082e-05,47637
1069,18135,30452,24089,632,409,807,25130,0.018570363772066324,4.1512723649798665e-05,3,2336372.0,7.694003676405791e-05,48587
106,18123,29920,23817,632,409,785,24858,0.01898458995522396,2.0993408069866062e-05,3,2293717.0,7.77526541041566e-05,48043
1070,17994,30181,23883,632,409,782,24924,0.01908117858724058,8.374157350416614e-05,3,2313519.0,7.75539037381661e-05,48175
1071,18433,29922,23973,632,409,801,25014,0.018936293085144443,0,3,2334919.0,7.728451022370901e-05,48355
1072,18410,29643,23822,632,409,762,24863,0.018916469312066277,0,3,2286596.0,7.773756164798298e-05,48053
1073,18687,29572,23925,632,409,797,24966,0.018969282435263284,0.00012539184952978057,3,2288536.0,7.742795372946944e-05,48259
1074,18750,29673,24007,632,409,794,25048,0.01892226633493723,8.330903486483109e-05,3,2296303.0,7.718322514388376e-05,48423
1075,18163,29768,23761,632,409,801,24802,0.019092810160381172,4.208577080089222e-05,3,2312410.0,7.792209033662001e-05,47931
1076,18593,30236,24210,632,409,751,25251,0.018780888896328663,8.261049153242462e-05,3,2327216.0,7.658396824593948e-05,48829
1077,18542,29191,23662,632,409,795,24703,0.019061089464260123,0.00010565463612543319,3,2287107.0,7.822344069847579e-05,47733
1078,17864,30017,23736,632,409,797,24777,0.01926859211275053,0.00018958543983822043,3,2289558.0,7.799796985363885e-05,47881
1079,18576,29419,23793,632,409,800,24834,0.019270413903538525,6.304375236414071e-05,3,2310067.0,7.782517943872478e-05,47995
107,19135,29752,24239,632,409,777,25280,0.01854090656240978,0,3,2340129.0,7.649911794499963e-05,48887
1080,18275,30168,24017,632,409,796,25058,0.018769836137575657,4.1637173668651374e-05,3,2330122.0,7.715348585399286e-05,48443
1081,19127,29938,24328,632,409,797,25369,0.018563331235119898,0.00010276224926011181,3,2337445.0,7.623988379950903e-05,49065
1082,18449,29730,23885,632,409,783,24926,0.019172696728258973,4.186728072011723e-05,3,2314212.0,7.754789683984152e-05,48179
1083,18997,29888,24238,632,409,801,25279,0.01856309960305869,0.00020628764749566796,3,2375219.0,7.650204069134859e-05,48885
1084,19058,29441,24045,632,409,751,25086,0.018932295850972402,2.079434393844874e-05,3,2313301.0,7.707033747699026e-05,48499
1085,18944,29529,24032,632,409,816,25073,0.018511188689206787,2.0805592543275634e-05,3,2316667.0,7.710891980993036e-05,48473
1086,18411,29838,23920,632,409,790,24961,0.01911187619330417,4.180602006688963e-05,3,2320259.0,7.744292634972095e-05,48249
1087,19170,29571,24166,632,409,770,25207,0.018863180876931698,0,3,2313744.0,7.671306622819801e-05,48741
1088,18591,29514,23848,632,409,796,24889,0.019077359447552587,0.00010483059376048305,3,2326854.0,7.765917510777748e-05,48105
1089,18168,29625,23692,632,409,790,24733,0.019162348048233607,6.331251055208509e-05,3,2284444.0,7.81318768778551e-05,47793
