sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,194481,313126,235094,37603,37419,43,310116,0.09155853752433606,8.507235403710856e-06,29,441809579.0,5.278136963597188e-06,507607
1000,191257,316432,235135,37603,37419,43,310157,0.09152951287930886,0,29,441948544.0,5.277594024900427e-06,507689
1001,196426,311481,235244,37603,37419,42,310266,0.09149903654868612,0,29,441892499.0,5.2761511014703e-06,507907
1002,221132,285901,234807,37603,37419,43,309829,0.09166850163598568,0,29,441871212.0,5.281940409691271e-06,507033
1003,163037,344752,235185,37603,37419,42,310207,0.09152169542711548,0,29,441902936.0,5.27693204340839e-06,507789
1004,223062,283813,234728,37603,37419,43,309750,0.0916984011129249,1.7041000647558025e-05,29,441770541.0,5.282988235122634e-06,506875
1005,160921,346922,235212,37603,37419,43,310234,0.09150506178119328,0,29,441934665.0,5.276574636841022e-06,507843
1006,195026,313155,235381,37603,37419,42,310403,0.09144755541990027,0,29,441845963.0,5.274338546734358e-06,508181
1007,223886,282669,234568,37603,37419,43,309590,0.09175200792027206,8.526312199447495e-06,29,442039265.0,5.2851115832977336e-06,506555
1008,192146,315255,234991,37603,37419,43,310013,0.09160193058418295,0,29,441807791.0,5.279501384398217e-06,507401
1009,222587,284442,234805,37603,37419,43,309827,0.09166767718293105,2.9811971636038415e-05,29,441834742.0,5.281966932207377e-06,507029
100,192746,314133,234730,37603,37419,43,309752,0.09170210189083236,0,29,441814824.0,5.282961703185835e-06,506879
1010,194739,312476,234898,37603,37419,43,309920,0.09163901196267031,0,29,441771858.0,5.280733893959333e-06,507215
1011,222157,285294,235016,37603,37419,43,310038,0.09158532114970504,8.510058889607517e-06,29,441784978.0,5.279170154749103e-06,507451
1012,160834,347173,235294,37603,37419,43,310316,0.0914792158750909,0,29,441870433.0,5.275489452507543e-06,508007
1013,194025,313266,234936,37603,37419,42,309958,0.0916071656891575,0,29,442106060.0,5.280230224040663e-06,507291
