sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,14604,24001,17724,3429,3157,28,24310,0.11162554357670325,0.00011284134506883322,1,5165399.0,6.532681794567371e-05,38605
1000,14574,24081,17749,3429,3157,28,24335,0.11153052514979586,0,1,5173925.0,6.527709565609847e-05,38655
1001,15460,23087,17695,3429,3157,27,24281,0.11186751057904203,0,1,5162462.0,6.53845791113885e-05,38547
1002,14343,24314,17750,3429,3157,29,24336,0.111524715265887,0,1,5175936.0,6.527510814624974e-05,38657
1003,14329,24214,17693,3429,3157,29,24279,0.11183922753646032,0,1,5163523.0,6.538856594190458e-05,38543
1004,16094,22539,17738,3429,3157,28,24324,0.11158548798564788,0.0001973164956590371,1,5167219.0,6.529896527752833e-05,38633
1005,14558,24149,17775,3429,3157,27,24361,0.11141296215786993,0,1,5179704.0,6.522545490992798e-05,38707
1006,15533,23106,17741,3429,3157,27,24327,0.11151212303750752,0,1,5165616.0,6.529299955999423e-05,38639
1007,15602,23067,17756,3429,3157,28,24342,0.11147610604782915,0,1,5171752.0,6.526318531783324e-05,38669
1008,15578,23023,17722,3429,3157,27,24308,0.11165316695080578,0,1,5165828.0,6.533079860012114e-05,38601
1009,14375,24240,17729,3429,3157,28,24315,0.1116904052817009,0,1,5177095.0,6.531686817127705e-05,38615
100,14407,24228,17739,3429,3157,28,24325,0.11159408563034344,0,1,5166008.0,6.529697659871961e-05,38635
1010,15485,23132,17730,3429,3157,28,24316,0.11166730844330079,0,1,5169181.0,6.531487853550164e-05,38617
1011,16038,22647,17764,3429,3157,28,24350,0.11140914159659972,8.444044134204009e-05,1,5175692.0,6.524729416005093e-05,38685
1012,14640,24063,17773,3429,3157,28,24359,0.11136753333092134,0,1,5174294.0,6.522942472770958e-05,38703
1013,15960,22605,17704,3429,3157,27,24290,0.1117587773405552,0,1,5164711.0,6.536664364836484e-05,38565
1014,16516,22093,17726,3429,3157,27,24312,0.11156536333400247,0,1,5163315.0,6.532283771678693e-05,38609
1015,15567,23068,17739,3429,3157,28,24325,0.11154230545454845,2.81864817633463e-05,1,5169312.0,6.529697659871961e-05,38635
1016,15577,23078,17749,3429,3157,27,24335,0.11141317993342205,0,1,5170285.0,6.527709565609847e-05,38655
