sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,516,793,592,135,125,9,852,0.20673302449821498,0,2,35179.0,0.0018053877514992028,1309
1000,474,829,589,135,125,9,849,0.2064949262829562,0,2,34885.0,0.0018098428784141165,1303
1001,548,753,588,135,125,9,848,0.20632935750279954,0,2,34834.0,0.0018113318928070215,1301
1002,513,792,590,135,125,9,850,0.20589418495071046,0,2,34980.0,0.001808355851174392,1305
1003,477,824,588,135,125,9,848,0.20619427350438418,0,2,34976.0,0.0018113318928070215,1301
1004,612,695,591,135,125,9,851,0.20636290327486323,0,2,35455.0,0.0018068708094283541,1307
1005,418,881,587,135,125,9,847,0.2059912156407511,0,2,34336.0,0.001812822895995043,1299
1006,512,787,587,135,125,9,847,0.20629851633752852,0,2,34724.0,0.001812822895995043,1299
1007,510,793,589,135,125,9,849,0.20568565179899267,0,2,34722.0,0.0018098428784141165,1303
1008,492,803,585,135,125,9,845,0.20579295266583333,0,2,34383.0,0.0018158108752348635,1295
1009,550,751,588,135,125,9,848,0.20631042656832438,0,2,35061.0,0.0018113318928070215,1301
100,510,791,588,135,125,9,848,0.20632935750279954,0,2,34834.0,0.0018113318928070215,1301
1010,511,790,588,135,125,9,848,0.20612892471417316,0,2,34839.0,0.0018113318928070215,1301
1011,614,697,593,135,125,9,853,0.20686026545105488,0,2,35635.0,0.00180390667569308,1311
1012,419,880,587,135,125,9,847,0.20639411204269226,0,2,34705.0,0.001812822895995043,1299
1013,487,814,588,135,125,9,848,0.20648025668330908,0,2,34766.0,0.0018113318928070215,1301
1014,602,697,587,135,125,9,847,0.20597963564857477,0,2,34603.0,0.001812822895995043,1299
1015,472,831,589,135,125,9,849,0.20659662134806614,0,2,34999.0,0.0018098428784141165,1303
1016,474,827,588,135,125,9,848,0.2053058963721156,0,2,34651.0,0.0018113318928070215,1301
1017,607,700,591,135,125,9,851,0.20635143967822023,0,2,35256.0,0.0018068708094283541,1307
1018,610,695,590,135,125,9,850,0.205948991850111,0,2,34971.0,0.001808355851174392,1305
1019,513,796,592,135,125,9,852,0.20666814395345057,0,2,35174.0,0.0018053877514992028,1309
101,416,891,591,135,125,9,851,0.20486069091428102,0,2,35317.0,0.0018068708094283541,1307
1020,553,760,594,135,125,9,854,0.20622730761809072,0,2,35591.0,0.0018024275802993154,1313
1021,420,885,590,135,125,9,850,0.205852982959222,0,2,34777.0,0.001808355851174392,1305
1022,479,822,588,135,125,9,848,0.2062381303424362,0,2,34795.0,0.0018113318928070215,1301
1023,478,827,590,135,125,9,850,0.2055772656276877,0,2,34713.0,0.001808355851174392,1305
1024,508,793,588,135,125,9,848,0.20657802149467816,0,2,34979.0,0.0018113318928070215,1301
1025,486,817,589,135,125,9,849,0.2063091525584449,0,2,34699.0,0.0018098428784141165,1303
1026,608,689,586,135,125,9,846,0.20637435231489168,0,2,34820.0,0.0018143158896023054,1297
1027,511,788,587,135,125,9,847,0.2067793375242796,0,2,34790.0,0.001812822895995043,1299
1028,606,691,586,135,125,9,846,0.2063239352625721,0,2,34775.0,0.0018143158896023054,1297
1029,478,819,586,135,125,9,846,0.2064111431083276,0,2,34689.0,0.0018143158896023054,1297
102,412,883,585,135,125,9,845,0.20497540033203177,0,2,34674.0,0.0018158108752348635,1295
1030,414,889,589,135,125,9,849,0.20659662134806614,0,2,34999.0,0.0018098428784141165,1303
1031,517,796,594,135,125,9,854,0.2070331609395778,0,2,35612.0,0.0018024275802993154,1313
1032,417,892,592,135,125,9,852,0.20547804220846777,0,2,35578.0,0.0018053877514992028,1309
1033,517,794,593,135,125,9,853,0.20699780523691114,0,2,35372.0,0.00180390667569308,1311
1034,605,696,588,135,125,9,848,0.20588835561157534,0,2,34988.0,0.0018113318928070215,1301
1035,552,747,587,135,125,9,847,0.20627388879986785,0,2,35014.0,0.001812822895995043,1299
1036,479,824,589,135,125,9,849,0.20574537935953496,0,2,34660.0,0.0018098428784141165,1303
1037,414,887,588,135,125,9,848,0.2053058963721156,0,2,34651.0,0.0018113318928070215,1301
1038,599,698,586,135,125,9,846,0.2053045803369754,0,2,34796.0,0.0018143158896023054,1297
1039,516,795,593,135,125,9,853,0.20707775728772448,0,2,35467.0,0.00180390667569308,1311
103,546,753,587,135,125,9,847,0.20577158581605237,0,2,34664.0,0.001812822895995043,1299
1040,612,693,590,135,125,9,850,0.2061585957757608,0,2,35091.0,0.001808355851174392,1305
1041,517,796,594,135,125,9,854,0.20715386572567557,0,2,35754.0,0.0018024275802993154,1313
1042,608,693,588,135,125,9,848,0.2058662101611351,0,2,34729.0,0.0018113318928070215,1301
1043,476,827,589,135,125,9,849,0.20601809458592094,0,2,34924.0,0.0018098428784141165,1303
1044,508,799,591,135,125,9,851,0.20666774537442426,0,2,35427.0,0.0018068708094283541,1307
1045,511,782,584,135,125,9,844,0.2058679934254516,0,2,34398.0,0.0018173078544804439,1293
1046,614,695,592,135,125,9,852,0.2056411223653182,0,2,35163.0,0.0018053877514992028,1309
1047,419,878,586,135,125,9,846,0.20513985007285396,0,2,34660.0,0.0018143158896023054,1297
1048,513,792,590,135,125,9,850,0.20615587958998782,0,2,34900.0,0.001808355851174392,1305
1049,490,819,592,135,125,9,852,0.20634172748954663,0,2,35338.0,0.0018053877514992028,1309
104,510,791,588,135,125,9,848,0.2055620815282181,0,2,34741.0,0.0018113318928070215,1301
1050,606,697,589,135,125,9,849,0.20653149307462826,0,2,35123.0,0.0018098428784141165,1303
1051,476,823,587,135,125,9,847,0.20655087183628637,0,2,34719.0,0.001812822895995043,1299
1052,410,889,587,135,125,9,847,0.20506185592914553,0,2,34745.0,0.001812822895995043,1299
