sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,13184,14808,13475,1943,1042,75,16460,0.07553782441719553,0,1,8968890.0,0.00010332386739257171,27992
1000,13057,14953,13484,1943,1042,76,16469,0.07404251579671739,0,1,8868816.0,0.00010327733457548325,28010
1001,12962,14926,13423,1943,1042,75,16408,0.07561230970339318,0,1,8922808.0,0.00010359350905538321,27888
1002,11494,17170,13811,1943,1042,75,16796,0.07746520419841071,0,1,12123009.0,0.00010161338545781431,28664
1003,12985,14915,13429,1943,1042,75,16414,0.07550027349930233,0,1,8909241.0,0.00010356232805173627,27900
1004,12814,14874,13323,1943,1042,75,16308,0.07325669853503683,0,1,8515711.0,0.00010411584119214654,27688
1005,12520,15344,13411,1943,1042,75,16396,0.07587509217809936,0,1,8968383.0,0.0001036559248266877,27864
1006,13133,14771,13431,1943,1042,75,16416,0.07554573410955331,0,1,8919513.0,0.00010355193836284623,27904
1007,11396,17176,13765,1943,1042,75,16750,0.07761810202660437,0,1,12123021.0,0.00010184435158971398,28572
1008,12853,15001,13406,1943,1042,75,16391,0.0756321288320922,0,1,8908254.0,0.00010368195257676676,27854
1009,11910,16724,13796,1943,1042,75,16781,0.0774769534573952,0,1,12147150.0,0.00010168859028731555,28634
100,11555,17233,13873,1943,1042,76,16858,0.077976550159123,0,1,12431830.0,0.00010130366499895666,28788
1010,12859,14671,13244,1943,1042,75,16229,0.07339570460373039,0,1,8394125.0,0.00010453204629032892,27530
1011,13063,15395,13708,1943,1042,75,16693,0.07393457486954677,0,1,9034666.0,0.00010213194568828555,28458
1012,12975,14935,13434,1943,1042,75,16419,0.07575272146754224,0,1,8961411.0,0.00010353635755799941,27910
1013,12875,15069,13451,1943,1042,75,16436,0.07541535155734831,0,1,8920513.0,0.0001034481507606497,27944
1014,11501,17195,13827,1943,1042,75,16812,0.07780956898477967,0,1,12169627.0,0.00010153328421409495,28696
1015,13001,14829,13394,1943,1042,76,16379,0.07373202971825889,0,1,8632683.0,0.0001037444700711966,27830
1016,13054,14684,13348,1943,1042,75,16333,0.07440800995159931,0,1,8713916.0,0.00010398478794548417,27738
1017,11324,17318,13800,1943,1042,75,16785,0.07745276305250413,0,1,12156434.0,0.00010166852525335136,28642
1018,11347,17161,13733,1943,1042,75,16718,0.07778224527987887,0,1,12107443.0,0.00010200561692133351,28508
1019,13224,14692,13437,1943,1042,75,16422,0.0756147204038347,0,1,8942721.0,0.00010352078122575355,27916
101,12822,15348,13564,1943,1042,76,16549,0.07462773896217291,0,1,9086830.0,0.00010286546148513363,28170
1020,12818,14958,13367,1943,1042,76,16352,0.07565377611096452,0,1,9044341.0,0.000103885397650682,27776
1021,12722,15008,13344,1943,1042,75,16329,0.07404193380233759,0,1,8600811.0,0.00010400573532557463,27730
1022,12969,14999,13463,1943,1042,75,16448,0.07547334263241814,0,1,8973502.0,0.00010338597343335355,27968
1023,12195,16561,13857,1943,1042,75,16842,0.07971643845876719,0,1,12534032.0,0.0001013834197042082,28756
1024,11470,17200,13814,1943,1042,76,16799,0.07746481298192948,0,1,12141356.0,0.00010159835726335516,28670
1025,11888,16784,13815,1943,1042,75,16800,0.07740343004365116,0,1,12100849.0,0.00010159334881044506,28672
1026,13079,14803,13420,1943,1042,75,16405,0.07545826365163118,0,1,8892900.0,0.00010360910627502855,27882
1027,11424,17146,13764,1943,1042,75,16749,0.07769952292852611,0,1,12167545.0,0.00010184938374812947,28570
1028,11337,17231,13763,1943,1042,75,16748,0.07771192202964207,0,1,12164426.0,0.00010185441638225178,28568
1029,12770,14880,13304,1943,1042,75,16289,0.07423501230341589,0,1,8551183.0,0.00010421565242058925,27650
102,12926,14952,13418,1943,1042,75,16403,0.07555407408143629,0,1,8907025.0,0.00010361950691075355,27878
1030,12119,16955,14016,1943,1042,75,17001,0.07696890242504302,0,1,12356212.0,0.00010059615870346728,29074
1031,11732,17260,13975,1943,1042,75,16960,0.07641536973257011,0,1,12133499.0,0.00010079804011227967,28992
1032,11798,17248,14002,1943,1042,76,16987,0.0776828132473614,3.5709184402228255e-05,1,12694277.0,0.00010066500663326457,29046
