sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,772,988,814,164,132,11,1110,0.17469441921675646,0,1,46987.0,0.001429743539752557,1760
1000,697,1075,820,164,132,11,1116,0.17385266487028975,0,1,47161.0,0.0014240480897503899,1772
1001,761,995,812,164,132,12,1108,0.17523061432497242,0,1,46986.0,0.0014316508989397957,1756
1002,751,993,806,164,132,12,1102,0.17586086820871208,0,1,46922.0,0.0014373997570266924,1744
1003,675,1081,812,164,132,12,1108,0.17543776237553296,0,1,47399.0,0.0014316508989397957,1756
1004,776,996,820,164,132,11,1116,0.1741827855934557,0,1,47741.0,0.0014240480897503899,1772
1005,643,1119,815,164,132,11,1111,0.17491977208418855,0,1,47982.0,0.0014287915278014289,1762
1006,768,1000,818,164,132,12,1114,0.17623837182609228,0,1,48401.0,0.0014259421461074522,1768
1007,749,997,807,164,132,12,1103,0.17561654943228283,0,1,47202.0,0.0014364388164270683,1746
1008,734,1032,817,164,132,12,1113,0.17538468179681893,0,1,48298.0,0.001426890832347599,1766
1009,738,1002,804,164,132,12,1100,0.17659139506729907,0,1,47037.0,0.0014393250062039872,1740
100,762,986,808,164,132,11,1104,0.17415445120289771,0,1,46991.0,0.0014354789966757328,1748
1010,768,982,809,164,132,11,1105,0.17465190650024406,0,1,46723.0,0.0014345202964128796,1750
1011,763,983,807,164,132,11,1103,0.17419500353852008,0,1,46827.0,0.0014364388164270683,1746
1012,644,1120,816,164,132,11,1112,0.17609726111738752,0,1,48350.0,0.0014278406257891977,1764
1013,737,1011,808,164,132,12,1104,0.17580458285185246,0,1,47078.0,0.0014354789966757328,1748
1014,755,989,806,164,132,11,1102,0.17414936918703108,0,1,46574.0,0.0014373997570266924,1744
1015,672,1078,809,164,132,12,1105,0.17552881371109946,0,1,46989.0,0.0014345202964128796,1750
1016,671,1071,805,164,132,11,1101,0.17407530008772382,0,1,46645.0,0.0014383618198332095,1742
1017,750,996,807,164,132,12,1103,0.17599240424582757,0,1,47048.0,0.0014364388164270683,1746
1018,747,995,805,164,132,12,1101,0.17583184357457765,0,1,46815.0,0.0014383618198332095,1742
1019,785,985,819,164,132,11,1115,0.17385207231110203,0,1,47761.0,0.00142499456569869,1770
101,714,1058,820,164,132,11,1116,0.17387958530630096,0,1,47712.0,0.0014240480897503899,1772
1020,753,1001,811,164,132,11,1107,0.17454965556487284,0,1,47337.0,0.0014326062489075765,1754
1021,665,1083,808,164,132,12,1104,0.17519855697448689,0,1,46623.0,0.0014354789966757328,1748
1022,669,1085,811,164,132,12,1107,0.17540706601363784,0,1,46913.0,0.0014326062489075765,1754
1023,691,1077,818,164,132,11,1114,0.17445949596733393,0,1,48115.0,0.0014259421461074522,1768
1024,779,985,816,164,132,11,1112,0.1748264204616113,0,1,47590.0,0.0014278406257891977,1764
1025,774,992,817,164,132,11,1113,0.17431988612209895,0,1,47295.0,0.001426890832347599,1766
1026,781,977,813,164,132,11,1109,0.17627248606694554,0,1,47703.0,0.0014306966630098993,1758
1027,751,993,806,164,132,12,1102,0.17708603541673654,0,1,47064.0,0.0014373997570266924,1744
1028,752,998,809,164,132,12,1105,0.17690601197340936,0,1,47491.0,0.0014345202964128796,1750
1029,673,1077,809,164,132,11,1105,0.17357406509030823,0,1,46675.0,0.0014345202964128796,1750
102,678,1060,803,164,132,11,1099,0.17391768347947667,0,1,45935.0,0.001440289317495123,1738
1030,644,1114,813,164,132,11,1109,0.17627967631224795,0,1,48060.0,0.0014306966630098993,1758
1031,773,997,819,164,132,11,1115,0.17381195170132088,0,1,47547.0,0.00142499456569869,1770
1032,665,1091,812,164,132,12,1108,0.1759756396782769,0,1,47929.0,0.0014316508989397957,1756
1033,781,991,820,164,132,11,1116,0.17367111761263462,0,1,47834.0,0.0014240480897503899,1772
1034,760,982,805,164,132,11,1101,0.17528520037318743,0,1,46851.0,0.0014383618198332095,1742
1035,769,1005,821,164,132,11,1117,0.17368902604426023,0,1,47713.0,0.0014231027168908014,1774
1036,693,1073,817,164,132,11,1113,0.17410960482491247,0,1,47315.0,0.001426890832347599,1766
1037,671,1075,807,164,132,11,1103,0.174246504933283,0,1,46693.0,0.0014364388164270683,1746
1038,765,997,815,164,132,12,1111,0.17621209153582196,0,1,48039.0,0.0014287915278014289,1762
1039,769,1001,819,164,132,11,1115,0.17413162801326665,0,1,47803.0,0.00142499456569869,1770
103,769,1003,820,164,132,11,1116,0.17383889699960478,0,1,47583.0,0.0014240480897503899,1772
1040,762,980,805,164,132,11,1101,0.1739924862732554,0,1,46566.0,0.0014383618198332095,1742
1041,781,991,820,164,132,11,1116,0.17360935947625614,0,1,47669.0,0.0014240480897503899,1772
1042,741,1003,806,164,132,12,1102,0.17604456186788311,0,1,46911.0,0.0014373997570266924,1744
1043,680,1086,817,164,132,11,1113,0.17529384384402605,0,1,48346.0,0.001426890832347599,1766
1044,751,999,809,164,132,12,1105,0.17616309395169363,0,1,47438.0,0.0014345202964128796,1750
1045,777,981,813,164,132,11,1109,0.17540386984203085,0,1,47772.0,0.0014306966630098993,1758
1046,779,989,818,164,132,11,1114,0.17425351841293724,0,1,47526.0,0.0014259421461074522,1768
1047,658,1094,810,164,132,12,1106,0.17708291390439398,0,1,47533.0,0.0014335627142775319,1752
1048,758,978,802,164,132,11,1098,0.17427628755097843,0,1,46020.0,0.001441254755061411,1736
1049,756,996,810,164,132,11,1106,0.1736297414275091,0,1,46896.0,0.0014335627142775319,1752
104,771,995,817,164,132,11,1113,0.17437979772197454,0,1,47394.0,0.001426890832347599,1766
1050,777,991,818,164,132,11,1114,0.17444028219969707,0,1,47935.0,0.0014259421461074522,1768
1051,688,1074,815,164,132,11,1111,0.17478468586292903,0,1,47579.0,0.0014287915278014289,1762
1052,677,1077,811,164,132,11,1107,0.17388257245361197,0,1,47140.0,0.0014326062489075765,1754
1053,756,992,808,164,132,11,1104,0.1742212848103343,0,1,46708.0,0.0014354789966757328,1748
1054,744,1002,807,164,132,12,1103,0.17685042141677296,0,1,47285.0,0.0014364388164270683,1746
1055,743,997,804,164,132,12,1100,0.17660875294103565,0,1,46767.0,0.0014393250062039872,1740
1056,750,992,805,164,132,12,1101,0.17642521114748225,0,1,47069.0,0.0014383618198332095,1742
1057,783,981,816,164,132,11,1112,0.17427147691392395,0,1,47774.0,0.0014278406257891977,1764
1058,658,1082,804,164,132,12,1100,0.1762289776952451,0,1,46836.0,0.0014393250062039872,1740
1059,744,1000,806,164,132,12,1102,0.17675383806641512,0,1,47387.0,0.0014373997570266924,1744
105,793,979,820,164,132,11,1116,0.173910874718908,0,1,48157.0,0.0014240480897503899,1772
1060,679,1089,818,164,132,11,1114,0.1747318576856574,0,1,47721.0,0.0014259421461074522,1768
1061,677,1069,807,164,132,12,1103,0.17507029552860023,0,1,45996.0,0.0014364388164270683,1746
1062,762,1012,821,164,132,11,1117,0.1735351660342325,0,1,47777.0,0.0014231027168908014,1774
1063,740,1012,810,164,132,12,1106,0.17642926330090095,0,1,47373.0,0.0014335627142775319,1752
1064,766,988,811,164,132,12,1107,0.1742417624001525,0,1,46828.0,0.0014326062489075765,1754
1065,758,986,806,164,132,11,1102,0.1741705278533046,0,1,46503.0,0.0014373997570266924,1744
1066,743,1003,807,164,132,12,1103,0.17614439620463124,0,1,47025.0,0.0014364388164270683,1746
1067,672,1072,806,164,132,11,1102,0.17371557242948274,0,1,46508.0,0.0014373997570266924,1744
1068,664,1080,806,164,132,12,1102,0.1761136294144732,0,1,46952.0,0.0014373997570266924,1744
1069,693,1077,819,164,132,11,1115,0.17383256838287198,0,1,47131.0,0.00142499456569869,1770
106,665,1085,809,164,132,12,1105,0.17597643977004565,0,1,47256.0,0.0014345202964128796,1750
1070,673,1075,808,164,132,11,1104,0.1740938080977623,0,1,46857.0,0.0014354789966757328,1748
1071,743,997,804,164,132,11,1100,0.17651939262414643,0,1,47014.0,0.0014393250062039872,1740
1072,772,990,815,164,132,11,1111,0.1753931927954858,0,1,47417.0,0.0014287915278014289,1762
1073,764,990,811,164,132,12,1107,0.1754521147862656,0,1,47566.0,0.0014326062489075765,1754
1074,778,984,815,164,132,12,1111,0.17529864610487303,0,1,47905.0,0.0014287915278014289,1762
1075,688,1072,814,164,132,11,1110,0.17487790872861272,0,1,47450.0,0.001429743539752557,1760
1076,683,1091,821,164,132,11,1117,0.17379900579146407,0,1,47957.0,0.0014231027168908014,1774
1077,778,990,818,164,132,11,1114,0.17400387178441595,0,1,47057.0,0.0014259421461074522,1768
1078,654,1088,805,164,132,12,1101,0.1765476194883396,0,1,46978.0,0.0014383618198332095,1742
1079,758,986,806,164,132,12,1102,0.17599683629128093,0,1,46980.0,0.0014373997570266924,1744
107,777,989,817,164,132,11,1113,0.17448679409416842,0,1,47332.0,0.001426890832347599,1766
1080,775,985,814,164,132,11,1110,0.17412554469781946,0,1,47100.0,0.001429743539752557,1760
1081,783,977,814,164,132,12,1110,0.1743393571560275,0,1,47192.0,0.001429743539752557,1760
1082,753,995,808,164,132,12,1104,0.17602761584017165,0,1,47220.0,0.0014354789966757328,1748
1083,763,1009,820,164,132,11,1116,0.17387958530630096,0,1,47712.0,0.0014240480897503899,1772
1084,785,991,822,164,132,11,1118,0.17420423447786634,0,1,48385.0,0.001422158445747378,1776
1085,774,992,817,164,132,11,1113,0.17509583812469617,0,1,47567.0,0.001426890832347599,1766
1086,744,1006,809,164,132,12,1105,0.1756207273744428,0,1,47599.0,0.0014345202964128796,1750
1087,791,975,817,164,132,12,1113,0.1745757780776713,0,1,48321.0,0.001426890832347599,1766
1088,778,992,819,164,132,11,1115,0.17423561986153274,0,1,47459.0,0.00142499456569869,1770
1089,755,993,808,164,132,12,1104,0.17626997266947464,0,1,47518.0,0.0014354789966757328,1748
108,729,983,790,164,132,12,1086,0.17333089407563612,0,1,44107.0,0.0014529283465302,1712
1090,662,1082,806,164,132,12,1102,0.1761360569995277,0,1,47124.0,0.0014373997570266924,1744
