sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,2754,3934,3225,254,238,29,3717,0.10054050114789913,0,2,467900.0,0.0004842035821218832,6688
1000,2837,3851,3225,254,238,31,3717,0.1001249056291582,0,2,477990.0,0.0004842035821218832,6688
1001,2761,3873,3198,254,238,30,3690,0.1001557387082055,0,2,469623.0,0.00048734941130923915,6634
1002,2669,3543,2987,254,238,31,3479,0.09977703337742966,0,2,401597.0,0.0005133900420513717,6212
1003,2679,3953,3197,254,238,30,3689,0.10041945517699964,0,2,490002.0,0.00048746669614595543,6632
1004,2746,3942,3225,254,238,30,3717,0.10120330695642547,0,2,478101.0,0.0004842035821218832,6688
1005,2736,3948,3223,254,238,30,3715,0.1018686305450269,0,2,481643.0,0.00048443523505328133,6684
1006,2622,4008,3196,254,238,30,3688,0.10139851831464629,0,2,470486.0,0.00048758403654276886,6630
1007,2715,3493,2985,254,238,31,3477,0.1005962787780128,0,2,422255.0,0.0005136499495451451,6208
1008,2671,3951,3192,254,238,30,3684,0.10108459798220111,0,2,490112.0,0.0004880539545047041,6622
1009,2736,3476,2987,254,238,31,3479,0.10089199386655885,0,2,437075.0,0.0005133900420513717,6212
100,2741,3881,3192,254,238,30,3684,0.10104339141673004,0,2,479912.0,0.0004880539545047041,6622
1010,2576,4052,3195,254,238,30,3687,0.10102505351618568,0,2,475138.0,0.0004877014325383388,6628
1011,2691,4005,3229,254,238,30,3721,0.10015968090956082,0,2,488369.0,0.00048374092985756516,6696
1012,2634,4050,3223,254,238,30,3715,0.10081049472001027,0,2,498316.0,0.00048443523505328133,6684
1013,2595,3615,2986,254,238,31,3478,0.10130909198344908,0,2,420882.0,0.0005135199635227172,6210
1014,2684,3968,3207,254,238,30,3699,0.10111532513980913,0,2,481890.0,0.0004862963416215717,6652
1015,2752,3482,2998,254,238,32,3490,0.10073796504490193,0,2,447053.0,0.0005119651528627426,6234
1016,2802,3882,3223,254,238,30,3715,0.10156750362145274,0,2,515610.0,0.00048443523505328133,6684
1017,2764,3454,2990,254,238,31,3482,0.10119225614951585,0,2,418129.0,0.0005130006644752898,6218
1018,2663,3549,2987,254,238,31,3479,0.0997434856494255,0,2,405712.0,0.0005133900420513717,6212
1019,2621,3737,3060,254,238,31,3552,0.10062217078462032,0,2,444911.0,0.0005040770142150035,6358
101,2853,3347,2981,254,238,31,3473,0.10108806771353913,0,2,435376.0,0.0005141705400847353,6200
1020,2936,3762,3230,254,238,31,3722,0.10026369802999048,0,2,502057.0,0.0004836254027383682,6698
1021,2642,3660,3032,254,238,31,3524,0.09943978985357843,0,2,417615.0,0.0005076096338541313,6302
1022,2608,3670,3020,254,238,31,3512,0.10076640724789189,0,2,437326.0,0.0005091385421282543,6278
1023,2734,3886,3191,254,238,30,3683,0.10122450183796741,0,2,494415.0,0.000488171573282591,6620
1024,2673,3543,2989,254,238,31,3481,0.10100245996769218,0,2,435254.0,0.0005131303925744683,6216
1025,2736,3440,2969,254,238,31,3461,0.10071021629139675,0,2,415932.0,0.0005157385432724346,6176
1026,2577,4049,3194,254,238,30,3686,0.10080341050325618,0,2,489695.0,0.00048781888417135944,6626
