sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,407,473,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1000,413,467,395,104,90,8,589,0.20773227426723295,0,2,32626.0,0.0025409144982271345,880
1001,423,457,395,104,90,8,589,0.20773227426723295,0,2,32626.0,0.0025409144982271345,880
1002,411,473,397,104,90,7,591,0.20751555505436786,0,2,33387.0,0.0025352031890791245,884
1003,413,467,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1004,392,488,395,104,90,8,589,0.20773227426723295,0,2,32626.0,0.0025409144982271345,880
1005,398,482,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1006,362,518,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1007,411,473,397,104,90,7,591,0.20751555505436786,0,2,33387.0,0.0025352031890791245,884
1008,408,472,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1009,397,487,397,104,90,7,591,0.20751555505436786,0,2,33387.0,0.0025352031890791245,884
100,407,473,395,104,90,8,589,0.2081634311316674,0,2,32832.0,0.0025409144982271345,880
1010,407,473,395,104,90,8,589,0.2081634311316674,0,2,33359.0,0.0025409144982271345,880
1011,392,488,395,104,90,8,589,0.20773227426723295,0,2,32626.0,0.0025409144982271345,880
1012,398,482,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1013,408,472,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1014,347,533,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1015,413,467,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1016,413,467,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1017,396,488,397,104,90,7,591,0.20794144494442673,0,2,33037.0,0.0025352031890791245,884
1018,396,488,397,104,90,7,591,0.20794144494442673,0,2,33595.0,0.0025352031890791245,884
1019,407,473,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
101,398,482,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1020,423,457,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1021,398,482,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1022,413,467,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1023,413,467,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1024,362,518,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1025,408,472,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
1026,347,533,395,104,90,8,589,0.20773227426723295,0,2,32626.0,0.0025409144982271345,880
1027,411,473,397,104,90,7,591,0.2076324628438981,0,2,32872.0,0.0025352031890791245,884
1028,351,533,397,104,90,7,591,0.20751555505436786,0,2,33387.0,0.0025352031890791245,884
1029,413,467,395,104,90,8,589,0.20773227426723295,0,2,33153.0,0.0025409144982271345,880
