sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,9192,9535,9183,636,361,51,10180,0.047971929401252084,0,1,1271733.0,0.00018072378684803317,18727
1000,8847,9870,9178,636,361,54,10175,0.04833698233451881,0,1,1266111.0,0.0001808048554657558,18717
1001,8705,9642,8993,636,361,51,9990,0.04980757723222514,0,1,1154058.0,0.00018385589513830578,18347
1002,9106,9329,9037,636,361,53,10034,0.04774716617217268,0,1,1173409.0,0.0001831210344511706,18435
1003,8486,9825,8975,636,361,51,9972,0.050088417920640976,0,1,1174947.0,0.00018415820641191184,18311
1004,9447,9082,9084,636,361,52,10081,0.04715884470666548,0,1,1240016.0,0.00018234247043392963,18529
1005,9364,9449,9226,636,361,50,10223,0.04764357004985054,0,1,1268176.0,0.0001800295591827965,18813
1006,8761,9590,8995,636,361,51,9992,0.049445237506547356,0,1,1175255.0,0.00018382236566953492,18351
1007,9079,9246,8982,636,361,53,9979,0.04800753351023805,0,1,1174460.0,0.00018404052398591863,18325
1008,8757,9608,9002,636,361,52,9999,0.0486177546825307,0,1,1207354.0,0.00018370510785825533,18365
1009,8995,9438,9036,636,361,52,10033,0.047820437575827046,0,1,1180153.0,0.0001831376712033702,18433
100,8914,9511,9032,636,361,54,10029,0.04913342372483476,5.5358724534986716e-05,1,1181794.0,0.00018320424816695326,18425
1010,8887,9410,8968,636,361,52,9965,0.04975712252419048,0,1,1139589.0,0.0001842760379916621,18297
1011,9559,9194,9196,636,361,52,10193,0.047627004611158576,0,1,1286443.0,0.0001805133451851788,18753
1012,9212,9551,9201,636,361,51,10198,0.047812594829525115,0,1,1271952.0,0.00018043253533936077,18763
1013,8947,9364,8975,636,361,51,9972,0.04832827746916238,0,1,1202347.0,0.00018415820641191184,18311
1014,9383,9086,9054,636,361,50,10051,0.04806256753922634,0,1,1241703.0,0.00018283866707651672,18469
1015,8912,9681,9116,636,361,54,10113,0.0491037548676395,0,1,1197474.0,0.0001818161265046744,18593
1016,8844,9747,9115,636,361,54,10112,0.04752522664998984,0,1,1246299.0,0.0001818325291792746,18591
1017,9050,8979,8834,636,361,53,9831,0.04945005350773209,0,1,1157021.0,0.0001865608126265732,18029
1018,9167,9020,8913,636,361,52,9910,0.049068488242242914,0,1,1153871.0,0.00018520707968242592,18187
1019,9087,9414,9070,636,361,51,10067,0.04692521887954634,0,1,1173589.0,0.00018257369642864297,18501
101,9589,9134,9181,636,361,54,10178,0.04734707907045245,5.446029844243546e-05,1,1198343.0,0.00018075620564929806,18723
1020,9249,9744,9316,636,361,54,10313,0.047160803831138354,0,1,1295383.0,0.00017859349904242365,18993
1021,9039,9484,9081,636,361,54,10078,0.049438319620081335,0,1,1171213.0,0.00018239197000323153,18523
1022,8904,9723,9133,636,361,52,10130,0.0484485413427553,0,1,1234537.0,0.00018153772894322664,18627
1023,8785,9568,8996,636,361,53,9993,0.04818754347445998,0,1,1209293.0,0.00018380560547707654,18353
1024,9073,9600,9156,636,361,54,10153,0.049142981388156495,0,1,1179120.0,0.0001811624152049684,18673
1025,9430,9147,9108,636,361,52,10105,0.048362518562500026,0,1,1161791.0,0.00018194743005254017,18577
1026,9135,9110,8942,636,361,53,9939,0.04889205328433984,0,1,1196134.0,0.0001847150086851995,18245
1027,9030,9337,9003,636,361,53,10000,0.048011844443530634,0,1,1187936.0,0.0001836883688368837,18367
1028,9117,9130,8943,636,361,53,9940,0.04919046845276688,5.590965000559097e-05,1,1138228.0,0.0001846980869015279,18247
1029,8494,9755,8944,636,361,51,9941,0.04957828399963465,0,1,1149670.0,0.00018468116818808435,18249
102,8992,9373,9002,636,361,52,9999,0.04920343514363241,0,1,1174618.0,0.00018370510785825533,18365
1030,8782,9565,8993,636,361,50,9990,0.049560361611826864,0,1,1172037.0,0.00018385589513830578,18347
1031,9065,9346,9025,636,361,52,10022,0.04721480555310687,0,1,1165898.0,0.00018332087330236518,18411
1032,9848,8983,9235,636,361,54,10232,0.047171524412240484,5.4141851651326476e-05,1,1205496.0,0.00017988492408628853,18831
1033,9420,9575,9317,636,361,52,10314,0.04738111082068225,0,1,1303425.0,0.0001785776703622984,18995
1034,9142,9281,9031,636,361,52,10028,0.048453048803606416,0,1,1205646.0,0.00018322089990054376,18423
1035,9060,9733,9216,636,361,51,10213,0.04802013305671498,0,1,1296458.0,0.00018019053540703272,18793
1036,9082,9473,9097,636,361,53,10094,0.04753350627289103,0.00010992634934593822,1,1188800.0,0.00018212827951880284,18555
1037,8927,9400,8983,636,361,53,9980,0.04854882463288497,0,1,1219516.0,0.00018402372437027577,18327
1038,9231,9120,8995,636,361,52,9992,0.04915863386486999,0,1,1197282.0,0.00018382236566953492,18351
1039,9207,9404,9125,636,361,54,10122,0.04739065837444977,0,1,1162252.0,0.00018166863426360443,18611
103,9159,9624,9211,636,361,51,10208,0.048172130893183264,0,1,1223577.0,0.0001802711305444386,18783
1040,9392,9143,9087,636,361,52,10084,0.04828448117147495,0,1,1277714.0,0.00018229299747439371,18535
1041,9516,9381,9268,636,361,52,10265,0.04753216009375562,5.3949072075960293e-05,1,1273420.0,0.0001793565601201823,18897
1042,9304,8991,8967,636,361,52,9964,0.04949128381682827,0,1,1114548.0,0.00018429288326664138,18295
1043,8856,9629,9062,636,361,52,10059,0.04883650230849697,0,1,1242183.0,0.00018270608658467637,18485
1044,8914,9355,8954,636,361,52,9951,0.049474835534102375,0,1,1147915.0,0.0001845121497347051,18269
1045,9164,9425,9114,636,361,53,10111,0.048160048954000126,0,1,1265116.0,0.00018184893478628567,18589
1046,9662,8969,9135,636,361,52,10132,0.04732290464403576,0,1,1239481.0,0.0001815050318132114,18631
1047,9007,9370,9008,636,361,52,10005,0.048249385593223455,0,1,1153368.0,0.00018360471903192745,18377
1048,8927,9540,9053,636,361,53,10050,0.04755576781345109,0,1,1236384.0,0.00018285525304119268,18467
1049,9025,9378,9021,636,361,52,10018,0.04856645898472629,0,1,1142472.0,0.00018338758229596231,18403
