sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,53488,36971,44192,2122,2075,21,48389,0.09104937172182433,7.919985517740767e-05,1,5600051.0,3.863380321104796e-05,90459
1000,54676,36677,44639,2122,2075,22,48836,0.08161452417314574,0,1,5500145.0,3.8304653391672796e-05,91353
1001,54527,35546,43999,2122,2075,21,48196,0.08114897939143695,0,1,5547372.0,3.87776643718476e-05,90073
1002,53901,36660,44243,2122,2075,22,48440,0.08121056701444773,0,1,5435517.0,3.859596520803089e-05,90561
1003,55101,35208,44117,2122,2075,21,48314,0.08105753937021255,0,1,5553770.0,3.8689581538440255e-05,90309
1004,55156,35551,44316,2122,2075,21,48513,0.08122493891476179,0,1,5444743.0,3.854193299764005e-05,90707
1005,53146,37145,44108,2122,2075,22,48305,0.09089290172024318,0,1,5583297.0,3.86962857017175e-05,90291
1006,53100,36691,43858,2122,2075,22,48055,0.0913142237625604,0,1,5566946.0,3.888344025900491e-05,89791
1007,52400,38263,44294,2122,2075,22,48491,0.09124257683916638,0,1,5618145.0,3.855820083402295e-05,90663
1008,53010,36971,43953,2122,2075,22,48150,0.09118568526865409,0,1,5575519.0,3.881210987345508e-05,89981
1009,54550,36113,44294,2122,2075,22,48491,0.08136446519340973,0,1,5449167.0,3.855820083402295e-05,90663
100,55229,35118,44136,2122,2075,24,48333,0.08096218602924414,0,1,5556934.0,3.867543588757749e-05,90347
1010,54199,35926,44025,2122,2075,22,48222,0.08112828691625627,0,1,5546281.0,3.875822205311295e-05,90125
1011,55204,35355,44242,2122,2075,22,48439,0.08134020664697417,0,1,5439661.0,3.8596706421261495e-05,90559
1012,53506,37247,44339,2122,2075,23,48536,0.09083504851303449,0,1,5607236.0,3.852494030253733e-05,90753
1013,54757,35356,44019,2122,2075,21,48216,0.08127072253431,0,1,5404586.0,3.8762707021280246e-05,90113
1014,52864,37227,44008,2122,2075,21,48205,0.09104066737581652,0,1,5578684.0,3.8770932143996014e-05,90091
1015,54166,37153,44622,2122,2075,23,48819,0.08094226506868775,0,1,5616744.0,3.8317069334172815e-05,91319
1016,54342,36845,44556,2122,2075,21,48753,0.0813216228715381,0,1,5479326.0,3.836534836182289e-05,91187
1017,54284,36787,44498,2122,2075,21,48695,0.08120914255088799,0,1,5467916.0,3.840787537435406e-05,91071
1018,52464,38465,44427,2122,2075,22,48624,0.09121863036486698,0,1,5632931.0,3.846006210781683e-05,90929
1019,55926,34799,44325,2122,2075,21,48522,0.0808827402905175,0.00011280315848843768,1,5423945.0,3.8535281907230195e-05,90725
101,54062,37621,44804,2122,2075,22,49001,0.08141954605348797,0,1,5514839.0,3.818456016516114e-05,91683
1020,54089,38062,45038,2122,2075,22,49235,0.08109763356509396,0,1,5531187.0,3.801552467874043e-05,92151
1021,53292,37023,44120,2122,2075,22,48317,0.0909633792122642,0,1,5588574.0,3.868734733062049e-05,90315
1022,52964,37067,43978,2122,2075,22,48175,0.0911762826778711,0,1,5577850.0,3.879338194754101e-05,90031
1023,55527,34522,43987,2122,2075,22,48184,0.08118692485332533,0,1,5395664.0,3.878664429264503e-05,90049
1024,53869,37088,44441,2122,2075,23,48638,0.08130969319007503,0,1,5463873.0,3.844976060654107e-05,90957
1025,54328,36581,44417,2122,2075,22,48614,0.08162918953188063,0,1,5475911.0,3.8467423684385105e-05,90909
1026,52505,38760,44595,2122,2075,22,48792,0.0910209219361481,0,1,5649856.0,3.833680523270419e-05,91265
1027,53105,37688,44359,2122,2075,21,48556,0.0908605775229142,0,1,5613003.0,3.851017615276397e-05,90793
1028,52581,38508,44507,2122,2075,21,48704,0.09093717332292772,0,1,5634525.0,3.840127021076528e-05,91089
1029,55214,34581,43860,2122,2075,21,48057,0.08128404528498459,0,1,5531775.0,3.888193588048824e-05,89795
102,54520,35663,44054,2122,2075,23,48251,0.08108978598466074,0,1,5544588.0,3.8736559246590826e-05,90183
1030,51889,39210,44512,2122,2075,21,48709,0.09135183496563659,0,1,5654264.0,3.8397601651550316e-05,91099
1031,53095,37696,44358,2122,2075,21,48555,0.09103833546807351,0,1,5615801.0,3.8510914092988655e-05,90791
1032,54125,38444,45247,2122,2075,22,49444,0.08111029709102931,8.840365107078923e-05,1,5560689.0,3.786580205945491e-05,92569
1033,55648,34901,44237,2122,2075,22,48434,0.08099714306949349,0.00012433031172999978,1,5565668.0,3.860041291208993e-05,90549
1034,54699,36142,44383,2122,2075,22,48580,0.08144501692101451,0,1,5462360.0,3.849247402026016e-05,90841
1035,54912,35647,44242,2122,2075,23,48439,0.081301991667721,0,1,5432463.0,3.8596706421261495e-05,90559
1036,54375,36708,44504,2122,2075,21,48701,0.08145305773919141,0,1,5477085.0,3.840347168092337e-05,91083
1037,54177,36696,44399,2122,2075,22,48596,0.08183624125809942,0,1,5476624.0,3.848068158669596e-05,90873
1038,53167,36728,43910,2122,2075,22,48107,0.09133642890747018,0,1,5576751.0,3.884436399727232e-05,89895
1039,55187,36458,44785,2122,2075,23,48982,0.0809254651416657,0,1,5636543.0,3.819835091477404e-05,91645
103,52179,38636,44370,2122,2075,22,48567,0.09144062745389694,0,1,5633689.0,3.85020606659844e-05,90815
1040,52769,37314,44004,2122,2075,22,48201,0.09104560379247163,0,1,5579313.0,3.877392395829325e-05,90083
1041,55223,35722,44435,2122,2075,21,48632,0.08113015114482695,0.00011252391133115787,1,5451465.0,3.845417486361374e-05,90945
1042,54455,36778,44579,2122,2075,22,48776,0.08115321190273786,0,1,5478512.0,3.8348510123413156e-05,91233
1043,55436,34689,44025,2122,2075,21,48222,0.0812093277685363,0,1,5399208.0,3.875822205311295e-05,90125
1044,55082,35127,44067,2122,2075,21,48264,0.08134656300568836,0,1,5415005.0,3.872685614749004e-05,90209
1045,53081,36942,43974,2122,2075,23,48171,0.09113288479651822,0,1,5581669.0,3.879637720797501e-05,90023
1046,55109,35922,44478,2122,2075,21,48675,0.08109020630268601,0,1,5460821.0,3.8422561608642924e-05,91031
1047,54110,37141,44588,2122,2075,22,48785,0.08132700572582297,0,1,5486538.0,3.8341925247939494e-05,91251
1048,53785,37478,44594,2122,2075,23,48791,0.0810024154447838,0,1,5614784.0,3.83375365801947e-05,91263
1049,51715,39772,44706,2122,2075,21,48903,0.09152955256313283,0,1,5679867.0,3.825579778769164e-05,91487
104,55334,35815,44537,2122,2075,21,48734,0.08127036311735729,0,1,5475392.0,3.8379269306123855e-05,91149
1050,53723,36650,44149,2122,2075,21,48346,0.08129883051179869,0,1,5425412.0,3.866576320908284e-05,90373
1051,52982,37215,44061,2122,2075,21,48258,0.09109318683702748,0,1,5586875.0,3.873133390024323e-05,90197
1052,53683,38338,44973,2122,2075,23,49170,0.08131287317249726,7.782447246125453e-05,1,5530118.0,3.806232949356768e-05,92021
1053,54808,35629,44181,2122,2075,21,48378,0.0814639665468597,0,1,5430607.0,3.864197402268567e-05,90437
1054,55079,35210,44107,2122,2075,21,48304,0.08119532928657595,0,1,5418813.0,3.8697030751359296e-05,90289
1055,55153,35184,44131,2122,2075,22,48328,0.08120595506804874,0,1,5421311.0,3.8679157429987795e-05,90337
1056,54601,36096,44311,2122,2075,22,48508,0.08136152367910385,0,1,5449554.0,3.854562903446581e-05,90697
1057,53282,37217,44212,2122,2075,22,48409,0.0909524206251913,0,1,5596787.0,3.8618955989365105e-05,90499
1058,54688,35897,44255,2122,2075,22,48452,0.08136960471011213,0,1,5443563.0,3.8587072856822004e-05,90585
1059,54706,36511,44571,2122,2075,21,48768,0.08098961449691977,0,1,5468162.0,3.8354365234612044e-05,91217
105,53957,37008,44445,2122,2075,22,48642,0.09061504054595709,3.374957813027337e-05,1,5609604.0,3.844681832834001e-05,90965
1060,55481,34978,44192,2122,2075,22,48389,0.08098127901057459,0,1,5410969.0,3.863380321104796e-05,90459
1061,54708,35565,44099,2122,2075,21,48296,0.08129090419134091,0,1,5412530.0,3.870299217564433e-05,90273
1062,54596,37637,45079,2122,2075,23,49276,0.08129052627993841,0,1,5544869.0,3.798606047943579e-05,92233
1063,54074,37267,44633,2122,2075,23,48830,0.0813432611639453,0,1,5488196.0,3.8309034575211206e-05,91341
1064,54446,36191,44281,2122,2075,23,48478,0.08083104025447861,3.387457374494704e-05,1,5566376.0,3.856782006673555e-05,90637
1065,54402,36587,44457,2122,2075,21,48654,0.08141660016502825,0,1,5469588.0,3.843799417988722e-05,90989
1066,54054,36963,44471,2122,2075,21,48668,0.0813367351794749,0,1,5467306.0,3.842770442963293e-05,91017
1067,54146,36701,44386,2122,2075,21,48583,0.081427362438436,0,1,5456557.0,3.849026239153402e-05,90847
1068,55221,34772,43959,2122,2075,21,48156,0.08147756386475018,0,1,5407544.0,3.88076135317288e-05,89993
1069,52238,39017,44590,2122,2075,22,48787,0.09160296827094735,0,1,5662286.0,3.834046224767091e-05,91255
106,54881,36394,44600,2122,2075,21,48797,0.08105823689634896,0,1,5475150.0,3.833314891144449e-05,91275
1070,54681,35652,44129,2122,2075,21,48326,0.08149580064513147,0,1,5432711.0,3.8680646246364496e-05,90333
1071,52452,38643,44510,2122,2075,22,48707,0.09118871704247522,0,1,5645205.0,3.83990689915885e-05,91095
1072,55185,35244,44177,2122,2075,21,48374,0.0812348424543696,0,1,5422137.0,3.864494607904593e-05,90429
1073,53372,36509,43903,2122,2075,21,48100,0.08114733195655126,0,1,5536179.0,3.884961971408675e-05,89881
1074,53831,36298,44027,2122,2075,22,48224,0.08116952174411336,0,1,5547417.0,3.875672729303769e-05,90129
1075,55267,34826,44009,2122,2075,21,48206,0.08134161642769974,0,1,5408775.0,3.8770184262150564e-05,90093
1076,54385,36254,44282,2122,2075,22,48479,0.08125635994112058,0,1,5438188.0,3.856707995632181e-05,90639
1077,54766,35809,44250,2122,2075,21,48447,0.08133815186016966,0,1,5440558.0,3.859077750794868e-05,90575
1078,53561,37430,44458,2122,2075,21,48655,0.081490072420109,0,1,5476241.0,3.843725901599916e-05,90991
