sid,BUFF,NOT,AND,PI,PO,LP,LEN,degree_assortativity_coefficient,transitivity,number_weakly_connected_components,s_metric,density,EDGES
0,3570,4040,3454,828,702,25,4984,0.146507392678028,0,2,558268.0,0.0003064190317706204,7610
1000,3220,4392,3455,828,702,27,4985,0.14548432410367393,0,2,561748.0,0.00030637659366542647,7612
1001,3547,4139,3492,828,702,27,5022,0.14509705973022716,0,2,559946.0,0.00030481297546719547,7686
1002,3602,4050,3475,828,702,27,5005,0.14489761901180612,0,2,556078.0,0.0003055298019326796,7652
1003,3210,4450,3479,828,702,27,5009,0.1451743586523791,0,2,558174.0,0.00030536089352264966,7660
1004,3454,4214,3483,828,702,25,5013,0.14539819121767522,0.0001435544071202986,2,558967.0,0.0003051921349264458,7668
1005,3069,4549,3458,828,702,25,4988,0.14602286547863794,0,2,555125.0,0.0003062493356825581,7618
1006,3570,4108,3488,828,702,26,5018,0.14549197134853512,0,2,561497.0,0.0003049813972469689,7678
1007,3539,4121,3479,828,702,27,5009,0.1449109243875508,0,2,556215.0,0.00030536089352264966,7660
1008,3364,4230,3446,828,702,24,4976,0.1468551639629893,0,2,558800.0,0.0003067588747596503,7594
1009,3590,4122,3505,828,702,27,5035,0.14423669045097673,0,2,557297.0,0.0003042666373131425,7712
100,3532,4026,3428,828,702,27,4958,0.14696130493894044,0,2,555583.0,0.00030752572160922784,7558
1010,3542,4044,3442,828,702,27,4972,0.14611186983842667,0,2,551930.0,0.0003069290217938217,7586
1011,3494,4216,3504,828,702,26,5034,0.14414826986538126,0,2,551798.0,0.000304308607291992,7710
1012,3120,4586,3502,828,702,27,5032,0.1443912584752565,0,2,559237.0,0.00030439257525440835,7706
1013,3394,4278,3485,828,702,28,5015,0.14474886102487777,0,2,557210.0,0.0003051078117860221,7672
1014,3446,4188,3466,828,702,27,4996,0.14558987756960465,0,2,557086.0,0.00030591039398085033,7634
1015,3240,4394,3466,828,702,27,4996,0.14562797787233211,0,2,553342.0,0.00030591039398085033,7634
1016,3300,4448,3523,828,702,27,5053,0.14285947852575429,0,2,564531.0,0.00030351277252885055,7748
1017,3477,4187,3481,828,702,27,5011,0.14475388197700298,0,2,555250.0,0.0003052764955023101,7664
1018,3465,4177,3470,828,702,26,5000,0.14528967334322143,0,2,557608.0,0.00030574114822964595,7642
1019,3590,4092,3490,828,702,27,5020,0.14520088050851093,0,2,557660.0,0.00030489716765533996,7682
101,3183,4603,3542,828,702,26,5072,0.1492474119837823,0,2,629329.0,0.0003027202991962088,7786
1020,3698,4206,3601,828,702,27,5131,0.14583904225924268,0,2,619596.0,0.0003002807914131243,7904
1021,3083,4567,3474,828,702,28,5004,0.14547898662751838,0,2,558296.0,0.00030557205245198204,7650
1022,3207,4457,3481,828,702,26,5011,0.1453201676026061,0,2,559060.0,0.0003052764955023101,7664
1023,3271,4439,3504,828,702,26,5034,0.14401936100496113,0,2,556333.0,0.000304308607291992,7710
1024,3619,4021,3469,828,702,27,4999,0.1453232207823272,0,2,566476.0,0.00030578344560468717,7640
1025,3437,4243,3489,828,702,26,5019,0.14422388211096182,0,2,565142.0,0.000304939277775144,7680
1026,3454,4210,3481,828,702,27,5011,0.14497842674126837,0,2,555651.0,0.0003052764955023101,7664
1027,3530,4076,3452,828,702,25,4982,0.14638431603790006,0,2,557617.0,0.0003065039361536907,7606
1028,3441,4195,3467,828,702,27,4997,0.1460245369805088,0,2,557707.0,0.000305868068479198,7636
1029,3174,4394,3433,828,702,25,4963,0.14656308171648885,0,2,552665.0,0.0003073124027923522,7568
102,3078,4564,3470,828,702,26,5000,0.14601774130995054,0,2,559946.0,0.00030574114822964595,7642
1030,3083,4515,3448,828,702,26,4978,0.14630187481939178,0,2,556902.0,0.00030667385763988027,7598
1031,3686,4074,3529,828,702,26,5059,0.14369362817633227,0,2,562073.0,0.00030326215504809166,7760
1032,3210,4696,3602,828,702,27,5132,0.14626668596870102,0,2,628745.0,0.00030023972087200006,7906
1033,3676,4086,3530,828,702,27,5060,0.1434767504823997,0,2,561770.0,0.0003032204180394663,7762
1034,3417,4135,3425,828,702,27,4955,0.14704421572559995,0,2,555644.0,0.00030765382589449577,7552
1035,3569,4149,3508,828,702,25,5038,0.144134238536606,0,2,554784.0,0.00030414078337176665,7718
1036,3310,4438,3523,828,702,27,5053,0.1428345499298161,0,2,567425.0,0.00030351277252885055,7748
1037,3075,4525,3449,828,702,26,4979,0.1461746449256555,0,2,555848.0,0.0003066313631757197,7600
1038,3443,4215,3478,828,702,27,5008,0.14481803048814287,0.0001437607820586544,2,555763.0,0.00030540310657730936,7658
1039,3558,3980,3418,828,702,26,4948,0.1475605061528252,0,2,555824.0,0.0003079530656323235,7538
103,3595,4071,3482,828,702,24,5012,0.14625281758945938,0,2,564459.0,0.0003052343105343822,7666
1040,3403,4193,3447,828,702,26,4977,0.14642389420670404,0,2,554524.0,0.00030671636150084603,7596
1041,3760,4192,3625,828,702,27,5155,0.14006772116187485,0.00013793103448275863,2,559416.0,0.0002992976366702837,7952
1042,3364,4174,3418,828,702,25,4948,0.14712107605175934,0,2,554199.0,0.0003079530656323235,7538
1043,3214,4400,3456,828,702,26,4986,0.14579461941731509,0,2,555903.0,0.00030633416494972284,7614
1044,3516,4088,3451,828,702,26,4981,0.14581204549984184,0,2,555219.0,0.0003065464024336656,7604
1045,3539,4081,3459,828,702,26,4989,0.14575009637204123,0,2,555988.0,0.00030620693512897583,7620
1046,3425,4125,3424,828,702,26,4954,0.14656137867801583,0,2,564935.0,0.00030769654616128795,7550
1047,3018,4534,3425,828,702,27,4955,0.14690487136775038,0,2,554819.0,0.00030765382589449577,7552
1048,3534,4078,3455,828,702,27,4985,0.145847354235564,0,2,551630.0,0.00030637659366542647,7612
1049,3489,4299,3543,828,702,25,5073,0.1437675990669597,0,2,566373.0,0.0003026786830259287,7788
104,3641,4147,3543,828,702,24,5073,0.14276822913905676,0,2,572218.0,0.0003026786830259287,7788
1050,3425,4135,3429,828,702,27,4959,0.14723603114609185,0,2,556776.0,0.0003074830390159371,7560
1051,3171,4377,3423,828,702,26,4953,0.14726262526187062,0,2,555645.0,0.00030773927584887604,7548
1052,3251,4655,3602,828,702,27,5132,0.14627235257425533,0.000138811771238201,2,628677.0,0.00030023972087200006,7906
1053,3368,4140,3403,828,702,26,4933,0.14797876435463236,0,2,552087.0,0.0003085958494269275,7508
1054,3631,4089,3509,828,702,27,5039,0.14442830827237282,0,2,558242.0,0.0003040988507190559,7720
1055,3632,4144,3537,828,702,27,5067,0.1430355032169239,0,2,560869.0,0.00030292851938777584,7776
1056,3633,4091,3511,828,702,26,5041,0.1437324828993339,0,2,558496.0,0.0003040150133980723,7724
1057,3581,4095,3487,828,702,26,5017,0.14455999793884683,0,2,557021.0,0.0003050235260719614,7676
1058,3322,4432,3526,828,702,27,5056,0.14369952255806684,0,2,557187.0,0.00030338742190336675,7754
1059,3452,4248,3499,828,702,27,5029,0.14421217299751088,0,2,558105.0,0.0003045185972275678,7700
105,3664,4068,3515,828,702,27,5045,0.14383138276010204,0,2,556707.0,0.0003038474506601569,7732
1060,3298,4594,3595,828,702,26,5125,0.14080307811887235,0,2,557553.0,0.00030052740808438527,7892
1061,3106,4568,3486,828,702,27,5016,0.14473898694221798,0,2,558463.0,0.00030506566425126535,7674
1062,3671,4161,3565,828,702,26,5095,0.14824057324689865,0,2,629069.0,0.0003017654744387459,7832
1063,3458,4290,3523,828,702,28,5053,0.14245582357284275,0,2,560918.0,0.00030351277252885055,7748
1064,3574,4070,3471,828,702,28,5001,0.14515849523291796,0,2,555294.0,0.00030569886022795443,7644
1065,3491,4211,3500,828,702,26,5030,0.14457561162257648,0,2,560500.0,0.0003044765805643372,7702
1066,3423,4189,3455,828,702,25,4985,0.14591508238389783,0,2,556744.0,0.00030637659366542647,7612
1067,3077,4509,3442,828,702,25,4972,0.14677429635075176,0,2,554183.0,0.0003069290217938217,7586
1068,3228,4392,3459,828,702,26,4989,0.14531849009759434,0,2,551578.0,0.00030620693512897583,7620
1069,3140,4524,3481,828,702,26,5011,0.14562386228745366,0,2,559754.0,0.0003052764955023101,7664
106,3160,4538,3498,828,702,27,5028,0.14512548201053477,0,2,560996.0,0.0003045606232312102,7698
1070,3081,4505,3442,828,702,26,4972,0.14671606315784042,0,2,555117.0,0.0003069290217938217,7586
1071,3609,4055,3481,828,702,27,5011,0.14428972862509937,0,2,562825.0,0.0003052764955023101,7664
1072,3443,4189,3465,828,702,25,4995,0.14571044336910036,0,2,553571.0,0.00030595272886021785,7632
1073,3567,4079,3472,828,702,27,5002,0.14554308991301543,0,2,558776.0,0.0003056565815985144,7646
1074,3444,4232,3487,828,702,27,5017,0.14507873599914967,0,2,559052.0,0.0003050235260719614,7676
1075,3298,4382,3489,828,702,26,5019,0.14514618170996932,0.00014330753797649757,2,556773.0,0.000304939277775144,7680
1076,3138,4534,3485,828,702,27,5015,0.1452152181512574,0,2,555256.0,0.0003051078117860221,7672
1077,3522,4036,3428,828,702,25,4958,0.1468159494773723,0,2,551863.0,0.00030752572160922784,7558
1078,3086,4628,3506,828,702,27,5036,0.1434325989991185,0,2,566704.0,0.0003042246766676158,7714
1079,3538,4212,3524,828,702,27,5054,0.14314000874197613,0,2,558850.0,0.00030347097967715545,7750
107,3652,4046,3498,828,702,27,5028,0.14470939166225416,0.0001429388221841052,2,557154.0,0.0003045606232312102,7698
1080,3314,4152,3382,828,702,25,4912,0.14884169400812236,0,2,553747.0,0.0003094993158348904,7466
1081,3779,4259,3668,828,702,27,5198,0.14430177917884932,0,2,633081.0,0.00029754935273206055,8038
1082,3473,4161,3466,828,702,26,4996,0.1452619096612986,0,2,555949.0,0.00030591039398085033,7634
1083,3670,4158,3563,828,702,26,5093,0.14842955819472203,0,2,629315.0,0.00030184830803766364,7828
1084,3624,4070,3496,828,702,26,5026,0.14434896735130104,0,2,555634.0,0.0003046447032644181,7694
1085,3593,4049,3470,828,702,27,5000,0.14585510887017025,0,2,558717.0,0.00030574114822964595,7642
1086,3475,4247,3510,828,702,27,5040,0.14417333899265036,0,2,559686.0,0.00030405692739489127,7722
1087,3694,4130,3561,828,702,27,5091,0.14206803506956703,0,2,561657.0,0.0003019311786777313,7824
1088,3481,4183,3481,828,702,25,5011,0.14524953012345942,0,2,555694.0,0.0003052764955023101,7664
1089,3446,4234,3489,828,702,26,5019,0.14470386853222977,0,2,556898.0,0.000304939277775144,7680
108,3412,4236,3473,828,702,27,5003,0.1443737716703113,0,2,563968.0,0.0003056143123402248,7648
1090,3339,4419,3528,828,702,27,5058,0.1434500654982689,0,2,557382.0,0.00030330390136078597,7758
1091,3072,4594,3482,828,702,27,5012,0.1452052453645905,0,2,558698.0,0.0003052343105343822,7666
1092,3723,4213,3617,828,702,27,5147,0.1454722873142415,0,2,627978.0,0.00029962476679595786,7936
1093,3494,4294,3543,828,702,26,5073,0.14324683753220707,0,2,558532.0,0.0003026786830259287,7788
1094,3455,4213,3483,828,702,26,5013,0.14496313862555832,0,2,556674.0,0.0003051921349264458,7668
1095,3187,4401,3443,828,702,26,4973,0.14680135929561441,0,2,557354.0,0.00030688647093338623,7588
1096,3581,4083,3481,828,702,25,5011,0.14492640015805533,0,2,554349.0,0.0003052764955023101,7664
1097,3565,4115,3489,828,702,26,5019,0.14522049290143868,0,2,556755.0,0.000304939277775144,7680
