sid,area,delay
0,50196.06,38976.16
1,49999.75,32814.02
2,54413.23,34427.91
3,53211.97,22597.32
4,49491.70,35178.20
5,49369.34,50939.84
6,50359.39,35251.45
7,50775.68,53366.18
8,50966.66,35085.98
9,49489.30,57770.59
10,53754.61,18743.78
11,49071.95,51036.81
12,50817.17,30900.48
13,48565.21,35005.67
14,48653.53,51036.81
15,49937.78,41892.93
16,49148.55,13129.78
17,47989.86,13017.04
18,50495.05,12208.04
19,49024.86,51036.79
20,48522.92,40101.27
21,49125.68,40663.14
22,49627.89,29334.53
23,49346.72,40741.01
24,48803.02,31130.16
25,49836.16,27331.22
26,53794.24,34457.14
27,48605.65,26200.36
28,54113.71,18743.95
29,53587.83,22662.63
30,49586.92,19321.52
31,54229.69,45161.25
32,50026.62,41496.82
33,50020.23,50991.06
34,49984.86,24004.32
35,49136.32,16926.66
36,53763.12,21319.02
37,48205.58,73915.60
38,50262.30,57843.21
39,48292.83,31044.23
40,50232.77,40109.05
41,49051.20,33060.80
42,49906.92,51000.63
43,54916.77,22038.86
44,47952.35,51001.68
45,55115.46,46306.92
46,49953.47,50281.64
47,50478.29,35078.21
48,53816.86,38724.54
49,49044.02,22601.61
50,56158.45,31038.46
51,54068.22,21860.71
52,49568.30,15657.43
53,54619.91,11594.39
54,50260.17,84209.62
55,51198.35,35214.80
56,49412.69,35281.48
57,49129.93,35178.24
58,49257.61,43897.56
59,54445.41,18743.95
60,50008.80,29237.29
61,49041.89,48880.07
62,48958.89,41253.00
63,49834.57,35025.42
64,50249.79,35146.77
65,48242.03,30959.59
66,55001.35,21815.90
67,50924.64,42085.76
68,48883.09,35239.51
69,53105.30,22697.08
70,49336.35,18370.72
71,49447.27,30891.17
72,50159.62,61636.77
73,54769.40,22850.19
74,50701.99,53415.17
75,53248.41,28079.18
76,49268.79,27253.88
77,49639.59,35359.71
78,49752.64,53336.35
79,49078.33,35238.29
80,49326.77,23628.12
81,54034.44,18736.80
82,54106.00,33813.58
83,49557.93,40999.46
84,50426.95,35203.77
85,53750.62,38012.84
86,48633.58,37060.12
87,48439.66,35247.12
88,48242.82,61636.79
89,49641.19,31049.85
90,48941.07,30720.01
91,54488.50,32478.46
92,49479.46,16012.98
93,48474.24,15175.03
94,47628.63,50991.46
95,50581.23,41563.68
96,49447.01,31178.88
97,53375.82,28078.87
98,54485.84,40663.29
99,54505.26,18743.78
100,48124.19,51036.81
101,54897.88,21970.38
102,54897.61,29454.03
103,50536.81,39538.78
104,50759.98,53354.78
105,50533.08,38780.96
106,53009.01,24819.86
107,51686.46,41128.33
108,49032.58,40006.66
109,49765.14,35204.46
110,49985.66,35178.21
111,51017.47,15437.84
112,48655.66,62379.78
113,53899.05,23061.39
114,53323.16,27007.31
115,49168.77,22590.07
116,49557.66,25766.14
117,49475.73,30850.89
118,48447.64,47900.49
119,49537.98,35079.79
120,50129.30,81446.56
121,54163.72,40184.45
122,54194.04,30144.87
123,50227.71,24434.91
124,49690.13,35312.93
125,53498.98,22668.74
126,54533.99,30174.94
127,49573.09,13313.84
128,49046.41,41892.89
129,49080.99,14233.65
130,53854.62,40192.23
131,49608.73,35311.05
132,49092.70,31037.48
133,53692.63,28113.36
134,49128.61,28085.18
135,49739.61,34896.96
136,48216.22,35226.95
137,49510.85,30108.82
138,49586.39,35239.52
139,49953.73,30326.89
140,51887.02,21206.69
141,54103.87,30274.37
142,53534.63,22597.30
143,53501.38,22522.49
144,55892.98,23118.97
145,48017.26,61597.03
146,49698.64,24221.95
147,53666.03,34412.75
148,53943.73,41791.94
149,52435.25,19744.28
150,49433.18,59129.12
151,48267.56,25432.88
152,52982.95,18758.95
153,49293.79,24886.39
154,50098.44,35266.07
155,48533.30,22689.41
156,49603.15,15359.04
157,49369.87,43679.16
158,54618.58,40033.94
159,54219.84,37965.48
160,55011.46,45851.30
161,54323.85,30225.09
162,50739.23,17046.01
163,50412.05,15515.32
164,51281.07,40943.35
165,49463.23,35238.79
166,48552.71,61597.35
167,48592.88,14928.94
168,53584.64,17734.12
169,48473.18,34794.93
170,49674.70,51005.35
171,49989.11,16571.20
172,49961.18,15623.22
173,49719.92,22956.53
174,49225.43,40001.79
175,50147.38,51698.21
176,47676.51,61636.98
177,50002.95,29241.82
178,50421.36,32694.47
179,53657.52,17302.53
180,48740.51,59129.46
181,50087.00,15572.00
182,47169.78,38727.50
183,48881.49,22423.60
184,49808.23,30931.51
185,52974.43,27247.54
186,54819.94,22842.41
187,50356.99,15580.26
188,53460.41,22518.20
189,52760.83,22590.71
190,49811.43,40129.85
191,48685.71,32593.41
192,49009.97,73565.48
193,50192.61,35345.38
194,49554.47,22346.75
195,47693.80,46117.86
196,53896.39,15710.31
197,53801.16,34538.86
198,49983.26,49051.17
199,53911.02,30159.02
200,54113.45,22593.91
201,53351.09,30093.96
202,47721.46,34694.27
203,48729.61,13171.68
204,52804.19,34428.37
205,49179.94,25349.39
206,50006.40,14684.56
207,53277.41,22104.73
208,54677.89,29411.06
209,49172.49,43648.69
210,50246.87,15384.59
211,49807.97,15427.14
212,49641.98,27307.79
213,55047.11,41247.43
214,48410.67,38851.48
215,49083.65,59167.10
216,49752.38,53336.05
217,50614.21,29873.02
218,50234.90,41574.31
219,48986.29,27250.21
220,50699.60,31511.62
221,49781.37,35177.78
222,49830.31,31050.35
223,49622.30,22798.15
224,54435.04,22678.71
225,49854.25,40936.37
226,50808.13,39430.27
227,49619.91,53539.11
228,50688.70,53635.56
229,54569.10,54124.78
230,50048.96,84424.38
231,54169.30,32122.39
232,50956.02,23778.71
233,54511.64,21985.57
234,49006.51,39661.75
235,54998.43,40234.28
236,49597.56,42398.25
237,54074.88,30095.02
238,53748.76,40553.32
239,50679.38,33476.29
240,48906.76,59129.04
241,53546.60,22596.95
242,49402.58,30892.63
243,47506.00,74943.78
244,48287.25,30897.14
245,48044.65,59129.54
246,55006.67,21883.66
247,49092.43,35178.23
248,49131.53,41081.23
249,50902.82,19909.29
250,49679.76,35346.93
251,55059.07,23043.94
252,49776.05,50303.04
253,49598.36,27675.01
254,50084.34,40865.50
255,50968.26,53343.38
256,53642.09,33638.12
257,50295.55,50990.84
258,49387.42,15493.47
259,49534.52,43639.34
260,54075.67,21183.19
261,48409.87,39126.52
262,48555.64,40982.72
263,49788.02,29077.53
264,53189.62,22661.57
265,54188.99,22812.04
266,49414.55,31407.93
267,48478.50,61637.00
268,55093.65,18743.95
269,49171.16,61636.88
270,50136.74,23042.62
271,49437.16,19294.71
272,48937.88,41892.94
273,50662.89,35200.49
274,50732.85,11552.47
275,49758.23,54162.25
276,48625.33,51804.78
277,54624.43,15558.52
278,54346.46,34544.23
279,53486.75,18743.95
280,49010.50,35043.51
281,49594.90,35244.05
282,48892.93,15329.94
283,49971.03,32947.78
284,49530.27,34952.52
285,54453.12,34602.68
286,48660.45,30876.74
287,49235.00,61637.12
288,52787.70,34431.74
289,53223.14,18857.54
290,47673.32,51036.69
291,48812.86,50991.50
292,50117.86,40312.14
293,49490.10,50303.75
294,53885.21,22702.02
295,53853.56,30025.60
296,53131.37,16499.19
297,48376.09,36802.61
298,48800.09,35166.86
299,49319.86,22079.00
300,50125.57,61637.14
301,49432.91,38689.42
302,49731.62,35360.78
303,50694.55,35196.30
304,49509.25,59224.13
305,50736.84,32113.81
306,47573.30,30933.50
307,49957.99,16341.04
308,49612.99,27310.10
309,54307.62,32392.04
310,49252.29,34171.65
311,50098.71,15623.20
312,49668.58,27299.32
313,48210.37,39632.88
314,52705.51,34520.47
315,50019.44,35360.78
316,53078.17,34491.10
317,49592.51,29343.67
318,53375.82,32315.27
319,49799.99,15644.35
320,50474.03,19016.50
321,47714.28,73386.86
322,49681.09,61597.12
323,54821.54,21989.83
324,54385.56,32891.08
325,53302.68,22683.13
326,54200.16,13939.76
327,55150.58,57761.21
328,49095.89,54767.69
329,54170.37,22663.08
330,56048.33,30893.62
331,54809.04,22011.86
332,53624.54,32567.24
333,53493.66,30311.04
334,50152.70,38589.39
335,48818.71,24767.67
336,47873.88,30989.14
337,53772.16,41048.91
338,51031.57,22953.07
339,49053.32,59128.73
340,54680.29,18743.95
341,48664.70,35018.52
342,54263.47,22829.93
343,49557.66,32901.69
344,54473.88,15864.76
345,49084.71,53364.70
346,53338.05,34904.16
347,48829.09,50965.08
348,53568.68,18743.95
349,49299.11,50969.55
350,50448.23,35325.75
351,54062.90,22661.44
352,50526.17,35197.05
353,54377.32,40361.80
354,53675.07,15450.45
355,48223.94,27044.93
356,54222.77,40856.50
357,49758.76,61637.13
358,49649.96,61637.18
359,49749.45,35801.27
360,50202.18,35077.43
361,49116.63,22597.18
362,50093.65,78511.61
363,53897.45,30012.92
364,48971.66,34993.14
365,54235.27,35039.98
366,54003.85,40122.05
367,53480.89,15704.06
368,50347.15,59129.20
369,49987.25,36600.64
370,49479.72,35072.39
371,50421.89,35336.80
372,50427.21,33708.68
373,49098.02,59254.41
374,49094.55,35226.41
375,50166.00,17030.85
376,48814.19,30781.81
377,48739.71,35272.90
378,53500.85,18736.80
