sid,area,delay
0,11118.53,4163.64
1,11133.16,2263.63
2,12891.96,2615.26
3,13087.20,4846.82
4,11034.21,3703.66
5,11034.48,3261.86
6,11304.47,2787.38
7,11289.31,5160.22
8,11153.11,3717.32
9,11094.06,2863.62
10,13106.35,5433.44
11,11133.70,3246.59
12,11150.19,3749.05
13,11356.87,3743.01
14,11293.56,3013.32
15,11133.70,5252.51
16,11111.88,3682.86
17,11042.99,3266.44
18,11298.88,3405.00
19,11325.48,3844.85
20,11191.42,1540.49
21,11161.89,2655.58
22,11218.82,2824.14
23,11496.52,2517.24
24,11219.35,3845.88
25,11421.24,3705.28
26,13190.67,5949.86
27,11420.71,3822.83
28,13053.95,3541.77
29,13353.73,3708.09
30,11418.58,3852.36
31,13206.37,4919.29
32,11318.30,2949.92
33,11132.63,2291.41
34,11221.48,3155.90
35,11105.23,3005.45
36,12962.18,2135.22
37,11044.85,3376.41
38,11231.58,2843.44
39,11261.11,5040.34
40,11107.63,3695.41
41,11097.79,2245.05
42,11007.88,3852.04
43,13065.65,2190.58
44,11406.61,2746.70
45,12962.98,5354.06
46,10935.26,3333.45
47,11290.10,5768.58
48,13032.94,3529.48
49,11191.15,5215.23
50,13059.80,3498.64
51,12990.11,3743.48
52,11355.81,3815.40
53,13016.98,2596.94
54,11158.70,5714.94
55,11249.94,5077.65
56,11065.60,3408.97
57,11262.17,3844.85
58,11250.74,4667.93
59,12910.84,2574.94
60,11046.71,5600.90
61,11181.58,3348.63
62,11200.20,2969.28
63,11232.38,2783.71
64,11231.32,4605.65
65,11225.73,3176.29
66,12988.78,2593.80
67,11092.47,3012.80
68,11132.63,2929.57
69,13003.68,6551.23
70,11270.42,5160.28
71,11155.24,3779.21
72,11106.30,2273.43
73,12901.27,3844.83
74,11091.40,3749.69
75,13292.82,2628.61
76,11114.81,3688.86
77,11053.10,2305.62
78,11195.41,2975.27
79,11161.89,5265.51
80,11183.44,3309.01
81,13051.82,2277.90
82,13005.80,2570.86
83,11259.78,2293.43
84,11202.32,3308.86
85,13037.19,2559.23
86,11133.43,3190.91
87,11344.10,2746.35
88,11044.05,3323.94
89,11106.30,5315.56
90,11097.25,4848.00
91,13160.35,5471.62
92,11254.19,2535.92
93,10928.08,3646.79
94,11078.37,3108.33
95,11103.11,2875.38
96,11400.76,2709.49
97,13140.40,3171.23
98,13040.65,2579.82
99,12955.00,3372.42
100,11400.49,3005.16
101,12905.52,2217.61
102,13085.60,5814.57
103,11361.92,2643.06
104,11285.58,5061.16
105,11286.38,2290.10
106,12887.97,2579.78
107,11073.58,3552.74
108,11136.89,3844.77
109,11244.62,3556.39
110,11072.25,2959.39
111,11003.62,3925.56
112,11313.51,1633.08
113,13100.50,2228.10
114,12762.68,2200.78
115,11082.09,2744.87
116,11261.11,3156.85
117,11108.16,4915.65
118,11324.15,2152.78
119,11056.29,3166.59
120,11077.84,3844.85
121,13228.98,3498.59
122,13103.96,6005.85
123,11218.28,3998.06
124,11190.62,3844.85
125,13217.27,3664.39
126,13045.97,1750.87
127,11189.29,3693.95
128,11180.78,3167.04
129,10973.56,3884.72
130,13126.30,3516.50
131,11164.02,4970.01
132,11159.76,3844.84
133,13096.51,3631.80
134,11455.82,3715.84
135,11199.40,2866.44
136,11083.95,5274.00
137,10999.10,4085.47
138,11101.24,5798.57
139,11378.95,2986.19
140,11555.04,2585.62
141,12949.94,2611.87
142,12728.90,5463.48
143,12941.96,2579.82
144,12994.37,3481.69
145,11245.95,3663.00
146,11098.85,3201.59
147,12997.29,3577.77
148,12904.19,3870.56
149,13149.98,2593.55
150,11148.33,5297.39
151,11193.01,3425.88
152,12912.97,5872.96
153,11208.71,3808.00
154,11287.18,3135.62
155,11297.82,3815.40
156,11472.31,3861.99
157,11017.45,3299.20
158,12933.98,3899.19
159,13236.96,2199.13
160,13087.73,6004.05
161,13132.95,3786.64
162,11364.85,2898.15
163,11359.00,3930.19
164,11062.94,3721.31
165,11211.37,2556.40
166,11169.61,3699.83
167,11248.34,1536.51
168,13056.61,3766.45
169,11309.79,3466.08
170,11059.48,3865.94
171,11244.88,5563.13
172,11513.28,3844.89
173,11191.68,3278.43
174,11135.82,4839.65
175,11321.23,3351.59
176,11230.79,2803.71
177,11254.46,5404.28
178,11158.43,4421.10
179,13141.20,3396.19
180,11398.63,2349.88
181,11397.30,5672.75
182,11314.31,5487.28
183,11313.51,4499.79
184,11073.31,3926.46
185,12995.16,3727.33
186,13165.40,5831.27
187,11349.69,3180.87
188,13140.13,3853.48
189,12898.07,2579.82
190,11272.55,3808.00
191,11166.95,3199.80
192,11251.27,3383.94
193,11201.53,3137.30
194,11446.25,3080.15
195,11143.80,3693.63
196,12866.95,4375.75
197,12957.13,3397.65
198,11121.73,3405.29
199,12999.42,2574.94
200,13055.55,5342.51
201,13037.99,2270.13
202,11249.14,5391.04
203,11358.20,2904.54
204,12976.01,3656.96
205,11243.29,2867.72
206,11392.51,2757.01
207,13018.57,2639.00
208,13053.95,3623.62
209,11225.73,5581.86
210,11435.87,3736.64
211,11380.01,5631.22
212,11209.24,3336.86
213,12987.18,6028.87
214,11112.68,1807.68
215,11310.59,2225.13
216,11238.77,2957.36
217,11251.27,3154.46
218,11347.83,3334.61
219,11267.23,2933.08
220,11238.50,3351.01
221,11171.47,4695.05
222,11068.26,4891.82
223,11279.46,3815.32
224,13169.93,2241.22
225,11025.97,5365.81
226,11178.92,3429.65
227,11104.97,5669.19
228,11264.57,3295.59
229,13016.44,5884.88
230,11081.03,3852.04
231,12922.28,3634.80
232,11304.47,2275.07
233,12923.88,2824.50
234,11400.76,4329.49
235,12818.54,6172.17
236,11134.76,4933.75
237,13141.73,3503.89
238,13136.14,3398.95
239,11029.16,3700.71
240,11309.79,3688.70
241,12968.56,3548.79
242,11227.33,2269.35
243,11334.26,1600.03
244,11057.62,3211.55
245,11378.42,2734.23
246,12992.24,2596.94
247,11145.67,3844.85
248,11220.41,2660.03
249,11347.29,5264.89
250,11153.38,3419.14
251,12744.59,3585.96
252,11025.70,5269.40
253,11131.30,3404.01
254,11015.06,3143.78
255,11341.97,3025.84
256,13038.52,3616.44
257,11053.10,3844.84
258,11228.13,5706.45
259,11118.27,3771.00
260,13161.15,3358.05
261,11304.47,4853.65
262,11182.91,3522.01
263,11356.07,3512.02
264,12922.01,4174.90
265,13108.48,2554.82
266,11038.47,5335.23
267,11289.57,3845.84
268,12966.97,2605.63
269,11287.44,2886.26
270,11260.58,5018.47
271,10947.76,4123.09
272,11082.62,3897.24
273,11203.39,4868.04
274,11282.12,5794.95
275,11332.13,5350.43
276,11336.39,2577.73
277,12746.19,4432.45
278,13018.84,2615.26
279,12749.91,7596.44
280,11160.30,3515.33
281,11088.74,2247.18
282,11208.71,3815.40
283,11205.25,1601.39
284,11150.45,4459.80
285,13239.88,5970.94
286,11323.35,2225.57
287,11256.06,3845.84
288,12986.65,2574.94
289,12910.58,3613.79
290,11322.56,2839.07
291,11100.18,3755.79
292,11237.44,3194.61
293,11124.92,3001.34
294,13081.35,1715.66
295,13079.49,3562.39
296,12996.23,5638.49
297,11244.62,3763.74
298,11155.77,3211.09
299,11168.28,4919.54
300,11081.83,2971.76
301,11113.48,2991.15
302,11170.40,3750.63
303,11248.08,5802.15
304,11302.34,2868.33
305,11149.39,3815.40
306,11262.17,4658.88
307,11255.79,3301.18
308,11335.32,2901.23
309,12994.90,4789.20
310,11347.03,2851.89
311,11391.98,3744.92
312,11188.76,3761.67
313,11166.15,3845.88
314,13102.89,3466.36
315,11299.68,3431.24
316,12951.54,5475.09
317,11165.62,2777.48
318,12907.38,3719.48
319,11287.98,2760.19
320,11127.58,3272.29
321,11249.94,5794.95
322,11059.22,3434.40
323,12958.72,1767.87
324,13246.00,2570.86
325,12964.31,3951.57
326,13198.65,5827.72
327,12843.28,3471.98
328,11121.73,3089.55
329,12899.40,2262.14
330,12781.03,2259.40
331,13339.37,3611.79
332,12966.70,3736.32
333,12710.28,6290.57
334,11125.18,2270.09
335,11040.06,5768.57
336,11164.55,3307.19
337,13056.34,5240.07
338,11467.79,3861.99
339,11280.00,2877.67
340,12896.48,2602.44
341,11053.36,2928.91
342,12925.21,3516.42
343,11073.05,5794.95
344,13137.47,2579.63
345,11132.90,1902.86
346,13238.55,5965.31
347,11264.83,2936.28
348,12927.60,5993.72
349,11294.09,3852.04
350,11144.07,2820.58
351,13248.40,3514.34
352,11274.94,3768.02
353,12862.70,2570.86
354,12931.59,3275.23
355,11203.65,4222.57
356,13197.59,3542.50
357,11166.41,2758.13
358,11162.16,4530.26
359,11175.46,4797.68
360,10985.00,2667.44
361,11184.77,3815.40
362,11173.33,3046.00
363,12940.63,5246.67
364,11295.69,5680.38
365,13040.92,6020.66
366,12801.52,3905.17
367,13032.40,2557.84
368,11079.17,3243.36
369,11137.69,3054.96
370,11079.43,3162.72
371,11164.02,3228.95
372,11222.81,3243.37
373,11053.10,2225.19
374,11236.11,3852.04
375,11470.19,3706.76
376,11302.34,5760.98
377,11322.02,3163.21
378,12898.61,2579.82
379,11300.74,3802.00
380,11172.53,2857.56
381,11308.19,3041.96
382,12908.98,2574.94
383,11074.38,3277.23
384,11007.88,3045.88
385,11334.26,3702.66
386,11375.76,3845.88
387,13286.17,2305.73
388,11070.39,5297.26
389,11322.56,5802.15
390,11121.99,3068.56
391,13060.60,1838.52
392,11257.12,5167.82
393,10989.52,3811.32
394,12857.64,2574.94
395,12819.07,6136.31
396,11288.24,3413.18
397,12875.46,3605.37
398,11225.47,2876.04
399,11175.19,3761.19
400,11179.45,2897.89
401,13078.95,2051.94
402,12807.37,2564.62
403,11239.30,2542.77
404,12985.32,3366.72
405,13102.10,3549.48
406,11124.39,3859.51
407,11048.31,3316.75
408,11181.84,2734.50
409,11042.99,3081.77
410,13220.47,2574.94
411,11114.28,2237.01
412,12903.39,2712.64
413,13104.76,5811.81
414,12887.17,1982.07
415,11393.31,1504.96
416,13087.20,2256.94
417,13192.54,3416.08
418,11210.84,2805.89
419,11212.70,3076.01
420,11370.17,5589.79
421,12964.31,3584.24
422,11089.01,3740.94
423,11427.36,2932.19
424,11207.38,4613.24
425,11140.61,3359.79
426,11207.91,3164.49
427,11052.57,3201.69
428,11151.52,5794.95
429,11372.83,2254.41
430,11278.40,2233.01
431,12834.23,2564.61
432,11128.64,4897.84
433,11322.02,2936.12
434,12916.96,2299.86
435,11157.90,3015.91
436,12872.54,3875.80
437,11224.93,2998.53
438,13027.88,3908.27
439,11320.43,3747.86
440,11143.27,3107.89
441,11355.27,5642.78
442,11019.32,3717.56
443,11118.00,3316.97
444,11032.35,3128.26
445,11455.02,2894.10
446,12902.60,7629.62
447,11050.70,5745.81
448,11372.03,4704.97
449,11307.93,5334.82
450,11042.72,3402.87
451,11238.23,4109.68
452,13026.29,3607.48
453,11085.02,5699.60
454,11043.52,3852.04
455,11147.00,3219.01
456,11289.57,3537.11
457,11058.95,2814.66
458,12870.14,3749.76
459,12835.83,2579.82
460,11390.92,4841.89
461,13227.65,2579.63
462,11208.97,1945.50
463,13086.40,3368.39
464,11257.65,4002.76
465,12806.84,2196.97
466,12960.58,1734.26
467,12826.25,3471.98
468,11016.92,2265.76
469,13056.34,2202.11
470,11224.40,2972.65
471,11333.20,5241.30
472,11201.53,3673.59
473,13200.52,3107.18
474,11360.06,3853.36
475,11004.95,3353.93
476,11157.64,3378.21
477,11299.95,3137.73
478,11298.88,3273.44
479,13070.71,2245.90
480,12838.49,2579.63
481,11383.74,3117.73
482,11138.75,3689.94
483,13135.08,5628.33
484,13280.05,6336.36
485,11221.74,4100.27
486,12944.09,3897.95
487,13010.86,3578.34
488,11139.55,5053.52
489,11203.65,1882.12
490,13269.14,2204.50
491,13203.97,2015.44
492,13128.16,3654.76
493,13131.09,5987.68
494,12925.74,2593.55
495,13084.27,2267.85
496,11150.99,3067.99
497,12948.88,2611.87
498,11250.47,3815.40
499,12961.12,2574.94
500,11173.06,3931.39
501,13053.15,3824.45
502,11449.44,4597.73
503,11272.81,3037.17
504,12880.52,1740.10
505,11186.10,3291.96
506,11230.52,2861.32
507,11134.76,5406.98
508,11043.52,2959.45
509,13177.37,2579.63
510,11391.18,3852.04
511,11437.20,4649.92
512,11270.95,3152.24
513,13143.59,2579.82
514,11204.72,3619.58
515,11125.18,5271.82
516,12775.45,7489.06
517,11202.32,2779.52
518,11121.19,3563.82
519,13152.64,2615.26
520,11271.75,5771.70
521,11269.62,2952.37
522,13214.88,2579.82
523,13198.65,2620.06
524,11254.19,2974.90
525,11278.93,3695.55
526,12881.85,2261.00
527,11057.09,2908.06
528,11127.84,4955.11
529,11365.12,3138.51
530,11187.43,2858.05
531,11083.69,3844.84
532,11407.68,2577.01
533,11020.38,4040.69
534,11369.90,3815.40
535,11232.91,2735.54
536,11045.65,4264.44
537,11024.64,5304.82
538,11014.00,3413.07
539,11292.76,4645.61
540,11267.76,5085.17
541,11246.48,3563.04
542,11088.74,3266.68
543,13065.92,4887.23
544,12914.57,5916.30
545,13025.49,2605.63
546,11166.95,1504.65
547,11555.57,5342.78
548,11245.15,4841.79
549,12892.75,3897.93
550,12838.76,7274.01
551,13175.51,3556.15
552,13226.58,2371.83
553,11268.82,2893.12
554,11058.95,3018.53
555,12910.84,2596.94
556,12939.84,5420.91
557,12858.44,3845.32
558,11341.71,3037.05
559,10979.42,3069.27
560,11211.90,3829.95
561,12903.39,3764.58
562,11341.44,3261.94
563,13049.16,3342.04
