sid,area,delay
0,41161.90,6834.47
1,41325.23,13350.37
2,48772.16,13405.45
3,48867.93,13308.53
4,41108.97,13364.38
5,41304.75,6686.34
6,41194.89,13363.54
7,41198.61,6660.72
8,41100.19,13312.52
9,41228.14,6701.09
10,48825.89,13320.38
11,41226.81,6676.62
12,41141.42,13306.54
13,41258.46,6942.53
14,41106.04,6658.33
15,41189.57,13401.20
16,41137.17,13389.76
17,41230.00,6681.90
18,41216.70,13360.58
19,41210.32,13405.41
20,41263.78,6900.21
21,41125.46,6654.63
22,41203.40,13403.94
23,41231.86,6901.09
24,41068.01,13355.58
25,41377.89,13333.30
26,48801.43,13399.62
27,41229.73,6912.48
28,48780.94,6912.23
29,48804.35,6696.70
30,41369.65,13384.88
31,48784.40,6890.85
32,41023.05,6906.74
33,41309.00,13350.45
34,41076.25,13423.07
35,41019.86,8498.04
36,48856.75,6693.64
37,41171.48,6892.80
38,41171.48,6716.21
39,41265.64,13401.99
40,41110.83,13359.16
41,41232.66,13352.73
42,41181.05,13312.16
43,48828.55,13404.85
44,41220.69,6680.57
45,48819.51,13368.40
46,40959.48,13355.87
47,41174.14,13393.05
48,48935.49,13334.30
49,41169.09,6910.67
50,48963.68,13400.55
51,48780.94,6694.22
52,41155.52,13418.14
53,48727.74,13406.56
54,41202.60,13406.09
55,41063.22,13352.36
56,41281.07,13376.81
57,41302.35,13413.64
58,41322.30,13339.57
59,48785.73,6695.46
60,41108.44,13349.46
61,41224.68,6693.22
62,41023.32,13356.37
63,41151.53,6700.64
64,41130.52,6697.38
65,41252.34,13352.38
66,48868.19,13395.69
67,41173.88,6680.56
68,40958.41,13358.01
69,48795.84,13372.15
70,41160.84,13417.59
71,41304.75,13409.85
72,41286.66,13341.01
73,48833.61,13361.66
74,41018.53,13354.96
75,48751.42,6913.28
76,41210.32,13402.13
77,41258.20,13401.10
78,41012.68,6931.16
79,41145.41,6942.01
80,41235.05,6914.83
81,48850.90,6699.87
82,48848.51,13410.78
83,41021.99,6948.34
84,40953.36,6898.93
85,48718.43,6874.59
86,41064.28,13371.01
87,41034.76,6889.17
88,41027.31,6684.22
89,41253.41,13402.27
90,41140.62,13411.00
91,48772.70,13388.42
92,41153.12,13391.43
93,41151.27,8523.46
94,41171.21,6879.72
95,41025.98,6894.22
96,40994.59,10162.64
97,48757.00,6701.20
98,48845.05,13403.86
99,48826.16,6699.90
100,41262.45,13354.53
101,48966.34,13394.59
102,48828.82,13344.59
103,41219.36,6695.32
104,41123.34,13351.19
105,41236.91,6688.07
106,48772.43,13389.31
107,41214.04,6671.00
108,41256.87,13389.19
109,41037.68,6958.60
110,41202.87,13423.57
111,40985.81,6913.93
112,41365.13,6689.28
113,48789.98,13387.00
114,48744.23,13409.86
115,41166.69,13410.38
116,41201.54,13413.51
117,41263.25,13399.86
118,41302.88,13399.38
119,41069.34,13424.77
120,41089.55,6924.20
121,48810.73,6699.33
122,48785.20,13395.46
