sid,area,delay
0,152460.56,19399.08
1,159203.12,18773.11
2,177738.00,13543.45
3,174339.33,17058.37
4,158265.48,12415.98
5,152985.38,12606.83
6,158888.45,19537.65
7,154853.50,19206.06
8,158286.22,19061.12
9,153636.02,12642.68
10,174967.62,18801.20
11,154525.25,12638.94
12,157887.48,19555.93
13,153324.27,18996.78
14,153770.08,19526.91
15,158971.17,18748.07
16,158582.02,12425.39
17,152881.64,18864.49
18,154550.52,20103.65
19,158954.16,19211.22
20,153305.11,18709.43
21,155376.45,18814.41
22,158775.14,12411.18
23,153766.89,18897.76
24,158349.27,19914.63
25,158382.25,19487.25
26,178738.44,19754.42
27,153379.06,19034.88
28,175789.83,13986.75
29,175710.83,19520.43
30,158117.31,18927.52
31,175263.94,18970.31
32,153509.12,18998.77
33,158945.91,18740.17
34,158208.81,19151.65
35,152877.38,12684.80
36,174741.78,7934.18
37,152724.97,18506.85
38,153363.09,12606.83
39,158149.77,19054.66
40,158676.98,15586.05
41,157776.03,12437.76
42,158109.06,15576.34
43,178701.98,18658.21
44,153720.88,19055.02
45,174649.75,20665.21
46,157461.62,15584.62
47,158815.30,19473.54
48,178868.78,14354.53
49,154137.95,12637.47
50,178719.02,13947.01
51,175322.73,14322.59
52,158315.48,19441.14
53,178041.52,10671.00
54,158343.95,18733.07
55,158205.89,19430.95
56,158505.67,18740.17
57,158532.81,19168.92
58,158887.92,20377.59
59,175338.95,9982.70
60,158112.80,15590.07
61,153770.08,12735.24
62,158399.02,19131.97
63,153933.14,12606.83
64,154020.11,19212.43
65,158188.08,19641.63
66,179237.19,6686.83
67,153612.88,19265.51
68,157711.67,15574.87
69,174991.03,20537.47
70,158074.22,19560.39
71,157986.44,12418.83
72,158867.70,12437.76
73,175778.39,10736.12
74,158430.92,19444.38
75,175149.03,19047.27
76,158655.44,19527.19
77,158487.59,19572.18
78,153103.22,12671.04
79,153722.20,12735.24
80,153589.47,12662.35
81,176198.94,7767.15
82,179464.08,19335.49
83,154010.02,18706.97
84,154418.31,20165.54
85,174780.62,20601.05
86,153006.12,12799.45
87,153563.66,19112.17
88,153606.48,12650.04
89,158324.27,12406.63
90,157981.92,15570.27
91,178831.00,18375.10
92,158346.08,18760.63
93,153049.22,18318.15
94,153518.44,19217.38
95,153249.25,19134.09
96,154212.70,18923.74
97,175235.48,19577.17
98,178786.84,19219.73
99,175651.50,15153.88
100,153748.53,19445.12
101,178995.12,6686.71
102,174880.38,18801.34
103,155426.19,18808.02
104,158125.30,19180.75
105,153406.45,19397.38
106,178617.94,12058.20
107,152739.33,18744.75
108,158399.55,12439.34
109,154969.73,18963.07
110,158033.27,18740.17
111,153093.11,12662.35
112,153470.03,18939.29
113,178229.58,20070.66
114,178711.83,7358.73
115,157546.48,18833.22
116,158418.42,19405.40
117,157873.39,15593.40
118,158331.72,19159.57
119,158322.14,18740.17
120,153877.81,12735.24
121,176508.03,18988.97
122,178411.25,19032.68
123,152738.80,19271.62
124,158147.64,19453.21
125,176239.36,19483.01
126,178600.64,19500.14
127,153974.62,19167.15
128,153338.89,18890.88
129,153798.55,12760.78
130,178070.23,19091.42
131,158237.55,15572.11
132,158081.67,19020.76
133,178611.81,19097.84
134,153308.03,19087.83
135,153070.23,12629.86
136,158572.17,15596.09
137,153155.89,12767.35
138,158572.97,15590.29
139,153618.19,19025.84
140,159682.19,18901.56
141,178419.50,7259.24
142,178418.97,13927.12
143,178957.36,6684.20
144,178363.64,13959.98
145,154877.44,19348.72
146,158326.39,19190.98
147,175696.45,19055.01
148,174119.08,11184.38
149,176095.19,19035.36
150,158136.47,18740.17
151,158214.41,19091.73
152,177706.89,7006.19
153,158054.27,12418.42
154,158130.61,19245.36
155,154801.09,19086.78
156,158239.94,19601.58
157,153614.47,12671.04
158,178907.61,6683.73
159,175359.97,19124.72
160,175336.83,18051.01
161,176599.00,19027.10
162,158119.17,19111.17
163,154093.27,19165.49
164,153007.98,18483.74
165,155401.98,19074.96
166,158025.55,19439.42
167,153887.92,12693.55
168,178680.45,19513.77
169,158850.94,19996.76
170,158219.98,12406.63
171,158164.39,18754.69
172,158678.05,19693.81
173,153579.89,12735.24
174,158271.86,18752.03
175,158252.70,19243.15
176,158277.19,16209.78
177,158201.38,18752.87
178,154197.55,20385.74
179,178731.78,19058.50
180,158026.88,19126.81
181,158235.69,19440.01
182,154462.20,19153.08
183,153916.11,12700.58
184,158006.66,19377.26
185,175839.03,8909.42
186,179160.58,19362.41
187,153931.55,19126.91
188,174633.25,19015.00
189,177810.09,7192.96
190,157844.67,15574.87
191,153414.17,12671.04
192,153726.19,19232.12
193,153061.45,19332.20
194,153121.56,18959.72
195,158462.58,19391.92
196,178868.50,19616.28
197,175247.19,7605.06
198,154133.97,12671.04
199,175363.16,8921.76
200,174200.20,20549.78
201,175135.73,17871.55
202,153814.23,19045.17
203,153835.78,20020.31
204,178240.48,8624.94
205,152976.59,12735.24
206,153545.31,19520.06
207,174827.70,15944.15
208,179070.67,13959.98
209,158526.69,19453.93
210,158567.12,19809.47
211,158003.20,19689.69
212,153029.80,19493.35
213,177906.39,11395.84
214,153461.52,12629.86
215,158565.27,19380.68
216,154013.20,12662.35
217,153728.84,18758.75
218,154066.41,19265.34
219,153962.92,12783.40
220,153838.17,19045.70
221,158126.89,18740.17
222,157665.91,18765.71
223,158421.89,19150.51
224,175044.22,20537.47
225,157779.23,18760.63
226,158525.09,12401.48
227,158707.03,18748.21
228,158124.77,19093.19
229,175093.97,18053.90
230,158951.22,15591.63
231,178159.36,13738.93
232,158499.03,19957.87
233,175198.23,9241.81
234,154348.89,19045.05
235,174445.98,20554.68
236,158967.72,18744.99
237,178482.55,20011.92
238,179172.81,19878.05
239,158412.84,15592.23
240,153990.59,19978.96
241,174785.14,15952.45
242,158783.38,19827.28
243,153431.98,18929.53
244,154193.02,12629.86
245,158759.97,19151.40
246,178875.95,6682.39
247,158343.69,12394.45
248,158060.12,19385.31
249,158669.53,19399.76
250,153443.16,12863.65
251,177985.92,7750.99
252,158216.27,18744.99
253,152912.50,18921.63
254,153147.38,12606.83
255,158362.03,19099.68
256,176038.00,19191.42
257,158004.53,15576.34
258,158098.97,18765.71
259,159150.45,12412.86
260,175651.23,18982.16
261,155128.00,18749.46
262,153840.03,18986.84
263,154154.72,19023.68
264,174807.75,17489.83
265,178234.89,19588.38
266,158005.33,15584.38
267,158965.86,19469.29
268,179454.23,6684.20
269,154027.56,12603.47
270,153950.69,12671.04
271,157777.91,12425.39
272,159069.33,19930.54
273,158510.47,19594.20
274,158179.56,19055.06
275,153689.48,18857.82
276,153884.19,18765.04
277,177472.28,7797.86
278,178894.84,6683.81
279,178297.14,7193.22
280,152837.22,12606.83
281,158760.77,18757.96
282,158911.06,18752.87
283,154248.34,12685.48
284,153033.25,12735.24
285,178156.16,19035.08
286,153942.44,18913.92
287,158199.52,18979.13
288,178652.25,19157.15
289,174602.14,16157.82
290,153659.42,20013.47
291,158038.58,19151.52
292,153883.39,19213.02
293,157913.03,18745.77
294,178422.95,19217.02
295,175719.86,18936.51
296,174891.28,17877.69
297,158322.41,19898.89
298,153647.45,12735.24
299,153104.28,12606.83
300,153566.86,12618.28
301,152513.23,12815.50
302,154817.05,18916.96
303,158635.48,19750.42
304,154541.75,12606.83
305,157834.56,15584.44
306,158704.91,19153.30
307,153081.94,19392.03
308,153850.94,19473.26
309,178750.14,10461.15
310,153479.08,19225.98
311,158352.98,19561.05
312,157858.23,19633.72
313,158007.19,19962.25
314,177737.73,9695.49
315,155054.06,19192.94
316,175322.73,13568.49
317,158301.12,18757.95
318,175254.36,15457.65
319,157479.45,18752.87
320,157949.20,18765.71
321,158599.05,19479.88
322,152556.58,19339.98
323,174613.58,7603.46
324,178387.31,19193.98
325,179014.81,19527.40
326,178025.28,19102.21
327,179499.45,13959.98
328,153741.08,12799.45
329,178605.97,19621.00
330,178827.28,6659.92
331,178669.00,19113.35
332,175360.77,10098.25
333,177497.55,10748.34
334,152767.25,19198.87
335,157841.73,15586.01
336,154141.95,19245.65
337,174717.05,20665.21
338,158095.50,19795.90
339,153201.64,19232.16
340,178753.86,6686.71
341,158279.58,18740.17
342,178852.81,6811.30
343,158845.09,15593.40
344,177966.77,19621.47
345,158069.44,18748.21
346,178026.62,19791.10
347,159055.23,19548.36
348,177957.45,7858.26
