sid,area,delay
0,89343.81,16791.11
1,87885.87,15586.21
2,88289.92,15657.50
3,89045.89,14876.97
4,87615.34,17955.91
5,89149.90,16900.47
6,88836.82,16829.76
7,88730.15,18728.59
8,89880.07,17439.11
9,89123.56,15229.27
10,88966.09,15788.06
11,88073.66,18350.61
12,89400.73,16134.67
13,89566.45,15655.09
14,89159.21,16901.59
15,88996.95,17144.42
16,88479.84,15269.52
17,89371.74,14859.34
18,88553.26,15747.92
19,86808.57,15660.84
20,89297.00,16551.12
21,87537.67,15677.62
22,87627.84,14078.30
23,90057.76,19102.02
24,89440.37,17561.36
25,89010.78,17432.50
26,88964.23,17445.70
27,90789.26,17791.16
28,88375.84,19705.28
29,89639.34,17760.74
30,90372.70,17094.78
31,88672.70,16688.24
32,89021.69,17069.56
33,87506.02,17079.90
34,88226.61,15677.60
35,88414.41,16640.75
36,88567.09,14844.00
37,88845.33,16872.17
38,89594.38,17004.21
39,88071.27,15664.13
40,88694.24,14434.63
41,88740.79,17473.80
42,88367.59,17176.79
43,87969.92,15697.60
44,89033.12,16981.57
45,89031.53,18539.51
46,89208.16,17417.43
47,89991.26,19744.40
48,90408.88,17054.35
49,88809.42,17387.26
50,89407.92,17394.09
51,88607.52,16605.51
52,88488.62,16515.67
53,88426.91,17010.77
54,88223.95,17569.44
55,88998.81,16342.40
56,89740.69,17408.43
57,88121.27,15259.06
58,87727.86,14828.93
59,90312.85,17378.17
60,89607.42,17426.30
61,89234.75,17399.76
62,88255.34,17938.21
63,90937.42,16492.98
64,89217.46,16940.21
65,88275.02,17822.47
66,89903.74,17455.02
67,89909.06,17822.94
68,90082.76,17484.36
69,89799.20,19220.95
70,87848.09,17463.21
71,89037.12,16562.59
72,88586.77,16720.78
73,88444.73,17925.62
74,89424.68,16865.94
75,89195.12,16052.32
76,87936.14,17575.20
77,89707.44,15670.44
78,88951.20,15235.64
79,88566.56,16079.96
80,88851.45,15259.85
81,90204.32,16112.46
82,88367.33,15808.27
83,88930.18,16314.73
84,87438.72,17815.48
85,89228.10,17074.81
86,88898.27,19225.89
87,88645.03,16134.50
88,89796.81,17168.17
89,89397.02,15241.37
90,89723.66,15237.21
91,88373.18,14870.98
92,88005.03,14453.63
93,88066.22,17382.01
94,89288.22,17376.42
95,90252.20,17360.64
96,88816.34,19262.82
97,88524.27,16758.78
98,87404.94,15559.57
99,88911.56,17396.99
100,88555.39,15226.24
101,90275.88,17700.88
102,90730.73,17825.82
103,89088.72,15682.07
104,90007.48,17433.42
105,88646.36,17499.50
106,90089.95,15259.32
107,88882.84,18924.67
108,87806.60,17463.79
109,88753.83,17945.30
110,88491.55,16578.54
111,88645.83,15957.08
112,88500.86,17365.05
113,89223.31,17039.70
114,88202.94,15247.01
115,88503.25,15696.60
116,88680.94,16822.61
117,89024.08,15225.12
118,87563.48,15670.99
119,89861.72,14451.20
120,89894.16,18264.93
121,89078.08,17837.58
122,89495.70,15675.69
123,88439.68,17505.24
124,90360.47,16651.13
125,89542.52,17374.83
126,87253.85,15253.38
127,89081.27,17312.65
128,88455.64,15226.77
129,89479.48,14943.08
130,89446.76,17050.01
131,88872.73,17502.18
132,88065.15,15258.33
133,88753.30,16754.67
134,88930.72,18816.23
135,89337.16,15232.03
136,89417.49,15666.10
137,89439.04,15716.53
138,89638.27,15645.27
139,87971.78,15687.27
140,89503.95,16579.94
141,89427.60,16540.55
142,88215.17,15183.06
143,88402.70,15669.05
144,90306.20,17677.24
145,89219.33,16916.98
146,89440.91,16839.19
147,89013.71,17113.78
148,90247.68,17022.70
149,89979.29,17352.56
150,88757.02,17523.65
151,89590.93,15659.14
152,87652.85,17423.20
153,87929.49,15655.54
154,88589.44,15224.39
155,89546.24,19006.38
156,90091.01,17170.24
157,89298.59,18879.96
158,88646.09,15857.74
159,88847.73,15239.18
160,89649.18,17869.01
161,88528.52,17084.46
162,88013.28,17601.01
163,88685.20,17109.44
164,88764.47,17485.71
165,89249.38,16632.50
166,89062.91,15231.44
167,88958.11,18539.52
168,89105.74,15283.37
169,88301.09,15655.85
170,87770.42,17052.79
171,88349.24,15282.27
172,90226.40,17794.16
173,89009.45,17725.98
174,88380.36,17462.47
175,90387.33,18223.21
176,89329.18,17448.99
177,88340.73,14863.90
178,88136.44,15736.61
179,89897.89,16876.97
180,89289.55,15219.33
181,88567.09,17404.56
182,89052.01,17756.24
183,88414.67,17386.21
184,89453.94,17452.99
185,87879.48,16897.17
186,87326.73,13632.54
187,88858.63,17816.15
188,89728.45,19380.05
189,88423.98,17446.53
190,89294.34,15623.17
191,89091.65,15361.82
192,88045.47,15639.60
193,89448.09,17019.39
194,88629.60,16836.87
195,88772.45,15660.84
196,88979.39,17887.93
197,88649.82,17043.76
198,89183.15,15663.54
199,89100.42,17387.26
200,89337.16,16918.41
201,89715.15,16112.35
202,90382.01,15228.47
203,87884.27,17017.09
204,90282.26,14855.41
205,88325.56,17560.30
206,89356.31,16530.76
207,89489.58,14828.23
208,90457.02,17954.81
209,88539.70,15246.95
210,89856.13,17535.88
211,88127.93,15277.33
212,89795.22,17955.23
213,89263.75,17794.67
214,89242.47,16130.27
215,89805.85,15670.18
216,89418.83,18445.87
217,90054.56,17387.00
218,89947.63,18270.01
219,89964.92,15651.44
220,89593.85,17420.55
221,89457.13,17178.10
222,88304.02,15267.08
223,88416.80,15644.27
224,88463.88,17524.18
225,88508.04,15256.88
226,88853.31,16918.36
227,88892.68,15660.15
228,88802.23,16354.04
229,89356.58,18901.20
230,89811.17,17459.96
231,88579.86,16770.11
232,90281.20,17416.19
233,88592.63,19257.98
234,88355.62,15701.79
235,89541.72,17017.54
236,88749.04,16716.16
237,88938.70,17033.47
238,89247.52,17846.77
239,88946.67,17114.00
240,88130.85,15721.53
241,88889.75,14819.84
242,89480.80,15822.40
243,89474.42,16905.41
244,89460.32,16554.18
245,88184.59,15259.06
246,89975.03,17415.12
247,88006.37,17939.40
248,89624.45,17733.26
249,90571.14,17138.40
250,90167.62,17778.88
251,88794.26,15929.92
252,87942.79,17506.01
253,88716.59,16277.10
254,88343.12,15219.60
255,88566.30,16657.68
256,88739.46,14422.27
257,88402.70,17479.52
258,88154.26,17113.31
259,88441.01,15651.97
260,90275.08,16798.84
261,89467.50,15647.23
262,88285.66,15224.33
263,89128.35,19304.49
264,88346.31,15237.87
265,88256.14,16474.86
266,88437.02,15256.56
267,89460.59,15238.34
268,90624.60,17776.57
269,89148.57,18689.31
270,88819.26,17249.63
271,89428.13,14829.19
272,88688.92,16127.76
273,88969.02,17333.95
274,88004.23,17101.48
275,89344.34,18421.67
276,88080.58,17368.08
277,89261.62,17109.93
278,88991.36,16581.41
279,88615.24,14855.94
280,90256.99,17733.57
281,88401.64,16600.58
282,88589.97,16669.18
283,88895.60,16943.07
284,90810.54,15628.29
285,89327.85,15238.14
286,88463.35,15626.50
287,87868.84,15667.75
288,89624.45,15905.10
289,90522.99,14833.65
290,90565.55,16124.36
291,89559.54,15247.69
292,88092.81,17456.29
293,87983.23,16567.35
294,87666.68,15253.38
295,89871.02,17351.71
296,88726.96,15642.62
297,88340.99,15625.79
298,89451.01,18127.38
299,90522.46,16140.30
300,89855.06,17291.33
301,89839.38,15642.09
302,90750.69,19325.67
303,88803.84,17898.99
304,89233.95,16906.00
305,89167.19,16412.59
306,88689.72,17913.20
307,89772.07,17190.33
308,89765.95,18518.76
309,90399.57,17347.27
310,88966.62,15548.40
311,89747.34,17460.88
312,88097.87,16696.34
313,89328.12,15269.78
314,88832.83,17429.39
315,89177.83,18430.64
316,89123.03,16545.24
317,88766.06,16127.40
318,89281.84,16877.97
319,87628.91,15259.12
320,88910.50,16727.21
321,89078.88,15256.82
322,88234.59,15658.26
323,87095.31,16988.05
324,88971.95,15270.94
325,89279.71,16390.41
326,89419.36,15651.86
327,90162.56,16964.44
328,90232.52,15258.79
329,88976.47,14690.44
330,90566.88,17571.08
331,89659.55,16925.47
332,88807.55,17193.51
333,89876.61,15172.24
334,88846.66,16654.94
335,89855.06,15265.70
336,88661.52,15647.56
337,88894.27,15261.02
338,89314.55,17161.64
339,88143.89,15716.27
340,89957.21,17014.07
341,89484.80,17008.04
342,89433.72,17245.44
343,89094.04,15653.87
344,87235.50,15252.99
345,89358.45,17055.82
346,88961.30,16216.15
347,88560.18,15671.68
348,88219.43,17004.15
349,88808.09,14892.03
350,88646.09,17293.93
351,88780.96,19709.66
352,89682.16,17356.12
353,88633.33,16885.81
354,89164.80,19216.15
355,88501.12,17519.37
356,88526.40,15219.13
357,88143.62,15987.86
358,89599.44,16991.96
359,89461.12,16318.17
360,89059.20,14436.87
361,89082.07,15245.31
362,89904.27,17341.70
363,92175.91,18502.06
364,89205.49,16912.07
365,90019.98,17383.28
366,88236.19,17488.36
367,88679.88,16577.75
368,87778.41,17086.25
369,90129.31,16124.28
370,88243.91,14840.56
371,91282.69,17861.75
372,88618.96,15252.99
373,89606.62,17063.76
374,88331.68,15626.05
375,91065.90,17431.13
376,88601.41,17523.77
377,88389.14,15242.81
378,88427.71,15663.34
379,89059.73,17258.50
380,89794.15,17119.42
381,89550.76,15270.43
382,89952.95,15218.20
383,89076.48,17351.94
384,88078.72,16728.27
385,89784.58,16122.93
386,87864.85,17010.47
387,88944.28,16551.94
388,88736.00,16825.20
389,89169.05,17114.81
390,88336.47,17569.24
391,88812.08,16950.08
392,88521.88,16794.84
393,88939.76,17020.40
394,88370.25,14588.05
395,87549.11,15651.76
396,89690.15,18014.85
397,91472.08,18316.19
398,89316.15,15235.91
399,88305.88,17852.24
400,89680.04,17028.27
401,89191.40,17361.32
402,90044.73,17571.08
403,89149.37,15630.26
404,87984.82,17380.66
405,88105.59,17149.19
406,89679.51,17000.94
407,90524.85,16216.12
408,90324.29,17937.61
409,87757.12,15658.87
410,88719.77,17058.50
411,88308.27,15660.78
412,89269.87,17052.45
413,87275.13,15661.62
414,89107.60,19690.69
415,88377.17,16089.57
416,89988.06,18072.87
417,88352.43,17471.93
418,88668.97,16728.17
419,89752.66,18862.42
420,88667.64,14434.73
421,90545.34,17951.94
422,88969.55,17501.62
423,88716.32,18889.60
424,89075.16,16899.40
425,88322.11,16712.80
426,88866.88,17488.68
427,90567.68,16961.26
428,89347.01,15233.67
429,87715.09,17343.61
430,87818.84,15245.25
431,87643.27,15654.71
432,88019.40,17586.44
433,89765.95,15670.18
434,90443.99,17374.71
435,88599.28,16985.09
436,90012.27,17356.07
437,89028.07,17866.94
438,90100.32,17299.82
439,88861.55,16602.49
440,88570.28,15267.02
441,90494.27,17954.62
442,88627.21,16464.30
443,87782.39,16622.10
444,89994.98,17389.88
445,88766.06,17095.48
446,87980.56,15245.31
447,88283.54,16720.41
448,89474.95,19029.81
449,88421.59,15423.14
450,90331.47,17277.85
451,88001.58,16804.37
452,88434.62,15944.90
453,88852.24,17394.61
454,89084.99,16775.98
455,88966.36,17840.79
456,91562.52,19377.42
457,88824.05,17040.06
458,89036.85,16550.53
459,88543.95,17952.59
460,89632.16,17403.09
461,88040.95,15302.19
462,88919.01,15244.98
463,90433.35,16483.28
464,88073.40,15249.19
465,90013.07,17001.12
466,88642.64,17587.04
467,90064.41,16546.31
468,88924.59,17459.29
469,88520.55,17042.58
470,89120.38,16665.00
471,89639.34,19015.87
472,89262.95,19683.38
473,88406.43,16430.16
474,89865.70,17535.88
475,88119.41,15245.31
476,88814.48,16971.57
477,90321.63,17613.04
478,88799.31,16950.31
479,88483.30,15647.55
480,88272.10,17079.42
481,88635.45,17960.92
482,88568.42,18986.50
483,89947.37,17263.79
484,88282.74,15009.22
485,88023.92,16244.17
486,88796.12,15568.00
487,90087.02,15718.86
488,89979.02,16954.30
489,89510.59,15235.38
490,89092.71,16349.32
491,87496.98,17868.23
492,89497.83,17633.32
493,89578.96,16910.92
494,90392.65,17523.38
495,88492.08,19106.37
496,88252.41,16337.94
497,89455.80,17037.67
498,89528.68,16964.65
499,89585.34,15100.05
500,89052.27,16773.09
501,89660.35,15733.21
502,90790.59,17944.88
503,88607.26,15658.08
504,88762.34,17260.07
505,87554.96,17420.96
506,88393.66,15219.34
507,90786.33,17299.19
508,87754.73,14431.97
509,89624.98,17428.65
510,88693.98,15716.27
511,90376.16,17554.05
512,89382.12,17515.31
513,87525.44,15690.03
514,88588.38,15302.20
515,89392.23,17461.05
516,89631.09,16639.99
517,88306.68,15237.87
518,90546.93,16609.60
519,88735.20,16378.46
520,89449.41,15659.14
521,88205.34,15218.15
522,88571.88,15258.85
523,90627.27,17477.22
524,89343.28,18862.49
525,89446.23,16561.43
526,88358.28,15279.41
527,88899.33,15247.75
528,89040.04,17891.10
529,88590.23,17618.60
530,89415.37,19047.35
531,88764.47,17576.07
532,88223.69,15656.68
533,88984.45,15256.36
534,89626.30,19164.96
535,87623.86,15224.01
536,89266.94,17815.53
537,88439.68,16113.87
538,89483.46,15647.03
539,88808.09,14847.93
540,88218.63,15257.15
541,88828.84,14829.45
542,90079.84,18959.10
543,89585.34,17313.37
544,88360.95,17527.07
545,89702.12,17019.98
546,89748.40,18037.34
547,89616.20,17825.36
548,89034.19,16508.71
549,88954.12,16226.73
550,88104.79,14834.18
551,88856.23,16148.59
552,90562.89,18998.38
553,89674.98,17008.73
554,88818.73,16259.03
555,90148.73,16848.35
556,88882.84,16928.65
557,89455.53,15245.82
558,88550.60,16905.20
559,89266.67,17133.41
560,87665.35,15684.05
561,87960.34,14861.27
562,89576.56,15283.86
563,88584.65,14822.34
564,88513.62,17400.80
565,89217.20,17022.97
566,88771.65,18873.56
567,88555.12,15958.09
568,89200.70,17548.55
569,88462.82,15799.20
570,89235.28,16294.73
571,89009.72,17164.07
572,89365.62,15654.89
573,89162.40,18851.99
574,88654.08,19782.51
575,88213.84,15633.49
576,89239.01,16572.83
577,89859.32,17372.83
578,89069.57,15649.26
579,90903.91,18387.66
580,89173.30,16453.99
581,88783.35,17116.49
582,91050.73,16747.01
583,88575.07,15255.44
584,89577.62,17946.97
585,89661.68,15321.02
586,89070.63,17461.31
587,89232.36,17059.39
588,89178.62,16662.51
589,88797.98,15644.53
590,88676.95,16639.62
591,88784.15,16598.13
592,87480.48,15641.83
593,88741.05,17889.64
594,88100.80,15274.24
595,88624.02,15261.87
596,89753.19,17118.79
597,88789.20,17432.11
598,89200.70,17337.53
599,88899.33,16975.00
600,88792.13,15653.41
601,88550.60,15249.72
602,89537.73,18522.09
603,90326.95,15649.20
604,89860.38,17459.58
605,89388.77,15238.66
606,89579.49,14614.40
607,88226.34,15240.11
608,90778.88,17373.33
609,88861.02,17195.60
610,89124.90,19364.07
611,89560.07,17589.86
612,90232.78,16954.79
613,89227.04,17467.52
614,89199.38,14445.84
615,90455.70,16705.43
616,88696.37,16203.77
617,88122.08,17983.05
618,87575.45,15265.43
619,88584.38,15675.96
620,89603.43,17035.12
621,90071.85,15714.02
622,88992.43,16626.96
623,89322.80,16545.24
624,88743.72,17181.89
625,88716.05,14839.91
626,87316.36,15651.13
627,89957.21,17785.96
628,90056.16,17162.83
629,89359.24,17094.73
630,89607.95,15423.19
631,89009.98,15287.25
632,88289.12,17925.54
633,88982.85,17181.42
634,88688.66,15239.18
635,88712.33,14727.58
636,88890.81,15640.64
637,89183.15,16436.89
638,88802.50,17230.59
639,89050.68,15338.34
640,89725.52,18940.25
641,89216.40,16516.74
642,88826.18,16467.65
643,89424.68,17401.47
644,88231.66,16028.71
645,88555.12,16496.38
646,89798.41,16897.82
647,89480.01,16592.45
648,88295.51,16216.04
649,89416.96,15627.61
650,88224.48,17434.33
651,88668.70,15845.26
652,89239.27,14852.44
653,89495.16,14401.55
654,88418.66,16423.29
655,88589.97,14559.61
656,89450.48,18518.72
657,88924.59,16539.70
658,89138.99,14838.33
659,88235.92,16199.73
660,89386.91,15725.75
661,89508.73,17482.39
662,90063.34,17183.28
663,90459.15,18393.34
664,89288.48,16511.96
665,88388.88,16848.96
666,89072.23,17379.48
667,88803.57,16781.96
668,89616.20,16155.16
669,90063.88,16892.67
670,88371.59,16804.25
671,89651.31,19348.03
672,89433.98,15668.54
673,90019.98,16551.12
674,88930.72,16560.56
675,89713.55,17823.54
676,88718.45,16077.73
677,87982.42,14805.77
678,89609.81,17316.58
679,89290.08,17034.88
680,88532.52,15653.41
681,88961.04,14441.01
682,89329.45,16558.09
683,88256.67,16971.50
684,87893.05,15655.64
685,89237.68,15654.94
686,89011.31,17483.96
687,89125.96,17039.00
688,89110.00,16351.22
689,89541.45,17066.29
690,89569.91,16894.04
691,88426.65,17431.35
692,89099.62,17502.52
693,89671.79,17804.83
694,88418.93,17385.02
