sid,area,delay
0,6029.42,3080.34
1,6291.70,3529.69
2,6440.66,3672.25
3,6506.63,3124.56
4,6024.63,3557.62
5,6471.51,3036.76
6,6044.05,3403.82
7,6137.95,3170.06
8,6131.57,2948.20
9,6119.86,2589.27
10,6494.12,4007.11
11,6083.69,2772.53
12,5962.66,3165.24
13,6137.68,3685.00
14,6122.79,3034.51
15,6277.87,3048.10
16,5918.23,3102.96
17,6243.55,3462.66
18,6386.66,3674.99
19,6236.37,3616.70
20,6545.73,3044.19
21,6199.93,3464.89
22,6383.47,3309.56
23,6344.10,3652.87
24,5987.39,3483.40
25,6386.66,4139.87
26,6466.19,3252.66
27,6291.17,2614.28
28,6575.79,2696.07
29,6486.41,3274.57
30,6373.36,3583.10
31,6434.01,3355.54
32,6339.31,3214.05
33,6118.53,2766.07
34,6198.33,2949.09
35,6091.13,3645.07
36,6865.99,2992.18
37,6357.93,3195.39
38,6370.97,3695.48
39,5966.38,3098.06
40,5863.97,3363.69
41,5905.20,3366.20
42,5949.09,3868.94
43,6558.23,2715.97
44,6379.21,3913.95
45,6840.72,2897.87
46,6154.18,3047.90
47,6221.21,3040.48
48,6535.62,2689.63
49,6397.83,2870.64
50,6813.59,3406.58
51,6557.17,3302.49
52,6300.74,2730.86
53,6372.30,2739.05
54,6090.34,3612.96
55,6046.98,2861.05
56,5971.17,3322.31
57,6147.53,3201.94
58,6241.42,3537.84
59,6399.43,2755.31
60,6153.38,2810.72
61,6222.27,3166.33
62,6028.62,3478.91
63,6293.03,3201.79
64,6125.18,3602.89
65,6130.24,3057.11
66,6560.09,3337.71
67,6679.79,3674.15
68,6072.78,3356.46
69,6647.87,2906.59
70,6151.78,3071.19
71,6020.64,2739.18
72,6087.68,3390.17
73,6869.72,3282.68
74,6033.41,3144.97
75,6529.77,2842.33
76,6035.27,2924.72
77,6068.79,3174.27
78,5956.27,2936.81
79,6170.93,3271.32
80,6273.61,3266.14
81,6877.16,4052.16
82,6439.86,2582.35
83,6141.14,3103.39
84,6501.57,3337.24
85,6646.81,3207.12
86,6265.63,3648.78
87,6151.52,3759.29
88,6031.02,3574.01
89,6175.19,2820.69
90,5988.19,3269.42
91,6473.11,2897.88
92,6287.44,3602.28
93,6613.56,3502.82
94,6140.34,3528.68
95,5978.08,3870.85
96,6221.21,3144.38
97,6635.10,2816.32
98,6529.77,2924.12
99,6315.37,3197.11
100,6260.04,2774.26
101,6476.83,2893.45
102,6692.56,3666.64
103,6468.59,3469.08
104,6133.69,3372.96
105,8081.88,3668.89
106,6663.30,2671.86
107,6316.97,3186.44
108,6012.93,3285.61
109,6156.30,2927.48
110,5994.31,3100.79
111,6326.01,2496.05
112,7788.21,4066.44
113,6489.34,3073.99
114,6371.23,3492.24
115,6252.60,2828.00
116,6132.63,2437.58
117,6235.31,3280.72
118,6067.73,3143.29
119,6262.17,3361.99
120,6002.02,3425.20
121,6624.46,3310.48
122,6525.78,2805.33
123,6382.94,2981.71
124,6118.27,3439.28
125,6575.52,3293.91
126,6628.19,2812.96
127,5942.97,3434.83
128,6090.07,3495.78
129,6233.44,2918.51
130,6595.20,3472.58
131,6158.70,3021.15
132,5937.65,2862.30
133,6461.94,2891.68
134,6221.74,2801.77
135,6196.74,3522.83
136,6081.82,3232.51
137,6606.11,3388.81
138,6110.55,3297.28
139,6369.64,3191.67
140,6843.38,3697.85
141,6477.10,3198.70
142,6514.61,3259.13
143,6407.41,2651.25
144,6834.60,3536.31
145,6279.73,3383.31
146,5987.13,3350.35
147,6445.18,3545.01
148,6669.42,2819.83
149,6421.51,2604.24
150,5960.79,3410.89
151,6063.20,2669.27
152,6393.84,3431.39
153,6338.25,3097.82
