sid,area,delay
0,12081.19,8706.06
1,11857.48,10031.13
2,13601.38,8624.68
3,13656.71,8587.28
4,11777.95,8415.90
5,12037.83,8364.41
6,11883.82,8426.31
7,11863.60,10068.93
8,11922.92,8776.36
9,11747.89,8806.41
10,13331.92,8654.61
11,12255.15,6698.42
12,11801.89,8761.20
13,12201.15,6914.99
14,12499.07,8574.88
15,12344.53,8385.17
16,11890.47,8762.76
17,11883.82,8734.64
18,12113.64,7605.03
19,11964.68,9881.09
20,12164.18,8705.94
21,11889.93,8303.23
22,12063.37,8359.03
23,12047.94,10832.51
24,12002.19,8365.50
25,12071.08,8306.23
26,13874.03,7947.28
27,11924.51,8344.16
28,13786.25,8572.49
29,13370.22,6577.21
30,12138.11,9811.82
31,13401.61,6546.66
32,12320.59,6717.40
33,12362.08,8802.50
34,12428.58,8104.60
35,12150.35,6650.55
36,13620.00,6623.63
37,11809.60,8702.56
38,12085.71,9302.34
39,11967.34,10379.37
40,12054.06,7122.20
41,11939.41,10161.23
42,12231.21,8867.62
43,13595.53,8227.15
44,12053.26,11281.10
45,13844.77,9468.00
46,11972.13,8874.95
47,11995.27,8349.23
48,13769.76,8687.20
49,11845.78,9507.98
50,13589.14,8652.91
51,13957.02,8802.77
52,11843.38,8732.66
53,13718.15,5478.71
54,11931.70,10215.02
55,11777.42,6642.11
56,12294.79,8226.81
57,11852.43,10130.46
58,12154.87,8300.78
59,13733.31,8669.58
60,12352.77,8749.56
61,12224.03,8764.94
62,12418.48,7086.75
63,11964.15,6705.58
64,11814.12,8306.50
65,12334.95,6637.20
66,13741.83,8586.89
67,12136.25,8679.60
68,12629.15,8360.79
69,13702.46,8714.95
70,11852.43,8571.71
71,12086.51,8388.68
72,12442.42,8311.25
73,13824.29,9890.55
74,12114.17,6249.58
75,13460.66,9980.69
76,11824.23,8741.70
77,11916.53,10010.95
78,12187.32,8894.64
79,12380.17,8376.20
80,12458.64,8396.57
81,13299.47,8495.71
82,13239.09,8295.41
83,12550.41,7709.04
84,11982.50,8069.59
85,13656.71,8628.39
86,12288.93,9211.71
87,12163.65,8794.25
88,12075.07,8951.14
89,11855.62,8802.92
90,11834.07,8455.05
91,13637.29,8650.03
92,12367.14,6777.45
93,12439.76,8711.00
94,11906.16,8731.72
95,12115.77,8738.29
96,12425.39,9236.93
97,13422.63,8819.88
98,13992.40,6927.60
99,13546.32,8637.83
100,11943.93,8782.94
101,13427.95,8591.08
102,13919.78,8544.00
103,11813.59,8032.65
104,11927.97,8577.90
105,11833.54,8695.33
106,13300.53,8749.41
107,11770.50,8712.07
108,11834.07,9736.82
109,11958.03,8367.12
110,12436.83,7311.10
111,12122.42,6593.03
112,12271.91,8724.50
113,13281.65,10041.88
114,13556.42,6721.61
115,12198.76,7053.04
116,12191.84,6784.10
117,11814.12,6298.09
118,12928.66,8292.20
119,12104.06,8045.37
120,11867.86,8764.67
121,13165.94,8792.20
122,13908.08,8792.46
123,11842.59,8689.13
124,12049.80,9198.11
125,13613.61,8365.22
126,13818.70,8267.11
127,12118.96,8813.56
128,12207.27,6777.21
129,11802.42,8180.08
130,13756.19,8292.25
131,12128.00,8872.55
132,11940.21,8751.42
133,13774.01,8311.12
134,12110.71,8746.34
135,12193.17,6270.73
136,11826.89,10021.56
137,12439.76,7918.09
138,11854.29,10071.37
139,12602.28,7995.61
140,11992.08,5058.49
