sid,area,delay
0,47177.76,28066.50
1,49108.92,37663.11
2,55909.21,34214.17
3,56104.45,48909.52
4,48924.58,33205.04
5,46879.31,29872.32
6,49044.81,34555.91
7,46859.36,33155.71
8,48939.74,33595.17
9,46599.21,28381.29
10,56089.03,52949.48
11,47119.77,30656.11
12,48754.34,33419.62
13,46839.41,32089.13
14,46813.34,28484.06
15,49392.74,37663.07
16,48767.11,27775.06
17,47180.42,28717.87
18,47193.19,33822.83
19,49088.97,28369.73
20,47397.74,27825.29
21,47048.75,33543.20
22,49241.39,29712.73
23,46661.98,29990.62
24,48859.14,37367.18
25,49190.05,34834.94
26,55924.64,22099.97
27,47121.90,34010.95
28,56278.42,31783.97
29,55920.65,34762.98
30,49174.62,34775.05
31,55814.52,48851.63
32,47038.38,32118.06
33,49267.46,23305.91
34,49059.18,48423.23
35,46771.84,32124.71
36,55916.66,15418.09
37,47316.08,28012.75
38,46956.98,33444.56
39,48807.28,41458.75
40,48822.70,35063.57
41,48784.40,31907.61
42,48945.60,41087.04
43,56004.97,14991.27
44,46843.93,32971.28
45,56356.09,64446.54
46,49063.17,40823.78
47,48968.21,42286.09
48,56449.72,25187.39
49,47191.86,33555.26
50,56269.91,35226.91
51,56093.28,31682.87
52,49039.49,32706.54
53,55963.47,12775.00
54,48986.82,41053.92
55,48879.10,35551.32
56,48979.11,40554.68
57,48918.73,27048.84
58,49116.63,41980.55
59,56040.88,17774.91
60,49144.30,34143.30
61,46793.39,30220.00
62,49068.49,23236.18
63,46879.04,31882.43
64,46740.99,28322.08
65,48842.92,35973.49
66,56248.09,17053.35
67,47034.12,30105.83
68,48830.95,35577.85
69,55764.51,64260.10
70,49185.53,48306.79
71,48983.90,29070.42
72,49195.11,26660.40
73,56374.98,33614.30
74,48947.99,34359.29
75,55718.75,33721.55
76,49055.72,46485.88
77,49049.07,44790.80
78,46669.17,29946.76
79,46879.84,33357.93
80,46723.16,32136.18
81,56057.90,10818.26
82,56037.16,19790.42
83,46668.11,28127.96
84,46737.53,27990.24
85,55877.82,46151.52
86,46802.96,29961.53
87,46911.49,33892.20
88,46916.02,30292.95
89,48917.40,24775.25
90,48904.37,33304.70
91,55928.63,22293.14
92,49112.11,43905.33
93,47401.73,33842.90
94,47035.18,28034.20
95,47812.97,16222.06
96,46838.08,30001.46
97,55995.39,8390.56
98,56044.61,29251.36
99,56255.28,33250.08
100,46918.41,34065.22
101,56114.30,15307.95
102,56070.67,64678.95
103,47091.31,29812.82
104,48978.05,34163.62
105,47532.34,28371.39
106,55861.60,18627.63
107,47192.39,28381.52
108,48878.30,28739.96
109,47061.52,28080.83
110,49105.99,39996.89
111,47016.56,30086.48
