sid,area,delay
0,417.09,508.11
1,442.36,358.69
2,517.64,728.59
3,523.22,717.27
4,452.47,715.58
5,451.93,697.73
6,416.29,508.11
7,427.73,713.93
8,426.13,715.58
9,446.61,453.81
10,508.59,728.59
11,453.00,713.93
12,417.89,506.84
13,426.13,713.93
14,417.35,514.24
15,444.49,363.03
16,451.14,713.32
17,416.02,513.74
18,450.60,713.93
19,417.89,512.47
20,416.02,515.93
21,415.49,513.74
22,433.31,344.16
23,418.42,515.47
24,413.90,506.84
25,437.04,446.99
26,516.57,697.42
27,443.16,459.39
28,519.76,712.93
29,513.91,712.93
30,447.94,715.58
31,513.11,728.59
32,418.42,505.91
33,441.29,339.14
34,439.17,454.10
35,454.33,713.93
36,524.82,717.27
37,416.82,514.24
38,447.15,481.77
39,425.07,697.73
40,447.41,454.22
41,444.22,367.22
42,452.73,715.58
43,514.71,697.27
44,418.15,515.51
45,517.90,728.59
46,454.86,713.93
47,417.62,506.84
48,522.42,701.79
49,446.35,713.93
50,502.21,712.93
51,523.49,728.59
52,441.83,454.10
53,505.67,701.71
54,444.49,457.87
55,425.33,715.58
56,443.16,454.35
57,424.00,713.93
58,416.29,513.74
59,516.31,728.59
60,454.86,697.73
61,442.62,453.81
62,414.69,395.84
63,445.55,454.22
64,427.73,713.93
65,416.02,387.17
66,497.42,712.93
67,416.82,506.84
68,453.53,713.32
69,516.31,712.93
70,444.49,713.93
71,454.33,697.73
72,456.46,697.73
73,516.84,697.27
74,414.16,395.01
75,518.17,712.93
76,432.78,348.61
77,450.60,713.32
78,444.49,454.35
79,452.73,697.73
80,452.73,713.93
81,514.98,728.59
82,513.11,697.42
83,418.42,505.91
84,419.22,505.91
85,519.76,713.20
86,450.34,697.73
87,426.40,713.93
88,446.61,480.33
89,455.39,715.58
90,445.55,454.35
91,512.85,697.42
92,430.92,464.22
93,417.89,515.51
94,418.42,513.74
95,417.89,505.91
96,417.09,515.47
97,520.56,712.93
98,517.64,732.60
99,516.04,728.59
100,426.40,713.93
101,503.80,701.53
102,507.53,728.59
103,439.70,459.70
104,425.87,697.73
105,424.27,506.84
106,524.29,717.27
107,416.29,506.84
108,443.42,358.69
109,426.40,713.32
110,445.82,454.35
111,441.56,713.93
112,423.74,514.24
113,515.77,697.42
114,501.68,697.27
115,428.53,344.16
116,439.70,453.92
117,444.22,358.69
118,423.47,697.73
119,444.75,457.87
120,453.80,713.93
121,514.18,712.93
122,504.34,697.42
123,441.83,453.92
124,416.29,508.11
125,513.65,728.59
126,506.46,712.93
127,418.95,507.18
128,416.29,512.05
129,442.89,713.93
130,514.71,697.42
131,443.16,335.48
132,421.88,697.73
133,502.47,712.93
134,440.23,453.85
135,453.00,713.93
136,450.87,713.32
137,445.55,480.33
138,454.59,697.73
139,449.27,713.93
140,436.24,454.90
141,515.77,717.10
142,499.81,712.93
143,522.16,713.20
144,522.96,701.79
145,416.82,514.20
146,414.69,396.21
147,514.98,712.93
148,517.90,712.93
149,509.92,728.59
150,450.87,713.32
151,411.50,394.04
152,507.00,712.93
153,429.86,459.91
154,415.49,395.01
155,450.34,713.93
156,449.54,697.73
157,442.62,453.81
158,522.69,713.20
159,519.50,712.93
160,520.56,712.93
161,511.25,728.59
162,449.81,713.93
163,436.51,468.76
164,414.69,506.84
165,418.68,505.91
166,416.82,513.74
167,452.47,697.73
168,508.33,712.93
169,421.08,507.69
170,449.54,697.73
171,447.68,717.31
172,447.41,697.73
173,443.69,713.93
174,441.56,335.05
175,413.36,396.21
176,443.95,454.22
177,446.35,713.32
178,450.07,713.93
179,503.80,712.93
180,417.09,396.21
181,441.83,454.10
182,427.46,713.93
183,444.75,697.73
184,414.43,387.17
185,520.30,712.93
186,515.24,697.27
187,439.17,458.90
188,513.38,712.93
189,517.90,728.59
190,444.49,697.73
191,444.75,485.96
192,426.66,713.93
193,419.22,507.69
194,442.09,458.57
195,416.02,513.74
196,500.61,697.27
197,517.90,728.59
198,446.08,453.81
199,517.64,712.93
200,508.06,728.59
201,517.90,712.93
202,418.95,505.91
203,443.16,458.90
204,501.94,712.93
205,443.69,713.93
206,448.48,713.93
207,524.02,713.10
208,501.41,712.93
209,417.89,513.74
210,450.60,713.93
211,437.57,459.50
212,449.81,713.93
213,508.33,713.10
214,452.47,713.93
215,417.62,512.47
216,443.95,454.72
217,439.96,459.70
218,426.40,713.93
219,443.16,713.93
220,448.74,713.93
221,452.47,713.32
222,453.80,715.58
223,436.77,456.09
224,507.26,728.59
225,443.16,358.69
226,443.42,697.73
227,443.16,458.37
228,423.21,715.58
229,514.18,697.27
230,452.73,713.93
231,501.41,712.93
232,426.66,715.58
233,522.96,728.59
234,449.27,713.93
235,517.10,728.59
236,442.89,335.05
237,515.51,728.59
238,513.65,697.27
239,445.28,363.03
240,428.26,713.93
241,508.86,728.59
242,414.69,513.68
243,418.15,511.53
244,450.60,713.93
245,420.55,507.18
246,515.24,712.93
247,450.60,697.73
248,429.06,713.93
249,434.91,457.41
250,454.33,713.93
251,504.07,712.93
252,444.22,335.48
253,440.76,453.85
254,446.08,453.81
255,413.63,395.01
256,516.04,728.59
257,445.02,335.48
258,441.03,713.93
259,439.96,339.14
260,512.05,728.59
261,418.42,506.42
262,415.49,512.47
263,449.27,713.32
264,523.49,717.27
265,517.37,712.93
266,455.39,715.58
267,416.29,513.74
268,515.24,728.90
269,448.21,454.22
270,447.15,713.93
271,451.93,713.32
272,414.96,392.77
273,414.69,508.11
274,415.49,508.11
275,427.20,713.93
276,416.02,514.24
277,519.50,701.71
278,496.09,712.93
279,503.01,728.59
280,443.42,453.81
281,452.20,697.73
282,434.64,348.61
283,452.73,697.73
284,446.88,454.22
285,504.87,728.90
286,419.22,511.53
287,424.80,713.93
288,512.32,697.27
289,519.50,728.59
290,419.22,514.99
291,424.54,697.73
292,417.09,507.69
293,442.62,458.37
294,511.52,697.27
295,513.38,728.59
296,514.98,728.59
297,425.60,715.58
298,452.20,713.93
299,441.83,713.93
300,449.01,477.43
301,446.35,485.96
302,418.15,515.47
303,417.35,506.84
304,454.59,713.93
305,446.08,713.32
306,420.01,511.53
307,428.53,713.93
308,435.18,465.06
309,503.01,686.03
310,440.50,454.10
311,437.04,446.99
312,439.17,454.10
313,416.02,512.47
314,514.44,712.93
315,425.87,713.93
316,514.71,697.27
317,442.89,713.32
318,518.43,712.93
319,444.49,713.32
320,445.82,713.32
321,415.49,512.47
322,415.49,512.47
323,513.38,712.93
324,501.14,697.42
325,515.51,712.93
326,513.91,697.42
327,510.72,701.79
328,452.47,713.93
329,505.93,697.27
330,501.94,728.90
331,514.98,712.93
332,516.84,697.27
333,509.66,701.71
334,417.35,506.84
335,442.89,367.22
336,417.09,511.53
337,520.83,713.10
338,447.94,715.58
339,418.68,511.53
340,508.86,701.79
341,455.13,713.93
342,500.61,712.93
343,444.22,367.22
344,503.80,712.93
345,451.67,713.93
346,500.35,697.42
347,429.06,713.93
348,498.48,728.59
349,418.42,511.53
350,416.56,506.42
351,507.53,728.59
352,419.75,505.91
353,523.22,701.71
354,523.75,728.59
355,439.43,453.52
356,518.17,728.59
357,453.80,713.93
358,452.47,713.93
359,433.58,351.21
360,444.49,454.35
361,433.05,348.61
362,456.72,713.93
363,508.86,728.59
364,416.82,514.24
365,516.84,728.90
366,520.30,713.20
367,509.12,712.93
368,455.39,713.93
369,455.66,713.93
370,447.94,454.22
371,425.33,713.93
372,439.70,459.70
373,444.22,335.48
374,449.81,713.32
375,438.63,460.21
376,426.40,715.58
377,419.75,512.80
378,508.86,717.27
379,414.69,396.21
380,414.69,394.04
381,447.15,713.93
382,520.30,712.93
383,451.14,697.73
384,446.88,481.77
385,417.35,507.69
386,439.70,459.70
387,505.40,728.59
388,451.14,713.32
389,425.07,715.58
390,434.11,351.21
391,518.43,728.59
392,453.00,715.58
393,454.59,713.93
394,516.04,697.27
395,517.90,728.59
396,426.13,713.32
397,522.69,713.10
398,417.62,511.53
399,453.53,715.58
400,441.83,459.39
401,501.41,697.42
402,502.21,728.90
403,417.35,388.44
404,509.12,701.71
405,515.51,712.93
406,445.02,454.35
407,446.35,482.27
408,416.82,506.42
409,434.91,351.21
410,512.32,712.93
411,442.09,363.03
412,501.14,686.03
413,518.70,728.59
414,508.86,728.59
415,426.40,713.32
416,521.63,712.93
417,517.10,712.93
418,453.00,697.73
419,424.80,713.32
420,413.63,388.44
421,501.94,712.93
422,417.89,506.84
423,448.48,713.32
424,425.87,713.93
425,453.26,713.32
426,446.08,485.96
427,418.15,508.11
428,426.66,715.58
429,426.40,713.32
430,414.16,388.44
431,516.57,728.59
432,450.34,713.32
433,417.89,388.44
434,516.31,712.93
435,453.53,713.93
436,516.04,697.27
437,454.06,713.93
438,515.24,712.93
439,420.01,505.91
440,414.43,387.17
441,448.48,697.73
442,453.80,697.73
443,451.14,713.32
444,444.22,458.37
445,424.54,697.73
446,521.09,713.10
447,455.66,713.32
448,442.62,713.93
449,417.35,506.84
450,418.42,506.84
451,448.74,713.93
452,500.35,712.93
453,445.82,458.37
454,454.06,715.58
455,415.76,394.04
456,442.09,453.52
457,456.46,713.93
458,501.41,728.59
459,520.03,713.10
460,418.68,513.68
461,502.47,728.90
462,446.08,453.81
463,509.66,701.79
464,439.43,454.10
465,508.86,701.79
466,511.25,717.27
467,499.81,728.90
468,443.42,358.69
469,510.99,712.93
470,428.26,713.93
471,427.73,713.93
472,419.22,505.91
473,510.19,712.93
474,448.74,715.58
475,430.12,462.88
476,450.34,713.93
477,417.35,514.20
478,448.21,713.32
479,516.84,712.93
480,501.41,728.59
481,427.73,713.93
482,452.73,713.93
483,512.85,712.93
484,510.45,712.93
485,440.23,454.10
486,516.84,713.10
487,515.77,712.93
488,454.33,713.93
489,416.82,513.74
490,502.74,712.93
491,506.73,697.42
492,508.86,712.93
493,509.39,712.93
494,501.68,728.90
495,511.52,712.93
496,430.39,348.61
497,507.79,728.59
498,445.82,713.93
499,512.85,697.42
500,415.23,396.21
501,519.23,713.10
502,449.01,715.58
503,425.33,713.93
504,513.91,697.42
505,447.15,713.93
506,414.43,392.77
507,445.02,477.93
508,427.73,713.93
509,507.53,728.90
510,425.07,713.32
511,450.07,715.58
512,419.48,507.18
513,513.11,697.42
514,426.40,713.32
515,446.08,477.43
516,517.90,728.59
517,434.91,344.16
518,445.55,457.87
519,513.91,697.42
520,416.82,512.05
521,447.94,713.93
522,497.95,712.93
523,523.75,717.27
524,417.62,507.18
525,425.33,713.93
526,503.01,728.90
527,433.85,348.61
528,443.95,367.22
529,417.62,513.68
530,453.80,697.73
531,444.75,335.48
532,447.15,697.73
533,447.41,477.43
534,448.74,713.93
535,415.23,513.74
536,454.33,697.73
537,444.22,480.33
538,415.76,513.74
539,424.54,697.73
540,426.40,715.58
541,418.95,512.05
542,416.56,506.84
543,525.08,717.27
544,510.45,728.59
545,501.68,728.90
546,450.07,697.73
547,449.54,697.73
548,424.80,697.73
549,513.91,697.27
550,510.19,713.10
551,506.73,728.59
552,515.77,728.59
553,414.69,396.21
554,445.28,480.33
555,497.15,712.93
556,522.42,713.10
557,522.69,717.27
558,450.60,713.93
559,452.47,713.93
560,439.17,697.73
561,510.72,717.27
562,426.66,713.93
563,511.52,712.93
564,445.02,453.81
565,522.69,717.27
566,455.13,713.93
567,514.71,712.93
568,448.48,713.93
569,501.68,712.93
570,431.45,348.61
571,441.03,451.50
572,438.37,456.09
573,446.08,457.87
574,448.74,713.32
575,452.73,715.58
576,435.97,461.68
577,520.56,712.93
578,512.85,728.59
579,453.00,713.93
580,522.69,713.10
581,516.04,728.59
582,445.02,457.87
583,413.90,392.77
584,451.93,713.32
585,517.90,728.59
586,446.88,454.22
587,451.40,713.93
588,443.16,457.87
589,446.61,453.81
590,417.09,514.20
591,441.83,451.82
592,439.17,459.70
593,504.87,728.59
594,512.58,712.93
595,507.53,728.59
596,418.42,506.42
597,441.56,451.82
598,444.22,713.93
599,425.60,697.73
600,426.66,713.93
601,426.13,715.58
602,417.09,515.47
603,446.35,454.72
604,413.36,392.77
605,500.61,697.27
606,517.64,712.93
607,510.99,713.10
608,520.30,713.10
609,414.69,392.77
610,426.93,713.93
611,443.95,335.48
612,500.08,728.90
613,414.96,508.11
614,457.52,713.93
615,419.48,511.53
616,448.48,697.73
617,508.33,712.93
618,500.88,697.42
619,507.26,728.59
620,432.25,348.61
621,416.82,513.74
622,453.53,713.93
623,513.91,697.27
624,425.87,348.61
625,453.53,713.32
626,516.84,728.59
627,524.02,717.27
628,450.07,715.58
629,506.73,728.59
630,426.93,459.91
631,510.45,728.59
632,502.21,697.42
633,446.08,454.72
634,514.44,712.93
635,503.80,697.42
636,416.29,395.84
637,418.95,513.68
638,417.62,506.42
639,510.45,728.59
640,507.79,712.93
641,454.06,713.93
642,424.27,713.93
643,506.46,712.93
644,513.65,697.42
645,510.99,712.93
646,444.75,480.33
647,511.52,712.93
648,500.08,697.42
649,445.82,486.46
650,443.95,713.32
651,500.88,697.42
652,426.13,713.93
653,414.96,395.01
654,452.20,713.32
655,443.16,358.69
656,427.73,713.93
657,453.53,713.93
658,443.42,335.05
659,501.68,728.59
660,521.63,713.10
661,443.42,335.05
662,447.41,713.93
663,452.20,697.73
664,514.44,712.93
665,454.59,713.93
666,456.19,713.93
667,455.13,715.58
668,455.39,713.93
669,445.55,457.87
670,437.57,454.34
671,449.81,697.73
672,453.80,715.58
673,416.82,512.47
674,415.49,515.51
675,520.83,713.10
676,452.73,713.93
677,417.62,513.72
678,446.61,453.81
679,442.89,480.33
680,437.84,459.70
681,516.57,728.59
682,425.07,713.32
683,447.94,477.93
684,441.29,454.10
685,416.82,513.74
686,501.41,697.27
687,439.70,339.14
688,417.35,511.53
689,446.88,454.72
690,514.71,697.42
691,447.94,713.93
692,419.22,513.72
693,499.28,712.93
694,506.20,712.93
695,516.84,712.93
696,518.17,728.59
697,434.64,351.21
698,415.49,514.24
699,503.27,712.93
700,447.68,481.77
701,445.02,477.93
702,416.56,515.51
703,522.16,712.93
704,502.21,717.10
705,520.30,712.93
706,509.39,713.10
707,507.00,697.42
708,418.15,506.42
709,499.02,697.42
710,426.93,713.93
711,521.89,713.10
712,427.46,713.93
713,446.61,454.72
714,426.13,713.93
715,446.61,454.22
716,428.53,713.93
717,441.03,454.10
718,427.46,713.93
719,415.76,506.84
720,450.34,713.32
721,425.60,697.73
722,444.22,453.81
723,504.07,728.90
724,417.62,515.47
725,445.28,697.73
726,427.73,713.93
727,416.02,388.44
728,417.09,513.32
729,415.49,512.47
730,445.02,713.32
731,417.35,515.51
732,455.39,713.93
733,443.16,335.48
734,449.54,697.73
735,520.56,728.59
736,441.29,450.57
737,443.42,457.87
738,440.50,454.10
739,416.82,506.42
740,416.29,506.42
741,454.86,713.32
742,514.18,728.59
743,446.35,481.77
744,443.16,713.32
745,436.77,459.50
746,416.82,508.11
747,419.48,513.68
748,517.37,728.59
749,416.56,388.44
750,412.83,514.20
751,444.75,697.73
752,516.04,697.27
753,444.49,486.46
754,443.42,367.22
755,452.20,697.73
756,514.71,697.42
757,439.70,446.99
758,452.73,713.93
759,450.60,697.73
760,425.60,715.58
761,508.59,697.42
762,417.62,512.47
763,521.36,717.27
764,451.40,715.58
765,500.88,728.59
766,446.35,453.81
767,417.09,512.47
768,444.75,457.87
769,444.49,458.37
770,423.47,697.73
771,500.08,712.93
772,500.35,712.93
773,512.58,697.42
774,509.39,728.59
775,453.00,713.93
776,520.03,712.93
777,412.83,396.21
778,445.28,482.27
779,443.42,335.48
780,443.16,697.73
781,516.31,728.59
782,418.42,508.11
783,444.75,453.81
784,514.98,728.59
785,451.67,713.32
786,521.09,717.27
787,451.67,697.73
788,520.30,712.93
789,442.89,453.81
790,417.89,507.18
791,507.79,701.71
792,417.62,513.74
793,507.00,728.59
794,507.79,712.93
795,444.75,713.32
796,424.80,697.73
797,416.82,508.11
798,427.99,713.93
799,419.22,512.05
800,447.15,713.32
801,417.09,506.42
802,454.06,713.93
803,454.86,713.93
804,455.13,713.93
805,418.68,511.53
806,454.33,713.93
807,425.60,697.73
808,439.96,335.05
809,516.84,728.59
810,454.33,715.58
811,522.16,712.93
812,415.49,506.84
813,423.74,715.58
814,449.27,717.31
815,446.88,454.22
816,440.76,460.21
817,415.76,394.04
818,447.15,715.58
819,425.33,715.58
820,514.18,697.42
821,515.24,728.59
822,441.56,335.05
823,499.28,686.03
824,426.66,713.93
825,442.89,453.81
826,507.79,712.93
827,498.48,728.90
828,415.49,392.77
829,455.66,713.93
830,433.58,461.68
831,520.30,728.59
832,450.60,697.73
