sid,area,delay
0,579.61,556.12
1,545.57,467.61
2,662.34,610.92
3,636.54,445.61
4,544.24,353.11
5,565.25,400.16
6,540.78,492.15
7,561.79,401.05
8,562.59,450.59
9,568.18,470.80
10,655.16,600.39
11,579.35,659.89
12,563.65,476.03
13,568.44,406.12
14,567.11,412.75
15,552.48,488.65
16,557.27,467.58
17,551.15,544.38
18,592.38,624.09
19,553.55,450.12
20,575.62,633.96
21,564.45,462.21
22,575.09,491.79
23,551.95,453.59
24,541.04,459.97
25,589.46,507.52
26,625.63,497.59
27,607.28,571.05
28,663.14,436.43
29,642.39,518.79
30,601.16,489.51
31,641.59,508.44
32,567.64,613.90
33,545.30,474.70
34,577.49,463.13
35,577.22,538.64
36,650.64,471.32
37,570.84,586.80
38,560.46,478.28
39,572.70,602.76
40,557.54,471.09
41,555.14,458.35
42,541.84,535.70
43,650.10,411.13
44,567.38,460.83
45,651.17,384.92
46,558.07,467.66
47,563.12,427.98
48,624.57,442.28
49,591.58,479.66
50,654.36,447.04
51,640.26,587.48
52,591.58,516.57
53,637.60,503.45
54,549.29,461.67
55,564.45,462.93
56,548.23,465.20
57,562.59,468.95
58,546.90,464.79
59,640.26,465.14
60,567.11,473.68
61,571.10,660.52
62,550.09,517.51
63,571.37,584.53
64,563.65,416.57
65,552.75,468.18
66,620.58,442.11
67,546.63,474.83
68,562.86,472.32
69,665.00,559.94
70,569.51,474.44
71,571.63,606.77
72,551.68,483.05
73,661.81,484.30
74,541.31,461.81
75,646.91,428.98
76,566.31,449.13
77,563.92,452.69
78,559.13,457.34
79,569.77,632.20
80,572.70,627.12
81,661.54,551.58
82,628.56,489.36
83,555.14,473.58
84,571.10,564.45
85,659.15,615.64
86,559.93,401.02
87,577.49,551.58
88,549.56,453.26
89,559.66,478.67
90,538.38,441.59
91,643.19,401.01
92,578.82,480.08
93,566.05,470.55
94,566.58,439.46
95,549.29,377.09
96,578.02,540.65
97,649.31,514.71
98,631.75,488.56
99,640.53,467.01
100,572.96,586.25
101,640.26,461.19
102,654.36,402.47
103,587.06,505.29
104,563.65,476.88
105,555.94,461.76
106,635.21,448.93
107,577.75,540.88
108,543.70,378.48
109,580.68,516.42
110,558.60,480.27
111,595.57,484.56
112,566.05,446.62
113,638.40,469.43
114,623.77,451.99
115,576.69,461.18
116,578.02,468.15
117,568.44,601.42
118,565.25,462.86
119,559.66,333.82
120,565.52,493.23
121,647.71,464.09
122,624.04,469.76
123,594.78,395.10
124,570.30,608.50
125,635.47,455.13
126,622.17,458.88
127,554.08,531.10
128,552.48,491.40
129,576.95,446.71
130,645.32,455.31
131,562.86,465.67
132,568.18,472.13
133,624.30,486.73
134,609.41,540.57
135,585.47,536.06
136,551.42,527.32
137,575.89,527.76
138,551.15,452.57
139,587.59,442.26
140,592.12,525.85
141,631.22,447.68
142,625.90,443.44
143,625.63,485.87
144,642.39,454.01
145,583.87,485.37
146,554.61,475.95
147,674.04,454.23
148,662.07,567.75
149,643.45,583.42
150,566.05,465.33
151,557.54,475.48
152,657.82,607.16
153,563.92,444.62
154,574.29,616.21
155,588.92,484.94
156,609.14,628.35
157,561.26,442.05
158,629.62,463.31
159,640.79,434.46
160,643.19,450.70
161,650.90,430.85
162,590.52,479.33
163,600.36,439.47
164,545.57,421.78
165,563.92,501.32
166,539.98,441.23
167,559.40,554.16
168,651.70,492.90
169,554.08,461.99
170,549.56,468.27
171,592.65,465.56
172,603.29,494.37
173,600.36,418.97
174,562.86,452.69
175,557.27,437.49
176,548.23,455.17
177,605.68,436.43
178,592.91,619.52
179,648.77,398.96
180,553.81,456.31
181,607.81,436.08
