sid,area,delay
0,293.93,520.76
1,270.52,449.18
2,297.92,598.94
3,297.92,598.94
4,272.65,439.82
5,271.59,430.79
6,289.94,430.06
7,270.26,482.86
8,261.21,595.22
9,295.79,576.42
10,297.92,598.94
11,263.07,576.42
12,262.01,595.22
13,261.21,595.22
14,292.87,595.22
15,289.94,418.50
16,294.73,438.64
17,261.74,520.76
18,285.95,568.43
19,300.85,604.10
20,260.68,520.76
21,269.72,520.76
22,284.89,774.00
23,292.60,520.76
24,308.29,604.10
25,285.95,568.43
26,298.72,455.23
27,285.95,568.43
28,297.92,598.94
29,293.66,598.94
30,285.15,568.43
31,293.66,598.94
32,260.15,595.22
33,307.50,487.68
34,286.22,601.79
35,294.73,438.64
36,298.72,598.94
37,292.07,602.58
38,271.32,434.31
39,270.26,482.86
40,264.14,574.99
41,289.67,418.58
42,262.01,576.42
43,292.33,598.94
44,292.33,520.76
45,297.92,598.94
46,272.38,429.70
47,281.96,604.10
48,299.52,617.04
49,288.08,481.94
50,298.72,598.94
51,297.92,598.94
52,285.95,568.43
53,298.72,598.94
54,283.02,569.79
55,261.48,595.22
56,308.03,487.68
57,269.46,471.33
58,282.49,430.06
59,298.72,598.94
60,262.81,416.18
61,295.26,576.42
62,284.09,604.10
63,263.87,576.42
64,260.68,595.22
65,308.29,604.10
66,297.92,598.94
67,261.21,602.58
68,271.32,433.41
69,293.66,598.94
70,287.55,494.87
71,271.32,433.41
72,283.82,393.52
73,298.72,598.94
74,298.45,604.10
75,292.87,598.94
76,290.21,428.72
77,272.65,439.82
78,271.59,430.79
79,272.38,442.64
80,272.38,429.70
81,298.72,598.94
82,297.12,455.23
83,260.95,595.22
84,270.52,482.86
85,298.72,598.94
86,271.32,434.31
87,262.01,595.22
88,263.61,416.18
89,262.01,576.42
90,262.81,576.42
91,292.87,598.94
92,290.21,428.72
93,293.40,520.76
94,293.40,520.76
95,261.48,595.22
96,260.95,520.76
97,292.33,598.94
98,293.40,617.04
99,297.92,598.94
100,293.40,595.22
101,298.72,598.94
102,298.72,598.94
103,285.95,583.69
104,300.85,604.10
105,260.41,602.58
106,301.11,455.23
107,293.66,602.58
108,272.38,429.70
109,270.26,471.33
110,271.59,430.79
111,287.28,481.94
112,260.15,602.58
113,298.45,455.23
114,302.18,455.23
115,288.88,494.50
116,287.28,601.79
117,262.81,417.80
118,269.19,482.86
119,299.52,487.68
120,272.38,442.64
121,292.33,598.94
122,298.72,455.23
123,285.15,568.43
124,260.95,504.84
125,293.13,598.94
126,292.07,616.67
127,291.54,504.84
128,259.62,595.22
129,287.28,481.94
130,293.66,598.94
131,294.99,576.42
132,270.52,482.86
133,294.20,634.84
134,285.15,568.43
135,263.07,576.42
136,271.32,433.41
137,295.53,418.74
138,308.03,487.68
139,285.15,568.43
140,284.09,537.93
141,301.91,455.23
142,300.85,455.23
143,302.18,455.23
144,297.92,598.94
145,269.46,471.33
146,293.66,794.23
147,293.13,598.94
148,297.92,598.94
149,293.66,598.94
150,271.32,433.41
151,268.66,520.76
152,297.92,598.94
153,288.08,481.94
154,292.33,595.22
155,285.15,568.43
156,285.95,568.43
157,271.59,430.79
158,299.52,635.21
159,293.13,598.94
160,297.92,598.94
161,292.33,598.94
162,285.95,568.43
163,285.15,568.43
164,261.21,602.58
165,292.33,595.22
166,292.87,504.84
167,262.54,416.18
168,292.87,598.94
169,294.20,794.23
170,300.05,487.68
171,288.34,494.87
172,285.15,568.43
173,288.08,481.94
174,300.58,487.68
175,268.66,504.84
176,308.03,487.68
177,288.08,481.94
178,285.95,568.43
179,292.33,598.94
180,268.66,520.76
181,285.15,568.43
182,269.72,520.76
183,287.28,481.94
184,260.15,595.22
185,297.92,598.94
186,289.41,879.54
187,285.95,583.69
188,293.13,598.94
189,302.18,455.23
190,287.28,481.94
191,262.81,416.18
192,262.01,595.22
193,269.19,520.76
194,285.15,583.69
195,291.54,520.76
196,294.99,635.21
197,297.92,598.94
198,294.99,576.42
199,297.92,598.94
200,298.72,598.94
201,298.72,598.94
202,293.93,595.22
203,285.95,583.69
204,298.72,598.94
205,287.28,481.94
206,285.95,583.69
207,298.72,598.94
208,298.72,598.94
209,282.49,430.06
210,285.15,568.43
211,291.54,436.13
212,285.95,583.69
213,301.38,455.23
214,272.65,439.82
215,270.26,471.33
216,271.32,433.41
217,285.95,583.69
218,269.46,471.33
219,288.08,481.94
220,285.15,568.43
221,271.32,433.41
222,271.85,440.59
223,280.36,819.23
224,292.87,598.94
225,271.32,434.31
226,291.27,428.72
227,271.32,433.41
228,269.19,482.86
229,297.92,598.94
230,307.23,487.68
231,298.19,617.04
232,293.93,504.84
233,297.92,598.94
234,285.95,568.43
235,298.72,598.94
236,264.67,574.99
237,292.07,617.04
238,296.86,455.23
239,290.21,405.77
240,269.72,504.84
241,297.92,598.94
242,270.26,482.86
243,270.52,471.33
244,272.38,442.64
245,290.74,430.06
246,297.92,598.94
247,300.58,487.68
248,291.54,520.76
249,286.75,601.79
250,263.07,576.42
251,299.78,634.84
252,263.87,576.42
253,285.95,583.69
254,262.01,576.42
255,269.46,482.86
256,293.13,598.94
257,263.07,576.42
258,287.28,481.94
259,300.58,487.68
260,292.33,598.94
261,259.62,595.22
262,293.40,602.58
263,285.15,583.69
264,297.92,598.94
265,296.86,455.23
266,262.81,576.42
267,268.66,504.84
268,298.72,598.94
269,262.01,576.42
270,288.08,481.94
271,294.46,423.94
272,269.19,482.86
273,262.28,504.84
274,261.21,520.76
275,269.19,482.86
276,269.46,471.33
277,298.72,598.94
278,297.92,598.94
279,298.98,617.04
280,295.26,576.42
281,308.03,487.68
282,290.47,428.72
283,295.53,418.74
284,262.81,576.42
285,292.87,598.94
286,294.46,595.22
287,269.19,482.86
288,289.41,879.54
289,298.72,598.94
290,292.33,520.76
291,269.19,482.86
292,293.40,504.84
293,300.05,487.68
294,296.86,455.23
295,293.13,598.94
296,298.72,598.94
297,292.33,504.84
298,271.59,430.79
299,288.08,481.94
300,272.38,429.70
301,294.73,438.64
302,270.26,520.76
303,308.29,604.10
304,272.38,442.64
305,288.08,481.94
306,298.45,604.10
307,293.40,504.84
308,285.95,583.69
309,301.11,455.23
310,285.15,583.69
311,285.95,568.43
312,289.94,436.13
313,308.29,604.10
314,297.92,598.94
315,268.66,504.84
316,298.72,598.94
317,288.08,481.94
318,298.72,598.94
319,288.08,481.94
320,287.28,481.94
321,283.02,604.10
322,270.52,471.33
323,297.92,598.94
324,293.40,616.67
325,296.86,455.23
326,292.87,598.94
327,300.85,616.67
328,271.59,430.79
329,292.07,617.04
330,297.92,598.94
331,292.87,598.94
332,298.72,598.94
333,296.32,879.54
334,292.33,602.58
335,289.94,418.50
336,270.26,471.33
337,297.92,598.94
338,285.95,568.43
339,261.48,595.22
340,297.92,598.94
341,299.52,487.68
342,301.91,455.23
