sid,area,delay
0,27951.55,11694.33
1,27748.32,10279.61
2,29331.82,20023.61
3,28978.31,11161.91
4,27744.33,26508.70
5,27765.08,11398.05
6,27553.34,12099.39
7,27620.91,23556.68
8,27450.67,25085.44
9,27467.43,15639.42
10,29131.79,25552.14
11,28145.73,11021.22
12,27493.76,11673.06
13,27761.09,25511.61
14,27916.97,16529.45
15,28181.10,12033.55
16,27491.37,25184.50
17,28296.55,19363.21
18,28500.30,13963.41
19,27841.42,25963.39
20,28631.97,18666.44
21,28138.54,13883.50
22,27856.05,23498.39
23,27426.20,21489.38
24,27299.05,25559.21
25,28060.87,22995.23
26,28997.19,14180.46
27,27636.87,25934.15
28,29579.47,23075.12
29,28977.77,23431.19
30,28208.50,26507.48
31,28817.11,25308.97
32,27786.36,25476.46
33,28026.29,11629.43
34,27751.51,25387.36
35,28018.31,21199.55
36,29129.39,16882.51
37,28670.81,11304.34
38,28031.88,10469.96
39,27894.36,18783.68
40,27717.20,15868.95
41,27631.81,25483.30
42,28343.90,12181.72
43,29382.89,25219.87
44,27798.60,22075.43
45,29361.35,11232.54
46,27741.94,24329.75
47,27193.71,25252.12
48,30034.33,13709.81
49,28252.39,26196.64
50,30142.06,17293.98
51,29499.93,17534.67
52,27550.95,23026.83
53,29243.77,27625.35
54,27933.99,13977.49
55,27360.76,25767.09
56,27419.55,25291.17
57,27849.67,22526.98
58,27989.58,10237.17
59,29441.15,10828.65
60,28225.26,15681.97
61,28138.81,14628.79
62,27724.38,10715.57
63,27602.55,25508.54
64,27487.11,25781.61
65,27708.42,16105.47
66,29774.18,20969.37
67,27723.05,23687.00
68,27528.07,18571.48
69,29061.56,23169.04
70,27909.25,21996.95
71,28115.67,27153.55
72,28080.29,23344.41
73,29652.08,22582.14
74,27344.80,9697.03
75,28691.56,23130.88
76,27578.61,24455.47
77,27589.52,23412.38
78,27479.93,22169.39
79,28007.41,26533.13
80,27632.35,24909.88
81,29127.53,26997.02
82,28940.53,15741.34
83,27590.58,26047.43
84,27471.68,21714.59
85,29429.18,16618.43
86,27992.78,25874.74
87,27912.18,26060.17
88,27934.52,11787.66
89,27501.47,11227.74
90,27394.54,10848.13
91,29332.62,10485.08
92,27868.02,22654.95
93,28681.45,17977.71
94,27948.89,19874.19
95,27496.42,25493.33
96,27455.72,19626.94
97,28817.91,19097.01
98,29148.55,27237.25
99,29154.66,12908.58
100,27906.06,26598.35
101,29760.61,24066.92
102,29240.05,25883.44
103,28143.33,15804.60
104,27729.44,25797.30
105,27587.12,11096.54
106,29186.05,11693.94
107,28205.04,10798.41
108,27537.92,25501.38
109,27515.57,24527.41
110,27906.06,25186.86
111,28103.70,21277.29
112,28178.44,13188.79
113,29064.76,17013.92
114,28726.67,26258.55
115,27931.33,14141.60
116,27701.51,20354.41
117,27644.32,21173.10
118,28148.39,22514.94
119,27504.40,25428.24
120,27917.23,24930.91
121,28927.50,18205.26
122,29101.73,17905.38
123,27805.78,10160.99
124,27565.58,15790.52
125,28946.39,25514.87
126,28670.28,19855.97
127,27305.96,24722.82
128,27870.15,21304.98
129,27603.35,22141.46
130,29324.90,13580.04
131,28105.29,12763.35
132,28304.53,20819.94
133,28787.85,22902.72
134,27960.06,25749.11
135,27805.78,27314.11
136,27647.51,25986.25
137,28236.70,18991.40
138,27504.93,18418.00
139,27969.63,23623.68
140,29024.86,17073.56
141,29489.29,13450.76
142,29100.67,19823.37
143,29070.61,25983.73
144,29888.82,11491.58
145,28103.96,21479.50
146,27485.51,10328.39
147,28613.09,24000.18
148,29105.45,20558.56
149,28769.76,23893.06
150,28065.39,23388.85
151,27635.27,23556.07
152,29058.64,25708.17
153,28075.77,20683.32
154,27499.35,23671.36
155,27521.16,22436.47
156,28059.01,20839.87
157,28214.62,23141.99
158,29535.31,14379.34
159,29241.91,20515.73
160,29570.16,12509.99
161,29677.09,13635.59
162,28130.83,25470.91
163,28369.43,15523.97
164,27783.70,11762.36
165,27412.90,23071.88
166,27889.04,11815.46
167,28028.95,19023.33
168,28527.44,23312.29
169,27636.07,22497.62
170,27863.77,18916.00
171,28128.44,22848.60
172,28556.16,25971.06
173,27727.84,26746.39
174,27713.74,26641.06
175,27357.57,22447.37
176,27762.69,26845.17
177,27899.14,22644.76
178,28235.90,21650.32
179,28793.97,20124.43
180,27641.66,20426.57
181,27997.30,21100.17
182,27288.94,24957.29
183,27690.60,25958.39
184,27489.77,19296.99
185,29610.59,16452.47
186,28728.27,22929.79
187,27819.88,12575.35
188,29325.97,49440.27
189,28910.21,12399.57
190,27807.64,20574.17
191,27505.20,25803.36
192,27775.72,26277.11
193,27553.08,23772.26
194,27824.13,14488.86
195,27837.43,25703.72
196,28813.12,20373.30
197,29359.22,21018.08
198,27586.06,11112.18
199,29860.10,15576.77
200,29042.68,12947.58
201,29400.98,18740.94
202,27817.75,25393.05
203,27682.62,25044.12
204,29123.28,17816.72
205,27987.19,26318.95
206,27903.13,24712.79
207,28805.14,26453.07
208,29615.11,20951.27
209,27711.08,9665.52
210,27807.64,24352.95
211,27660.28,23799.98
212,27776.52,23309.17
213,29004.11,20867.89
214,28356.40,12029.58
215,28119.39,16239.47
216,27964.05,17341.01
217,28073.11,26215.96
218,28036.93,21215.28
219,27637.93,25916.69
220,27706.03,11382.46
221,28109.82,25580.79
222,27657.88,20102.11
223,27854.99,26274.31
224,29413.22,10945.72
225,27671.45,20617.54
226,28380.60,20397.36
227,27480.73,26947.75
228,27669.05,24618.15
229,29056.51,24885.44
230,27910.32,22868.44
231,29067.42,25833.46
232,27662.94,14062.00
233,29134.18,25828.52
234,28242.55,26832.48
235,29200.42,25528.33
236,27855.52,24450.42
237,28948.51,19002.58
238,29411.09,17397.90
239,28384.06,13583.90
240,27645.91,24015.47
241,28743.43,26613.92
242,27434.44,25294.61
243,28310.11,23978.99
244,28257.18,12395.58
245,27616.65,23145.86
246,29592.77,18940.35
247,27663.73,26099.00
248,27353.31,23606.70
249,28040.66,14251.50
250,27928.40,10660.95
251,29278.09,23904.13
252,28246.54,11729.70
253,27772.53,17844.98
254,27642.19,14904.13
255,27445.08,10764.09
256,29173.55,18114.18
257,28040.39,10780.19
258,28018.84,11466.08
259,27652.83,21336.09
260,28582.23,25293.15
261,27905.26,26045.90
262,28224.73,11980.91
263,28382.20,24961.22
264,28917.39,10601.50
265,28636.23,27308.11
266,27703.10,15632.32
267,27794.61,25980.30
268,29784.02,18821.28
269,27865.89,14252.38
270,28593.14,25562.80
271,27757.10,14724.70
272,27821.74,19241.84
273,27521.16,25452.04
274,27388.16,16896.90
275,27407.84,26544.19
276,28138.01,23533.10
277,29427.85,25581.86
278,29119.55,26067.08
279,29090.29,20022.80
280,28181.10,26022.03
281,28034.54,26077.63
282,27553.88,26038.90
283,27937.18,20767.77
284,27529.14,26481.87
285,28978.04,11204.13
286,27854.99,19403.45
287,28173.92,22401.84
288,28721.88,22841.80
289,28828.81,24887.60
290,28035.07,21092.12
291,27544.03,22015.97
292,27360.23,21637.99
293,27890.90,24712.54
294,28646.07,26730.88
295,28982.30,18457.06
296,28778.81,25428.18
297,27819.61,14141.95
298,28160.09,11513.98
299,27744.60,25869.55
300,27876.53,11106.26
301,27611.33,11661.29
302,27636.34,22826.66
303,27513.44,13512.83
304,27694.32,11362.78
305,28260.37,25845.61
306,27582.60,25819.83
307,27307.03,21240.73
308,27846.48,20778.09
309,29081.51,25713.55
310,27970.17,11230.25
311,28095.45,24040.75
312,27398.53,20446.96
313,27924.41,9825.39
314,29087.63,23651.21
315,28182.97,16345.27
316,29697.04,25011.20
317,27890.37,18196.72
318,29263.46,25512.41
319,27841.69,12040.53
320,28227.65,18183.22
321,27800.19,18623.20
322,28444.44,10899.80
323,29150.94,18319.05
324,29229.14,20844.37
325,28851.42,15706.78
326,28513.60,11015.42
327,30117.05,11873.39
328,27683.95,22853.87
329,28895.31,22315.07
330,29795.72,14133.19
331,29095.61,13721.78
332,29346.98,18440.91
333,29105.99,20090.88
334,27730.23,13596.81
335,27295.59,17555.66
336,27954.74,10991.08
337,28827.75,12546.93
338,28164.35,19478.10
339,27932.66,17405.02
340,29947.88,17447.70
341,27463.70,24231.80
342,29191.11,13461.44
343,27642.72,16071.37
344,28579.57,12467.32
345,27818.81,21598.03
346,29131.26,16012.35
347,27712.68,19642.18
348,29182.86,23824.85
349,27985.33,25773.26
350,27637.67,20873.72
351,29184.19,22928.21
352,27705.50,22473.59
353,29596.49,15542.53
354,28918.72,21320.99
355,27541.37,24107.31
356,29023.53,22317.39
357,27993.84,26092.91
358,27911.11,27029.91
359,28206.37,26595.19
360,27694.59,18464.46
361,27646.98,11773.16
362,28013.79,12336.94
363,29299.63,26186.66
364,27479.93,25281.22
365,29262.13,18319.59
366,29350.44,10692.48
367,29007.03,24813.82
368,28143.60,23208.88
369,28146.79,13957.40
370,27600.69,25409.56
371,27990.12,24210.62
372,27972.83,18826.53
373,28118.59,11209.37
374,27354.64,25710.38
375,28264.63,24496.59
376,27861.90,14544.67
377,27829.98,25928.00
378,29047.73,20156.80
379,27132.27,14821.85
380,27403.32,19128.55
381,27947.56,14561.11
382,29757.69,23059.76
383,27667.19,13822.56
384,27914.04,21833.70
385,27354.91,24653.78
386,27406.51,26136.95
387,29752.37,25854.57
388,28248.67,26324.14
389,27407.04,11655.78
390,27579.15,25833.46
391,29095.35,19526.01
392,28356.66,17439.26
393,28119.92,12966.53
394,28423.96,15901.32
395,28685.71,11734.83
396,27511.05,25645.69
397,29473.33,18567.93
398,27934.79,10616.18
399,27940.64,21553.16
400,27822.54,11452.16
401,28954.10,17835.84
402,29723.37,11777.42
403,27849.93,13660.55
404,29042.15,24915.50
405,28389.12,21781.47
406,27962.98,10378.91
407,27720.12,20776.10
408,27551.48,24632.80
409,27825.73,26412.75
410,28895.05,25265.84
411,27638.20,21422.00
412,28666.82,25058.06
413,29338.74,14710.86
414,29345.12,24869.11
415,27895.69,21700.86
416,29398.32,22440.22
417,28807.53,26450.37
418,27882.65,23601.58
419,27399.33,23257.99
420,28107.69,10233.02
421,30060.93,13539.30
422,27628.36,12688.33
423,27810.30,24033.00
424,27398.53,24646.09
425,27897.81,22876.20
426,27915.10,20247.58
427,27802.85,19821.88
428,27832.38,12042.66
429,27838.50,24835.61
430,27953.94,11634.52
431,28510.41,12296.33
432,28362.78,24398.47
433,27691.66,18706.10
434,29761.68,13830.38
435,27794.07,11608.93
436,29630.54,13005.40
437,28130.83,24015.72
438,29145.89,12317.96
439,27451.20,13606.75
440,27514.24,9765.11
441,28171.00,9981.50
442,27870.68,19792.48
443,27907.12,25554.33
444,27953.41,25702.73
445,27284.42,24842.57
446,28951.44,10688.80
447,28007.14,25530.99
448,28608.03,18463.77
449,27701.51,25726.47
450,27701.77,11935.70
451,27679.96,16471.96
452,28591.81,23481.82
453,27881.32,17404.09
454,28169.93,26571.71
455,27293.99,10615.06
456,27853.66,26383.44
457,27858.45,10728.03
458,29256.01,21987.87
459,29038.95,25398.91
460,27394.54,25464.41
461,28830.94,12308.77
462,27582.87,11224.89
463,29662.72,22159.01
464,28379.81,19225.12
465,29538.24,38405.64
466,29036.03,26439.83
467,29620.96,18376.70
468,27714.54,18888.62
469,28878.29,14174.88
470,27505.20,21407.49
471,27809.77,50530.97
472,27942.77,18344.21
473,28558.82,24500.70
474,28005.28,20437.48
475,27503.07,17223.88
476,28344.43,11638.72
477,27679.69,19063.85
478,28136.68,23145.44
479,29372.52,23962.63
480,28391.51,21765.09
481,28079.23,10283.46
482,28232.71,10836.39
483,28962.35,44840.74
484,28979.10,26812.02
485,28095.72,25321.32
486,29431.30,15107.46
487,29281.28,24883.36
488,27739.81,26245.18
489,28018.84,13064.07
490,28423.70,15586.32
491,28768.96,25921.05
492,29227.55,13203.58
493,28939.47,26072.60
494,30066.78,22986.71
495,30146.31,17809.49
496,28107.16,24212.94
497,29339.27,18883.12
498,27693.79,26669.84
499,28905.69,12893.60
500,27358.63,22209.04
501,29099.60,21860.73
502,28370.76,23258.37
503,27954.74,26924.33
504,28639.95,12637.56
505,27997.30,26553.00
506,27833.18,11162.18
507,27695.12,25196.21
508,27586.59,17999.35
509,29566.70,23410.27
510,28015.65,23544.31
511,28076.30,22188.51
512,27447.21,15027.47
513,29362.68,13178.47
514,28329.27,16936.52
515,27661.07,21654.94
516,29441.15,12122.86
517,27890.37,11765.16
518,27841.16,24792.29
519,28779.60,22922.16
520,27446.41,27477.17
521,28134.29,13029.83
522,29196.43,19196.04
523,29083.11,11234.21
524,27512.91,18906.02
525,27975.75,24800.39
526,29174.08,10094.59
527,27378.58,25967.26
528,27952.88,20129.35
