sid,area,delay
0,6246.74,2452.27
1,6258.18,2535.91
2,6328.14,2369.25
3,6240.36,2479.12
4,6155.77,2646.03
5,6262.97,3116.06
6,6209.24,2679.33
7,6107.36,2536.12
8,6206.84,2526.40
9,6039.80,2523.57
10,6287.18,2708.02
11,6156.04,2662.54
12,6125.71,2567.35
13,6157.63,2560.81
14,6131.30,2417.87
15,6195.94,2652.88
16,6154.44,2619.34
17,6165.61,2478.61
18,6337.18,2434.31
19,6206.31,2514.38
20,6243.55,3144.27
21,6268.82,2753.11
22,6288.77,2513.74
23,6108.69,2546.98
24,6040.59,2407.65
25,6311.65,2555.73
26,6217.48,2503.06
27,6162.95,2557.79
28,6345.16,2467.15
29,6310.05,2552.97
30,6209.24,2561.80
31,6334.26,2480.43
32,6180.78,2562.68
33,6168.27,2609.06
34,6207.38,2471.81
35,6156.04,2523.36
36,6397.57,2553.39
37,6213.76,2587.48
38,6127.58,2414.57
39,6163.49,2518.26
40,6050.97,2397.48
41,6077.57,2429.93
42,6145.66,2596.36
43,6308.72,2538.77
44,6179.98,2507.38
45,6348.89,2431.60
46,6168.27,2517.31
47,6156.84,2439.75
48,6328.94,2461.67
49,6248.61,2508.56
50,6529.24,2453.17
51,6273.34,2514.80
52,6211.10,2421.58
53,6232.38,2385.13
54,6074.64,2587.04
55,6163.75,2459.80
56,6039.00,2486.12
57,6167.74,2583.53
58,6353.68,2536.60
59,6330.27,2546.98
60,6116.67,2526.14
61,6129.17,2398.89
62,6108.69,2416.17
63,6186.36,2559.73
64,6136.62,2588.11
65,6085.55,2501.71
66,6348.09,2431.44
67,6229.45,2576.84
68,6098.58,2842.83
69,6268.29,2460.50
70,6116.67,2475.36
71,6068.79,2537.30
72,6163.75,2576.79
73,6358.20,2587.88
74,6190.88,2478.49
75,6209.50,2591.54
76,6222.01,2584.80
77,6158.70,2518.22
78,6143.27,2361.29
79,6129.70,2534.46
80,6162.69,2544.40
81,6320.43,2414.31
82,6326.01,2422.12
83,6087.14,2448.06
84,6289.57,2688.63
85,6168.54,2647.92
86,6080.23,2488.11
87,6155.51,2555.81
88,6125.98,2478.47
89,6079.70,2650.53
90,6065.33,2565.03
91,6264.83,2582.66
92,6257.92,2491.86
93,6286.38,2507.52
94,6146.73,2364.62
95,6039.26,2524.69
96,6134.49,2601.54
97,6211.90,2539.06
98,6328.67,2471.09
99,6298.35,2345.15
100,6165.88,2621.07
101,6315.64,2530.25
102,6234.51,2534.31
103,6338.25,2523.64
104,6061.08,2477.43
105,6310.32,3082.58
106,6208.97,2575.64
107,6251.53,2801.40
108,6090.87,2461.77
109,6140.88,2481.94
110,6165.88,2460.73
111,6220.94,2470.35
112,6314.04,3313.84
113,6232.91,2547.03
114,6196.74,2532.19
115,6112.41,2486.47
116,6202.59,2433.45
117,6190.88,2497.87
118,6093.00,2517.59
119,6128.37,2536.06
120,6122.26,2592.19
121,6330.53,2520.07
122,6294.36,2485.96
123,6231.58,2534.89
124,6071.45,2531.92
125,6378.95,2448.32
126,6187.69,2426.94
127,6104.43,2614.36
128,6151.25,2419.91
129,6160.83,2521.01
130,6314.84,2591.36
131,6137.95,2465.89
132,6126.25,2457.66
133,6219.61,2499.23
134,6199.40,2612.10
135,6096.72,2579.21
136,6047.51,2545.39
137,6055.76,2666.01
138,6103.64,2499.88
139,6267.76,2482.49
140,6439.59,2681.20
141,6178.38,2646.30
142,6233.98,2464.48
143,6266.69,2505.12
144,6441.99,2494.19
145,6214.56,2669.34
146,6210.83,2517.38
147,6264.30,2520.47
148,6216.69,2553.64
149,6235.57,2478.87
150,6077.83,2467.47
151,6138.22,2523.03
152,6220.14,2477.30
153,6158.17,2538.56
154,6135.82,2517.16
155,6214.03,2573.97
156,6366.71,2563.54
157,6160.03,2455.03
158,6329.20,2484.32
159,6206.05,2612.54
160,6357.67,2525.78
161,6299.41,2492.45
162,6301.01,2597.48
163,6340.91,2605.00
164,6215.36,2558.44
165,6089.54,2437.64
166,6082.62,2559.91
167,6124.38,2440.26
168,6312.98,2447.09
169,6049.90,2605.55
170,6208.44,2555.39
171,6204.72,2590.35
172,6258.71,2566.28
173,6119.06,2618.18
174,6173.06,2569.52
175,6164.55,2468.92
176,6034.74,2581.39
177,6224.40,2681.23
178,6312.45,2542.87
179,6231.58,2444.67
180,6213.23,2533.22
181,6255.79,2461.01
182,6116.40,2552.00
183,6205.78,2753.36
184,6084.48,2561.75
185,6229.72,2619.48
186,6280.26,2537.56
187,6156.84,2625.29
188,6367.24,2472.03
189,6206.58,2359.78
190,6124.38,2503.83
191,6083.42,2483.83
192,6134.23,2481.35
193,6105.76,2477.30
194,6254.72,2644.62
195,6121.99,2429.97
196,6129.17,2501.38
197,6243.55,2587.03
198,6162.16,2501.50
199,6270.95,2543.29
200,6325.75,2517.81
201,6187.43,2515.15
202,6135.29,2477.91
203,6182.37,2659.87
204,6111.88,2439.41
205,6262.44,2456.79
206,6198.07,2585.67
207,6196.47,2508.53
208,6411.93,2446.99
209,6115.34,2530.70
210,6361.66,2610.71
211,6166.15,2509.46
212,6238.50,2578.43
213,6269.35,2488.55
214,6223.07,2623.05
215,6136.62,2537.81
216,6081.03,2425.31
217,6254.19,2521.15
