sid,area,delay
0,2421.40,1651.33
1,2499.34,1786.01
2,2598.55,1531.45
3,2598.55,2682.70
4,2454.12,1604.55
5,2529.93,1582.30
6,2436.83,2032.56
7,2429.91,2052.35
8,2517.96,1959.53
9,2401.98,1398.91
10,2619.83,1689.77
11,2409.43,1743.58
12,2409.16,1740.38
13,2476.73,1680.76
14,2451.46,1693.87
15,2512.10,2440.25
16,2416.08,1640.18
17,2421.40,1958.90
18,2446.40,1788.88
19,2442.15,2481.08
20,2411.29,1775.20
21,2425.92,1629.76
22,2469.01,1918.74
23,2472.20,1674.44
24,2446.93,1841.17
25,2505.99,2536.94
26,2598.82,1802.27
27,2444.01,1619.38
28,2677.56,1764.62
29,2662.13,2368.46
30,2530.46,2373.33
31,2613.72,1907.26
32,2393.20,1731.62
33,2497.47,1857.51
34,2439.49,1851.23
35,2456.24,1751.55
36,2618.50,1706.85
37,2434.96,1782.19
38,2433.90,1402.31
39,2403.04,1660.16
40,2462.36,1540.32
41,2447.73,1485.81
42,2465.02,1774.68
43,2618.24,1699.03
44,2426.19,1788.16
45,2699.63,1855.41
46,2439.49,1415.54
47,2504.39,3380.61
48,2741.66,2190.13
49,2453.58,1560.76
50,2730.76,2575.95
51,2584.99,1610.11
52,2452.79,1738.05
53,2567.17,1587.86
54,2450.66,1817.89
55,2444.81,1591.80
56,2414.48,1777.91
57,2446.93,1784.25
58,2457.57,1530.69
59,2613.98,1869.09
60,2417.67,1571.90
61,2476.73,1476.17
62,2437.89,1624.35
63,2408.90,1418.84
64,2462.63,1588.64
65,2459.70,1824.87
66,2706.82,2415.13
67,2478.85,1699.54
68,2426.45,1507.35
69,2616.64,1722.20
70,2461.83,1806.24
71,2456.78,1868.35
72,2468.48,1503.78
73,2647.50,1770.74
74,2410.76,1894.72
75,2619.04,1608.86
76,2482.05,1558.77
77,2428.85,1928.55
78,2409.69,1459.98
79,2405.97,1774.15
80,2471.94,1968.30
81,2616.64,1776.79
82,2612.92,1892.01
83,2370.86,1799.23
84,2423.79,1689.96
85,2592.17,1593.63
86,2454.91,1379.07
87,2437.09,1757.95
88,2454.65,2079.13
89,2458.90,1977.99
90,2473.53,1603.69
91,2614.25,1714.31
92,2471.94,1506.26
93,2433.63,1792.65
94,2401.45,1566.00
95,2440.55,1783.59
96,2444.01,1681.37
97,2563.44,1715.44
98,2650.16,1775.41
99,2605.74,1553.73
100,2442.15,1748.03
101,2661.60,2482.30
102,2629.68,1583.53
103,2475.13,1520.24
104,2470.08,1576.70
105,2447.73,1741.53
106,2630.21,1850.67
107,2460.77,1750.61
